
피부관리를 위한 전류기기 접근에 대한 고찰,"본 연구의 목적은 주로 의료용 전류로 사용되고 있는 전류를 이용한 기기의 효과 중 국소부위 온열효과와 피부 및 근육과 주변조직의 구조적 안정성을 제공하는 결합조직의 탄력성 증가 효과, 혈류 개선 효과, 림프순환 효과, 미세 마사지 효과 등에 대한 긍정적인 면들을 재정립하여 기기의 안정적 사용과 함께 피부미용, 비만관련 분야에 전류를 이용한 관리 방법을 개발하는데 기초자료를 제공하여 효율적인 피부관리 테크닉을 개발하여 고객 만족도를 향상시키고자 하는데 있다.",윤성광(Sung kwang Yoon),2014,https://www.riss.kr/link?id=A100412827
패션 가발 착용 실태 및 인식에 관한 연구,"본 연구는 중년여성을 중심으로 패션가발 착용실태 및 인식을 알아보기 위하여 설문조사를 실시하였다. 패션 가발 사용여부에 따라 나타나는 연령별 결과로는 건강과 모발상태가 좋은 40대보다는 50대가 착용률이 높았으며 헤어스타일 만족도나 헤어스타일 바꾸기를 좋아하는 정도는 패션가발을 사용하는 집단에서는 그렇다, 사용하지 않는 집단에서는 가끔 그렇다로, 패션가발을 사용하는 집단에서 헤어스타일을 바꾸기를 더 좋아하는 것을 볼 수가 있었다. 탈모 상태는 사용하는 집단에서 탈모가 더 많은 것으로 볼 수가 있었는데 패션가발 구입 및 사용실태에서는 패션가발 사용 이유가 탈모부분 감추기 위해서47.6%, 구입하고 싶은 패션가발 종류는 멋내기용 부분 가발이 47.6%로, 가발비용의 적정성에서는 적당하다가 47.6%로, 패션가발의 만족도는 보통 50.0%, 패션가발의 헤어스타일 결점 보완정도는 어느 정도 그렇다가 69.0%, 패션가발 구입경로에서는 전문가발 업체가, 패션가발 구입 시 선호색상은 자연갈색이 높았고, 또한 패션가발을 사용하지 않는 이유에서는 필요성을 못 느낌 66.7%로 가장 높게 나타났으며 차후 사용 할 의향에서는 아직은 없다가 45.8%로 나타났었다. 일반적으로 아직은 패션가발이 부자연스럽고, 귀찮고, 필요치 않아서 사용하지 않는 경우가 많았는데 사회적 인식으로 볼 때 미적 의미와 외모관리행동에서 심리적인 나이가 들수록 많이 사용하게 되고 있는 것은 헤어스타일의 결점보완과 탈모로 인한 심리적인 문제에도 많은 도움이 되기 때문이다. 이렇듯 중년여성들의 패션가발의 착용실태조사에서 볼 수 있듯이 전체적으로 헤어스타일보조수단으로 사용하기는 효과가 미흡하다는 것을 알 수 있었다. 그러나 유용함에 따라 패션가발의 향후연구에서는 수요자들의 목적에 따른 실용적으로 착용할 수 있는 방안에 대한 적극적인 연구가 필요하다고 사료된다.",김명주(Myung ju Kim),2013,https://www.riss.kr/link?id=A100412817
장 기능이상과 만성질환,"장관은 음식물의 소화, 흡수, 배설이라는 기본적인 기능 이외에 장관 점막이 관내 미생물이나 이들의 부산물, 항원, 독소 등의 혈류로의 유입을 차단하는 방어벽으로서의 면역학적 기능을 수행한다. 이러한 면역학적 기능이상이 오면 여러 급성 또는 만성질환의 병태생리에 밀접한 관계를 초래하며 특히 면역 또는 염증으로 설명되는 대부분의 질환과 관계가 있게 되는 것이다. 장 기능이상은 장관 점막세포의 이상과 장관안에 있는 미생물들의 공생 (symbiosis)을 같이 생각해야 한다. 장 점막세포들의 완전성(integrity)은 보호와 방어의 기능을 말하며 이것의 기능이상 시 새는 장(leaky gut)을 초래하게 되고 장내 미생물들의 공생관계에 이상이 생긴 부조화(dysbiosis)를 같이 생각하여야 한다. 즉 두 가지 개념을 통합하여 장 기능 이상(gut dysfunction)이라고 한다. 장관 점막의 투과성이 증가된 상태에 나타나는 여러 임상증상을 새는 장 증후군 (leaky gut syndrome)이라고 하며 관내에 있던 병원균과 이들의 부산물, 독소, 항원 등이 혈류로 유입되어 인체의 면역체계를 자극함으로써, 각종 급·만성 감염성 질환 및 자가면역질환 등의 병태생리에 영향을 주는 질환이 초래 되거나 기존의 질환이 악화될 수 있다. 장의 과투과성을 감소시키면 소화기계 점막 사이의 비정상적인 노출로 인한 염증 또는 면역반응을 억제할 수 있고 몇몇의 약용식물과 음식은 이런 기능을 호전시키는 것으로 알려져 있다. 장내세균총, 음식, 영양소와 면역계는 밀접한 관계를 맺고 있으며 적절한 식품과 영양소를 섭취해야 건강한 소화기계를 유지할 수 있다. 소위 4R 프로그램인 제거(remove), 보충(replace), 재공급(reinoculate), 복구(repair) 과정은 위장관 문제를 지닌 환자를 임상적으로 파악하고 치료할 때 유념해야 할 중요한 요점을 포함한 프로그램이다. 이 프로그램을 환자에 접목시킬 때 환자의 임상적 상태와 영양학적 요구에 따라 개별화된 접근을 해야 한다. 환자의 장 기능이상, 불균형 또는 손상을 정확하게 파악하면 국소적뿐만이 아니라 전신적인 증상 호전에도 큰 도움을 줄 수 있다. 결론적으로 이러한 개념을 이해함으로써 일반인들뿐만 아니라 의료인들에게도 환자 진료에 많은 도움을 줄 수 있으리라 생각하며 향후 많은 연구가 진행되어 장 건강과 만성질환의 치료와 예방에 크게 이바지하리라 기대된다.",전우규(Wookyu Jeon),2018,https://www.riss.kr/link?id=A105543893
뜸 치료가 노인 발목 염좌 회복에 미치는 영향,"노인의 의료문제에서 가장 큰 유병율을 보이는 것이 관절염, 요통ㆍ좌골통등의 근골격계 질환으로서 노화에 따른 근골격계의 구조적ㆍ생리적 기능저하에 따른 유병율이 높은 것으로 알려져 있다.
또한, 외상후 기능재활에 있어서도 노인의 경우에는 다른 연령층에 비해 회복 및 훈련에 많은 시간과 어려움이 있다. 노인층에서 흔히 발생하는 발목염좌도 마찮가지이다.
발목염좌 기능 재활 방법으로서 고유수용성 운동, 능동적 기능재활 훈련에 많이 활용되지만, 노인 환자의 특성상 인지, 운동 능력 감소로 인하여 재활 훈련 참여의 제한성이 있는 관계로 보완할 수 있는 치료법들의 연구가 다양하게 진행 되어야 할 필요성이 있으며, 그러한 대안 중에 노인 환자에게 적용하기 쉬운 뜸 치료를 적용하였다.
본 연구는 2011년 3월 1일부터 2011년 5월 30일까지 3개월 동안 전라북도 N지역 C정형외과에 발목염좌 2도의 증상으로 입원중인 노인 환자 24명을 대상으로 임의로 실험군 12명, 대조군 12명으로 집단을 구분하였으며, 각 대상자는 6주간 실험군은 뜸치료를, 대조군은 보존적 치료를 적용 하였다.
그 결과 뜸치료군 대응표본 통계량 통증VAS는 실험전M(SD)=7.03(2.13), 실험후M(SD)=2.09(1.98), p=.001이고, LSS는 실험전M(SD)=23.30(4.62), 실험후M(SD)= 36.77(7.12)이며, p=.001, 유연성에 대한 배측굴곡은, 실험전 M(SD)=14.73(5.36), 실험후M(SD)=17.11(4.89), p=.001 저측굴곡은, 실험전M(SD)=34.54(7.87), 실험후 M(SD)=41.09(8.84), p=.001 내번은, 실험전M(SD)=14.67(7.09), 실험후M(SD)=16.77(5.58), p=.001 외번은, 실험전 M(SD)=21.65(4.96), 실험후M(SD)=25.32(6.44), p=.001로서, 대응 표본 검정에 의해 6주간의 뜸치료는 발목염좌에 p<.05에서 긍정적 영향을 미친다.
보존적 치료군 대응표본 통계량 통증VAS는 실험전M(SD)=7.40(1.50), 실험후M(SD)=3.23(1.65), p=.001이고, LSS는 실험전M(SD)=22.25(5.81), 실험후M(SD)= 26.48(7.24)이며, p=.001, 유연성에 대한 배측굴곡은, 실험전 M(SD)=13.52(6.02), 실험후M(SD)=15.58(4.77), p=.001 저측굴곡은, 실험전M(SD)=35.09(5.99), 실험후 M(SD)=36.15(8.84), p=.109 내번은, 실험전M(SD)=12.89(8.99), 실험후M(SD)=13.65(4.21), p=.457 외번은, 실험전 M(SD)=24.43(6.77), 실험후M(SD)=27.21(5.07), p=.001로서, 대응 표본 검정에 의해 6주간의 보존척 치료는 발목염좌에 p<.05에서 통증VAS, LSS, 배측굴곡, 외번에 대하여는 유의미한 영향을 미치지만 유연성 항목중에 저측굴곡과 내번에는 유의성이 없었다.
뜸치료군과 보존적 치료군의 독립표본 검정에 의한 기술통계값(M(SD),t,p)의 통증VSS는 뜸치료군(4.94(1.35)), 보존적 치료군(4.17(1.45)), t=.176, p=.897, LSS는 뜸치료군(13.47(1.68)), 보존적 치료군(4.23(.43)), t=9.098, p=.001, 배측굴곡은 뜸치료군(2.38(.25)), 보존적 치료군(2.06(.69)), t=.094, p=.906, 저측굴곡은 뜸치료군(6.55(1.81)), 보존적 치료군(1.06(1.07)), t=5.997, p=.001, 내번은 뜸치료군(2.10(.02)), 보존적 치료군(.76(.58)), t=2.001, p=.001, 외번은 뜸치료군(3.67(1.35)), 보존적 치료군(2.87(1.69)), t=.102, p=.886 이었다.
독립표본 검정에 의해 뜸치료군이 보존적 치료군에 비하여 유의수준 p<.05에서 LSS, 저측굴곡, 내번에 있어서 유의한 차이가 있으므로 뜸 치료군이 보존적 치료군에 비하여 LSS, 저측굴곡, 내번에 효과가 있었다.
요약하면, 뜸치료군은 발목염좌 재활의 모든 항목에서 긍정적 영향을 미쳤으며, 보존적 치료군은 통증VAS, LSS, 배측굴곡, 외번 재활에 긍정적 영향을 미친다는 사실을 알 수 있었다. 또한, 뜸치료군과 보존적 치료군을 비교하였을 때 LSS와 저측굴곡, 내번에 좀 더 효과적이라 볼 수 있다.
이러한 연구결과를 통해 노인환자 발목염좌에 보존적 치료보다 뜸치료의 적용 할 필요가 있다고 할 수 있다.",이우진(Lee woo jin),2014,https://www.riss.kr/link?id=A105803272
스톤테라피와 근막이완요법이 상부승모근에 미치는 효과비교,"본 연구의 목적은 근막이완요법과 스톤테라피를 병행하였을 때 상부승모근의 근긴장도와 어깨관절의 통증 변화를 알아보기 위하여, 30~50대의 주부 고객 중 현재 어깨 통증이 있지만 의학적 진단을 받지 않는 자를 선정하여 근막이완요법과 스톤테라피를 병행하여 실시한 실험군 10명과 근막이완요법만 실시한 대조군 10명으로 나누어 총 20명으로 실험을 진행하였다.
연구방법은 근긴장도 검사기(Myotonometer)로 좌측 상부승모근의 근긴장도를 측정하였고, 어깨통증은 시각적 상사 척도(VAS)를 사용 하였으며, 실험결과에 대한 자료 분석은 SPSS 12.0 프로그램을 이용하여 분석하였다.
Myotonometer의 Force(1.0㎏)에 따른 근긴장도 변화의 결과는 p<0.05인 신뢰구간 수준에서 근막이완요법만 한 그룹과 근막이완요법과 스톤테라피를 병행한 그룹 모두 그룹별 유의적 효과를 보였지만 그룹간 효과는 유의적 차이를 보이지 못하였다.
어깨통증 변화인 VAS는 실험군의 경우 P=.010으로 유의적 효과를 보였으나, 대조군의 경우 P=.343로 유의적 효과를 나타내지 못하였다.
이상의 연구 결과를 통해 근막이완요법만 실행하였을 때와 스톤테라피를 병행하였을 때 모두 근긴장도 완화에 효과적이었다. 그러나 근막이완요법만 실행하였을 때는 어깨통증수치적 변화는 있었지만 이를 '유의하다' 할 만큼으로 보기에는 힘들었다. 그러나 스톤테라피를 병행하였을 때는 변인에 유의적 효과를 나타내었다.",김소연(So yeon Kim),2013,https://www.riss.kr/link?id=A100412818
스트레스 해소 방법과 대사증후군의 관련성,"연구 배경: 본 연구의 목적은 만 20세-65세 한국 성인에서 스트레스 해소 방법과 대사증후군의 관련성에 대해 알아보고자 함이다. 방법: 본 연구는 2010-2012년 제3기 국민건강영양조사에 참여한 만 20세-65세 성인 참가자 3,523명(남자 1,537명, 여자 1,986명)을 대상으로 스트레스 해소 방법으로 ‘아무것도 하지 않음(586명)’, ‘흡연(380명)’, ‘음주(735명),’ ‘운동(720명)’, ‘대화(455명)’, ‘인터넷, 게임 같은 오락(90명)’, ‘음악, 영화, 독서 등의 문화생활(189명)’, ‘종교(121명)’, ‘집안 일 등 직업과 다른 일(83명)’, ‘수면(161명)’, ‘먹는 것(43명)’으로 대답한 총 11개 그룹으로 구분하였다. ‘아무것도 하지 않음’ 군을 기준으로, 스트레스 해소 방법에 따른 대사증후군의 위험도(odds ratios)와 95% 신뢰구간(95% confidence intervals)을 구하기 위해 복합표본 다중로지스틱 회귀분석으로 분석하였다. 결과: 혼란변수인 연령, 성별, 체질량지수, 소득수준, 교육수준, 결혼상태를 보정한 하였을 때, ‘아무것도 하지 않음’ 군에 비해 ‘흡연’ 1.916 (1.188-3.090), ‘음주’ 2.142(1.395-3.288), ‘수면’ 4.112 (1.805-9.369)으로 스트레스를 해소한다고 응답한 사람에게서 대사증후군의 유병 위험도가 유의하게 높았다. 결론: 흡연, 음주, 수면으로 스트레스를 해소하는 만 20세-65세 사이의 성인에서 대사증후군 유병률의 위험도가 높았다.",정민옥(Min-Ok Jung),2020,https://www.riss.kr/link?id=A107136362
백회혈(GV20)을 활용한 SUKI대체의학에 의한 집중력 향상 연구,"인간의 사고 및 행동은 대뇌 기능에 의해 조절이되며, 이에 따른 대뇌 신경들의 활동은 뇌파(Electroencephalo-gram : EEG)의 형태로 나타난다. 집중력 향상을 위한 뇌파측정은 비침습적 방법으로 SUKI(Superficial Using Ki energy Instrument)대체의학을 이용한 연구 방법이라 할 수 있다. 본 연구는 동양의학의 중요한 기혈이론인 12경락과 기경팔맥 중에서 기경팔맥에 속한 독맥경의 백회혈(GV20)에 일정한 자극을 줌으로써, 집중력 향상에 어떠한 영향을 미치는지를 알아보기 위해 SUKI대체의학을 활용한 객관적 효과를 연구하고자 하였다.
연구 기간은 2013년 4월 8일부터 2013년 6월 14일까지 광주시내 P 초등학교 5학년 남학생 10명을 대상으로 실시하였다. 통계처리는 대조군과 실험군으로 분류하여 데이터 코딩(data coding)과정을 거쳐, PASW Statistics 18.0 통계 프로그램을 활용하였으며 결과는 다음과 같다.
첫째. SUKI대체의학 기법이 초등학생의 집중력 향상에 따른 알파파의 뇌파가 유의한 차이가 있었다(p<.001).
둘째. SUKI대체의학 기법이 초등학생의 뇌활성 뇌파에 유의한 차이가 있었다(p<.001).
셋째. SUKI대체의학 기법이 초등학생의 스트레스 뇌파에 유의한 차이가 있었다(p<.01).",조민주(Min ju Jo),2014,https://www.riss.kr/link?id=A100412828
만성 두드러기의 기능의학적 치료,"두드러기는 피부 팽창과 발적 증상이 나타나는 질환으로 유병 기간에 따라 급성과 만성(6주 이상)으로 구분한다. 만성 두드러기의 원인이 불분명한 경우를 CSU라 하며 CSU의 50%는 자가면역 기전에 의해 발생된다.
CSU 치료는 유발인자 제거 및 악화요인 회피, 약물 치료로 항히스타민제, 류코트리엔 수용체 길항제, omalizumab, cyclosporine 및 급성 악화 시 스테로이드가 처방된다. 그 외 대체 치료로 자가면역 질환과 류마티스 질환에 사용하는 약제가 처방된다.
장관 점막의 투과성이 증가되어 나타나는 임상 증상을 새는 장 증후군이라고 하며 관 내에 있던 음식물 항원, 병원균과 이들의 부산물, 독소 등이 혈류로 유입되어 인체의 면역체계를 자극함으로써 각종 급·만성 감염성 질환 및 자가면역 질환 등의 병태생리에 영향을 주거나 만성 두드러기 등 기존의 질환이 악화될 수도 있다. 히스타민 대사 장애로 인한 히스타민 증후군도 CSU 악화에 기여할 수 있다. IgE 뿐만 아니라 food IgG 검사를 통한 식이제한도 장과 피부 관련 증상 개선에 도움이 될 수 있다.
CSU의 50%는 1년 내 호전되고, 80%가 5년 내 호전된다. 유병 기간이 장기적이고, self-limited disease로서 개선되는 경우가 많기에 감염과 더불어 만성적인 염증을 유발시키면서 체내 반감기가 긴 중금속과 POPs가 CSU의 유발요인으로 작용할 가능성에 대해 고려할 필요가 있다. 중금속과 POPs가 enterohepatic recirculation되는 것을 차단하는 치료도 고려될 수 있다.
기능의학의 7개 주요 임상적 불균형(assimilation, structural integrity, communication, transport, biotransformation & elimination, energy, defense & repair)을 고려하여 CSU에 대해 보다 근본적이고 통합적인 치료가 실현되길 기대한다.",박춘묵(Chun-Muk Park),2022,https://www.riss.kr/link?id=A108357435
여성 섬유근육통 환자에서 adenosine triphosphate 정맥주사요법이 통증과 피로 개선에 미치는 효과,"배경: 섬유근육통은 전신의 근골격계 통증과 다양한 신체적, 정신적 복합 증상을 동반하는 만성 질환이다. 섬유근육통은 발병 원인이 뚜렷하지 않고, 임상적으로 만성적인 경과를 거치므로 근치적 치료보다는 대증적 치료가 주를 이루고 있다. 이 연구에서는 섬유근육통 환자에서 아데노 신삼인산(adenosine triphosphate, ATP) 정맥 투여 전 후를 비교하여 ATP 정맥주사요법이 섬유근육통 환자에서 통 증과 피로 개선에 미치는 효과를 알아보고자 한다.
방법: 2017년 6월 1일부터 2017년 7월 30일까지 연구가 수행되는 동안 강남세브란스병원의 가정의학과에 내원하여 섬유근육통이 진단되고 연구 참여에 동의한 19세 이상 65세 미만의 여성 환자 24명을 대상으로 매주 1회씩, 총 2회의 ATP 정맥주사요법을 시행하였다. 정맥주사요법 시행 전과 1회, 2회 시행 후 통증 및 피로도 개선 여부는 ATP 정맥주사요법 전후의 숫자통증강도척도(numeric pain intensity scale, NPS), 섬유근육통영향척도(fibromyalgia impact questionnaire, FIQ), 전신통증지수(widespread pain index, WPI), 증상중증도척도(symptom severity scale, SS), 피로감중증도점수(fatigue severity score, FSS)를 반복측정분산분석으로 분석하였다.
결과: 연구 참가자의 평균 연령은 49.29세였다. 중도 탈락자는 없었으며, 24명을 최종 대상으로 결과를 분석하였다. 5개의 통증 및 피로도 척도 중에서 전신통증지수(WPI)를 제외한 숫자통증강도척도(NPS), 섬유근육통영향척도(FIQ), 증상중증도(SS), 피로감중증도점수(FSS) 4개 항목의 점수가 감소하였다. 특히, 통증, 수면장애, 기분, 삶의 질을 포괄하는 섬유근육통영향척도(FIQ)는 63.08±15.03에서 47.92±17.84로 호전되었다(P=0.004).
결론: 섬유근육통 여성 환자에게 ATP 정맥주사를 투여 후 통증 및 피로도 척도가 호전되었다.",조미라(Mi-Ra Cho),2018,https://www.riss.kr/link?id=A105543889
비만한 암 생존자에게서 고려할 기능의학적 접근,"암 생존자의 비만은 복잡한 문제이며 심리적, 사회적, 생물학적 등 다양한 요인이 영향을 미친다. 이러한 요인의 관리는 암 생존자의 피로감 및 통증 등의 삶의 질을 향상시키면서 재발암이나 이차암 및 기타 심혈관질환 합병증을 막는 데 중요하다. 암 생존자 비만에서 기능의학적 문제 요인에는 지방축적 과다, 저등급 만성염증, 여성 암에서의 에스트로겐 과다, 장내세균 불균형 및 장내 환경변화, 세포 에너지 대사 및 항산화 능력의 변화와 호르몬, 자율신경계 및 면역체계의 불균형 등이 있다. 따라서 암생존자의 비만을 단순히 체중 감량의 목표에 만족할 것이 아니라 각 환자의 기능의학 접근으로 근본적인 생활환경의 변화와 개별적인 영양치료를 시행하는 것이 필요하다. 본 종설에서는 기능의학의 7가지 핵심 불균형이론을 바탕으로 크게 네 가지 관점(지방세포와 호르몬에 따른 염증, 장내 미생물 군집의 영향, 세포 대사 및 항산화 시스템, 면역기능)으로 비만한 암 생존자 관리를 논의하였다.",정수지(Susie Jung),2023,https://www.riss.kr/link?id=A108597238
