
완전 무치악 환자에서 나사-시멘트 보철물(SCP: screw-cement prosthesis)을 이용한 임플란트 보철 수복 증례,"임플란트 보철물은 유지방법에 따라 크게 나사 유지형 보철물(screw-retained prosthesis)과 시멘트 유지형 보철물(cement-retained prosthesis)로나눌수있으며, 이들 장점을 고려하여 만든 나사-시멘트 유지형 보철물(SCRP: screw and cement retained implant prosthesis)이 있다. 나사-시멘트 유지형 보철물은 임플란트 지대주와 상부 보철물 사이의 시멘트층이 보철물 제작 과정에서 발생하는 여러 오차를 보상하여 수동적 적합을 얻을 수 있으며, 임상 및 기공 과정이 간단한 장점과 더불어 임플란트 보철의 유지 관리를 위해 필수적인 탈, 부착(retrievability)이 가능하다. 본 증례에서는 완전 무치악 환자를 대상으로 상, 하악에 각각 9, 8개의 임플란트(US II, OSSTEM, Seoul, Korea)를 식립하고 나사 구멍이 순측으로 향하는 부위는 시멘트 유지형, 다른 부위는 나사-시멘트 유지형태를 사용하여 복합형태의 나사-시멘트 보철물(SCP: screw-cement prosthesis)을 제작하였으며 3년 간의 정기 검사에서 기능과 심미적으로 만족할 만한 결과를 얻어 이를 보고하고자 한다.",김주현,2012,https://www.riss.kr/link?id=A60254230
치과에서 발생하는 소음이 치과위생사의 청력에 미치는 영향,"연구배경 : 서울·경기 치과 병(의)원에 근무하고 있는 치과위생사를 대상으로 치과에서 발생하는 소음이 치과위생사에게 어떠한 영향을 미치는지 조사하여 소음성 난청의 예방과 대처방안에 대한 기초 자료를 제공하고자 연구를 시도하였다.
연구방법 : 2011년 6월 20일부터 8월 31일까지 자기기입식 설문지를 이용하여 설문조사 하였으며, 회수된 최종 251명의 설문지를 분석에 이용하였다. 통계 분석은 SPSS 17.0 프로그램을 이용하였다.
연구결과 : 1. 진료실구조와 컴프레셔 위치에 대한 특성에서 ‘진료실이 격리되어 있다’ 보다 격리되어 있지 않다’ 라는 응답이 더 높게 나왔고, 진료실 체어의 수는 5~6대가 가장 많았으며 체어수는 의료기관 종별에 따라 상이하게 나타났다. 컴프레셔 수는 2대가 가장 많았으며 대부분의 치과 병ㆍ의원에서 컴프레셔가 병원 내부에 설치되어 있고 진료실과 근접해 있었다.
2. 치과에서 발생하는 소음 종류에 따른 항목별 점수에서는 석션 시 3.69점으로 가장 높은 점수를 나타냈고, 스케일링 시 3.67점, 치아삭제 시 3.50점, 컴프레셔 작동 소리 3.25점, 임시치아 제작 시 2.61점, 대기실의 TV나 라디오 소리 2.37점, 트리밍 시 2.34점 순으로 나타났다.
3. 치과 소음에 대한 치과위생사가 느끼는 소음성 난청 자각증상의 항목별 점수는 11개 항목 중에서 ‘주변이 시끄러울 때는 상대방의 이야기를 듣는데 어려움이 있다’(3.25점)와 ‘취업전과 다르게 잘 안 들린다고 느낀 적이 있다’(3.13점)에서 가장 높은 점수를 나타냈고, 나머지 항목에서는 비슷한 점수대를 보였다.
4. 조사대상자의 일반적 특성과 근무특성별 자각증상과의 관련성에서는 나이와의 관계에서만 유의한 차이를 보였고, 진료실구조 및 컴프레셔 위치와 자각증상과의 관련성에서는 컴프레셔 수를 제외한 진료실 격리유무, 체어수, 컴프레셔 설치위치, 컴프레셔 내부 설치 시 진료실과 근접한지의 여부에 따른 자각증상과의 관계에서 통계적으로 유의한 차이를 보였다.
결론 : 일반적 특성과 근무특성, 치과 소음 종류, 소음에 대한 치과위생사의 자각증상과 관련하여 치과위생사의 소음성 난청 유발 가능성을 자료를 통해 알 수 있었으며, 이에 대한 대처방안으로 치과위생사의 의식변화와 행동변화, 즉 실천과 더불어 근무 환경적인 변화가 무엇보다 필요할 것으로 사료된다.",김경옥(Kyungock Kim),2013,https://www.riss.kr/link?id=A102252778
치과위생사의 장기근무 가능성과 근무지속 가능성의 MBTI유형별 차이,"연구목적 : 급변하는 경영환경에서 인력관리는 매우 중요한 문제이다. 치과위생사의 이직문제는 아직 명확한 해결책이 없는 상태이다. 이 연구는 치과위생사들의 장기근속과 근무지속 가능성에 대한 지수 개발과 관련한 연구로 성격유형변수를 도입 적용한 것이다.
연구방법 : 수도권지역 치과네트워크에 근무 중인 치과위생사를 대상으로 MBTI성격유형분석을 시행하였고, 그들의 근무 상태를 분석하여 장기근속 가능성함수
(Y₁ = 가장 긴 근속년수 X 연령지수/ 총근무년수 X 경험직장수)와 근무지속 가능성함수
(Y₂ = 직업만족도 X 직무만족도 X 연령지수 /경험직장수)를 정의하고 그 결과값을 분석하였다.
연구결과 : 전통주의자로 알려진 SJ유형의 장기근속 성향이 다른 그룹들에 비해 차이가 있는 것이 확인되었고, Y₁ 값이 더 높은 것으로 나타났다.
결론 : 첫째, 연구자가 설정한 두 함수는 일정한 분포를 나타냈다. 둘째, Y₁ 함수의 경우 MBTI 성격 유형에 따라 유의한 분포로 차이가 발견되었다. 셋째, Y₂ 함수의 경우 성격유형별 차이는 크지 않은 것으로 나타났으며, 이는 채용 이후의 교육훈련 과정이 직원의 장기근속을 유도하기 위해 중요하게 다루어져야 함을 의미한다.",이정우(Jeong-Woo Lee),2013,https://www.riss.kr/link?id=A102252777
다운증후군 환자의 치주질환 원인균의 출현율,"다운증후군 환자는 치주질환의 진행이 빠르고 치주조직의 파괴가 심하다. 다운증후군 환자의 치주질환 원인균의 출현율을 알아보고자 7~19세 다운증후군 환자 27명과 대조군으로 나이가 비슷한 정신지체자 27명을 대상으로 치태지수와 치은염 정도를 나타내는 치은지수를 측정하고 치은연하 치태에 존재하는 P. gingivalis, T. forsythia, T. denticola, F. nucleatum, A. actinomycetemcomitans균을 중합효소연쇄반응을 이용, 검사하고 다음과 같은 결론을 얻었다.
1. 다운증후군 환자와 대조군의 치태지수와 치은지수간에 통계적 유의성은 없었다(p>0.05).
2. 다운증후군 환자에서 F. nucleatum의 출현율이 96.3%로 가장 높았으며 그 다음이 T. forsythia 74.1%, P. gingivalis는 63.0%였으며 A. actinomycetemcomitans는 55.6%, T. denticola는 40.7%로 출현하였다. 정신지체자는 다운증후군 환자와 비슷한 순서로 치주질환 원인균이 출현하였다. 다운증후군 환자가 대조군에 비해 T. denticola를 제외한 4종의 균에서 놓은 비율로 나타났으나 치주질환 원인균 출현율에서 유의한 차이를 나타내지 않았다(p>0.05).
3. 연령에 따른 연구에서 7~10세군에서 다운증후군환자의 P. gingivalis는 16.7%로 낮은 출현율을 보였으나 연령의 증가에 따라 출현율이 평균 63.0%로 높아졌다. 반면 A. actinomycetemcomitans균은 7~10세군부터 83.3%로 높은 비율을 보였다(p<0.05). 같은 연령대에서 다운증후군 환자는 대조군에 비해 치주질환 원인균의 출현율이 더 높은 경향을 보였으나 A. actinomycetemcomitans를 제외하고는 통계적인 유의차를 보이지 않았다(p>0.05).
4. P. gingivalis, T. forsythia, T. denticola가 함께 나타난 경우는 다운증후군 환자와 대조군 모두 33%를 나타내었다. red complex에 A. actinomycetemcomitans까지가 나타난 경우는 다운증후군 환자에서 22%, 대조군에서 14%로 다운증후군 환자에서 더 높았다.
이상의 결과를 요약해보면 다운증후군 환자군과 정신지체자 대조군 모두에서 치주질환 원인균이 어린 시기부터 매우 높게 출현하였으나 전체적인 두 군간 치태지수, 치은지수, 치주질환 원인균 출현율에서 유의한 차이를 나타내지 않았다. 하지만 A. actinomycetem comitans균은 7~10세군 다운증후군 환자에서 대조군에 비해 높은 비율을 보였다.",김선미,2005,https://www.riss.kr/link?id=A342915
"일부 시판음료의 영양성분, 당도 및 pH 평가","음료 섭취의 증가는 비만, 당뇨, 심혈관계질환 등 각종 성인병 발생과 같은 전신질환의 원인으로 알려져 있으며, 치아우식증과 치아침식증과 같은 구강질환의 원인으로도 구강건강에 있어 가장 큰 위험요인이다. 본 연구의 목적은 구강건강증진을 위한 영양교육에 있어 음료 선택 시 영양표시에 대한 올바른 정보를 제공하고, 음료 섭취에 따른 구강건강 관련된 영양성분 및 위험요인을 평가하기 위해 수행하였다. 총 7종 52개로 탄산음료 14제품, 혼합음료 13제품, 과채음료 11제품, 유음료 5제품, 과·채주스 4제품, 액상커피 3제품, 액상차 2제품이 본 연구에 사용되었으며, 음료의 영양성분표시, 당도, pH를 측정하여 분석하였다. 영양성분표에 의한 음료 1회제공량 당 당류의 함량 분석결과, 유음료가 26.6g으로 가장 높게 나타났으며, 액상차가 13.0 g으로 가장 낮았다. 당류의 에너지 섭취량을 10% (50 g)미만으로 분석한 결과, 유음료와 탄산음료가 각각 53.2%DV, 50.0%DV로 1회제공량 당 50% 이상의 당을 함유하는 것으로 나타났다. 당도 조사에서는 유음료가 18.3%로 가장 높았으며, 과·채주스 12.2%, 탄산음료 10.3%, 액상차 9.7%, 과·채음료 9.0%, 혼합음료 8.0%, 액상커피 6.5% 순이었다. 음료의 pH측정결과 탄산음료가 3.0으로 가장 강한 산성을 나타내었고, 유음료는 6.8로 나타났다. 본 연구결과를 통해 구강보건교육시 영양교육에 있어 영양표시에 대한 올바른 정보제공 및 음료 섭취에 따른 구강질환 발생 가능성에 대한 알맞은 정보를 제공할 수 있을 것이다.",전미경 ( Mi-kyoung Jun ),2016,https://www.riss.kr/link?id=A102575357
구강건강상태와 류마티스 관절염의 관련성,"본 연구는 구강건강상태가 전신질환에 미치는 영향을 알아보려는 목적 아래 KNHANES 제6기 1차년도(2013년) 자료를 활용하여 19세 이상 성인을 대상으로 구강건강상태와 류마티스 관절염의 관련성을 파악하였고, 다음과 같은 결과를 도출하였다. 류마티스 관절염과 치주상태 관련성을 교차분석으로 확인한 결과 통계적으로 유의한 관련성이 나타나지 않았으며, 류마티스 관절염과 치아상실은 통계적으로 유의한 관련성을 보였다(p=0.001). 류마티스 관절염에 미치는 영향을 알아보기 위해 로지스틱 회귀분석을 실시하였다. 치주상태는 류마티스 관절염에 미치는 영향이 없는 것으로 나타났고, 치아상실의 개수가 19∼28개인 사람은 0∼8개인사람보다 류마티스 관절염의 위험이 약 3배, 9∼18개인 사람은 0∼8개인 사람보다 류마티스 관절염의 위험이 약 2배높은 것으로 나타나 치아상실 개수가 많을수록 류마티스 관절염의 위험성이 높은 것으로 나타났다(p＜0.05). 치주상태와 치아상실을 동시에 로지스틱 회귀모델에 적용하여 분석한 결과 같은 결과를 나타냈으며, 통제변수를 보정한 로지스틱 회귀분석결과는 통계적 유의성이 나타나지 않았다. 골밀도 검사를 비롯한 임상검사와 약 복용 등의 염증상태에 대한 진행 정도를 파악하고 보다 체계적인 분석이 이루어져야 할 것이며, 구강건강상태와 류마티스 관절염의 관련성에 관한 양방향성 연구가 활발히 진행되어 두 질환 사이의 명확한 매커니즘이 규명되어야 할 것이다.",최은실 ( Eun Sil Choi ),2015,https://www.riss.kr/link?id=A101248906
탄산음료의 법랑질 침식효과에 대한 연구,"현재 시판중인 대부분의 음료가 산성을 띤다는 사실은 이미 잘 알려져 있으며 이러한 산성의 음료 음용의 증가는 우려할 만한 수준으로 치아 침식증을 촉진할 것으로 생각된다.
따라서 본 연구는 어린이들이 비교적 일상적으로 쉽게 접하는 탄산음료 중 가장 보편화된 한 종을 택하여 치아와의 노출과 노출빈도에 따른 법랑질의 침식정도를 조사 분석할 목적으로 시행되었다.
탈락 시기의 건전한 유치를 발거하여 두 개의 군, 즉 magnetic stirrer에 의해 진동(agitation)을 받은 군과 그렇지 않은 군으로 나뉘었고 나뉜 군들은 또 각각 콜라에의 노출빈도에 따라 3개의 군으로 나뉘었다.
각각의 군들은 신선한 콜라에 5분씩 노출되었으며 노출 전과 후에 증류수에 의해 세척되었고 시편의 노출이 이루어지지 않는 시간에는 생리 식염수에 보관한 후, 인공적으로 침식을 유발시켰을 때 나타나는 양상을 표면미세경도측정법으로 분석하여 다음과 같은 결론을 얻었다.
1. 본 실험에 사용된 콜라의 산도는 평균 pH 2.5로서 치아 침식증을 유발하기에 충분한 수준이었다.
2. 콜라에 의한 침식유발 후의 법랑질 표면경도는 대조군에 비해 모든 시료에서 감소되었다(p＜0.05). 침식유발 시간이 경과함에 따라 법랑질 표면경도는 모든 실험군에서 초기에 급격히 낮아지다가 이후에는 그 정도가 덜해지는 양상을 보였다.
3. 법랑질을 콜라에 노출시킨 빈도가 증가함에 따라 법랑질 표면경도는 감소되었다.
4. 콜라에 진동(agitation)을 가하여 탄산가스를 증가시킨 결과 법랑질의 표면경도는 진동을 가하지 않은 군에 비해 감소되었다(p＜0.05).",이경호,2005,https://www.riss.kr/link?id=A45005602
응급실에서 소아외상환자의 치과적 처치를 위한 케타민 진정법의 사용 현황,"어린이는 쉽게 넘어지거나 부딪혀 구강안면부의 손상을 흔히 경험하며, 응급치료를 필요로 한다. 이러한 환자들에서는 공포와 불안으로 인해 협조도가 불량해지게 된다. 케타민은 일반 응급실에서 어린 환자의 치료와 검사를 위한 진정제로 잘 알려져 있다. 본 연구에서는 원주 세브란스 기독병원 응급실에서 케타민을 이용한 진정법을 시행한 현황에 대해 알아보았다.
2010년 1월에서 2014년 5월까지 치과적 응급처치를 위해 의뢰된 만 18세 이하의 환자들의 기록이 수집되었으며, 연령, 성별, 시행된 치과적 치료, 케타민 진정법 시행 여부에 대한 자료를 분석하였다. 총 659명의 소아 환자가 치과적 응급처치를 필요로 하였으며, 이중 118명이 케타민 진정법이 시행되었다. 조사 결과 열상의 봉합을 시행한 환자에서 진정법이 더 많이 시행되었고, 연령이 어릴수록 진정법이 시행되었던 상관성이 확인되었다. 케타민 진정법은 치과의사 단독으로 사용하지 않아야하지만, 응급실에서 1차 진료를 담당하는 치과의사는 케타민 진정법이 적용된 환자들을 쉽게 접할 수 있다. 따라서, 응급실에서 근무하는 치과의사는 케타민의 임상적 효과, 고려사항, 그리고 발생 가능한 합병증 및 대처 방안에 대해 숙지하고 있어야 할 것으로 사료된다.",차윤선,2015,https://www.riss.kr/link?id=A100485447
자일리톨 껌 저작에 의한 유치 우식증 예방효과 비교분석,"자일리톨 껌 저작에 의해 어린이들의 유치우식증 예방효과를 평가하기 위하여 3개 어린이집에서 만 5~6세 어린이 123명을 최종 선정하였다. 자일리톨 껌을 씹는 군(42명), 솔비톨 껌을 씹는 군(42명) 그리고 아무런 조치도 취하지 않은 대조군(39명)으로 나누어 12개월 동안 하루 5회씩 껌을 저작하게 한 다음 구강검사와 우식활성 검사를 통해 유치우식증 예방효과를 비교 분석 하였다. 12개월 동안 대조군 어린이들에서는 dfs index가 5.19개면 증가하였고 솔비톨 군에서는 2.96개면이 증가한 반면 자일리톨 군에서 2.62개면이 증가하여 대조군에 비해 자일리톨 군은 47.1%가 감소하였고 솔비톨 군에서는 43.6%가 감소한 것으로 나타났다. Dentocult-SM strip 검사 및 site strip 검사 결과 모두에서 대조군에 비해 자일리톨 껌과 솔비톨 껌을 씹은 군의 아동들에서 우식활성도가 공히 감소되었다. 따라서 본 연구와 같은 집중적인 자일리톨 껌의 저작 사업은 대상자들과 부모들의 사업에 대한 호응도가 높았고, 사업 시행이 다른 국책 구강보건사업에 비해 용이하였으며 특히 유치우식증 예방적인 측면에서 효과적인 것으로 나타났다.",한성근,2004,https://www.riss.kr/link?id=A40013111
"일부 지역 청각,언어장애인의 구강위생관리행태에 관한 조사 연구","1 공지예, ""청각장애인의 생활실태와 삶의 질 향상을 위한 복지서비스 욕구조사 연구"" 명지대학교 2005",이정희 ( Jung Hee Lee ),2010,https://www.riss.kr/link?id=A82388748
