
¡¶üÜğ¨Ò®Ìè¡·ÀÇ ÜââÃìµÖå¿¡ ÓßÇÑ æÚÏ¼,"As a result, a study of bonshu(ÜââÃ) theory of Huangdineijing(üÜğ¨Ò®Ìè) was led to the next conclusions.
1. In Huangdineijing(üÜğ¨Ò®Ìè), the connection of bonshu(ÜââÃ) flows and jingmak(ÌèØæ)'s can be compared to that of the earth's surface water flows and subterranean's.
Bonshu(ÜââÃ) exists on qi flows which is formed in consquence of running over of twelve jingqi(ÌèÑ¨) and fifteenth luoqi(Õ©Ñ¨) in four extremities.
2. While jingluo(ÌèÕ©) is composed of twelve mai(Øæ), bonshu(ÜââÃ) is composed of eleven mai(Øæ), it is beause xin(ãı) has no disease and also has no bonshu(ÜââÃ).
Bonshu(ÜââÃ) is used to treat disease of viscera and entrails, and frequently used in autumn and winter, also used when the outer layer or the inner layer of human body is become a fighting area of zhengxie(ïáŞ÷).
Physiologically, jingmai(ÌèØæ) nourishes the whole body and it's acting is prospered in four extremities. Bonsu(ÜââÃ) flows is just described as the process of gathering and storing the fruits of jingmai(ÌèØæ)'s acting.
3. In wuxing(çéú¼) attachment of bonshu(ÜââÃ), from a ti(ô÷) point of view, jing(ïÌ) xing(ç´) shu(êä) jing(Ìè) he(ùê) is oderly attached to shui(â©) mu(ÙÊ) huo(ûı) tu(÷Ï) jin(Ğİ), and from a yong(éÄ) point of view, which is divided into two, bonshu(ÜââÃ) of yang(åÕ) area is oderly attached to jin(Ğİ) shui(â©) mu(ÙÊ) huo(ûı) tu(÷Ï), while bonshu(ÜââÃ) of yin(ëä) area is oderly attached to mu(ÙÊ) huo(ûı) tu(÷Ï) jin(Ğİ) shui(â©).
4. Huangfu mi(üÕÜË ÚÍ) had stated the bonshu(ÜââÃ) of xin(ãı) in Jiayijing(Ë£ëàÌè) his writings, and therefore have faded the meaning of the concept of Huangdineijing(üÜğ¨Ò®Ìè)'s ""only xin(ãı) has no bonshu(ÜââÃ)"".
Hua Shou(Íè áø) had stated bonshu(ÜââÃ) in oder of jingmai(ÌèØæ) flows in his writings, Shisijingfahui(ä¨ŞÌÌèÛ¡ıÆ) and therefore completely have faded the meaning of Huangdineijing(üÜğ¨Ò®Ìè)'s bonshu(ÜââÃ).",ì°é»Ûô,1992,https://www.riss.kr/link?id=A19724997
ãÀÔÑ á¶ßæÍÅ,"A STUDY OF SI-DONG AND SO-SENG DISEASES
Yong Cheol shin, O.M.D., Woo Yong Seong, O.M.D., Sok kyun kang, O.M.D.
department of oriental medicine, national center, seoul, korea
Studying on si-dong and so-seng diseases recorded in lyeong-chu, kyeong-maek, the authors take out the results as follows.
1. si-dong diseases are caused by chang-fu organs(íôİ°) itself and separately concerned with chin(òĞ) hyeol(úì), ki(Ñ¨), ek(äû) keun(ĞÉ), kol(Íé).
2. so-seng diseases are caused by invasions of six climatic conditions in excess as pathogenic factors(ë»ëâ) on the meridiain and collaterals.
3. so-dong diseases are mainly chronic and deficient syndromes.
4. so-seng diseases are mainly excessive and acute syndromes.",ãéé»ôÍ,1993,https://www.riss.kr/link?id=A19725026
"ºòµ¥ÀÌÅÍ¸¦ È°¿ëÇÑ È­º´, ¿ì¿ïÁõ, ÀÚ»ìÀÇ °Ë»ö »ó°ü°ü°è ºĞ¼®: 2016³âºÎÅÍ 2022³â±îÁö","Objectives: The aim of this study was to analyze correlations among searches of hwa-byung, depression, and suicide using big data.
Methods: Keywords searches were performed using both Google Trends and Naver Data Lab on December 13, 2022. From 2016 to 2022, search results for keywords ¡®hwa-byung¡¯, ¡®depression¡¯, and ¡®suicide¡¯ were extracted with a score between 0 and 100 in terms of relative search popularity (RSP). Monthly time analysis, correlation analysis, and regional analysis were then conducted for these scores.
Results: Regardless of the search period, RSP for both portal sites was in the order of ¡®suicide¡¯, ¡®depression¡¯, and ¡®hwa-byung¡¯. Over time, search for ¡®depression¡¯ tended to increase in Google (slope: 0.0092), whereas search for ¡®hwa-byung¡¯ showed a slight increase in Naver (slope: 0.0024). Correlation coefficient for search terms ¡®depression¡¯ and ¡®suicide¡¯ was 0.3969 in Google Trends and 0.4459 in Naver Data Lab, showing clear positive correlations. On the other hand, there was little correlation between search results of ¡®hwa-byung¡¯ and ¡®depression¡¯ or between ¡®hwa-byung¡¯ and ¡®suicide¡¯. However, compared to males, females showed higher positive associations between search results of ¡®hwa-byung¡¯ and ¡®depression¡¯ and between ¡®hwa-byung¡¯ and ¡®suicide¡¯. Search terms ¡®depression¡¯ and ¡®suicide¡¯ showed high RSPs in most regions in South Korea. However, ¡®hwa-byung¡¯ had distinct regional differences in terms of RSP.
Conclusions: Results of this study will help us understand Korean public¡¯s perception of the relevance of hwa-byung, depression, and suicide and plan future research in this topic. In addition, findings of this study may provide future public health implications for reducing the high suicide rate in Korea.",±ÇÂù¿µ,2023,https://www.riss.kr/link?id=A108536540
"Àı°³Ä§°ú ¹Ì¼¼ÇÇºÎÄ§, ¾àÃÊÇÊ¸µÀ» ÀÌ¿ëÇÑ À§Ãà¼º ¿©µå¸§ ÈäÅÍ Ä¡·á 7·Ê ÀÓ»óº¸°í","Objectives : The purpose of this study is to present the effect of subcision, microneedle therapy system and herbal peeling therapy which is treatment of Korean medicine to atrophic acne scar patients.
Methods : We administered subcision, microneedle therapy system and herbal peeling therapy to atrophic acne scar patients and tested the results by Qualitative Global Acne Scarring Grading System and Korean Acne Grading System as well.
Results : After the treatment, all of the patients showed improvements in Qualitative Global Acne Scarring Grading System and Korean Acne Grading System as well. Qualitative Global Acne Scarring Grading System of patients changed from grade 2.71¡¾0.71 to grade 1.14¡¾0.86 along with the change of Korean Acne Grading System from grade 1.57¡¾0.57 to grade 1.00¡¾0.00.
Conclusions : Subcision, microneedle therapy system and herbal peeling therapy may be effective in the treatment of moderate to severe acne scars, and could be applied in clinical practice.",±èÇö¼º,2023,https://www.riss.kr/link?id=A108721401
¼Õ Á¶ÀÛÀ» ÅëÇÑ À½¾ÇÄ¡·á ÇÁ·Î±×·¥ÀÌ °æµµ¿ì¿ïÁõ ¿©¼º³ëÀÎÀÇ ¿ì¿ï°ú ÀÎÁö¿¡ ¹ÌÄ¡´Â ¿µÇâ,"Objectives: The purpose of this study is to investigate the effect of music therapy combined with hand manipulation on depression and cognition in elderly women with mild depression.
Methods: In order to investigate the effects of a music therapy program through hand, 20 elderly women with a GDS-K score of 14-18 were selected among women aged 65 to 84 living in Busan. The 10 subjects in the experimental group were given the music therapy program 3 times a week for 4 weeks, 12 sessions, and the 10 subjects in the control group were not given it. GDS-K and K-MoCA were performed before and after the experiment, and data analysis was performed through Wilcoxon's test using the SPSS 24.0 statistical package program.
Results: The music therapy program through hand manipulation is effective in reducing depression in elderly women with mild depression, and there was a significant decrease. The sub-domains of depression, such as tension and depressive emotions, life dissatisfaction, lethargy, cognitive difficulties, low energy, and loss of motivation, were significantly reduced. In addition, it has an effect on cognition, and it significantly increased in attention, delayed recall ability, which are sub-domains of cognition. There is a significant difference in depression between the experimental group and the control group, and there is a significant difference in cognition between the two groups.
Conclusions: The music therapy program with hand manipulation has a positive effect on depression and cognition in elderly women with mild depression.",ÀÌÁ¤¹Î,2022,https://www.riss.kr/link?id=A108249385
¸ğÀ¯¼öÀ¯¿Í Áö´É°úÀÇ ¿¬°ü¼º¿¡ ´ëÇÑ ÃÖ±Ù ÀÓ»ó¿¬±¸ µ¿Çâ,"Objectives: The purpose of this study is to investigate recent clinical studies on Association between Breast Feeding and Intelligence in Korea and other countries. We have analyzed the studies on Association between Breast Feeding and Intelligence within cohort study for 5 years (from 2011 to 2015). Methods: The search database includes Oasis, KTKP (Korean Traditional Knowledge Portal), Medline, Embase, and Cochrane library. To narrow the search, the following key search terms were used: ¡®Breast Feeding, intelligence, development¡¯. The search was limited to the publication date from 2011 to 2015. 9 Cohort study and 1 cross-sectional study were selected for analysis. Results and Conclusions: Eight of the nine cohort studies were significantly higher in the breastfeeding group, While the other study concluded that breastfeeding was higher in breastfeeding group, but not significantly different from breastfeeding and non-breastfeeding. Breast Feeding is related to improved performance in intelligence tests. The longer you breastfeed, the higher intelligence will be.",°æÈñ´ëÇĞ±³ ´ëÇĞ¿ø ÀÓ»óÇÑÀÇÇĞ°ú ¼Ò¾Æ°úÇĞ±³½Ç(Graduate school of East-West Medical Science Kyung Hee University),2016,https://www.riss.kr/link?id=A106450972
°æÇÇÀû °ü»óµ¿¸ÆÁßÀç¼ú ÈÄ ÀçÇùÂø ¿¹¹æ¿¡ ´ëÇÑ ÇÑ¾àÀÇ È¿°ú : ¹«ÀÛÀ§¹èÁ¤ ´ëÁ¶±º ÀÓ»ó¿¬±¸¿¡ ´ëÇÑ Ã¼°èÀû ¹®Çå°íÂû ¹× ¸ŞÅ¸ºĞ¼®,"Objective: This study was conducted to investigate the preventive effect of herbal medicines on restenosis after percutaneous coronary intervention (PCI) by reviewing randomized controlled trials (RCTs). Methods: RCTs were searched for herbal medicine treatment after PCI using eight online databases (PubMed, CNKI, Wanfang, J-STAGE, OASIS, ScienceON, KTKP, and KISS). Studies that confirmed restenosis through coronary angiography at follow-up were selected according to the inclusion and exclusion criteria. The primary outcome was the restenosis rate, and the secondary outcome was the angina recurrence rate. Data were extracted from the final selected studies according to the research methodology and then analyzed with Review Manager 5.4.1. Study quality was assessed using Cochrane's risk-of-bias (RoB) tool. Results: Of the 252 papers obtained through the primary search, nine studies that met the selection criteria were finally selected. In these nine studies, herbal medicine combined with western medicine was used for the experimental group, and western medicine treatment was used alone for the control group. The meta-analysis result revealed that the restenosis rate and angina recurrence rate were significantly lower in the experimental group than in the control group (RR=0.34, 95% CI: 0.22-0.53, p<0.00001, I<sup>2</sup>=0% and RR=0.47, 95% CI: 0.29-0.78, p=0.004, I<sup>2</sup>=0%, respectively). Furthermore, the quality of studies assessed by Cochrane's RoB was low. Conclusions: This study showed that the combined treatment of herbal medicine and western medicine was effective in preventing restenosis and angina after PCI. As the number of papers included in this study was small, a large number of high-quality clinical studies should be considered in the future.",Çã³ª¿¬,2023,https://www.riss.kr/link?id=A108713586
¼¶À¯±ÙÅëÀÇ ÅëÁõ ¹× ¿ì¿ïÁõ»ó¿¡ ´ëÇÑ Ä§Ä¡·áÀÇ È¿°ú¼º: Ã¼°èÀû ¹®Çå°íÂû ¹× ¸ŞÅ¸ºĞ¼®,"Objectives: To review studies evaluating effects of acupuncture on pain and depressive symptoms in fibromyalgia.
Methods: Quantitative evidences (RCTs) were systematically reviewed. Literature were searched for a combination of fibromyalgia and depression (The Cochrane Central Register of Controlled Trials (CENTRAL), EMBASE, medline (via PubMed), Kmbase, KISS, ScienceON, OASIS, CiNii, CNKI). Quantitative research findings were critically appraised by Cochrane risk of bias (RoB) tool and pooled. Meta-analysis was then conducted using Review Manager (RevMan) 5.4.
Results: Eighteen studies were selected. American College of Rheumatology (ACR) classification criteria for Fibromyalgia Syndrome was most frequently used as diagnostic criteria for fibromyalgia. As for outcome measurement, Hamilton Rating Scale for Depression (HAMD), Visual Analog Scale (VAS), and Total Effective Rate (TER) were used most commonly. Meta-analysis of ten studies revealed that both Depression and VAS scores of the Acupuncture+Western Medicine group were significantly lower than those of Western Medicine group (Depression: SMD, -0.94, 95% CI, -1.17 to -0.70; VAS: MD, -1.51, 95% CI, -1.83 to -1.19). Also, TERs of both Acupuncture group and Acupuncture+Western Medicine group were significantly higher than those of the Western Medicine group (OR: 2.38, 95% CI: 1.29 to 4.41; and OR: 7.40, 95% CI: 3.41 to 16.07). There was no significant difference in Depression or VAS score between the Acupuncture Group and the Western Medicine Group.
Conclusions: Acupuncture might be an effective option for pain and depressive symptoms of fibromyalgia when it is combined with Western Medicine treatment. For more accurate results, more types of Korean medicine treatment should be conducted.",ÀÌÇö¿ì,2023,https://www.riss.kr/link?id=A108641114
AMPK/Sirt1/PGC-1¥á ½ÅÈ£ Àü´Ş °æ·ÎÀÇ Á¶ÀıÀ» ÅëÇÑ ¿À¹ÌÀÚ ÃßÃâ¹°ÀÇ ºñ¸¸ °³¼± È¿°ú,"Objectives : Although the anti-obesity effect of Schizandrae Fructus water extract has been demonstrated, its underlying mechanism is still unclear. Therefore, we aimed to evaluate the anti-obesity effect of Schizandrae Fructus water extract through the p-AMP-activated protein kinase (p-AMPK), sirtuin1 (Sirt1), and peroxisome proliferatoractivated receptor-gamma coactivator 1¥á (PGC-1¥á) signaling in 60% high-fat diet (HFD)-induced obese mouse model.
Methods : Male C57BL/6 mice were divided into four groups. The Normal group was fed a normal diet and the obese groups were fed 60% HFD. Except for the Control group, the GG group was supplemented with 0.5% Garcinia gummigutta and the SCW group was supplemented with 0.5% Schizandrae Fructus water extract. After 6 weeks, obesityrelated biomarkers in serum were measured and the expressions of protein for lipid-related factors in liver tissue were analyzed by western blot.
Results : Treatment with SCW significantly down-regulated body weight compared to the Control group. SCW downregulated levels of triglyceride and total cholesterol in serum and significantly increased p-AMPK, Sirt1, and PGC-1¥á in liver tissue. In addition, the expressions of fatty acid oxidation-related proteins such as peroxisome proliferatoractivated receptor ¥á (PPAR¥á), carnitine palmitoyltransferase 1A (CPT-1A), uncoupling protein 1 (UCP1), and uncoupling protein 3 (UCP3) were significantly up-regulated. However, fatty acid synthesis-related proteins including sterol regulatory element-binding protein-1 (SREBP-1), phospho-Acetyl-CoA Carboxylase (p-ACC), and fatty acid synthase (FAS) were significantly down-regulated.
Conclusions : Taken together, SCW treatment showed anti-obesity effect by regulating both fatty acid oxidation-related and fatty acid synthesis-related proteins through AMPK/Sirt1/PGC-1¥á signaling in 60% HFD-induced obese mice. 1",ÀÌ¼¼Èñ,2022,https://www.riss.kr/link?id=A108076141
Àç¹ßµÈ ÃéÀå¾Ï È¯ÀÚÀÇ ÇÑÀÇ ±â¹İ ÅëÇÕ ¾Ï Ä¡·á¿¡ ´ëÇÑ Áõ·Êº¸°í,"Objectives: To report recurrent pancreatic cancer treated by Korean medicine based-integrated oncology treatment, who is improved quality of life without progression of cancer Method: A 63-year-old female patient diagnosed with recurrent pancreatic cancer in April, 2022 received Chemotherapy with Korean medicine based integrative oncology treatment. Radiologic outcome was assessed by Abdomen Computed Tomography (CT) based on Response Evaluation Criteria In Solid Tumors (RECIST). Clinical outcomes were assessed by National Cancer Institute Common Terminology Criteria for Adverse Event (NCI-CTCAE), Eastern Cooperative Oncology Group (ECOG), Numeric Rating Scale (NRS) Result: During 2months of treatment, Cancer size was stable in Abdominal CT. Chief complaints, Abdominal pain and dyspepsia, were improved and ECOG score was improved from grade 2 to 1. There were no toxicity on laboratory test and no side effects of grade 3 or higher on NCI-CTCAE.
Conclusion: This report shows that Korean medicine based integrative oncology treatment might contribute to synergetic effect to Chemotherapy and improvement of quality of life",±èÀç¿í,2022,https://www.riss.kr/link?id=A108395246
