
經脈體系의 形成과 發展에 關한 硏究(Ⅰ),오늘날의 經絡體系는 『靈樞ㆍ經脈』을 표준으로 삼아 이론을 전개하고 있다. 그러나 馬王堆漢墓出土醫書가 발굴되어 종래의 경락체계에 수정을 가할 필요성이 생기게되었다. 『足脣十一脈灸經』과 『陰陽十一脈灸經』은 서로 演變된 것이 아니고 각자 독립적으로 발전되어 『靈樞』의 경맥이론에 영향을 끼치게 되었다. 즉 向心脈系와 循環脈系로 형성되어 『靈樞』에 반영되었다. 따라서 이러한 과정을 추구한 것이 본 논문에서 전개한 중심과제이다.,孫光洛,1997,https://www.riss.kr/link?id=A40126480
대사량의 측면에서 본 비만,"비만은 근본적으로 에너지 균형의 문제이다. 인체에서의 에너지 균형은 에너지 섭취와 에너지 소비로 이루어지는데, 에너지 섭취는 음식물로부터 탄수화물, 단백질，지방 등 열량 영양소의 공급을 통하여 이루어지고, 에너지 소비는 기초 대사량(BEE) 또는 휴식 대사량(REE), 신체적 활동(physical activity), DIT를 포함한 발열 작용(Thermogenesis)으로 구성되어 있다22). 이 가운데 REE는 전체 에너지 소모량(TEE)의 가장 많은 부분을 차지하기 때문에 조금의 차이라도 오랜시간이 경과하면 결국 상당한 열량의 차이가 축적되어23,24) 체중 조절에 큰 영향을 미치게 되므로 REE의 감소는 비만으로 발전하는 커다란 위험 요소라고 할수 있다 25). 또 체중 감량시 초기에는 감량 속도가 빠르지만 시간이 지나면서 감량 속도가 둔화되는 것이 일반적인 경향인데 이것이 REE의 감소와 밀접한 관련이 있다고 보고되고 있고25-27), 대부분의 비만 치료를 위한 식이 요법에서 보이는 요요 현상 또한 근육량 저하와 필연적으로 그에 따른 REE의 감소로 설명을 하기 때문에28) 체중 조절에 있어서 REE의 의미는 매우 중요하다고 할 수 있다. 따라서 최근의 비만 치료 연구 중에서는 에너지 균형의 항상성 조절 과정 연구가 각광을 받고 있는데, DIT를 포함한 발열 작용을 촉진하는 미토콘드리아의 내막에 존재하는 연합해리 단백(uncoupling protein, UCP) 및 beta adrenergic receptor 등에 대한 연구나 leptin과 melanocortin 등의 중추 피드백 조절 기전에 대한 연구가 그것이다 15,29). 또한 많은 비만 치료 프로그램에서 근육량의 저하를 최소화하고 대사량을 증가시키기 위해서 운동 요법을 병행하고 있으며 필요에 따라서 약물 복용 등의 방법을 사용되고 있는데30) 특히, 현재 흔히 사용되고 있는 Sibutramine은 noradrenaline과 serotonin의 재흡수를 억제하여 교감 신경계를 자극시키고 REE를 상승시키는 사실이 입증되어 체중 감량은 물론 비만의 위험 인자들도 감소시키는 효과도 있는 비만 치료약물로 인정받고 있다 29-31). 한의학적인 관점에서는 이러한 REE의 감소에 따른 비만을 “肥人氣虛”의 개념으로 생각해 볼 수 있을 것이다. 氣란 인체를 구성하고 생명을 유지하는 기본적인 요소로 推動, 溫煦, 氣化作用이 있어 精, 血, 津液등의 생성과 소모, 배설에 이르는 代謝및 相互轉化 作用등을 하게 한다 33). 《素問》〈陰陽應象大論〉34)에서는 ""陽化氣陰成形""이라 하였는데 이는 인체의 氣機를 개괄한 것으로서 ""形""과 ""氣"" 사이의 相互轉化를 氣化機能으로 본 것이라 할 수 있는데 이러한 氣化機能이 REE를 포함한 인체 내 대사 과정을 설명하고 있다고 생각된다. 비만의 원인으로는 대략 氣虛, 濕, 痰, 瘀血, 七情內傷등이 있지만 35.36), 근본적인 병리 상태를 氣虛로 보고, 痰, 濕, 瘀血등은 그의 병리적인 산물이라고 하는 견해가 있다 36, 38). 氣虛의 원인으로는 先天不足, 肺脾腎의 機能失調, 過勞傷, 久病등인데 氣의 생성 부족이나 지나친 소모로 氣不足이 되면 氣의 효능이 감퇴된다 37). 氣란 인체에서 일어나는 모든 생명 활동의 원동력으로 위에서 언급한 氣機의 不足을 氣虛로 보고 해석한다면 氣虛한 경우에는 에너지 생성에 장애가 발생하거나 대사기능의 저하가 나타날 수 있으며, 이는 결국 비만에 이르게 되는 주요한 병리기전이 된다고 볼 수 있다 38). 특히 氣의 溫煦작용이 약해지면 陽虛로 발전 되어 寒證과 機能低下상태가 나타나는 것을 ‘체내 열 발생 저하 상태’로 해석해 볼 수 있을 것이다 37,38). 그러나 이러한 비만 치료에 있어서 체중을 감소시키고 특히 감량 후 재증가를 방지함에 최대 관건이 되는 REE에 관련된 한의학적 연구는 거의 없는 상태이다. 이와 관련되어 최근 연구되고 있는 한약재로는 마황, 오수유, 황기, 인삼, 홍삼 등이 있다 39-41). 이 중오수유(Evodia rutaecarpa)는 溫中燥濕하는 한약재로 함유 성분 중 Evodiamine이 주목을 받고 있는데 이것은 지방 분해 효과가 인정된 Capsaicin과 유사한성질로 교감 신경계의 카테콜라민의 분비를 촉진시키고 수용체의 감수성을 증진시켜 지방 분해 효과가 있음이 확인되었다 40). 또한 마황(Ephedra sinica)은 發汗散寒하는 효능이 있는 한약재로 이의 성분 중의 Ephedrine은 강력한 교감 신경 흥분제로서 중추 신경계, 심혈관계에 작용하여 짧은 기간에 중등도의 체중감소가 인정되어 비만 치료에 응용되고 있다 41). 현재까지의 연구는 몇몇 한약재의 성분에 대한 것에 불과하나, 앞으로는 체내 대사율을 증가시키고 교감신경계를 자극하여 발열작용을 하는 측면에서 비만 치료에 효과가 있는 한약재들에 대한 더 폭넓은 연구가 필요하리라 생각되며, 아울러 溫裏之劑나 補氣之劑와 같은 약물들이 이러한 관점에 부합하리라 기대된다.",김수진 ( Su Jin Kim ),2003,https://www.riss.kr/link?id=A100003472
급성기관지염의 약물중재 임상시험에 대한 체계적 문헌 고찰,"1 김관일, ""감기 임상시험 가이드라인 제정을 위한 최신 임상시험 연구 분석"" 대한한방내과학회 37 (37): 109-134, 2016",유이란(YeeRan Lyu),2017,https://www.riss.kr/link?id=A103045091
"고혈압, 고지혈증, 퇴행성 관절염을 동반한 비만 환자의 증례보고","비만이란 음식물로 섭취한 칼로리가 신체활동으로 소모된 칼로리보다 많은 경우 잉여 칼로리가 체지방으로 축적된 경우로서 심장병, 고혈압, 동백경화증, 고지혈증, 뇌졸중, 당뇨병, 지방간 등의 유병율을 높여 현대인의 건강을 위협하는 중요한 원인이 된다고 알려지고 있다. 최근 저자는 비만과 고지혈증, 슬관절의 퇴행성 관절염으로 체중증가, 슬관절통, 하지방산통을 주소로 하는 환자 1례를 초저열량식이요법, 한약요법, 운동요법과 한방물리요법을 시행한 결과 체중감소와 체성분의 변화, 혈액학적 변화, 자각증상의 개선의 효과를 보았기에 치료내용과 경과를 보고하는 바이다.",김동열,2001,https://www.riss.kr/link?id=A105208432
"""온병조변""에서 ""임증지남의안"" 의 온병관련 의안을 변형하고 첨삭한 방법","The Wenbing tiaobian(온병조변) is the first systematic disease monograph on warm factor disease(온병), written by Wu Jutong(오국통). It was most influenced by the Linzheng zhinan yian(임증지남의안), which was a book of gathering medical case records of Ye tianshi(엽천사). Therefore, there are plenty of quotations from this book in the Wenbing tiaobian. This study investigates the quotations from Linzheng zhinan yian, especially focusing on the way of transformation and correction of the original medical case records on the warm factor disease. The results are as follows: About 104 of 265 provisions in the Wenbing tiaobian were directly quoted from the Linzheng zhinan yian. The provisions quoted from Ye's case records were rearranged according to the categories of the triple burners pattern differentiation(삼초변증) and the causes of warm factor disease. And eve case record was transformed into more general descriptive form in order to put it into the book. For example, the specific figures, and some patients' peculiar symptoms, causes, sex and disease names were omitted. On the other hand, the tongue moss, pulse shape and some symptoms, which were necessary for differentiating patterns, were added. In the case of the formula, some formulas originated from Ye's case records were named newly. And the dose of each herb consisting a formula was determined, and therapeutic principle, taking method and detailed explanation was added to every formula.",김한성,2005,https://www.riss.kr/link?id=A105656190
해부학 개념이 들어있는 아리스토텔레스의 철학,"아리스토텔레스는 이론적 철학자와 논리학자로 잘 알려져 있으나, 그는 위대한 자연주의 과학자이었다. 사실 그는 현대적 의미에서 최초의 해부학자이며 해부학을 학문들 중 하나의 전문분야로 이끌어낸 해부학의 창시자이었다. 비록 그가 사람을 직접 해부하지는 않았지만, 그는 태아의 일부를 관찰하였고 동물들의 계통학적 분류를 시도하였다. 그가 남긴 사람해부학의 업적과 아울러 동물비교해부학의 업적은 헤아릴 수 없이 많다. 그는 장기들을 정확하게 묘사하였고 과학적 근거를 제시하는 해부학적 연구방법의 토대를 확립했다. 또한 그는 오늘날에도 여전히 사용되는 전문 해부학 용어들을 만들었으며, 그의 관찰 기법은 너무나 정교하여 놀랄 정도이다. 비록 그의 생리학 개념에 많은 오류가 있었지만, 장기들과 몸의 각 부위에 대한 형태학적 설명은 당시에 그가 최고였다.
이 연구의 목적은 아리스토텔레스 철학이 해부학과 밀접한 관련이 있음을 논의하는 데 있다. 아리스토텔레스가 연구한 해부학 분야의 업적을 살펴보고, 그의 해부학 연구의 오류를 알아보고, 해부학 개념이 들어있는 아리스토텔레스의 철학에 대하여 논의하는 것이다. 또한 오늘날 해부학자들에게 아리스토텔레스가 해부학의 위대한 선구자로 그의 훌륭한 업적을 알리고자 하는 것이다.",송창호(Chang Ho Song),2015,https://www.riss.kr/link?id=A101983305
삼차-얼굴신경연결과 얼굴표정근육 운동의 해부학 및 기능적 고찰,"본 연구는 기존의 문헌고찰을 통해 삼차-얼굴신경 연결이 얼굴표정근육에 미치는 신경해부학 및 기능 해부학적 관계를 고찰하기 위해 시행되었다. 삼차신경의 눈신경, 위턱신경 그리고 아래턱신경은 머리뼈의 해부학적 구조를 통해 얼굴 부위로 빠져나와 얼굴 피부와 근육에 분포하여 감각성분을 제공한다. 특히 눈신경의 눈확위신경(안쪽가지와 가쪽가지), 위턱신경의 눈확아래신경(아래눈꺼풀가지, 바깥코가지, 안쪽코가지, 가쪽위입술가지, 안쪽위입술가지) 그리고 아래턱신경의 턱끝신경(입꼬리가지, 가쪽아래입술가지, 안쪽아래입술가지, 턱끝가지)은 여러 가지를 내어 얼굴의 넓은 부위에 분포한다. 얼굴신경은 붓꼭지구멍을 빠져나와 다섯 개의 가지(관자가지, 광대가지, 볼가지, 턱모서리가지 및 목가지)로 나뉘어 얼굴표정근육에 분포한다.
삼차신경과 얼굴신경은 얼굴부위에서 연결을 이루어 ‘다른 뇌신경기원 신경연결’을 이룬다. 이러한 삼차-얼굴 신경연결은 눈부위(눈확위신경과 관자가지), 광대부위(광대신경과 관자 및 광대가지), 아래눈확부위(눈확아래신경과 광대가지), 아래턱뒤부위(귓바퀴관자신경과 얼굴신경줄기), 볼부위(볼신경과 볼가지 및 광대가지) 그리고 턱끝부위(턱끝신경과 볼가지 및 턱모서리가지)에서 관찰된다.
얼굴표정근육은 근막에 둘러싸이지 않은 채로 머리뼈와 피부를 바로 연결하여 정교한 얼굴표정을 나타낸다. 대뇌 피질에서 겉질뇌줄기로를 통해 얼굴신경운동핵으로 전해진 운동정보는 얼굴신경을 통해 얼굴표정근육으로 전해지고, 삼차신경을 통해 얻어진 얼굴부위의 고유감각은 삼차신경감각핵을 통해 시상을 거쳐 대뇌겉질 및 소뇌로 전해지며, 이러한 정보는 얼굴신경이 얼굴표정근육을 정교하게 움직일 때 필요한 정보를 제공한다. 얼굴신경의 운동성분은 삼차-얼굴신경연결을 통해 삼차신경을 타고 얼굴표정근육에 전해지며, 얼굴신경이 분포하는 곳에서 감각신경이 얻어져 삼차-얼굴신경연결을 통해 삼차신경으로 전달될 것으로 생각된다.",양헌무(Hun-Mu Yang),2013,https://www.riss.kr/link?id=A99606145
"총설 : 활성산소, 신체활동, 노화 그리고 항산화제","본 연구는 활성산소의 특성과 신체활동 중 활성산소의 생성 기전을 설명하고, 활성산소로 인해 발생되어지는 노화의 관계를 분석, 이의 방어 체제인 항산화제 기능에 대해 고찰하였다. 고강도 신체활동으로 인한 지나친 산소의 섭취는 인체 내에서 에너지 대사에 필요한 산소와 균형이 깨어져 불안정한 화학구조를 가진 활성산소를 생성한다. 특히 손상노화이론에 입각해 보면 활성산소는 노화의 주요 원인이며 만병의 근원이 된다. 그러나 우리 인체 내에는 이에 대응하는 SOD, CAT, GPX와 같은 항산화 효소 방어체제가 활성산소를 물이나 완전한 산소로 반응시켜 에너지원으로 사용할 수 있도록 하며, 그 외의 비타민, 무기질 등의 항산화제는 활성산소의 해독제와 같은 역할을 한다.",장재봉 ( Jae Bong Jang ),2010,https://www.riss.kr/link?id=A87020022
정체경락(整體經絡) 총론,"인체의 건강과 아름다움을 다루는 분야에서 각각의 학문적 이론과 기술을 통합 적용하는 방안으로 정체경락마사지가 고안되었다. 정체경락마사지는 카이로프락틱의 원리와 동양의학의 경락마사지 원리를 동시에 고려하여 적용하는 원리이다. 이에 대하여 대체요법분야와 피부미용분야에서의 활용 가능성을 타진하고, 과학적 원리를 제시하고자 카이로프랙틱의 원리와 경락이론에 대하여 고찰하였다. 그 결과 카이로프랙틱에서는 골격구조의 개선이 강조되고 경락마사지는 기의 흐름을 조절하여 건강을 회복하는 방법으로써 건강에 도움을 준다. 따라서 카이로프랙틱과 경락마사지의 두 가지의 이론과 기술을 동시에 고려하여 고안된 정체경락마사지는 시간적, 경제적 효율성과 피술자의 만족감을 높일 수 있으며, 심각한 부작용으로부터 자유로운 수기요법으로써 받아들여질 수 있는 것으로 풀이된다.",장완성 ( Wan Song Chang ),2009,https://www.riss.kr/link?id=A87020019
심근경색 실험동물 모델에서 Insulin-like growth factor system의 조절,"Insulin-like growth (IGF) system은 여러 가지 다양한 심근질환과 연관성이 있는 것으로 알려져 있으나 심근경색에서 IGF system의 변화에 대해서는 밝혀져 있지 않다. 따라서 본 연구에서는 흰쥐 심근경색 모델을 활용하여 IGF system의 변동을 살펴보아 심근경색에서 IGF system의 역할을 규명해보고자 하였다.
60일령의 수컷 흰쥐 왼심장동맥을 결찰하여 심근경색 모델을 만들었고 개흉하여 sham 대조군을 삼았다. 실험군은 심근경색 유발 후 1, 3, 7, 14 및 30일에 희생시켰고 대조군은 가슴안을 열고 30일에 희생시켰다. 혈청과 심근내 IGF-I과 IGF-II 농도와 혈청내 IGF binding protein (IGFBP)-1, IGFBP-3 농도를 측정하였다.
심장동맥을 결찰한 실험군에서 평균 심근경색의 크기는 왼심실의 35.2~42.3%이었다. 혈청내 IGF-I의 농도는 대조군과 비교하여 명확하게 감소하였으나 IGF-II 농도는 차이를 나타내지 않았다. 혈청내 IGFBP-1의 농도는 심근경색 후 1일과 3일에 큰 폭으로 상승하였고 IGFBP-3는 전 실험군에서 유의성 있게 증가하였다. 심근경색 실험동물에서 심근의 IGF-I의 농도는 대조군과 비교하여 명확하게 감소한 반면, IGF-II의 농도는 변화가 없었다.
이상의 결과는 심근경색시 IGF system의 변동이 있음을 확인하였고 심근경색 후 심장의 반응에서 IGF system이 중요한 작용이 있음을 알 수 있었다.",태현진(Hyun-Jin Tae),2011,https://www.riss.kr/link?id=A82623897
