
여드름 예방과 치료에 대한 고찰,"여드름은 사람에게만 생기고 보통 사춘기 이후 잠시 또는 사춘기동안 내내 생기는 다요인적 질병이다. 여드름은 많은 수의 피지 소낭이 있는 흉부 등 얼굴과 같은 피부에 생기고. 그 조건은 높은 피지 배출율(SER)과 관계가 있다. 형태가 다양하고 심각한 여드륨은 국부적인 약파 온몸에 영향을 주는 약을 사용함으로써 치료될 수 있다.
심각한 여드름을 성공적으로 관리할 수있는 cisretinoic 산의 사용은 여드름의 원인과 비염증성 외상, 염증서 외상을 초래한 매카니즘에 관한 연구에 큰 영향을 주었다. 그러나 중요한 문제들이 해결되지 않은채 남아있다.
심상성 여드름은 모피지선의 만성 염증성 질환으로 면포, 구진, 농포, 낭종, 결절, 가끔 반혼 형성을 하며 피지분비가 많은 부위인 얼굴, 목, 등, 가슴에 호발한다. 여드름은 주로 사춘기에 발생하여 20대 중반에 쇠퇴하지만 20대 혹은 30대에 시작하여 수년간 지속되기도 한다. 남자는 16세와 19세 사이에 그리고 여자는 16세 사이에 발생 빈도가 가장 높으며 남자에게 더 심한 형태로 나타난다. 웅괴성 여드름은 여드름의 드문 중증형으로 거의 대부분이 남자에서 볼 수 있으며, 10대 후반에 시작하나 가끔 성인 까지 지속된다.
병라학적 소견으로는 피지, 각질, 이상각화세포 및 세균으로 구성되어 있는 면포와 모낭주위 염증이 특징이다. 여드름 치료는 병원성 인자인 이상각화, 피지분비 증가, P. acnes의 증식 및 염증을 억제하는 것이며, 병발정도에 따라 치료한다.
치료법으로는 국소요법이 있는데 전신치료보다 훨씬 안전하고 경제적인 방법이다.
- Retinoic acid(tretinoin, vitamia A acid) ; 미세포면포의 형성을 억제하여 면포의 수를 줄여 면포병변이 주가 되는 여드름에 효과적이다.
- Benzol peroxide; P. acnes를 감소시켜 염증성 여드름에 효과적이다.
- 국소 항생체: clindamycin, erythromycim, tetracyclin 등이 쓰인다.
- Azelaic acid; 최근 개발되어 사용되고 있다.
* 치료법중 전신치료는 항생제, isotretinoin, 호르몬제, zcin, 비스테로이드성 항소염제 등이 있다. 중동도 이상의 치료에 일반적으로 사용된다. 면포나 농포는 여드름 적출기로 적출하고 반흔이 심한 경우는 피부 박피술을 사용하기도 한다. 낭종의 경우는 절개하여 내용물을 제거한다. 면포가 다수 있거나 급성의 표재증 염증성 구진이나 결절이 있는 경우는 자외선 치료를 하는 것이 좋으며, 염증성 구진, 농포, 낭종 등의 치료에는 스테로이드 국소주사를 사용한다. 고체탄산의 분말을 싸서 아세톤에 척선후 피부에 적용하는 냉동치료요법도 있다.
또한 여드름의 원인은 다양하며 치료받지 않은 여드름은 약 7년간 지속되기도 하고 그 기간동안 환경적 요인에 의해 쉽게 영향을 받는다. 여드름이 심한 경우는 반흔 또는 흉터를 남기게 된다.
본 논고는 외적인 흉터 및 정신적 손상까지 초래하는 여드름에 대하여 원인과 그 치료 과정 및 결과에 대하여 정확히 알아보고자 하는데 그 목적이 있다.",김문주,1999,https://www.riss.kr/link?id=A75009157
HPLC를 이용한 차와 커피에 함유된 카페인의 함량 조사와 카페인이 흰 쥐의 행동에 미치는 영향 연구,,안정화,2012,https://www.riss.kr/link?id=A60247038
마이크로니들 융복합 의료제품의 마이크로니들 성능평가 시험방법 마련 연구,"경피 약물 전달 시스템(Transdermal drug delivery) 중 마이크로니들 융복합 의료제품은 기존의 피하 주사 투 여 방법이 가지는 단점인 통증이 발생하지 않는 방법으로 환자에게 효과적으로 의약품을 전달 할 수 있는 새로운 약 물 전달 시스템으로 대두되고 있다. 경피 약물 전달 시스템 중 의약품이 결합된 마이크로니들 융복합의료제품은 바 늘의 길이가 짧아 신경 종말을 피해 각질층에만 통로를 만들어 통증 유발을 피하고, 의약품 주성분을 피부를 통해 효 과적으로 전달할 수 있는 장점을 가지고 있기 때문에 시장의 수요가 증가됨에 따라 국내·외로 많은 연구가 진행되고 있으며 기업에서도 제품 개발을 활발하게 진행하고 있다. 마이크로니들 융복합 의료제품에서 마이크로니들의 다양한 인자(원재료 종류, 두께, 직경, 바늘간의 간격, 바늘의 높이, 바늘의 강도, 내구성 등)들은 의약품 흡수를 돕는 마이크 로니들의 성능에 영향을 미칠 수 있기 때문에 개발하고자 하는 마이크로니들의 사용목적에 부합한 필수 성능을 평가 할 수 있는 시험방법 마련이 요구되고 있다. 따라서 제조자가 의도한 사용목적이 달성될 수 있도록 제품의 형태, 사용방법, 적용기간, 원재료 등을 고려한 성능평가 시험 항목의 설정이 요구되므로 본 연구에서는 기본적인 마이크로니 들의 성능평가 외에 마이크로니들에 추가적으로 의약품이 융복합 되었을 때에 추가적으로 고려해야 할 성능평가시험 방법을 도출하고자 하였다. 본 연구를 통해 도출된 마이크로니들의 성능평가 시험항목 및 시험방법 마련으로 제품개 발의 허가 및 심사, 품질관리, 성능평가 시에 활용이 가능하여 심사 평가에 활용될 것으로 기대한다.",황철진,2021,https://www.riss.kr/link?id=A108005885
광학이성질체 의약품의 안전성 유효성평가를 위한 가이드라인 연구,"국내 광학이성질체 의약품의 허가를 위한 전임상과 임상시험의 안전성 유효성 평가와 관련된 법적 가이드라인을 제안하고자 본 연구가 수행되었다. 이를 위해서 유럽, 캐나다, 미국, 일본 등 여러 선진국의 관련 문서들을 조사분석하였다. 광학이성질체 의약품 개발의 주요 카테고리는 다음의 5가지로 구분된다. 1) 신규 단일 이성질체 의약품 개발 2) 신규 라세미체 의약품개발 3) 승인된 라세미체 의약품으로부터 신규 단일 이성질체의 개발 4) 승인된 단일 이성질체 의약품으로부터 신규 라세미체의 개발 5) 승인된 라세미체 또는 단일 이성질체 의약품으로부터 신규 비라세미체 혼합물의 개발. 본 연구에서 제안한 이 가이드라인이 국내 키랄 의약품의 광학이슈와 심사 허가를 위한 안전성 유효성 평가에 유용하게 이용될 수 있으리라 기대한다.",김광준,2011,https://www.riss.kr/link?id=A60121317
의료 빅데이터 활용 사례와 규제적 측면에서의 제언,"본 논문에서는 의료 빅데이터의 현재와 미래에 대한 규제적 측면의 제언을 담고 있다. 미국은 1996년 제정한 HIPAA를 바탕으로, 유럽은 2016년 제정한 GDPR을 근거로 의료 데이터 산업이 발전하고 있다. 특히 미국은 2016년 통과된 21st Century Cures Act를 통해 정밀의료의 미래를 설계하고 있으며, 이의 구현은 의료데이터를 바탕으로 진 행하고 있다. FDA에서는 의료기기 및 의약품의 허가 가속화를 위해 실사용데이터(Real World Data)라고 일컫는 의 료데이터들을 규제 목적의 판단에 참고하고 있으며, 민간데이터분석 업체들과 원활한 협업, 즉 open innovation을 통 해 빠르게 변화하는 혁신의 환경에 적응하고 있다. 전 세계는 빠르게 진행되는 인구 고령화로 의료비 및 헬스케어 관 련 비용들이 급증하고 있는데, 특히 신약개발의 비용은 천문학적이다. 몇 년 전부터 우리나라에서는 제약 바이오산업 이 미래 산업으로서 각광받고 있는데, 글로벌 환경에서 신약개발의 경쟁력을 확보하기 위해서도 데이터 활용이 필수 적이다. 우리나라는 개인정보를 안전하게 보호하면서도 데이터 산업을 키우기 위한 사회적 합의로 2020년 1월 개인 정보보호법 개정안이 국회를 통과하였다. 개정안의 핵심은 가명화를 통한 데이터 사용의 길을 열어 주는 것이며, 민 감데이터로 엄격하게 관리되었던 의료데이터라 할지라도 그 활용의 길을 열어주었다는데 의미가 있다. 우리나라에 잘 축적되어 있는 의료 데이터 분석을 통해 정밀의료 등 헬스케어 미래를 현실화 하는데, 글로벌 모범이 되는 계기가 되어야 할 것이다.",조인산,2020,https://www.riss.kr/link?id=A107390463
단클론항체 표지된 항암제 봉입 리포좀의 제조 및 물성연구,"젬시타빈은 비소세포성 폐암이나 훼장암, 유방암 동 고형암의 치료에 사용되는 대표적인 항암제인데, 약물의 혈중 반감기가 매우 짧은 단점으로 인해 현재 임상적으로는 고농도의 정맥 주입 방식으로 약물치료가 이루어지고 있다. 이러한 문제를 해결하기 위해 새로운 약물 전달 시스템을 젬시타빈에 도입하여 약물의 반감기를 높이고 동시에 병소로의 약물 전달을 증진시켜 선택적인 항암효과를 얻고자 인간 표피 성장 인자-2 (HER-2)를 억제하는 전이성 유방암 치료제로 잘 알려져 있는 단 클론 항체 약물인 허셉틴을 부착한 리포좀을 제조하고 그 물성을 연구 분석하였다.",구민지,2010,https://www.riss.kr/link?id=A82690312
자동혈구분석기의 성능평가 가이드라인 개발 연구,"혈구검사는 건강검진, 수술 전 기본 검사에서부터 악성혈액질환의 진단 및 추적관찰에 이르기까지 다양한 임 상적응증을 가지고 가장 흔하게 시행되는 혈액 검사 중 하나이다. 대부분의 병원에서 시행하는 전혈구계산(Complete blood count, CBC)은 혈액질환을 포함한 모든 환자들의 가장 기본적인 검사로 질병 진단, 치료 및 추적 관찰 시 유 용하게 활용되고 있다. 빠르고 정확한 전혈구계산 검사결과의 보고가 환자 진료에 있어 매우 중요함에 따라 다양한 ‘자동혈구분석기’가 시판되어 사용되고 있다. 자동혈구분석기는 분석기기인 혈구계산기와 검사시약인 혈구검사시약이 함께 사용되며, 혈구검사시약은 혈액검사용시약 품목 중 허가(신고) 수가 높은 비중을 차지하고 있으나 현재 혈구계 산기 및 혈구검사시약 관련 가이드라인 및 기준이 명확히 제시된 바가 없는 실정이다. 이에 본 연구에서는 자동혈구 분석기의 성능평가 가이드라인 개발을 통해 자동혈구분석기의 성능평가 시험방법을 제시하고자 한다. 이를 위해 먼 저 국내·외 자동혈구분석기에 대한 허가현황, 등급, 허가사항 등을 조사하여 동향을 파악하였다. 다음으로 자동혈구 분석기의 성능평가와 관련된 국내·외 규격, 가이드라인 등을 조사·분석하여 필수 성능평가 항목 및 시험방법을 도출 하였다. 도출된 성능평가 항목 및 방법에 대해 국내 유통 중인 6대의 장비를 선정하여 실제 시험평가 및 검증을 실 시하였으며, 적합성을 확인하고 가이드라인에 대한 신뢰성을 높이고자 하였다. 본 연구를 통해 개발된 자동혈구분석 기 성능평가 가이드라인은 의료기기 개발·제조업체 및 시험검사기관에서 활용 가능하며 향후 우리나라 의료기기 국 제 경쟁력 향상에 기여할 것으로 기대된다.",이승노,2020,https://www.riss.kr/link?id=A107184281
국내 마약류 표준품 제조 및 관리현황과 향후전망,"마약류는 신체적, 정신적 의존성으로 인해 오남용의 피해를 일으킬 수 있지 만 그 중 일부는 절박한 환자에게 꼭 필요한 약물이기 때문에 국가의 엄격한 통제하에 마약류의약품으로 사용 되고 있다. 마약류의약품의 품질관리를 위 해서는 마약류표준품의 확보가 필수적이다. 마약류표준품은 마약류로 지정 되어 있는 성분 중 함량이 정확하게 알려 져 있는 물질로서 사용 목적에 따라 규격화되어 별도 제조되었거나, 이미 제 조된 원료물질을 정제하여 얻어진 높은 순도의 표준물질을 말하는데 그 특성상 구입 절차가 복잡하고 많은 비용이 소요되어 제약회사 등 관련 기관이 수급 에 많은 어려움을 겪고 있다. 이에 따라 식약청에서는 2003년도부터 식품의 약품안전청 마약류 표준품을 제조, 분양 하고 있으며 점점 그 분양 수요자의 범위가 넓어지고 규모도 확대되어 마약 류 표준품을 필요로 하는 회사, 연구소 등 의 시간적, 경제적 비용 절감에 기여하고 있다. 그러나 현재 식약청의 표준 품 관리 체계는 화학적 합성의약품, 생물 의약품, 생약 등 표준품 특성별로 분산되어 있어 관리상 비효율적인 면이 많 고 장기적인 계획을 세우기 어려우므로 향후에는 마약류를 포함한 의약품 관련 표준품을 통합관리하여 관리체계의 전문성 및 통일성을 확보해야 할 것이다.",김인규,2011,https://www.riss.kr/link?id=A60121318
Immunohistochemical and Biochemical Studies on Dopamine Content in Rat Brain During Cholecystokinin-Induced Suppression of Feeding,"포만중추 (satiety center)를 자극하여 음식섭취를 억제한다고 알려진 CCK-8을 흰쥐 복강에 투여하여, 흰쥐 뇌의 도파민 변화에 대한 CCK-8의 효과를 관찰하였다. 흰쥐 뇌의 부위별 도파민 함량은 HPLC-ECD방법으로 측정하였으며, 시상하부와 흑질에서의 TH-immunoreactive neuron은 면역조직화학법과 영상분석법을 시행하였다. 굶긴 쥐에서는 정상 쥐에 비하여, 도파민 함량이 전두 피질, 해마, 시상하부 및 편도체에서 각각 감소하였다. CCK-8을 투여한 쥐는 정상 쥐와 굶긴 쥐에 비하여, 도파민 함량이 시상하부에서 의미있게 감소하였다. 또한 굶긴 쥐는 정상 쥐와 비교하여, TH-positive neuron의 분포와 수가 뇌실옆핵, 깔때기핵, 정중융기 및 혹질에서 현저히 감소하였다. CCK-8투여시, 시상하부와 흑질에서의 TH-immunoreactive neuron의 수는 굶긴 쥐에 비하여 증가하였다. 이상의 실험 결과로 보아 음식물 섭취를 억제하는 작용이 있는 CCK-8은 시상하부의 도파민 신경계와 일부분 관련되어 있으며, 또한 시상하부와 흑질에 존재하는 TH-positive neuron은 음식물 섭취 행위에 중요한 역할이 있음을 시사하고 있다.",정주호,1994,https://www.riss.kr/link?id=A100667234
클린뷰티(Clean Beauty) 시장 현황 분석과 지향점 제언,"주요 소비 트렌드로 부상하고 있는 ‘클린뷰티’ 제품의 특징과 현황을 조사하고, 이를 토대로 클린뷰티 트렌드 가 나아가야 할 방향성을 제시하고자 한다. 국내 외 대표 H&B 스토어인 올리브영과 세포라에서 선정한 32개의 클린 뷰티 브랜드 제품들에서 공통적으로 나타나는 특징을 9가지의 키워드로 도출하였다. 유해 성분을 배제하고 식물성/유 기농 원료를 사용한 안전한 제품, 크루얼티 프리 또는 비건 제품, 지속 가능한 원료 및 포장재를 사용한 제품, 브랜 드의 사회적인 책임이 주요 특징으로 확인되었으나, 각각의 키워드에 대한 세부적인 기준 및 근거는 브랜드마다 모 두 상이하였다. 명확히 정의된 기준이 없기 때문에 클린뷰티 제품의 마케팅 요소를 잘못 인지하는 소비자들도 있다. ‘화학 성분은 유해하고, 식물 성분은 안전하다’가 대표적인 예이며, 본 논문에서는 국제 안전성 평가 기구의 보고서를 바탕으로 화학 성분인 ‘파라벤’이 안전할 수 있고, 식물 성분인 ‘티트리 오일’이 자극을 유발할 수 있음을 확인하였다. 또한 클린뷰티 제품의 안전성을 주장하기 위해 사용되는 일부 외부기관의 정보가 구체적인 근거 없이 제공되는 경우 가 있고, 그와 반대로 크루얼티 프리 및 비건은 외부기관의 인증을 취득하지 않고 표시 광고되는 경우도 있음을 확 인하였다. 이처럼 클린뷰티에 대해 브랜드, 즉 화장품 기업, 소비자 그리고 인증기관이 마주한 상황이 모두 다르다. 따 라서 클린뷰티가 단순한 제품 홍보의 목적이 아닌 하나의 소비 트렌드로 자리 잡을 수 있도록 화장품 기업과 인증기 관은 과학적이고 투명한 정보를 제공하고, 소비자들은 이러한 정보를 올바르게 판단해야 한다.",김다슬,2021,https://www.riss.kr/link?id=A108005958
