
간호대학생의 전공만족도와 간호전문직관의 관계,"PURPOSE : This study purposed to examine the relation between nursing college students' major satisfaction and their nursing professionalism. METHOD : We collected data from 197 nursing students at a college in Seoul using a structured questionnaire from the 6th to 13th. The collected data was analyzed by SPSS 17.0. RESULT : 1. The mean score of major satisfaction was 3.54±49 and that of nursing professionalism was 3.52±46. Among the sub-areas of major satisfaction, satisfaction with career investigation was highest. In addition, among the sub-areas of nursing professionalism, the specialty of nursing was highest. 2. Major satisfaction was higher in those from the Department of Natural Science, with a nurse in their family members and it was also significantly different according to the motive for choosing nursing. Nursing professionalism was higher in those with a nurse in their family members and it was also significantly different according to the motive for choosing. 3. A statistically significant positive correlation was observed between the subjects' major satisfaction and their nursing professionalism. The sub-area of major satisfaction in the highest correlation with nursing professionalism was 'satisfaction with perception', and the sub-area of nursing professionalism in the highest correlation with major satisfaction was 'professional self-concept' CONCLUSION : A significant positive correlation was observed between major satisfaction and nursing professionalism, and this raises the necessity for maintaining high major satisfaction so that nursing students may establish positive nursing professionalism through their college study.",고정은,2011,https://www.riss.kr/link?id=A82580522
환자안전사고 보고서를 통한 간호사 투약오류 분석,"Purpose: The purpose of this study was to identify and analyze the characteristics of nurses’ medication errors during three years. Methods: Retrospective survey study design was used to analyze medication errors by nurses among patient safety accidents. Data were collected for three years from January, 2017 to December, 2019. Data were analyzed using frequency, percentage, x<sup>2</sup>-test, and logistic regression with SPSS 26.0 program. Results: Of a total 677 medication errors, 40.6% were caused by nurses. Among the medication errors, near miss (n=154, 56.0%), intravenous bolus injection (n=170, 61.8%), wrong dose (n=102, 37.1%) and carelessness for repetitive work (n=98, 35.6%) were the most common. Medication errors differed by department, and nurses’ career, and patient safety accident type. The results of the logistic regression analysis showed that the risk factors of adverse events were medication of fluids (OR=3.93, 95% CI: 1.26~12.27), insulin subcutaneous injection (OR=39.06, 95% CI: 4.58~333.18), and occurrence of extravasation/infiltration (OR=7.26, 95% CI: 1.85~28.53). Conclusion: The simplest and most effective way to prevent medication errors is to keep 5 right, and a differentiated education program according to department and nurse career is needed rather than general education programs. Hospital-level integrated interventions such as a medication barcode system or a team nursing method are also necessary.",구미지 ( Koo¸ Mi Jee ),2021,https://www.riss.kr/link?id=A107393645
간호사의 윤리적 딜레마,"Purpose: The purpose of this study is to explore the lived experience of ethical dilemma of nurses and to describe the structure of the meaning of their experience for nurses. Method: The participants in this study were seven nurses with 3years and more careers who worked at general hospital and university hospital in T, P, K city. The data were collected from May, 2004 to September, 2004 through in-depth interviews untill saturated. The data were analyzed by phenomenological method suggested Giorgi. Results: Five main meanings were identified: Role limitation, Difficulty of decision, Self defensive position, Difficulty of interpersonal relation, A custom of unable expose. Conclusions: Based on the results of this study, there is need to study for identify the ethical dilemma of nurses from the viewpoint of korea, and development of nursing ethics guidebook to guide ethical dilemma situation in nursing field.",박현주,2009,https://www.riss.kr/link?id=A82391617
간호사의 감성지능이 자기효능감과 직무스트레스에 미치는 영향,"Purpose: This study was to investigate the relationship among emotional intelligence, self-efficacy and job stress of nurses. Method: Data was collected from convenient sample of 265 nurses who work for a university hospital in a city. The Questionnaire measured the level of emotional intelligence, self-efficacy and job stress of nurses. The data were analyzed using descriptive statistics, t-test, ANOVA, scheffe' test, pearson's correlation coefficient and hierarchical multiple regression. Result: The mean score of emotional intelligence was 3.41(±.37), self-efficacy was 3.27(±.45) and job stress was 3.35(±.65). There were significant differences on self-efficacy according to age, marital status and education level. And there were significant differences on job stress according to age, working unit. It was a significant positive correlation between emotional intelligence and self-efficacy. The emotional intelligence and self-efficacy were significantly negative correlation with job stress. The emotional intelligence explained 24.8% of self-efficacy and 1.9% of job stress and self-efficacy explained 2.7% of job stress. And the self-efficacy was showed a mediate variable between emotional intelligence and job stress. Conclusion: To decrease job stress, nursing managers ought to develop the emotional intelligence and self-efficacy of nurses, reinforce as a mediating role between emotional intelligence and job stress",이경희,2010,https://www.riss.kr/link?id=A82363382
"간호대학생의 전공만족도, 학업적 자기효능감 및 임상실습 스트레스가 학교생활소진에 미치는 영향","Purpose: This study investigated the effects of major satisfaction, academic self-efficacy, and clinical practice stress on college student burnout among nursing students. Methods: Data were collected from October 2019 to January 2020. The data were collected from third and fourth-grade nursing students enrolled at different universities in Seoul, Gyeonggi-do, Chungcheong-do, and Gangwon-do. A total of 270 questionnaires were used for data analysis. Multiple regression analysis was performed to analyze the factors affecting college student burnout. Results: The major satisfaction total score was 65.25(±12.64). The academic selfefficacy total score was 86.56(±13.39). The total clinical practice stress score was 72.93(±11.88). The total score for burnout among college students was 53.73(±14.75). The explanatory power of major satisfaction, academic self-efficacy, and clinical practice stress for college student burnout was 51.3%. Conclusion: It is necessary to develop and apply an educational program to improve major satisfaction and academic self-efficacy, and lower clinical practice stress to reduce college student burnout among nursing students. Thus, education should be actively applied using simulations.",황선아,2021,https://www.riss.kr/link?id=A107966204
임상간호사의 직무스트레스와 우울,"Purpose: The purpose of this study was to examine the level of occupational stress and depression in clinical nurses and to investigate the effects of subscales of occupational stress on depression. Method: A sample consisted of 202 nurses from 6 hospitals located in Busan and GyeongNam province. The data were collected from November 2008 to march 2009. A self-administered questionnaire was used to assess socio-demographics, job characteristics, depression measured by Korean CES-D, and occupational stress assessed by KOSS. Result: The total score of occupational stress in clinical nurses was within bottom 25%, but the scores of 'Difficult physical environment', 'High job demand', 'Inadequate social support', 'Organizational injustice' were within top 50%. The 8 subscales of occupational stress had significantly effects on clinical nurses' depression after controlling for age, marital status, type of hospital, current position. Conclusion: The administration of employee assistance program for management occupational stress is important for decreasing depression in clinical nurses.",윤숙희,2009,https://www.riss.kr/link?id=A82316214
간호대학생의 대학생활스트레스와 우울과의 관계 - 사회적 지지의 매개효과 -,"Purpose: This study was conducted to determine the mediator effect of social support in the association between stress for college life and depression among nursing students. Methods: The participants of the study were 201 university students in A and C cities. Self-report questionnaires were used to measure the variables. In the data analysis, the SPSSWIN 25.0 program was utilized for descriptive statistics, Pearson's correlation, Sobel test and multiple regression analysis. Results: Mean scores of stress for college life, depression and social support were 2.56, 4.12 and 0.61, respectively. Stress for college life and depression showed a significant positive correlation (r=.60, p<.001), while depression and social support showed a significant negative correlation (r=-.46, p<.001). Lastly, stress for college life and social support showed a significant negative correlation (r=-.55, p<.001). The analysis of the mediator effect of social support in the association between stress for college life and depression showed that social support had a significant mediator effect. Conclusion: Among nursing students, social support may be a mediator in the association between stress for college life and depression. Therefore, strategies for nursing intervention to improve social support should be developed for nursing students.",유경희,2019,https://www.riss.kr/link?id=A106051768
"전문간호사 역할의 중요도, 만족도 및 기여도에 대한 의료인의 인식","Purpose: The purpose of this study was to identify level of recognition of the importance, satisfaction and contribution of APNs' role by physicians, nurses, and advanced practice nurses. Method: Perceived importance and satisfaction were measured with a 23-item questionnaire on APN role with 5 subcategories. APNs' contribution was investigated using a 13-item outcome questionnaire developed by the researchers. Between August 15 and October 31, 2009, the researchers collected data from 68 physicians, 265 nurses, and 23 APNs all working in a single tertiary hospital. Data were analyzed using descriptive statistics, Kruskal-Wallis Test with Bonferroni's Correction and scatter plot. Result: The importance (3.24~3.39, 4 point scale), satisfaction (3.02~3.13, 4 point scale), and contribution of APNs' role (3.39~4.12, 5 point scale) were well recognized by the health care professionals. All the three health care professional groups rated APNs' contribution high in medical service management, continuity of care, patient accessibility, improvement in patient satisfaction, and patient and family education. 'Importance-Satisfaction Analysis' showed that patient data management by APNs needed greater effort. Conclusions: The findings show that the importance, satisfaction, contribution of APNs' role are recognized, and indicate a need for further development of APNs' role through efforts to overcome the gaps identified through this research.",조명숙,2011,https://www.riss.kr/link?id=A82601491
"간호대학생의 MBTI 성격유형과 학습태도, 학업성취도간의 상관성","Purpose: This study was to explore the relationship between personality type and learning attitude and academic achievement of nursing students. Method: 91 students were sampled from freshman in nursing school. Data were collected from April 2 to October 5 2007. Analysis of the results were carried out using SPSS win 12.0 for frequency, mean and standard deviation, t-test, ANOVA, Pearson correlation. Result: The result of MBTI test was that nursing students in this study showed extraversion(52.7%), sensing(82.4%), thinking(56.0%), judging(57.1%). Academic achievement according to personality was that only feeling(F) type students had significantly higher score of English than thinking(T) type students(p=.013). Learning attitudes according to personality were that sensing(S) type students had significantly positive attitude toward their college than intuition(N) type students (p=.016). And think(T) type students had significantly higher confidence of learning than feeling(F) type students. There was significant positive correlations between learning method and score of English, Fundamental Nursing, Anatomy(p<05). Conclusions: Diagnosing personality can differentiate student's learning attitude. It is important to develop teaching-learning strategies according to their personality, which can help them to improve their academic achievement.",정현경,2007,https://www.riss.kr/link?id=A76516778
"간호대학생의 MBTI 성격유형에 따른 스트레스 정도, 스트레스 대처방식 및 학교적응","Purpose: This study was conducted to describe stress, stress coping, and school adaptation according to Myers-Briggs type indicator(MBTI) personality type in freshmen nursing students.
Methods: This study was a cross sectional survey and the data was collected from 267 freshmen nursing students by means of self reported questionnaires from March 3 to 30, 2012. Collected data were analyzed on SPSS win 18.0.
Results: 16 personality types were all seen in this study participants. There were no significant differences in stress, stress coping, and school adaptation according to 4 functions and 4 temperaments of MBTI.
Conclusion: Nursing students show various personality types and we need to understand their diversity and reflect it to a school curriculum or education program development. Further study is required to identify the effects of self-understanding program on stress management and school adaptation.",이영란,2013,https://www.riss.kr/link?id=A104578269
