
안락사와 의사의 생명유지의무,"Ⅰ. The legal patterns of euthanasia and doctor's duty to keep life
In the legal regulation of euthanasia, the doctor's duty to keep life should be weighed against the patient's rights of self-determination or keeping human dignity. It is generally accepted that the doctor's duty takes precedence of the patient's rights in case of the positive euthanasia. As regards the indirect euthanasia, the doctor's duty and the patient's rights are valued equally. However, in the matter of the negative euthanasia, the patient's rights are more important than the doctor's duty.

Ⅱ. The structure of legitimating euthanasia
The extend of the doctor's duty to keep life in the cases is judged by the juduciary. But, in case of euthanasia, there can be no substantial standard giving priority to certain rights and the judge can not be the appropriate subject of decision.

Ⅲ. The procedural legitimation of euthanasia
To perform legal euthanasia, the doctor should
① record the case history of patient and verify his/her incurability and severe pain,
② be demanded euthanasia continuously by the patient who accept euthanasia of his/her own free will,
③ discuss with the patient's family or religionist,
④ discuss with other doctors about performing euthanasia,
⑤ keep records of the euthanasia process.
If these requisites are fulfilled, the right of final decision on euthanasia should be given to doctor. And the doctor has also the obligation of keeping the euthanasia procedure which is controlled by the criminal sanctions.",이상돈,1996,https://www.riss.kr/link?id=A2059983
국내 다문화간호 연구의 동향,"The purpose of this study is to identify trends in research on multicultural nursing in South Korea. Methods: A literature search was conducted with 727 articles from four electronic databases; RISS, KISS, DBpia, and NDSL. A total of 171 studies were analyzed using descriptive statistics. Results: Most frequently used research design were survey(70.6%), followed by qualitative studies(11.7%), quasi-experimental studies(9.9%), and Q-methodology(3.5%). Most frequently study participants were multicultural women(44.4%) and nursing students(27.5%), while the study of nurses was 8.8%. Most of the studies on multicultural women were mainly focused on the topics of maternity and parenting, while nurses and nursing college students were concerned with cultural competence, perception and attitudes toward multicultural. Conclusion: The result suggests that further research should include a variety of research designs and subject. In addition, research is needed to strengthen the capacity of nurses in multicultural nursing.",염순교(Soon Gyo Yeoum),2019,https://www.riss.kr/link?id=A106263907
"건강신념모델을 적용한 AIDS예방의 건강신념, 태도 및 건강행동","This study was conducted in order to identify the extent to which Health Belief Model(HBM) constructs explain the likelihood of taking preventive behaviors for AIDS among the young adolescents in Korea. HBM was applied as the theoretical framework for developing questionnaire items in this study. The survey instrument included all of the constructs of Health Belief Model, namely, perceived susceptibility, perceived severity, perceived benefit, perceived barriers, cue to actions for preventive behaviors concerning AIDS. Additionally, demographic characteristics of the respondents, their sexual experiences, and AIDS Knowledge Test were included in the study. Each of HBM constructs were developed with a 5-point Likert type scale from 1(never agree) to 5 (absolutely agree). The survey was conducted with a total of 247 military men in a city on September 18, 1996, using self-reported questionnaire.
The results of the study were summarized as follows:
1. Because the subjects for this study were military soldiers, their demographic characteristics were limited to all men, young age, and unmarried. Educational status was evenly distributed between high school graduates and university students.
2. On the average, the respondents started their first sexual relationship at 18 years old and 82.6% of them did not use condom when having their first sexual experience. Thirty one percent of the subjects had sexual contact with prostitutes and the average number of sexual contact with prostitutes was 5 times during the past 2 years.
3. The results of AIDS Knowledge Test scores demonstrated that the respondents had a high level of knowledge about AIDS. However, some misconceptions about transmission of AIDS through casual contact were still prevailed. Sixty-six percent of the respondents expressed that people infected with HIV should be isolated from the society in order to protect the general public.
4. All the respondents expressed that they had heard about AIDS before. TV was found to be the source which provided information on AIDS most frequently.
5. Among fundamental constructs of Health Belief Model, scores of perceived benefit of taking preventive action against AIDS marked the highest score, while scores of perceived susceptibility were the lowest. As a result of Multiple Stepwise Regression analysis, 13 variable groups were found to predict the preventive action by 25%. Among them, only perceived benefit variables was the most significant factor to explain preventive behaviors by 17%.",김명혜,1997,https://www.riss.kr/link?id=A2034807
"재활병동 간호사와 일반병동 간호사의 직무특성, 조직의사소통, 직무스트레스 및 직무만족도","The purpose of this study was to confirm the job characteristics, organizational communication, job stress, and job satisfaction of nurses in rehabilitation and general wards and to identify differences between the two groups. The survey was performed with 132 nurses working in three rehabilitation hospitals and 131 nurses working in three small and medium hospitals in B city. The data was collected through questionnaires and analyzed using SPSS/Win 25.0. The results of the survey were as follows. There was a statistical difference between the two groups in job characteristics and organizational communication, and nurses in the rehabilitation ward showed higher scores in job characteristics and organizational communication than nurses in the general ward. The job satisfaction of rehabilitation ward nurses had a positive correlation with job characteristics and organizational communication and a negative correlation with job stress. The job satisfaction of general ward nurses was found to have a positive correlation with organizational communication and a negative correlation with job stress. Job stress and organizational communication were factors affecting job satisfaction in nurses in rehabilitation and general wards, with explanatory power of 38.8% and 22.7%, respectively. In this study, the importance of job stress management and effective organizational communication was confirmed by showing that job stress and organizational communication are factors affecting the job satisfaction of rehabilitation and general ward nurses.",배인정,2023,https://www.riss.kr/link?id=A108548719
"같지만 다른 그들, 청년: 성별 자살생각과 자살시도 영향요인의 탐색 연구","The purpose of this study is to provide basic data for an effective suicide prevention policy among young people. This study is an exploratory research study conducted to examine the difference between suicidal ideation and suicide attempt according to factors such as socioeconomic characteristics, health characteristics, psychosocial factors, and family factors. A survey was conducted by stratifying 1,012 young people aged 20-39 across the country, and descriptive statistical analysis and logistic regression analysis were performed. The results show that 42.1% of the study subjects had suicidal ideation and 5.6% had attempted suicide. The factors affecting suicidal ideation and suicide attempts were different by gender. Men had a higher risk of suicidal ideation when they had lower levels of education, subjective health status, sleep quality, and family strength (economic stability and cooperation) and higher levels of perceived burdensomeness and thwarted belongingness. The higher depressive symptoms increased suicidal ideation in women. The factors influencing suicide attempts in men were high income, high depressive symptoms, and low family strength (caring about the community). In the case of women, unemployment, high subjective economic status, high depressive symptoms, and high social trust were influencing factors. For effective suicide prevention policy among young people, it is necessary to subdivide and specify the policy according to the characteristics of those people. In particular, the factors that cause people to respond differently to suicidal ideation and attempt should be closely identified, and it is necessary to understand the distribution of factors influencing gender and the patterns that appear due to differences in sensitivity.",강지원,2023,https://www.riss.kr/link?id=A108548714
코로나19 사태가 청소년 비만에 미치는 영향에 대한 연구: 비수도권 및 성별에 따른 차이를 중심으로,"This study investigates the impact of the COVID-19 pandemic on adolescent obesity in Korea. In particular, we focus on whether there is a heterogeneous effect of COVID-19 on weight status between students living in metropolitan areas and students living in non-metropolitan areas. Using data from the Korea Youth Risk Behavior Survey (KYRBS), we find that students living in non-metropolitan areas are more likely to be overweight or obese than students in the metropolitan area. This impact is particularly evident among female students. To understand the underlying mechanism behind these results, we examine how physical and eating activities differ among female students by metropolitan resident status. We find that female students living in non-metropolitan areas show a higher frequency of eating activities that could negatively affect their weight status. These results suggest that there has been a gap in the health status of adolescents between the metropolitan area and non-metropolitan areas after the COVID-19 pandemic. Thus, the policy implications of this paper should be aimed at mitigating the gap through dietary support policies for adolescents living in non-metropolitan areas.",김봉균,2023,https://www.riss.kr/link?id=A108548717
한국 코로나19 유행에서의 보건의료정책 이슈와 과제,"Objectives: This study aimed to assess policy directions and alternatives for strengthening crisis management and resolving policy challenges regarding communicable diseases in the future in Korea. Methods: The author reviewed related reports and policy recommendations on the COVID-19 epidemic in Korea between 2020 and 2023. Results: The following tasks were proposed to develop and improve the management and control system to address the possibility of new infectious diseases in future. First, various health and medical resources of the central and local governments should be reorganized, the health and medical care system should be strengthened, and community infectious disease response capabilities should be improved. Second, professional and field personnel, including epidemiological investigators, must be hired and trained, a dedicated infectious disease organization should be established, and an emergency mobilization plan should be prepared. The development of quarantine supplies, new vaccines, and drugs should be a priority policy task at the national security level. Third, the specialization and advancement of health care services is an urgent requirement. An overall review of the medical response is necessary. Fourth, policy alternatives including loss compensation for economic activity sanctions of socially and medically vulnerable groups must be developed. Further, social and psychological support measures for risk communication, social discrimination, depression, etc. must be supplemented. Public participation, network creation, appropriate governance, and establishment of quarantine rules in everyday life are also important tasks. Conclusion: It is critical to find alternatives and develop countermeasures through in-depth research and discussions with various experts and field workers to improve crises management and medical care policies.",이무식,2023,https://www.riss.kr/link?id=A108779756
청소년의 비만 및 과체중에 영향을 주는 요인: COVID-19 이전과 이후 비교,"Purpose: The aim of study is to understand the current status of obesity and overweight in adolescents before and after COVID-19 and find out the factors that factors associated with obesity.
Methods: The subjects of study were 109,282 adolescents from middle school to high school students. Data were used from the 16th and 17th Korea Youth Risk Behavior Survey, 2020, Ministry of Education. Data were used from the 16th(2019) and 17th(2020) Korea Youth Risk Behavior Survey. Logistic regression analysis was used to explore the impact of associated with obesity and overweight.
Results: Factors associated with adolescents’ obesity and overweight are low economic levels and low academic levels, not eating fast food, and recognizing that they were not healthy. Factors that increased the risk of obesity after COVID-19 are as follows. Male adolescents are at risk of obesity when they perceive themselves to be unhealthy(OR=1.69, 95% CI 1.58-1.81; 2019 male /OR=1.71, 95% CI 1.60-1.83; 2020 male). Female adolescents are at risk of obesity when they low economic levels(OR=1.44, 95% CI 1.27-1.63; 2019 female /OR=1.55, 95% CI 1.38-1.75; 2020 female).
Conclusion: In order to improve the health of adolescents, groups vulnerable to obesity and overweight should be prioritized. It is necessary to provide education programs that encourage proper eating habits and physical activities in preparation for WITH COVID-19.",김혜지,2022,https://www.riss.kr/link?id=A108072090
성남지역 종합병원의 의료기기 관리운영 실태에 관한 연구,"This study was carried out evaluate medical equipment`s management of the general hospital in Seongnam.
The purpose of this study was to choose the properly instrument by the effective medical equipment management.
Questionaire survey method were used in this study.
This results were summerized as follows :
Firstly, The result of comparing in this area was present to evalulated normal data more than means of the grobal data.
Secondly, medical equipment and articles of consumption management was expressed a few different in each hospital.",김정래,1996,https://www.riss.kr/link?id=A75008814
원격의료를 활용한 가정형 호스피스 활성화 방안,"Purpose: This study proposed a home-based hospice model and activation plan using telemedicine as a way to solve insufficient bed problems and limitations of medical resources, reduce the economic burden of hospitalization, and improve the quality of life of patients.
Methods: In this study, domestic and foreign cases of home-based hospice and telemedicine were analyzed through the review of related statistical data and literature and expert advice, and a plan to activate home-based hospice using telemedicine was proposed through case studies in advanced.
Results: Hospice and palliative care should be activated as a prerequisite for the activation of home-type hospice; 1) Improving access to home-based hospice 2) Providing active pain and symptom control and establishing a home care service system 3) Establishing a hospice linkage system 4) Establishing a hospice cluster 5) Supporting professional care providers 6) Providing hospice in nursing homes. Improvement tasks for promoting home-based hospice using telemedicine, First, doctors are given separate qualifications for telemedicine, Second, the scope of patients subject to telemedicine is limited, Third, legal requirements or standards are eased to enable telemedicine on-site, Fourth, it is necessary to prepare regulations on where to be responsible, such as immunity measures in the event of a medical accident, in a situation where certain procedures cannot be observed and controlled. Telemedicine is now not the subject of debate, but a demand of the times that needs to be implemented. As the number of terminal patients who want hospice and palliative care is increasing, the quality of life of terminal patients and their families should be improved by expanding home-based hospice utilizing telemedicine. A telemedicine model for home-based hospice patients was presented by referring to the above and telemedicine cases using hospice information system in Taiwan.
Conclusion: Since most of the home-based hospice are provided to patients who need care through home visits by medical staff without requiring separate surgery or treatment, telemedicine can be a good way to improve the quality of patients' lives by reducing the time and cost for home visits.",조병모,2023,https://www.riss.kr/link?id=A108620865
