
유전자 조작 줄기세포를 이용한 조직재생,"1 강길선, ""중추신경재생 연구의 최근 동향"" 한국조직공학과 재생의학회 1 (1): 136-142, 2004",이석준 ( Soak Jun Lee ),2008,https://www.riss.kr/link?id=A99569168
척수손상 장애인 대상 컴퓨터접근 보조기기 적용에 관한 효과: 단일사례연구,"목적 : 척수손상으로 인한 지체장애인에게 보조공학 중재로써 컴퓨터접근 보조기구를 적용하고 그 효과를 알아보는 것이다.
연구방법 : 컴퓨터접근 보조기구 무료보급 사업을 통해 1명의 성인 척수손상 지체장애인에게 최적의 컴퓨터접근 보조기구를 보급, 적용하였다. 보조공학 중재 효과를 파악하기 위해 보조기구 적용 후 주관적 수행 향상 및 보조공학기기의 심리사회적 변화 척도(Psychosocial Impact of Assistive Devices Scale, PIADS)를 실시하여 결과를 분석하였다.
결과 : 대상자는 컴퓨터접근 영역의 보조공학 중재 후 컴퓨터 사용의 주요 불편함이 해결되었고, 컴퓨터 작업 수행 능력이 증가 되었다고 보고하였으며 삶의 질에서도 긍정적인 변화가 나타났다고 하였다.
결론 : 컴퓨터접근 보조기구의 적용은 척수손상 중도 지체장애인의 컴퓨터 작업 수행을 개선시키고 삶의 질을 향상시키는 것으로 나타났다. 이에 따라 컴퓨터접근 보조기구의 적합한 적용은 중증장애인의 삶의 질 향상에 큰 역할을 할 수 있을 것으로 기대한다.",김미정,2010,https://www.riss.kr/link?id=A105612606
주의력결핍-과잉행동장애(ADHD) 아동의 주의집중력 향상을 위한 Interactive Metronome® 훈련의 효과,"목적 : 본 연구에서는 주의력결핍-과잉행동장애(Attention Deficit-Hyperactivity Disorder : ADHD) 아동을 대상으로 독립변인인 Interactive Metronome®(IM) 중재를 실시했을 때, 실시 후에 종속변인인 주의집중력에 속하는 충동적인 반응 감소와 집중력 향상에 미치는 효과를 알아보고자 한다.
연구방법 : ADHD 관련검사에서 ADHD 아동 1명을 대상으로 하여 단일사례 연구(Single-case research) 방법 중 ABA 디자인을 적용하였다. 2011년 8월 12일부터 9월 25일까지, 약 7주간 기초선(A) 3회기, 중재선(B) 15회기, 유지선(A') 3회기를 시행하였다. 평가로는 아동의 주의집중력을 중재 전과 후에 측정하기 위해 아동.청소년 행동평가 척도(Korean-Child Behavior Checklist : K-CBCL), 전산화 신경인지기능 검사(Computerized Neurocognitive Test : CNT), IM의 Long Form Test(LFT)를 실시하였다. 그리고 IM Short Form Test(SFT)를 중재선 회기동안 훈련 이전에 실시하여, 기준음(reference sound)과 안내음 (guide sound)을 구분하는지 그리고 점차적인 집중력의 변화를 관찰하기 위해 시행하였다. ADHD 아동의 집중하지 못하는 행동 관찰 측정, 전산화신경인지기능 검사, K-CBCL, 그리고 IM LFT의 결과들은 각각 표와 시각적 그래프를 이용하여 분석하였다.
결과 : 중재 이후, 과제수행에 따른 집중하지 못하는 행동 빈도수는 22.6회에서 7.8회로 감소하였고, IM LFT에서 운동과제 평균치는 104.0ms에서 49.5ms로 시간이 감소하였다. CNT의 항목 T점수들은 감소하는 양상을 보였다. K-CBCL의 하위 항목의 T점수들은 유의미한 변화가 없었다.
결론 : 본 연구를 통하여 IM 중재가 ADHD 대상자의 주의집중력 향상에 영향을 미친다는 것은 알 수 있었지만 이 연구의 제한점을 보완한 더 객관적이고 일반화 가능한 연구가 필요할 것이다.",장선영,2012,https://www.riss.kr/link?id=A99536294
이동 보조기기를 이용하는 신체장애인의 삶의 만족도에 미치는 영향 : 심리적 요인과 환경적 요인을 중심으로,"목적 : 본 연구는 신체장애인을 대상으로 이동 보조기기 사용에 대한 심리적 요인과 환경적 요인이 삶의 만족도에 어떠한 영향을 주는지 분석하고자 한다.
연구방법 : 본 연구는 한국장애인개발원의 장애인삶 패널조사 데이터(2019)를 활용하여 이동 보조기기 이용하는 신체장애 인의 심리적 요인인 장애수용, 우울, 자아존중감과 환경적 요인인 활동제한, 주거환경, 일상생활의 의존성이 삶의 만족도 에 미치는 영향요인을 파악하기 위한 이차자료분석 연구이다. 신체장애인에 대한 일반적 특성은 기술통계와 교차분석을 하였고, 신체장애인의 이동 보조기기 이용 여부에 따른 집단 간의 비교를 위해서 독립표본 t-검정하였다. 신체장애인의 삶의 만족도와 장애수용, 우울, 자아존중감, 활동제한, 주거환경, 일상생활의 의존성 간의 상관관계를 분석하기 위해서 피 어슨 상관분석을 실시하였다. 이동 보조기기를 이용하는 신체장애인의 삶의 만족도에 영향을 주는 요인을 분석하기 위해 서 다중회귀분석을 실시하였다. 또한 현재 사용하고 있는 이동 보조기기의 만족도에 대한 백분율은 그래프로 제시하였다.
결과 :이동 보조기기 사용 여부에 따른 두 집단의 비교에서 심리적 요인, 환경적 요인, 삶의 만족도에서 유의한 차이를 확인하였다. 신체장애인의 삶의 만족도는 장애수용, 자아존중감, 주거환경과 양의 상관관계를 보였으며(p<.01), 우울, 활 동제한, 일상생활의 의존성과 음의 상관관계를 보였다(p<.01). 이동 보조기기를 이용하는 신체장애인의 삶의 만족도에 영 향을 주는 요인은 나이(ß=-.122, p<.001), 장애수용(ß=.263, p<.001), 우울(ß=-.288, p<.001), 활동제한(ß=-.181, p<.001), 주거환경(ß=.102, p<.01)으로 분석되었다.
결론 : 이동 보조기기를 이용하는 신체장애인의 삶의 만족도를 높이기 위해서는 기능에 맞는 이동 보조기기를 선택하고 이에 적응하기 위한 재활프로그램이 활용되어야 할 것이며, 정책적인 지원이 필요할 것이다.",황호성,2022,https://www.riss.kr/link?id=A108314965
양손을 사용한 상지 재활 훈련 (bilateral arm movement training)의 효과,양손 협응을 통한 상지의 정상적인 운동은 일상생활동작 수행의 질을 결정하는 필수조건이 된다. 그러나 뇌졸중으로 인한 신경학적 손상은 뇌손상이 일어난 반대측 신체에 감각운동적 기능장애를 일으키게 된다. 마비측 상지 훈련뿐만 아니라 양측 상지의 동시적 운동 수행이 마비된 상지의 기능회복에 미치는 영향에 대한 연구가 활발히 진행되고 있다. 그러나 양측 상지 훈련을 다양한 기능 수준의 환자군에게 적용한 연구가 없다. 다양한 양측 상지 훈련 개발을 위해 양측 상지를 이용한 과제에 대해 정확한 분석이 이루어져야 할 것이며 치료 효과를 이어갈 수 있도록 양측 상지 훈련에 대한 홈 프로그램 운동이나 프로토콜 개발이 필요할 것이라고 생각된다.,차미선,2014,https://www.riss.kr/link?id=A100223646
뇌졸중 편마비 성인을 위한 일상생활보조도구 적용: 사례연구,"목적 : 본 연구를 통해 뇌졸중 편마비 성인에게 일상생활보조도구를 적용했을 때 작업수행 및 만족도에 어떤 영향을 미치는지 알아보고자 한다.
연구방법 : 대상자는 뇌졸중으로 인해 왼쪽 편마비 장애를 가진 60세 여성이다. 상담 및 평가를 통해 한 손 사용자를 위한 도마와 손잡이가 긴 목욕도구(바디샤워)를 3개월 동안 적용하였다. 보조기구의 효율성을 확인하기 위해 Modified Bathel Index(M BI)와 캐나다작업수행측정(Canadian Occupational Performance Measurement, COPM)을 사용하였다.
결과 : MBI에서는 목욕하기 영역에서 점수 향상이 있었고, COPM에서는 작업수행의 문제로 설정한 목욕하기 및 식사준비하기 의 두 영역 모두에서 작업 수행도 및 만족도 점수가 증가하였다.
결론 : 적절한 보조기구의 적용은 장애인이 장애 발생 전에 수행하던 역할을 다시 수행하도록 하는데 긍정적인 영향을 미치며 일상생활활동의 수행과 만족도를 증진시켜 준다. 따라서 작업치료사는 뇌졸중 편마비 성인의 작업 수행 증진을 위해 적절한 일상생활보조기구 평가 및 훈련에 대한 다양한 접근을 해야 할 것이다.",오은영,2010,https://www.riss.kr/link?id=A105612608
식사보조도구 적용이 경직형 뇌성마비 아동의 자가-섭식 기능에 미치는 영향 : 사례연구,"목적 : 본 연구는 식사보조도구 적용이 경직형 뇌성마비 아동의 자가-섭식 기능에 미치는 영향을 알아보기 위한 것이었다.
연구방법 : 연구대상자는 15세의 경직형 뇌성마비 남자 1명이었으며, 연구는 사례연구였다. 식사보조도구는 대상자의 신체기능 및 손기능을 평가한 후 작업치료사가 대상자에게 적합한 형태를 제작하여 적용하였다. 식사보조도구 적용 전과 후 대상자의 자가-섭식 기능의 변화는 일상생활평가도구인 Functional Independent Measure(FIM) 중 먹기(eating) 항목을 이용하여 평가하였고, 수행의 변화에 대한 만족도는 Canadian Occupational Performance Measure(COPM)의 수행도와 만족도 항목을 통해 측정하였다.
결과 : 식사보조도구를 적용한 이후 FIM의 먹기 영역의 점수는 2점에서 5점으로 증가되었고, 만족도 점수는 2점에서 8점으로 향상되었다.
결론 : 대상자의 신체기능 및 손기능을 고려하여 제작한 식사보조도구의 적용은 경직형 뇌성마비 아동의 자가-섭식 기능을 향상시키는 것으로 나타났다.",최유임,2012,https://www.riss.kr/link?id=A99536291
전통적인 MVPT와 컴퓨터화된 MVPT와의 상관연구,"목적 : 본 연구의 목적은 기존의 전통적인 MVPT와 컴퓨터화된 MVPT의 상관성을 분석하여 임상에서 컴퓨터화된 MVPT 사
용의 유용성을 검증하고자 한다.
연구방법 : 2004년 6월 10일부터 8월 10일까지 서울의 S병원 입원 및 외래 환자 중 좌측편마비 환자 중에서 한국판소인지기능
검사(MMSE-K) 점수가 20점 이상인 30명을 대상으로 전통적인 MVPT와 컴퓨터화된 MVPT를 실시하여 그 상관성을 분석
하였다.
결과 : 검사의 하위 항목 간에는 유의수준 0.05에서 차이가 없었고, 두 검사간의 상관성 비교에서는 모든 항목에서 99% 신뢰
수준에서 통계학적으로 유의한 상관성이 있었다. 또한 두 검사간의 최종 편측무시 여부를 진단한 결과의 Wilcoxon 검증 결과
편측무시의 판단에서 두 검사는 80%의 일치를 보였고, 반응시간에 대한 일치도는 83.3%였다.
결론 : 본 연구에서 전통적인 MVPT와 컴퓨터화된 MVPT 간에 높은 상관이 있는 것으로 나타났다. 향후 뇌졸중환자의 시지
각 능력을 평가하는 도구로 컴퓨터화된 MVPT를 사용할 수 있다.",전병진,2011,https://www.riss.kr/link?id=A99536282
장애인의 직업생활을 지원하기 위한 보조공학기기 개발 현황 및 방향,"서론 : 본 연구의 목적은 보조공학기기 개발사업 현황과 성과를 살펴보고, 이러한 내.외적인 환경변화에 대응하기 위한 보조공학기기 개발 추진 방향과 결론을 제시하고자 하였다.
본론 : 보조공학서비스는 사용자인 장애인들의 편에서 바라보는 전달체계가 구축되어야 한다. 즉, 그 동안의 공급자 중심의 서비스가 아닌 진정한 수요자 중심의 서비스 제공을 위한 전달체계의 변화가 필요한 시점이다. 따라서 본 연구에서는 이러한 환경변화에 적절하게 대응하기 위한 장기적인 보조공학기기 개발 방향을 제시하였다.
결론 : 보조공학서비스의 질적 향상과 보조공학 산업의 고도화, 규모화를 통해 수요자와 공급자가 서로 성공하는 사업모델을 만들기 위해, 각계의 보조공학 관련 전문가로 구성된 상설협의체를 구성하여 공동 협력하는 방안을 제시하였으나, 본 연구에서 제시한 개발 방향은 과학적인 연구방법을 통해 분석한 결과가 아니고 주관적인 입장에서 그동안의 사업추진 경험을 토대로 작성한 것이기 때문에 최선의 방안이라고 하기에는 한계가 있어 추가적인 연구가 필요하다",김동욱,2009,https://www.riss.kr/link?id=A82339795
연성척추보조기(flexible spinal orthosis) 착용에 따른 균형의 변화,"목적 : 본 연구의 목적은 연성척추보조기 착용에 따른 균형의 변화를 알아보고 작업치료중재를 위한 기초자료를 제공하기 위함이다.
연구방법 : 본 연구는 2006년 11월 20일 부터 2007년 2월 26일까지 김해시 I 대학교에서 실시하였으며 성인 남녀 25명을 대상으로 하였다. 본 연구에 사용된 실험도구는 균형능력을 측정하는 Tetrax Interactive Balance System 이며 연성척추보조기 중 요천추 코르셋을 사용하여 연구를 시행하였다. 본 연구는 Tetrax Interactive Balance System 을 충분히 습득한 세 명의 연구자에 의해 시행되었으며 산출된 자료는 SPSS 12.0 for windows를 사용하여 분석하였다.
결과 : 연성척추보조기 착용 유무에 따른 낙상지수의 변화는 유의한 차이를 보였다(P<0.05). 연성척추보조기 착용 유무에 따른 Fourier Harmony Index(KHI)) 의 변화는 유의한 차이가 없었다(P<0.05). 연성척추보조기 착용 유무에 따른 Weight Distribution Index(WDI) 의 변화는 유의한 차이가 없었다(P<0.05). 대상자의 일반적 특성과 연성척추보조기 착용 유무에 따른 낙상지수 값의 변화는 유의하지 않았다(P<0.05).
결론 : 연성척추보조기 착용 유무에 따른 낙상지수 값의 변화는 P<0.05 로 유의한 차이를 보였다. 이러한 결과는 연성척추보조기의 착용 뮤우가 균형능력의 변화에 영향을 미치며 일상생활활동과 관련된 낙상과도 밀접한 관계임을 확인할 수 있다. 따라서 본 연구는 균형과 연성척추보조기의 연관성에 관한 향후 연구를 위한 기초자료를 제공하고자 한다.",심니은,2009,https://www.riss.kr/link?id=A76525847
