
다시 살펴보는 수술실 CCTV,"수술실에서 연이어 일어난 비윤리적 사건들은 한국 사회에 큰 충격을 주었다. 이에 감시가 필요하다는 사회적 공감대가 형성되었고 수술실 내부에 CCTV(Closed Circuit Television)를 강제하는 의료법 개정이 이루어졌다(<부록 1> 의료법 제38조의2). ‘수술실 CCTV 설치 의무화’ 찬성의 근거는 명확하다. 수술실의 일탈 행위는 사회가 용인할 수 있는 한계를 넘어섰고 이를 방지할 대책으로 CCTV 외에 다른 대안이 없다는 것이다. 의사들의 비윤리적 행위가 일으킨 대중의 분노는 엄청난 것이어서 여론을 돌이켜 세우는 것은 처음부터 불가한 것이었다. 수술실 CCTV는 ‘의사들의 도덕성에 가해진 사회적 메스’ 였다. 이미 법률안이 확정되었음에도 다시 살펴봐야 할 내용들이 있다. 첫째, 감시와 관련된 인권의 영역을 살펴보는 작업이다. 1) 노동감시와 직업수행의 자유, 2) 프라이버시, 3) 개인정보자기결정권 등이 그것이다. 수술실의 감시 카메라는 불법적 행위로부터 환자 안전을 지키는 강력한 수단이지만 의료진의 기본권을 제한한다. ‘감시에 의한 시민 보호와 인권 침해’, 충돌하는 두 가치 사이에서 우리 사회는 합의점을 찾아야 한다. 둘째, 영상정보관리의 한계와 위험성이다. 시행상 가장 중요한 문제로 법안의 시행령, 규칙을 세밀히 다듬어 피해를 최소화해야 한다. 셋째, 한국 의료 내부의 구조적 문제들이다. 입법 과정에서 충실히 논의되지 않은 복잡한 사안들로 환자 안전을 위협하고 갈등을 유발하는 근본적 요인이기도 하다. 수술실 CCTV 시행이 내년으로 다가왔다. 환자 안전을 도모하고 부작용을 최소화하려면 이상의 문제들을 더 깊이 살펴보고 시작해야 한다.",조성준,2022,https://www.riss.kr/link?id=A108280209
수술실 CCTV법 시행을 앞둔 수련병원 의사들의 견해,"전신마취 하의 환자들의 수술과 관련하여 대리수술, 무면허수술, 성추행 같은 문제나 의료분쟁 등에서 정보 약자에 속하였던 환자와 시민단체들의 지속적인 요청 등에 힘입어 수술실 CCTV법이 2년의 유예 기간을 두고 제정, 공포되었다. 저자들은 수련병원 전문의들과 수련의들을 대상으로 본 법안의 구체적인 내용들에 대한 만족도, 예상되는 효과 및 우려에 대한 설문 조사를 시행하였다. 법안의 주요 항목들에 대해서는 불만족하다는 의견이 다수였다. 법안으로 인해 환자측에서 기대하는 효과들(불법행위 예방, 알권리 충족)이 달성될 가능성은 낮게 평가했지만, 진료 및 교육 위축, 직업적 자유에 대한 침해 등 의료계의 염려에 대해서는 높은 우려를 표하였다. 따라서 유예 기간에 양측의 입장을 절충한 보완책에 대한 논의가 필요하고, 분쟁 문제를 원활히 해결할 수 있는 조정법안 등에 대한 개선, 보완을 서둘러야 할 것이다.",정유석,2022,https://www.riss.kr/link?id=A108280207
신생아 및 소아 중환자실 간호사의 도덕적 민감성과 도덕적 고뇌가 돌봄 행위에 미치는 영향,"본 연구는 신생아 및 소아 중환자실 간호사의 도덕적 민감성과 도덕적 고뇌가 돌봄 행위에 미치는 영향을 파악하기 위한 서술적 조사연구이다. 자료수집은 2020년 11월 11일부터 12월 2일까지 2개 지역 5개 상급종합병원을 대상으로 자가보고식 설문조사를 진행하였다. 연구대상자는 신생아 및 소아 중환자실에 근무하는 실무경력 1년 이상의 간호사 128명이었으며, 최종 121명을 분석에 포함하였다. 연구결과, 도덕적 민감성 4.91±0.45점, 도덕적 고뇌 4.39±2.60점, 돌봄 행위 5.11±0.81점으로 확인되었다. 연령에 따라 도덕적 민감성(p=.002), 도덕적 고뇌(p=.001), 돌봄 행위(p=.013)는 유의한 차이를 보였으며, 경력, 결혼 여부, 전문적 상담의 필요성 여부, 윤리교육 및 윤리 세미나 참석 경험 등도 유의한 차이가 있었다. 다중회귀분석 결과, 도덕적 민감성(p<.001)과 도덕적 고뇌(p=.027)는 돌봄 행위에 대하여 유의한 영향을 끼치는 것으로 확인되었으며, 각 모형의 설명력은 22.5%, 10.3%이었다. 또한, 도덕적 민감성의 하위 요인인 환자중심간호(p<.001)와 도덕적 고뇌의 하위 요인인 윤리적 문제를 주장하는 데 대한 제약(p=.009)이 돌봄 행위에 대하여 유의미한 예측력을 가진 변인으로 확인되었다. 따라서 신생아 및 소아 중환자실 간호사가 처한 특수한 상황으로 인한 윤리적 딜레마를 이해하고, 돌봄 행위 향상을 위하여 도덕적 민감성을 증진시키고 도덕적 고뇌를 낮출 수 있는 중재 마련이 필요하다.",황가희,2022,https://www.riss.kr/link?id=A108280211
국내 인플루엔자 발생 현황 및 향후 대책,"인플루엔자는 국내에서 주로 겨울철에 계절 유행을 일으켜 인구의 10~20%가 감염되고, 주로 영유아와 노약자에서 입원환자가 발생된다. 약 20년전부터 국내에서 전국적인 인플루엔자감시가 체계적으로 이루어지면서 발생현황과 질병부담이 밝혀지고 있다. 또한 인플루엔자는 2009년 H1N1 대유행을 초래한 바 있으며, 향후 대유행 인플루엔자 발생 우려가 있다. 국내에서 인플루엔자는 12월부터 다음해 4월까지 매년 크고 작은 유행을 초래해왔으며, A형 H3N2, H1N1, B형 바이러스가 동시에 유행하고 있다. 최근에는 A형 H3N2 인플루엔자바이러스가 크게 유행하고, 인플루엔자백신의 예방효과가 낮아 문제가 되고 있다. 인플루엔자로 인한 질병부담에 대한 연구에 따르면, 통계청의 사망통계를 통한 추정치로 매년 2,900명 정도가 인플루엔자로 초과 사망을 하며, 주로 65세 이상 고령자에서 발생된다. 따라서 계절인플루엔자로 인한 질병부담은 상당하다. 국내에서 인플루엔자백신은 전량 수입에 의존하다가 2009년부터 자체 생산이 시작되었고, 현재는 3개 국내백신회사가 3가, 4가 계란 및 세포배양 백신을 생산하여 전국민 접종이 가능할 정도의 생산능력을 보유하고 있다. 국가 인플루엔자백신접종 정책은 65세 이상 고령자에서 무료접종이 정착이 되어 현재 접종율은 약 83%로 OECD 국가중에서 1위이다. 최근에는 6개월-59개월 영유아 무료접종이 시작되어 접종율이 약 80% 정도로 높으며, 2018년 말부터 12세 이하 초등학생까지 무료접종이 확대될 예정이다. 우리나라 인플루엔자 예방접종 사업은 세계적으로도 우수하게 이루어지는 것으로 인정되고 있으며, 향후 중고등학생뿐만아니라 임신부 및 만성병병환자까지 무료접종이 확대될 필요가 있다. 이미 미국에서는 6개월 이상 전국민에게 인플루엔자백신 접종을 권고하고 있으며, 우리나라도 종래에는 전국민을 대상으로 인플루엔자백신 접종을 확대하는 것을 고려할 필요가 있다. 인플루엔자백신 개발에서 최근 유행하는 A형 H3N2 바이러스에 대한 백신효과를 높이기 위한 대책 마련이 필요하다. 궁극적으로는 모든 계절인플루엔자바이러스와 잠재적인 대유행인플루엔자바이러스까지 예방 가능한 범용인플루엔자백신 연구개발이 필요하다. 국내 가금류에서는 2003년 이후 H5N1, H5N8, H5N3 조류인플루엔자가 주기적으로 유행하였으나, 유증상 인체감염자는 발생하지 않았다. 2013년 이후 중국에서 H7N9 조류인플루엔자가 가금류에서 유행하면서 인체감염자가 속출하고 있으며, 차기 인플루엔자 대유행의 유력한 후보로 간주되고 있다. 국내에서는 차기 인플루엔자 대유행에 대한 국가적인 대비대응이 필요한 상황이다.",김우주 ( Woo Joo Kim ),2018,https://www.riss.kr/link?id=A105498207
연명의료결정제도 연구 동향 분석: 주제범위 문헌고찰,"우리나라 연명의료제도는 2023년 현재 ‘호스피스·완화의료 및 임종 과정에 있는 환자의 연명의료 결정에 관한 법(이하 연명의료결정법)’ 제정(2016년 2월) 후 7년, 연명의료결정법 시행(2018년 2월) 후 5년이 지났다. 본 연구 는 연명의료결정법이 시행된 2018년 이후 연구동향 고찰을 통해 연명의료결정제도 관련 연구에 대한 성찰과 발전 방향을 모색해 보고자 수행된 연구이다. 이를 위해 2018년부터 2022년까지 국내외학술지에 발표된 연명의료결정 제도 논문을 주제범위 문헌고찰(scoping review) 방법으로 분석하였으며, 6개 데이터베이스를 사용하여 검색하 였다(RISS, KCI, DBPIA, PubMed, CINAHL, Embase). 검색을 통해 선정된 논문은 총 285편이었으며, 윤리· 법제 관련 논문이 121편(42.5%), 건강과학 관련 논문이 164편(57.5%)을 차지하였다. 연명의료결정제도 관련하 여 가장 많이 수행된 연구방법은 양적연구방법(50.2%), 고찰연구(41.4%), 질적연구(4.9%) 순으로 나타났다. 연구 대상은 환자(27%), 성인(20.4%), 대학생(17.9%), 간호사(15.6%), 의사(3.6%) 순으로 연구되었다. 논문의 토픽을 분석한 결과 윤리·법제 관련 논문은 제도의 법률적 문제점과 개선방향, 자기결정권, 존엄사, 대리결정, 죽음, 생 명의료윤리, 법적근거 관련 논문 순으로 나타났으며, 건강과학 관련 논문은 사전연명의료의향서, 연명의료계획서, 죽음에 대한 숙고, 의사결정, 임종기돌봄, 생명의료윤리, 심리·사회적 요인, 삶의 가치 등의 순으로 나타났다. 연 명의료제도의 본질은 생애말기 환자가 존엄하게 삶을 마무리 할 수 있도록 하기 위해 ‘무의미한’ 치료를 받지 않을 수 있는 제도이며, 이를 위해서는 우리나라의 사회 문화적 맥락 안에서 개개인의 삶과 죽음에 대한 가치가 반영되 어야 한다. 연명의료제도가 사회 속에서 현재의 과도기를 거쳐 제도적 본질을 실현하고 안정적으로 정착하기 위해 서는 임상현장 안에서 제도가 어떻게 작동하고 있는지에 대한 지속적인 고민이 필요하다. 좋은 죽음에 대한 사회적 합의를 이루기 위한 노력과 다학제간 총체적 접근을 통한 추후 연구가 지속되어야 하겠다.",류재한,2023,https://www.riss.kr/link?id=A108764426
뇌사판정위원회 관련 법령과 윤리적 고찰,"1 ""장기등이식에관한법률에 따른 장기이식 실태조사"" 17 (17): 131-147, 2003",엄영란 ( Young Rhan Um ),2004,https://www.riss.kr/link?id=A87018044
세대 간 음주문화 차이 : 음주태도 중심으로,"[연구배경] Mandelbaum(1965)의 연구에서 술은 고대로부터 오늘날에 이르기까지 종교의식과 사회적 유물로 가장 보편적으로 사용되어지고 있으며 문화 적으로 밀접하게 자리 잡고 있다(김대수, 이종완, 2015). 현대사회에서 의 술은 대인관계를 중요시하는 문화로 자리매김하고 있다. 소통의 독 뿐 아니라 최근에는 스트레스를 풀기 위한 수단으로 혼자 마시는 술이 라 하여 ‘혼술’문화도 새롭게 생겨났다. 1인 가구 증가로 주류마케팅에 서도 새로운 음주문화를 등장시켜 술에 대한 접근성을 높여 음주율이 증가하고 있는 추세이다. 음주와 관련된 대다수 논문은 알코올 중독(허 근, 2012)이나 고위험 음주 문제점(최종복, 함철호, 2017)을 파악하는 문제 음주에 관한 연구에 국한되어 있다. 세대별 음주에 관한 연구는 거의 없는 실정이다. 세대는 그 시대의 태도, 문화, 및 행동 양식에 영 향을 받는다. 세대 구분할 때 일정한 유형이 있는데 김선기(2014)에 따 르면 세대를 기준으로 어떤 무제를 다루는 것은 매우 설득력 있지만, 생각보다 쉽지 않다고 하고 있다. 세대 차이를 결정짓는 요인은 주로 정치, 경제, 문화이다(박재흥, 2005). 급격한 변화를 겪은 한국사회는 집단별 특성이 강하므로 음주문화에도 차이가 있을 것으로 예상이 된 다. 그러므로 음주 관련 규제나 정책을 개발 시 본 연구의 결과가 기초 잘로 활용될 수 있을 것으로 생각되어 본 연구를 하게 되었다. [연구목적] 최근 우리 사회의 지나치게술을 많이 마시고 여러 폐해에 대한 우려가 계속되고 있다. 그렇다면 이러한 우려의 본질을 파악하려면 사람들이 술을 어떻게 마시는지에 대한 분석이 있어야 하며, 그 분석은 우리 사 회의 실존적 상황을 밝혀주는 역할을 할 것이다. 관대한 음주문화를 개 선하고, 음주취약게층의 음주 폐해를 막기 위한 정책 추진이 필요하다. 이러한 정책을 추진하기 위해서는 음주행동에 영향을 미치는 음주에 대한 세대별 사회규범이나 특성을 파악할 필요가 있다. 본 연구의 목적 은 코호트, 문화·정치적 사건에 따라서 한국사회의 구성원을 네 가지 범주, 즉 베이비붐 세대, 86세대, X세대, 에코세대로 나누어 세대별 음 주동기, 규범, 음주자기합리화와 음주억제 그리고 음주행동에 차이가 있는지 탐색하고자 한다. [연구방법] 본 연구를 위하여 2017년 11월 M조사회사에 등록된 패널을 대상으로 인구비례층화 추출 방법과 국민 건강 영양조사의 성별 음주율을 고려 하여 표본 수를 할당하였다. 성, 연령, 지역별로 목표할당 사례 수를 설 정하엿으며, 총 사례 수는 1,100명으로 설정하였다. 본 연구의 대상은 술을 주로 마시는 연령인 19-59세와 한 달에 한 번 이상 술을 마셔본 경험이 잇는 월간 음주자로 하였다. 본 연구의 조사 기간은 2017년 11 월 1일부터 8일까지 온라인 조사로 진행되었다. 총 접촉자 수는 1,845 명이었고, 이중 응답을 완료한 사람은 1,222명이었으며, 대상이 아닌 자가 575명, 중도포기 37명, 불성실 자료 37명으로 분석에 사용된 자 료는 총 1,185명이었다. 측정도구는 음주규범과 음주 자기합리화로 구 분하였다. 음주규범은 명령적 규범은 5점 Likert 척도(1-5점)로 평정하 도록 하였다. 각 영역의 척도는 모든 문항을 합산하여 총점을 구하였 고, 점수가 높을수록 음주에 대한 규범이 허용적이나 관대함을 나타낸 다. Cronbach’s의 계수가 0.67로 나타났다. 왜곡된 음주행동을 촉발하 는 요인으로 음주에 대한 왜곡된 정당화 기재인 음주에 대한 자리합리 화가 있다. 술에 대한 자기 합리화는 자신이 왜 술을 마시는지에 대한 이유를 합리화시키는 문항으로 “나는 젊고 건강해서 더 마셔도 괜찮 다”, “나는 술이 세서 괜찮다”와 “술 마시는 것 외에 할 만한 게 없 다”, “다른 사람에 비해 조금 마시는 편이ㅏ”, “내일 아침 일찍 나가도 되니까 술을 마셔도 된다” 등으로 구성되어 있다. 술에 대한 자기합리 화 Cronbach’s 계수값은 0.75이다. 본 연구의 모든 통계 분석은 통계 패키지 프로그램인 PASW Statistics 18(SPSS 18)을 사용하였다. 인구 학적 특성은 빈도분석을 하였으며 세대별 사회인구학적 특성(학력, 직 업, 결혼여부, 종교, 월평균가구소득)과 음주규범, 음주 자기합리화의 차이를 알아보기 위해 교차분석(Chi-square test)을 사용하였다. 이 외 에 측정 도구에 대해서는 신뢰도 분석을 실시하였다. [연구결과] 1. 인구학적 특성 연구대상자 총 수는 1,185명으로 지역별 서울이 386명(38.2%)로 가장 높았고, 인천/경기 365명(30.8%), 부산/울산/경남과 대전/세종/충청 각 각 100명(12.2%) 순이었다. 세대구분은 86세대가 390명(32.9%)으로 전체의 1/3을 차지하였고, 그 다음으로는 에코세대 273명(23.0%), X세 대 271명(22.9%), 베이비붐 세대 251명(21.2%)로 나왔다. 2.음주규범 음주규범은 명령적 음주규범과 묘사적 음주규범으로 구분되었다. 명령 적 음주규범은 에코세대는 공원이나 등산을 가서 공공장소 음주에 대 해 관용적인 입장이었고, 낮술을 마시거나 술을 마시고 취하는 것, ‘혼 술’을 하는 것에 긍정적인 의견이었다. 다만 고등학생이 술을 마시는 것은 모든 세대가 허용적이지 않았으나 에코세대는 베이비붐 세대에 비해 괜찮다는 의견이 두 배 가까이 높았다. 묘사적 음주규범은 베이비 붐 세대는 접대 음주 경험이 다른 세대보다 가장 높았고, 에코 세대는 친구나 동료들이 술을 많이 마신다고 생각하여 본인의 음주에 대해 관 대하여 폭음 위험이 높았다. 베이비붐 세대는 술자리를 일찍 끝내는 반 면 86세대와 X세대는 2차, 에코세대는 3차 이상을 가지는 것으로 나타 났다. 음주 자기합리화는 베이비붐 세대는 다른사람과 교제에서 술이 필요하다는 인식이 강했으며, 에코세대는 젊고 건강하고, 술이 세서 괜 찮으며 다음날 일찍 일어나지 않아도 되어 술을 마셔도 괜찮다고 응답 하였다. 모든 세대가 살이 찔까봐 음주를 억제하는 의견은 일치하였다. 결론적으로 에코세대는 허용적인 음주규범을 가지고 있어 청소년과 대 학생 음주에 관련된 체계적인 보건교육을 할 필요가 있다. X세대는 한 번에 마시는 음주량과 장소별 폭음 횟수도 다른 세대보다 매우 높으므 로 직장 생활의 절주 교육 프로그램을 할 필요가 있다. 86세대는 음주 로 인한 통제력과 관련된 올바른 음주문화 교육프로그램이 이루어져야 할 것이다. 베이비붐 세대의 사회적 관계를 중시하는 음주문화가 높으 므로 베이비붐 세대의 올바른 음주문화 개선 프로그램을 동호회나 친 구들 모임에 적용해야 할 것이다.",문제은,2018,https://www.riss.kr/link?id=A106192958
"원칙주의 생명의료윤리, 유학 생명윤리와 인격주의 생명윤리의 원리 고찰","이 글은 우리사회의 의료적 결정에 개입할 수 있는 윤리 원칙과 원리가 지향하는 근원적 가치와 이의 실천적 측면을 고찰하였다. 이를 위하여 원칙주의 생명의료윤리(biomedical ethics), 유학관점의유학 생명윤리(confucian bioethics)와 기독교ㆍ가톨릭 관점의 인격주의 생명윤리(personalist bioethics) 를 선정하여 세 체계가 제안하는 원칙과 중심 원리를 고찰하여, 의료적 결정에서 목적하는 근원적 가치를 추출함과 동시에 근원적 가치가 목적하는 바를 실현하기 위한 실천은 무엇인지 규명해 보았다. 먼저, 원칙주의 생명의료윤리가 제시하는 네 원칙은 인권존중과 인간존엄을 그 목적으로 한다.
즉, ‘자율성 존중’, ‘선행’, ‘악행금지’, ‘정의’를 통하여 우리가 도달하고자 하는 목적은 인권존중과 인간존엄에 있음을, 이 원칙이 태동한 역사적 배경인 벨몬트 보고서 등에서 알 수 있었다. 두 번째, 유학 생명윤리 체계의 구성 원리는 [타인에 대한]의무로서 덕과 덕의 실천이었다. 타인에 대한 의무로서 덕을인지하고, 덕을 실천하는 행위는 사회 내에서 인간존엄과 인권존중 행위의 기초를 이룰 수 있다. 세 번째, 인격주의 생명윤리 체계에서 제일 원리는 신체적 생명존중의 원리이다. 이 원리는 의료적 결정에서 존재론적 인격지위를 가지고, 영혼과 신체의 단일체인 인간에게 적용되는 제일의 원리이다. 이상고찰한 바를 종합하면 세 체계가 용어의 사용과 표현방식에서는 상이하나, 의료윤리 및 생명윤리와 관련하여 제시하는 원칙과 원리가 목적하는 근원적 가치는 인간존엄과 인권존중으로 수렴할 수 있다. 세체계가 지향하는 근원적 가치가 이러하다면, 상이한 용어와 개념에 대한 철학적 고찰과 실천적 적용에대한 논의 이전에, 우리가 가장 우선적으로 실천해야하는 것은 개인의 존재형태인 신체적 생명을 보호하는 실천 행위임은 자명해진다.",손보미,2016,https://www.riss.kr/link?id=A104538530
요양시설 노인에 대한 구강건강증진프로그램의 효과,"[ 연구배경 ] 요양시설을 이용하는 대부분의 노인은 거동이 불편하여 구강건강관리를 시행하기에 어렸다. 특히 치매나 뇌졸중 노인의 경우 잇솔질, 틀니세척과 관리, 구강보조용품 사용과 같은 기본 적인 구강관리가 되지 않아 치태와 음식물 잔사로 인하여 발생된 불량한 구강환경은 흡인성 폐렴의 원인이 되기도 한다. 그럼에도 불구하고, 구강건강을 케어 할 구강보건인력의 배치도 없고 구강건강에 대한 관심도 부족하며, 구강관련 보건정책과 구강증진 관련 사업에 대한 연구는 드물다. [ 연구목적 ] 요양시설을 이용하는 노인을 대상으로 구강건강증진프로그램의 효과와 전문가교육군, 비전문 가교육군 간의 구강건강 증진정도의 차이를 검증하여 추후 요양시설 노인의 구강건강정책에 기초자료를 제공하고, 노인요양시설에 구강보건인력 배치의 필요성을 보고하기 위함이다. [ 연구방법 ] 경상북도에 소재한 노인요양시설 3곳의 65세 이상 노인을 대상으로 2016년 6월 7일부터 8 월 19일까지 연구를 수행하였다. 연구대상의 표본크기는 G*Power 3.1.3 프로그램을 이용하 여 표본 20명으로 정하고, 중도탈락자를 가정하여 각 군마다 25명으로 총 75명을 연구 대상자로 하였다. 두 개의 실험군과 한 개의 대조군으로 실험군 1은 구강보건전문가인 치 과위생사 3명이 교육하고, 실험군 2는 비구강보건전문가이며 노인요양시설에 근무하는 요양 보호사 3명이 교육을 담당하고, 대조군은 교육을 하지 않고 관찰만 하였다. 연구의 사전조사 는 프로그램 실시 전에, 사후조사는 주 2회 총 8회 프로그램 실시 후 조사하였다. [ 연구결과 ] 구강건강증진프로그램 실시 전·후에 비교한 구강기능 측정 결과는 구강습윤도(F=34.13, p=.000), 개구량(F=1.83, p=.050), 구륜근력(F=4.35, p=.017), 연하력(F=4.71, p=.012)은 실험군 1과 실험군 2에서 모두 유의하게 높아졌다. 대조군에서는 미미한 변화를 보여주였다. 그리고 구강환경의 구취(F=8.94, p=.000) 측정결과에서도 실험군 1과 실험군 2에서 모두 유의하게 감소하였다. 대조군에서는 구취가 더 심해진 것으로 나타났으며, 통계적으로 유의 한 차이가 있었다.",장정유,2017,https://www.riss.kr/link?id=A103057929
간호윤리의 본질에 관한 윤리학적 고찰 - 간호사와 의사의 관계를 중심으로,"이 글은 간호윤리 물음을 그 성격이 서로 다른 ‘다발’ 물음으로 규정한 후, 간호사와 의사의 관계에초점을 맞추어 간호윤리의 본질을 규명하는 데 그 목적이 있다. 이를 위해 필자는 먼저 간호 윤리 물음이 무엇인지 철학적으로 해명한 다음, 간호윤리학을 분류하였다. 그 성격이 서로 다른 간호윤리 물음이 존재하지만, 그 핵심은 환자를 중심으로 한 간호사와 의사의 관계 물음이다. 그래서 필자는 간호사와 의사의 관계를 의학적 판단에 있어서 불일치하는 경우와 윤리적 판단에 있어서 불일치하는 경우로나누어 논의하였다. 즉, 간호사는 의사에게 고용되기 이전 나이팅게일 선서를 통해 환자의 생명과 건강을 보호하겠다고 명시적으로 선언하였기에, 전문직 지위 모델에 따라 환자의 실존적 옹호자가 되어야 함을 필자는 제안하였다. 이러한 간호윤리학이 성립되자면, 간호 전문직의 자율성 확보가 선행되어야 함을 필자는 또한 역설하였다.",김상득,2014,https://www.riss.kr/link?id=A104539592
