
챗GPT를 활용한 시창작 방안 연구,"챗GPT-4의 등장으로 ‘창작’의 영역은 인공지능이 대체할 것이라는 두려움과 불안감에 휩싸였다. 만일 공고히 지켜온 인간의 창작 영역마저 인공지능이 빼앗는다면 여태껏 철학에서 강조했던 인간에 대한 기대와 사유가 허상에 불과한 것이 될지도 모른다. 따라서 본 연구에서 인공지능의 현황을 살피고 챗GPT가 부재하고 있는 것을 확인하여, 챗GPT를 활용한 창작 방안을 모색하고자 한다. 또한 문학 장르 중 은유, 반복, 표현 등 모든 것이 고려되는 시를 중심으로 다루면서, 챗GPT가 결코 인간의 창작물을 넘어설 수 없음을 확인한다. 그래서 본 연구는 챗GPT가 인간을 대체할 기술이 아닌 인간과 상호보완하는 존재로 인정하고, 추후 시창작을 위해 챗GPT를 어떻게 효율적으로 활용할 수 있을지 고찰한다.
본 연구에서 챗GPT의 창작 역량이 아직 부족하다고 보고, 챗GPT를 활용한 시창작 방안을 제시하여 추후 교육 활동에 적용할 목적으로까지 확장된 논의를 펼친다. 또한 시창작에서 중요하게 여기는 관점과 감정이 챗GPT에 부재하고 있음을 확인하고, 이를 사용자가 채워 창작물로서 완성하기를 제안한다. 따라서 본 연구에서는 챗GPT의 한계를 검토하고, 챗GPT를 활용한 시창작 방안의 논리적인 이해를 돕기 위해 볼프강 이저의 이론으로 설명하고자 한다. 이저가 말한 미정성과 빈자리 개념을 가지고 사용자의 역할을 설명한다면 챗GPT의 활용에 있어 논리적으로 접근할 수 있다. 이는 추후 교육 분야에서 유의미한 논의가 될 것이라 기대한다.",김민지 ( Kim¸ Min-jee ),2023,https://www.riss.kr/link?id=A108741628
한국어교육에서의 대화형 인공지능 챗봇 적용 가능성 탐색 -고급 한국어 학습자와 ChatGPT의 상호작용 분석을 중심으로-,"2022년에 출시된 ChatGPT는 대화형 인공지능 챗봇으로 높은 성능을 보이며 언어 교육에서 활용되고 있다. 본 연구의 목적은 대화형 인공지능 챗봇(Chatbot)인 ChatGPT와 한국어 학습자의 상호작용 분석을 통해 한국어교육에서 대화형 인공지능 챗봇의 적용 가능성을 탐색하는 데에 있다. 이를 위해 고급 한국어 학습자 3인을 섭외하여 쓰기, 말하기 과제를 수행하게 하여 상호작용 결과를 분석하였다. 본 연구에서 제시한 쓰기 과제는 쓰기 수정, 글 작성, 자유로운 쓰기이며, 말하기 과제는 인터뷰, 대화/역할극 생성, 자유로운 말하기 과제이다. 그 결과, ChatGPT가 완벽하지는 않지만 한국어교육에서도 적용가능하며, 특히 해외 학습자의 말하기 연습용, 학습자 맞춤형 학습, 학습자의 말하기 불안감 감소 및 자기주도적 학습 유도 등의 측면에서 유용성을 지닌다고 보았다.",김형민 ( Kim Hyeong-min ),2023,https://www.riss.kr/link?id=A108600540
매슬로의 동기이론이 한국 인성교육에 주는 시사점 분석,"이 연구는 매슬로(A. Masow)의 동기이론에 기초하여 인성의 특성을 확인하고, 매슬로가 동기이론과 더불어 설명하고 있는 인간의 다양한 심리적 특성으로부터 우리나라 인성교육의 효율적 시행과 연구에 도움이될 시사점을 찾고, 그 의미를 분석하는 것을 목적으로 수행되었다. 임상적 경험에 기초한 심리학 연구자의 ‘훌륭한 인간’에 대한 논의는 주로동서양의 철학적 전통에 근거한 규범적·이상적 인간의 모형을 추구하는 우리의 기존의 인성교육에 대한 논의에 경험적 근거를 제공함으로실천적 활동으로서의 인성에 대한 담론 형성을 위한 시사점을 제공해줄 것으로 기대되었다.연구결과, 다음과 같은 다섯 가지의 시사적 명제를 추출하였다. 첫째,바람직한 인성의 함양을 위해 결핍욕구의 충족이 선행되어야 한다. 둘째, 인성교육이란 건강한 성장 환경을 조성해 주는 일이다. 셋째, 바람직한 다양한 인성 요소들은 개별적·독립적이기 보다는 집합적·복합적으로 나타난다. 넷째, 자기실현에 이르는 길에는 개인차가 있고, 개인차는정체성으로부터 확인된다. 다섯째, 보편적 인간의 모습은 불완전한 자기실현자, 욕구의 균형 상태에 있는 사람이다.이 연구는 인성을 경험적으로 연구하고자 하는 의도에서 시작된 시범적 연구이다. 과학적인 동시에 규범적이며, 객관적인 동시에 주관적인 매슬로의 주장들 속에 산재해 있는 인성교육에 대한 보다 구체적이고 광범위한 시사점을 찾기 위해 지속적인 연구가 필요하다.",엄상현 ( Sang Heon Um ),2016,https://www.riss.kr/link?id=A108529696
다문화가정 유아 대상 한국어교육의 문제점과 제언- 다문화정책 유치원을 중심으로 -,"본 연구는 다문화 정책학교-유치원에서 진행되는 한국어 수업의 상황 및 문제점을 도출하고 그 해결 방안을 제언하는 데 목적이 있다. 이를 위해 본 고에서는 다문화 유아를 지도한 경험이 있는 한국어 강사 9명을 대상으로 설문조사를 진행한 후, 3명의 한국어 강사 인터뷰를 통해 문제점과 관련된 의견을 듣고 이에 대한 요구사항을 확인하였다. 그리고 한국어 강사들의 요구를 반영하여 기관(유치원)과 한국어 강사가 현장에서 바로 적용할 수 있는 해결 방안을 제언하였다. 본 고는 다문화 유아 대상의 맞춤형 한국어 교육과정 개발 연구가 시급함을 역설하고 표준이 될 만한 교재 및 활동 자료에 대한 필요성을 강조함으로써 다문화 유아를 위한 보편성 있고 학업 격차를 해소할 수 있는 한국어교육의 방향에 대해 논의하였다. 다만 설문조사 및 심층 인터뷰의 대상자가 적어 일반화된 결론을 도출하지 못하였다는 점에 아쉬움이 있다. 향후 본 연구에서 도출된 내용을 토대로 다문화 유아를 위한 한국어교육 방법 및 교육자료 개발이 활발히 이루어지기를 기대한다.",정선미,2022,https://www.riss.kr/link?id=A101965444
대학생의 카카오톡 언어 사용 분석,"이 연구는 카카오톡을 대상으로 카카오톡 대화에 나타난 대학생의 언어 사용을 분석하였다. 대학생들은 카카오톡을 통해 학교, 지인, 약속, 안부 묻기 등 일상적인 주제로 대화를 나눈다. 카카오톡의 발화 단위는 한 음절부터 문장까지 형식이 다양한데, 이는 카카오톡이 말하는 방식으로 쓰이기 때문이다. 카카오톡과 같은 비대면 상황에서 문장부호, 소리와 모습을 대표한 한글 자모, 이모티콘은 화자의 감정과 느낌을 준언어적, 비언어적으로 표현한 것이다. 그리고 온라인상에서의 감탄사는 음운론적으로 변칙되어 다양한 형태로 사용되며, 의성어와 의태어의 사용은 대화에 생동감을 높이고 재미를 더해 준다. 대학생들의 비속어와 유행어는 제한적으로 사용되었다.",허상희(Hur Sang-hee),2016,https://www.riss.kr/link?id=A108260770
카카오톡 메신저의 소통 양상과 사회언어학적 특성,"이논문은카카오톡메신저에나타나는의사소통양상을살피고, 카카오톡메신저의사 소통의사회언어학적특성과효과를고찰한것이다. 스마트폰이보편화되면서카카오톡메신저를활용한의사소통이중시되고있다. 카카오톡메신저의사소통은면대면의대화나 기존문자메시지소통과는다른양상을보인다. 그것은언어적장치외에비언어적장치를 적극적으로활용하여소통의새로운패러다임을구축했기때문이다. 그래서카카오톡메신저를 활용한 의사소통에서 다양한 사회언어학적인 기능과 특성을 살필 수 있다. 카카오톡 메신저소통에서 나타나는 특징과 기능으로, 먼저카카오톡 메신저에 참여하는 화자와 청자가 심리적으로 안정된 거리를 유지한다는 점이다. 화자의 발화에 대해 청자는 긍정이든부정이든 응답에 대한시간적 여유를 가질수 있으며 그로 인해감정적마찰도 유보할 수 있다. 또한 유희적인 조어 기능을 수행하기도 한다. 언어적인 생략과 축약·첨가와 비언어적인 그림과기호를활용함으로써 재미있는의미표현이가능하다. 특히 그림과여러가지기호의활용은화자의발화감성을더적극적으로드러낼수있다. 그림의 경우 화자의 자아 이미지를 형상화하여 대리만족을 얻을 수도 있다. 카카오톡 메신저 의사소통의 효과로, 우선 긍정적인 면은 여러 제약에서 벗어난 효율적 의사소통 담보, 정보의 시각화에 의한 발화의미의 강화, 그리고 원활한 의사소통을 통
한긍정적대인관계형성등을들수있다. 한편카카오톡메신저의사소통의부정적인면은 청자를 고려하지 않은 일방적인 의사전달, 무의미한 대화의 지속, 그리고 어문규범 일탈 표현의 남발 등을 들 수 있다. 카카오톡 메신저 의사소통은 매체의 발달과 함께 앞으로 그 쓰임도 점차 다변화될 것이다. 소통의 방법과 양상이 급격하게 변화하는 현 상황을 감안하면 카카오톡 메신저를 활용한 의사소통의 특징과 기능을 시차를 두고 다시 한 번 검토해야 하겠다.",강연임(Gang Yeon im),2017,https://www.riss.kr/link?id=A108206347
"대학에서 글쓰기 교육을 한다는 것, 그 돌아보기와 내다보기","대학 글쓰기 교육을 담당하는 한 축으로 교수자의 역할과 교육현장에서의 소회를 돌아보는 것은 대학 글쓰기 교육의 정체성을 찾기 위해 유의미한 작업이 될 수 있다. 이러한 과정에서 제기되는 제언들이 대학 글쓰기 교육의 방향성을 찾는 현실적인 지표가 되기를 소망한다.
논의 결과를 요약하면 다음과 같다. 2장에서는 글쓰기 교육을 전담하는 교수자의 입장에서 고민되는 두 가지 지점을 짚어보았다. 글쓰기 교육에는 여느 교양교육에서와는 다른 각도에서의 교육적 배려와 책임감이 요구되기 때문이다. 첫째, 글쓰기 이론이 여과 없이 글쓰기 교육에 적용될 수 없다는 점에서 ‘글쓰기’를 위한 이론과 별개로 ‘글쓰기 교육’을 위한 이론의 가능성을 타진해보는 것이 필요하다. 둘째, 글쓰기 행위에 대한 고민과 성찰을 전제로 교육현장에 대한 정확한 파악과 그에 맞춤한 교수법의 고안이 보다 치밀하게 이루어질 필요가 있다. 대학에서의 글쓰기 교육이 이론적 토대를 갖추게 된다면, 글쓰기 교수자들의 문제의식과 이를 토대로 한 현장보고가 유용하고 유의미하며 유효한 필터링의 역할을 해주게 될 것이며, 또 그런 역할을 해주어야 할 것이다.
3장에서는 대학에서 글쓰기 교육을 한다는 것의 지향점을 두 가지로 나누어 살펴보았다. 그 하나는 대학시절의 글쓰기 경험치에 대한 주목으로, 대학생을 대상으로 한 글쓰기 교육의 현실적 필요성에 대해 고민하고 제대로 방향잡기를 하고 있는가 하는 문제에 관심을 갖는 것이 중요하다는 점이다. 이에 학술적 글쓰기에 대한 비중 강화와, 자기성찰의 글쓰기에 대한 효율적인 연습을 제안하였다. 다른 하나는, 교과과정에 대한 이해를 보다 확대할 필요가 있다는 점이다. 효율적인 교과과정을 구성하는 것은 다양한 교수자들의 개성적인 교수법이 허용되는 기본토대로 작용할 수 있을 것이며, 대학생을 위한 글쓰기 교육의 구심점으로 제 역할을 해낼 수 있을 것이다.",최규수,2015,https://www.riss.kr/link?id=A108759653
한국어 어휘의 구조적 특성에 따른 교육방안,"본 연구는 외국인 한국어학습자들에게 어휘 교육 방법을 제시하고자 한다. 한국어교육에서 말하기, 듣기, 쓰기, 읽기, 문법 교육에 비해서 어휘 교육은 소홀하게 다루어졌다. 그러나 의사소통 능력을 중시하는 요즘, 어휘교육은 매우 중요한 역할을 한다. 초급단계의 의사소통 활동에서는 어휘가 출발점이며, 고급단계에서는 한국어 사용의 정확성을 위해 어휘가 마지막 단계라고 할 수 있을 만큼 중요하다. 그러나 실제 교육 현장에서는 체계적인 어휘교육의 지침서도 없고, 이에 대한 연구 역시 부족하다. 중·고급 학습자들도 어휘 학습 과정의 어려움을 겪고 있을 뿐만 아니라 외국인 유학생들 사이에서도 어휘 능력이 부족해 어려움을 겪고 있는 현실이다. 또한 학습자들의 수준이 제각각이어서 변수가 많은데 이러한 부분은 교사의 지속적인 연구와 어휘에 대한 단계적인 접근을 통해 달라져야 한다. 본 논문에서는 한국어 어휘 교육의 문제점을 해결하기 위한 방안으로 다음과 같은 연구를 진행했다. 먼저 한국어 어휘의 구조적 특성을 체계적인 구조, 구조적인 구조, 의미적인 구조, 사회언어학적인 구조로 살펴보았다. 각각의 특징과 학습자의 수준에 따른 어휘 교육의 방안으로는 교수법 차원의 제시, 매체 활용 차원의 제시, 어휘 제시상의 유의점을 가지고 각 등급별로 지도하는 것을 제안했다. 마지막으로 어휘 게임을 활용해서 효과적인 한국어 어휘 교육 방안을 제시하였다.",황은영(Eun-young Hwang),2021,https://www.riss.kr/link?id=A108635125
한국어 교재의 구성 및 내용 분석 연구 : 서울대 한국어 교재를 중심으로,"한국어 교재는 한국어 교육의 중요한 매개체다. 따라서 교수자나 학습자에게 방향성과 효용성을 제시해 주어야 한다. 그래서 본 연구는 서울대 한국어 교재의 전체 구성 및 내용을 분석해 구성상의 특징과 그로 인해 발생하는 교재 활용 사이의 관련성에 대해 알아보고 실제 교수학습에 도움이 되는 교재의 방향을 찾아보려고 한다. 본 연구는 서울대 한국어 교재의 특징을 주제 중심, 영역 통합적 구성, 구두 언어 중심이라고 보았다. 이러한 특징을 바탕으로 구성요소를 자세히 분석해 보았다. 먼저 목표 문법의 제시에서 체계성과 연계성의 미비가 한국어 교수학습에 영향을 주고 있다고 보았다. 다음으로 영역 통합적 구성에서 획일적, 기계적 활동이 발생, 문법적 내용성으로 보완해야 한다고 보았다. 그 구체적 방법으로 기본 문법 설정의 필요성을 제기했다. 한국어 교재를 통해 한국어의 과학성을 체험할 수 있기를 기대한다.","방희경(Pang, Hee-kyung)",2021,https://www.riss.kr/link?id=A106312107
인터넷 신조어의 생성에 관하여,"어휘의 생성과 성장 소멸은 일정 부분 사회 현상과 연관이 있다. 특히 요즘과 같이 인터넷 환경의 비약적인 발전은 언중들의 소통 방법에 많은 변화를 가져오게 했다. 이들은 쉽고 빠르고, 드러나지 않는 익명성을 중시하고 있다. 이러한 성향은 인터넷 상에 나타나는 일시적 유행어와 은어의 양산으로 나타나기도 한다. 이러한 인터넷 신조어에 대한 생성을 논의하는 것은 다음과 같은 의의를 가진다.
첫째, 신조어는 현재 통용되고 있는 한국어 어휘의 일부분이라는 사실이다.
둘째, 인터넷 신조어를 어떻게 보느냐이다. 긍정적인 면에서 언어의 확산으로 보느냐, 아니면 부정적인 측면에서 언어의 파괴로 보느냐 하는 관점이다.
여기에서는 전형적인 신조어의 의미 특성과 분류, 그리고 투명성과 수용성에 대해 논의하였다. 먼저 2장에서는 신조어의 의미특성과 생성 양상의 세 가지 방식에 대해 제시하고, 3장에서는 인터넷 신조어 중에서 일상적 유행어와 은어를 중심으로 의미특성에 따라 음운론적 측면, 형태론적 측면, 의미론적 측면 등으로 나누어 분류하였다. 4장에서는 인터넷 신조어의 투명성과 수용성에 대해 논의를 전개하였다. 투명성은 불투명성, 반투명성, 투명성의 세 가지로 분류하였고, 수용성의 기준으로는 조어법, 고유어, 통용성, 대중성 등의 요소를 제시하였다.",신희삼(Shin Hee sam),2018,https://www.riss.kr/link?id=A102593779
