
의사소통적-치료적 관점에서 듣기와 공감적 경청의 의미,"1 조비룡, ""진료실에서의 환자 면담 자세"" 48-50, 2005",백미숙 ( Mi Suk Baek ),2006,https://www.riss.kr/link?id=A5005430
프란츠 카프카의 「변신」에 있어서의 실험,"1 Kafka, Franz, ""Tagebucher"" 1990",김래현(Kim Rae-Hyeon),2007,https://www.riss.kr/link?id=A79815576
기술만능주의 비판과 과학자의 책임 -하이나르 키프하르트의「오펜하이머 사건」,"1 양도원, ""오펜하이머 사건"" 서강대학교 출판부 1995 1995",김용민 ( Yong Min Kim ),2006,https://www.riss.kr/link?id=A82751075
인간 vs 복제인간 - SF 소설에 재현된 복제인간의 정체성 문제,"본 논문은 일본계 영국 작가 가즈오 이시구로의 SF 소설 『나를 보내지 마』(2005)와 독일의 작가 비르기트 라비쉬의 SF 소설 『복제인간 요나스 7』(1992)에 나타난 복제인간의 정체성 문제를 비교 분석한다. 두 소설 속 복제인간들은 공통적으로 인간에게 장기나 신체 부위를 제공할 목적으로 만들어진 존재들로 묘사되고 있으며, 또 두 소설에서 복제인간은 인간이 아닌 비인간으로 간주된다. 이러한 복제인간의 정체성 문제를 통해 두 소설은 인간이란 무엇인지를 성찰하게 한다. 이시구로의 소설에서 인간의 본질은 형이상학적인 관점에서 영혼의 존재 여부와 연관된 것으로 묘사되고 있다면, 라비쉬의 소설에서 인간의 본질은 생물학적인 관점에서 유전자와 환경의 문제와 연관된 것으로 묘사된다. 이와 더불어 두 소설 속 복제인간의 성격은 서로 다르게 묘사되고 있는데, 이시구로의 복제인간 캐시는 복제인간으로서 자신의 운명을 순수히 받아들이는데 반해, 라비쉬의 복제인간 요나스 7은 인간과는 다른 복제인간으로서의 새로운 정체성을 강력하게 주장한다. 이러한 서로 다른 성격에도 불구하고 두 소설 속 복제인간들은 모두 공통적으로 인간과 다를 바 없는 존재들로 제시된다. 이를 통해 이시구로와 라비쉬의 소설은 인간과 마찬가지로 이성적인 존재인 복제인간을 인간의 건강과 생명을 유지하기 위한 수단으로 사용해도 되는가에 대한 윤리적인 물음을 제기한다.",천현순 ( Cheon Hyun Soon ),2022,https://www.riss.kr/link?id=A108244530
카프카의 『변신』에 나타난 신화적 계기들,,권혁준(Kwon Hyuck-Zoon),2006,https://www.riss.kr/link?id=A108378113
디지털 시대의 문학교육과 매체융합적 수업모델 - 디지털 미디어를 통한 문학텍스트의 재매개와 ‘다시 쓰기’,"이 논문은 디지털 미디어가 가지고 있는 융합적 커뮤니케이션의 특성을 활용하여 인문미디어융합 교과목을 개발하고 문학교육의 현장에서 직접 가르친 경험을 토대로 뉴미디어를 통한 문학교육의 실질적 가능성을 고찰해 보고자 하였다. 뉴미디어의 언어는 인간의 언어를 오랫동안 기록해온 문자언어와는 다르며 따라서 문학작품의 해석과 성찰적이고 창의적 글쓰기의 능력 향상이라는 문학교육과는 무관한 것으로 여겨지기 쉽다. 그러나 오늘날 디지털 미디어에 익숙한 2000년대생들은 디지털 미디어의 활용에 익숙하거니와 그를 위한 부호변환을 요청하는 뉴미디어의 언어 또한 쉽게 익히는 편이다. 반면 전통적인 읽기와 쓰기 방식에 근거한 문학교육은 현장에서 학생들로부터 외면받기 쉽다. 이와 같은 문학교육의 환경 변화에 주목하여 필자는 먼저 문학작품을 재매개하는 디지털 미디어를 적극적으로 활용하는 학습법의 이론적 함의를 추론하고, 나아가 기존의 문학교육에 내재된 ‘수동적 읽기’를 뉴미디어의 언어를 통해 ‘능동적 쓰기’ 행위로 전환하는 수업방법을 개발하고자 하였다. 고전적 방식의 글쓰기 환경보다는 다양한 매체들을 재매개하고 상호작용을 지향하는 디지털 미디어야말로 텍스트에 대한 ‘능동적 읽기’로서의 ‘다시 쓰기’를 촉발하는 데 적합할 것이다. 이에 본 논문은 학생들이 문학작품을 읽고 디지털 미디어를 활용해서 이를 ‘다시 쓰기’ 하면서 이해하는 수업모델을 제안한다. 인문학과 매체기술을 상호협조적인 관점에서 융합적으로 결합하는 이와 같은 수업방식 이야말로 새로운 디지털 매체를 생산적으로 활용하면서도 문학교육의 본연의 과제에 부응할 수 있을 것이다.",구연정 ( Gu Yeon Jeong ),2021,https://www.riss.kr/link?id=A79815354
"리비도의 유해성과 심리 분열, 그리고 리비도를 조절하는 매개 심급에 대하여 - 프로이트의 초기 연구를 중심으로","본 연구는 프로이트가 신경과 의사로서 히스테리 치료를 수행하면서 리비도 개념을 성욕으로 수렴하고 그 유해성을 매개하는 심급을 찾는 과정을 추적한다. 리비도는 『히스테리에 관한 연구』에서 과도하게 집중된 신경 흥분량으로, 『심리학 초안』에서 자아가 조절해야 하는 충동으로 표상되고 있다. 그런 두 표상은 『꿈의 해석』에서 유년기의 억압된 성욕, 즉 리비도로 정의된다. 본래 프로이트는 히스테리 환자를 진료하면서 심리물리학의 영향을 많이 받아 신경 흥분량과 심리 분열의 수학적 대응 관계에 주목했다. 흥분량 과잉이 히스테리의 병인으로 이어진다면, 흥분량 억압은 무의식의 저장소에 쌓였다가 충동으로 발산하여 오이디푸스 콤플렉스를 야기한다. 그러나 차츰 프로이트는 여러 꿈을 해석하면서 리비도의 물질적 속성 대신에 아버지에 의해 유년기 억압된 성욕을 리비도로 생각하기에 이르면서 오히려 정신건강을 해칠 수 있는 속성을 조절할 심급에 주목하게 된다.
그 뒤 리비도는 정신분석학의 수많은 개념들, 이를테면 무의식, 억압, 오이디푸스 콤플렉스, 지형적이거나 역동적 심급, 성장기의 충동 등의 핵심적인 원인으로 알려져 있다. 심지어 리비도는 대중에게 정신분석학을 대체하는 개념으로 유명해지지만, 이렇게 리비도가 과도하게 강조된 것은 프로이트 중기 이후의 연구에 힘입은 바 크다.
이와 같이 본 논문은 프로이트의 초기 세 연구서를 바탕으로 리비도 개념의 형성 과정, 리비도와 심리 분열의 관련성, 리비도가 억압과 심급으로 매개되는 과정, 마지막으로 리비도의 철학적 의미에 대해 논해 볼 것이다.",서요성 ( Suh Yosung ),2021,https://www.riss.kr/link?id=A104171372
챗봇의 역사 - 심리치료 방식에서 언어행위까지,"챗봇이라는 개념이 등장한지가 이미 수십 년이 흘렀다. ‘Chatterbot’이라는 용어로 출발했던 이 개념은 인공지능, 로봇기술, 메타버스 그리고 NFR 등과 함께 4차 산업혁명을 주도하는 핵심역할을 하고 있다. 이 논문의 목표는 20세기 초에 체코에서 시작되었던 프라하학파의 언어기능문법, 1930년대에 심리치료 분야에서 중요한 방법론이었던 로저스의 상담연구, 1960년대 중반 독일 뮌스터 대학에서 시작되었던 텍스트언어학 그리고 1970년대 이후에 활발하게 연구된 언어행위론과 대화문법이 챗봇의 발전과정과 어떤 관련이 있었는지에 관한 연구이다. 왜냐하면 챗봇 역사에서 선구적인 역할을 했던 튜링기계와 1966년도에 최초로 등장한 최초의 챗봇 ‘ELIZA’가 공감이라는 차원에서 텍스트언어학의 ‘테마 전개’와 ‘반복’개념과 닮아있고, 챗봇 ‘Julia’(1994)와 ‘ALICE’(1995)의 작동원리가 뮌스터 대학에서 발전한 ‘대화문법’의 이념과 아주 흡사하기 때문이다. 또한 2000년 이후에 챗봇 연구에서 화행의 중요성을 인식하게 되는데, 언어연구(대화연구)에서 화행의 중요성이 1960년대 이후에 시작되었던 것을 감안하면, 챗봇과 언어학(텍스트언어학과 화용론)의 교류가 절실함을 알 수 있다.",이재원,2022,https://www.riss.kr/link?id=A107321042
통일에 대한 두 개의 관점 -<굿바이 레닌>과 <간 큰 가족>,2003년에 나온 독일영화 <굿바이 레닌>과 2006년에 한국에서 개봉된 <간 큰 가족>은 여러 면에서 공통점을 지니고 있다. 우선 두 작품 모두 분단과 통일을 주제로 삼고 있는 점과 통일에 대한 거짓말을 하고 있다는 점에서 동일하다. 그러나 <굿바이 레닌>은 독일이 통일되었음에도 불구하고 동독이 아직 건재하다는 거짓말을 바탕으로 진행되는 반면 <간 큰 가족>은 아직 분단상태에 있는 한반도를 통일된 상태로 만들기 위한 거짓말을 전개한다는 점에서 큰 차이가 있다. 통일에 대한 거짓말과 분단과 통일이라는 비극적 주제를 희극적 형식으로 다루었다는 점에서 두 작품은 독일과 한국영화사에서 큰 의미를 지닌다. 또한 <굿바이 레닌>의 성공으로 오랫동안 사장되어 있던 <간 큰 가족>의 시나리오가 빛을 보게 되어 영화로 만들어졌다는 점에서도 두 작품 간의 상호연관성이 존재한다. <굿바이 레닌>은 알렉스 가족의 비극적 가족사와 서독 중심으로 이루어진 독일의 통일과정을 휴머니즘과 가족애 그리고 사회주의 이상에 대한 애도와 연결시켜 그림으로써 650만 독일관객의 뜨거운 호응을 얻었다. 이에 비해 <간 큰 가족>은 한국영화 최초로 북한(금강산)에서 장면을 촬영하고 통일문제를 희극의 소재로 삼았다는 의의에도 불구하고 140만 명의 관객을 동원하는데 그쳤다. <간 큰 가족>의 실패는 통일문제를 희극형식으로 다루려는 감독의 야심찬 시도가 영화의 후반부에 이르러 이산가족 상봉과 눈물바다로 이어지면서 멜로드라마가 된 데서 기인한다. 영화의 전반부가 거짓으로 통일을 만드는 과정에서 빚어지는 좌충우돌의 에피소드를 그린 희극이라면 후반부에서는 북에 두고 온 가족을 애타게 그리는 임종을 앞둔 아버지의 소망을 실현시키기 위해 가족과 주변사람 모두가 진지하게 노력하는 멜로드라마로 바뀐다. 그 결과 웃음이 울음으로 끝나게 되는 것이다. 이러한 형식의 분열은 분단상황이라는 정치사회적 배경과 무관하지 않다. 남북이 여전히 첨예하게 대치하고 수백만의 이산가족이 서로를 애타게 찾고 있는 분단상황이 지속되는 한 통일을 순수한 희극의 소재로 삼을 수 없기 때문이다. 분단과 통일에 대한 코미디는 <굿바이 레닌>처럼 통일이 완수된지 적어도 10년 이상의 세월이 흐른 뒤에야 가능할 것이다.,김용민 ( Yong Min Kim ),2011,https://www.riss.kr/link?id=A107964159
한반도 통일의 모범이자 반면교사로서의 독일통일,"올해로 독일이 통일된 지 21년이 지났다. 오랜 세월이 지났지만 독일통일은 여전히 우리의 관심을 끌고 있다. 우리에게 독일통일은 여전히 부러움의 대상이자 한반도 통일을 위해 면밀히 검토해야 하는 연구대상이다. 통일된 지 21년이 지났지만 동서독의 진정한 통합에는 아직 이르지 못했으며 진정한 통일을 이루기 위해서는 앞으로도 적게는 10여년 많게는 40여년이 더 필요하리라는 전망이 나온다. 이렇게 된 이유는 독일통일이 너무 짧은 기간 동안 졸속적으로 이루어졌기 때문이다. 1989년 11월에 베를린 장벽이 개방된 후 불과 11개월만인 1990년 10월에 통일이 완수되었고, 그 전에 동독지역의 총선을 통한 사회주의 정권의 붕괴, 서독 마르크 도입을 통한 경제통합까지 이루어야 했으니 독일통일은 그야말로 충분한 사전 준비 없이 역사의 행보를 숨가쁘게 뒤쫓아가며 이루어진 사건이었다. 독일통일은 또한 동독의 급격한 몰락과 서독으로의 흡수라는 흡수통일 방식으로 이루어졌다. 이처럼 독일통일이 짧은 기간 안에 서독의 일방적인 주도로 완수됨으로써 이후 많은 문제를 야기하였다. 통일 21년이 지난 지금까지 구동독지역은 경제력에서 여전히 구서독지역과 커다란 격차를 보이고, 실업률은 두 배나 되는데 인구는 점점 줄어들며, 생산활동에 참여하지 않는 고령자가 인구의 상당수를 차지하는 문제지역으로 남아있다. 또한 지금까지도 동서독인들의 머릿속 장벽은 여전히 존재하고 내적 통합은 아직 완수되지 못하였다. 우리의 염원인 한반도 통일을 준비하면서 우리는 독일통일에서 교훈을 얻어야 한다. 독일통일은 우리에게 모범사례일 뿐만 아니라 반면교사이기 때문이다. 독일통일의 교훈에 비춰 한반도 통일은 다음과 같은 원칙에서 준비해야 한다. 1. 우리가 독일통일에서 배워야 할 점은 평화통일의 원칙이다. 전쟁도 불사하겠다는 남북한의 강경세력이 여전히 상당 수 존재하기에 무슨 일이 있어도 무력을 사용하지 않겠다는 평화통일의 원칙을 남북한 정부가 전세계를 향해 공식적으로 천명하는 것이 필요하다. 2. 독일통일의 예를 보며 우리는 한반도 통일을 위해 오랫동안 철저하게 미리미리 준비하는 것이 통일 후유증을 최소화할 수 있는 길임을 배워야 한다. 60년 이상 서로 다른 체제에서 떨어져 살아온 남북한이기에 정부 및 민간차원에서의 교류를 활성화하여 서로의 차이를 이해하고 조금씩 가까워지는 과정을 오랫동안 거쳐야 한다. 3. 독일통일은 어느 한쪽의 일방적 주도로 이루어진 흡수통일이 얼마나 큰 후유증을 가져왔는지 보여준다. 우리의 경우 만일 그런 방식으로 통일이 이루어질 경우 남북한 인구비율이나 경제력차이 때문에 독일보다 훨씬 많은 후유증과 통일비용을 지불해야 한다. 그렇기에 남한은 북한의 사회간접시설을 현대화하고, 북한이 경제적으로 자립할 수 있도록 도와야 한다. 그렇게 하여 지금 38대1인 남북한간 경제력차이가 상당히 좁혀졌을 때 양쪽의 대등한 협상을 통해 통일을 이루어야 한다. 4. 독일통일은 통일 그 자체가 아니라 통일이후의 통합이 더욱 중요함을 알려주었다. 통일은 그 자체가 목적이 되어서는 안 되고, 통일을 준비하는 과정, 통일에 이르는 길을 통일 논의의 중심에 두어야 한다. 5. 우리는 한반도 통일을 세계사적 사건으로 만들어야 한다. 우리는 통일과정에서 자본주의와 사회주의의 문제점을 극복할 수 있는 제3의 길, 즉 새로운 사회모델을 만들어내야 한다. 그 모델은 인류가 현재 직면하고 있는 신자 유주의의 문제와 전지구적 환경위기를 함께 극복할 수 있는 새로운 패러다임에 바탕을 두어야 한다. 만일 우리가 그러한 통일을 이룰 수 있다면 한반도 통일은 인류 전체를 위한 새로운 방향을 제시하는 세계사적 사건이 될 것이다.",김용민 ( Yong Min Kim ),2011,https://www.riss.kr/link?id=A108244319
