
러시아-우크라이나 전쟁: 의미와 영향,"본 연구의 목적은 러시아-우크라이나 전쟁의 배경과 의미를 살펴보고, 그 영향을 분석하는 데 있다. 러시아-우크라이나 전쟁은 러시아가 이를 ‘특수군사작전’이라고 부르고 있는 데에서도 나타나는 것처럼 복합적 특징을 가지고 있다. 이는 강대국 간 지정학적 경쟁과 대리전, 슬라브 정체성 상실에 대한 우려를 반영한 정체성 갈등, 그리고 이러한 이유에서 군사적으로 승리해서는 안 되는 ‘제한전’ 성격을 가지고 있다. 이러한 복합적 성격은 이번 전쟁 양상은 물론, 이후 전망을 어렵 게 하는 이유이기도 하다.
본 연구는 전쟁의 성격을 ‘특수군사작전’의 제한전 성격, 지정학적 경쟁과 대리전 양상, 그리고 러시아와 서구의 발전모델 경쟁과 정체성 갈등 차원으로 나누어 분석하고, 이러한 성격에 기초해 향후 국제질서 발전 방향을 전망해보았다. 또한 본 연구는 발전모델 경쟁 차원에서의 ‘국내 재건’이 러시아에서는 이번 전쟁을 통해 ‘사회 재건’과 ‘자유에 대한 제한’으로 나타날 가능성이 있음을 시사하고 있다.
이번 전쟁은 승자가 없는 전쟁이다. 러시아는 ‘최소승리요건’ 충족이 우크라이나의 민족 정체성 발전과 서구의 경제제재 지속으로 이어지고, 미국은 러시아에 대한 승리가 러중 밀착으로 이어져 대중전략에 부담을 안게 될 수 있다. 이러한 상황은 러시아와의 관계 단절보다는 연결 유지가 전략적으로든 실질적으로든 필요함을 보여주고 있다.",김성진,2022,https://www.riss.kr/link?id=A108186195
우크라이나 전쟁 이후 러시아 극동지역 해외기업의 활동 동향 분석과 정책적 시사점,"본 논문에서는 러시아의 우크라이나 침공 이후 러시아 극동지역에서 서방 및 일본 기업의 대러 제재 참여 동향과 러시아에 대한 영향, 그리고 러시아의 대응조치, 러-중 간 협력 사례들을 분석하고 이를 통해 한-러 협력의 시사점을 도출하고 한국의 신정부에 대러 협력을 위한 정책과제를 제안하였다. 정책적 시사점으로서는 다음과 같이 4가지를 강조하였다. 첫째, 서방 및 일본 기업이 철수한 사업에 대한 우리 기업의 참여를 검토하고 틈새시장을 공략하여야 한다. 둘째, 제재 품목의 경우, 러시아와 직접적인 교역이 어려운 만큼, 중국 및 중앙아시아 국가들을 통한 우회 수출도 고려해야 한다. 셋째, 제재와 관련이 없는 부문에서라도 러시아와 협력을 이른 시일 내 재개해야 한다. 넷째, 러시아 극동을 비롯한 현지 관련 기관 및 고위층과 인적 네트워크를 지속적으로 관리하면서 민간기업 및 지방정부 차원의 협력을 위한 소통 및 교류는 지속되어야 한다.",변현섭,2022,https://www.riss.kr/link?id=A108244557
체홉의 <<벚꽃동산>>에서 주인공의 성격연구,"체홉을 연구하면서 느끼는 가장 큰 어려움 중에 하나는 작품의 비밀스러운 모호성에 있다. 특히 체홉의 희곡작품은 산문보다 더 많은 수수께끼를 지니고 있는데, 이는 희곡이라는 장르적 특성상 작가의 개입이 제한되고 대사의 행간을 설명할 수 없다는 일차적 이유와 더불어 체홉 자신이 마치 코드처럼 숨겨 놓은 ‘그 무엇들’이 있기 때문이다. 바로 그 무엇들 중 하나가 셰익스피어, 특히 <<햄릿>>인 것이다.
실제로 체홉은 자주 셰익스피어의 작품들을 인용하고 그 연상을 자신의 작품 속에 활용하였다.
체홉의 마지막 작품이자 문학적 유언인 <<벚꽃동산>>은 셰익스피어, 혹은 <<햄릿>>과의 관계에서 그 동안 거의 관심을 받지 못하였다. 다만 로파힌이 극중에서 말하는 햄릿의 대사인 “오흐멜리아여, 수도원으로 가시오” 에 부분적으로 주목하기도 하였지만 실제로 <<벚꽃동산>>에서 햄릿에 대한 체홉의 관심은 외견상 별로 눈에 띠지 않는 듯 하다. 체홉 창작 과정 전체를 관통하는 영원한 형상인 햄릿에 대한 관심이 정말로 <<벚꽃동산>>에서는 약화 되었는가?
그러나 파페르느이의 말처럼 “중요한 것은 인용이 아니라 더 심오한 울림”에 관한 것이다. 우리는 이 햄릿에 관한 울림이 <<벚꽃동산>>안에 강하게 소리 내고 있음을 찾고자 한다. 그것이 이 작품의 수수께끼를 푸는 하나의 열쇠가 될 수 있기 때문이다. <<벚꽃동산>>의 많은 수수께끼는 주로 로파힌을 중심으로 야기되고 있음을 보게 되고, 이 비밀들을 햄릿의 코드 “사느냐, 죽느냐 그것이 문제다!”를 통해 찾아 보고자 한다. 우리는 다음의 중요한 3가지 수수께끼를 해결해 볼 것이다. 로파힌은 상인인가, 아닌가? (정체성의 문제), 로파힌은 벚꽃동산을 살 것인가, 말 것인가? (복수 지연의 문제), 로파힌은 바랴와 결혼 하려는가, 아닌가? (도망친 신랑 문제)
러시아 햄릿 로파힌은 셰익스피어의 햄릿을 이해 할 수 없고 인정할 수 없다. 그러나 아이러니하게도 그는 자신이 햄릿 적 상황에 빠져드는 것을 알게 된다. 그의 이중적인 정체성과 시간과의 관계 속에서, 영지를 살 것인가, 말 것인가의 결정지연에 관한 고민 속에서, 사랑하는 여인 바랴와의 결혼 할 것인가 고민하다 도망치는 모습에서 로파힌은 햄릿의 성격과 운명을 따라간다.
이렇듯 체홉의 창작에서 셰익스피어라는 이름은 그 자체로 문학적 권위의 상징임과 동시에 체홉이 생명을 부여한 인물들의 성격과 상황을 해결하는데 필요한 처방전이었던 것이다.",함영준(Ham Young Jun),2013,https://www.riss.kr/link?id=A99791567
안톤 체홉의 「갈매기」에서의 예술테마,"체홉의 가장 사적인 작품인 「갈매기」는 그의 작품 중 예술을 주요소재로 다루는 몇 안 되는 작품들 중의 하나로서 자신의 예술관을 이론화하지 않았던 체홉의 창작을 이해하기 위한 중요한 단초로 여겨져 왔다. 하지만 상징주의의 발흥을 시작으로 첨예화된 신구갈등 상황은 이 작품의 예술테마를 신진작가 트레플레프와 중견작가 트리고린의 대립관계 속에 고립시켰다. `새로운 형식`의 주창자 트레플레프와 그의 전위극에 대한 체홉의 입장이 어떠한 것이냐에 대한 논의가 「갈매기」 연구의 화두로 던져진 것이다. 이후 체홉 말년의 두 희곡 「세자매」와 「벚나무 동산」에 쏟아진 후기 상징주의자들의 관심으로 체홉의 예술관과 `새로운 형식` 담론 사이에는 불가분의 관계가 형성되었고, 80년대에는 체홉의 작품에 대한 상징주의적 해석이 과열되는 양상을 보이기도 하였다. 이 과정에서 트레플레프의 대립자 역할에 머물러 있던 트리고린은 논의의 중심에 서지 못했고, 체홉의 예술관과 관련하여 트리고린의 형상이 함의하는 바에 대한 의미화 작업 또한 충분히 이루어지지 않았다. 본 논문에서는 우선 「갈매기」의 예술테마에 대한 연구가 트레플레프와 그의 전위극의 `새로움`에 집중되어 이루어져 왔던 과정과 한계를 살펴보고, 트리고린의 형상을 통해 체홉이 전달하려 하는 예술과 삶의 관계에 대한 또 다른 메시지를 찾아보려고 한다.",윤서현 ( Yoon Seo Hyun ),2017,https://www.riss.kr/link?id=A108536399
러시아의 우크라이나 침공 결정과 푸틴의 인식,"러시아의 우크라이나 침공 결정에 영향을 미친 푸틴 대통령의 인식을 분석한 결과는 다음과 같다. 첫째, 러시아인과 우크라이나인을 분리할 수 없는 하나의 민족으로 인식하면서, ‘우크라이나인’이라는 독자적 민족의 개념 자체를 부정한다. 둘째, 우크라이나의 영토와 국경이 역사적 근거 없이 최초에 볼셰비키에 의해 임의로 결정되었고, 이후 소련이라는 한 국가 내에서 행정적으로 변경된 것에 불과하다고 주장하면서 그것을 인정하지 않는다.
셋째, 올리가르흐들과 급진적 민족주의자들로 구성된 우크라이나 엘리트가 권력을 유지하기 위해 역사를 왜곡하면서 반러 캠페인을 주도하고 있다고 인식한다. 넷째, 소련 해체 이후 강력한 인프라, 가스 수송체계, 선도적 산업 부문들을 가지고 있던 우크라이나가 엘리트의 잘못으로 지금은 가난한 나라로 전락했다고 인식한다.
다섯째, 우크라이나 정부가 군사적 수단을 통한 크림반도 탈환과 돈바스 내전 해결을 준비하고 있고, 우크라이나가 러시아를 공격하기 위한 미국과 NATO의 ‘교두보’가 되고 있다고 판단하면서, 우크라이나가 ‘군사화’되었다고 인식한다. 여섯째, 우크라이나 당국이 소수 민족인 러시아인의 권리를 침해하는 파시즘적 정책을 시행하고, 나치 전범에 대한 미화를 시도하면서 네오나치의 활동을 고무하며, 네오나치가 우크라이나에서 권력을 장악했다고 판단하면서, 우크라이나가 ‘나치화’되었다고 인식한다.
일곱째, 크림반도와 돈바스 주민이 우크라이나 엘리트의 ‘반러’ 프로젝트 거부로 인한 폭력으로부터 자신을 지키기 위해 러시아로의 병합과 무장투쟁을 선택했다고 인식한다. 여덟째, 우크라이나 침공을 의미하는 이른바 ‘특별 군사 작전’이 돈바스 주민을 보호하기 위해 불가피한 선택이고, 도네츠크 인민공화국과 루간스크 인민공화국과의 우호·협력·상호원조조약에 기초한 요청에 따라 적법하게 이루어진 결정이라고 인식한다.",제성훈,2022,https://www.riss.kr/link?id=A103204985
"최근 북러관계의 변화: 현황, 동인, 전망 및 한국의 대응","북러관계가 최근 들어 상당히 우호적인 관계로 발전했다. 우크라이나 사태 이후 서방과 대립각을 세우게 된 러시아는 북한을 포함한 아시아 국가들과 협력관계를 더욱 발전시키기 위한 노력을 기울여왔다. 한편으로 북한은 외교적으로 고립된 가운데 중국과의 관계가 악화됨에 따라 러시아와의 협력을 필요로 하게 되었다. 지난 수년간 북한과 러시아는 교역확대, 비자간소화, 교역에 있어서 루블화 결제 등에 관한 협정을 맺었다. 북러관계의 진전은 여러 요인에 의해 촉발되었다. 무엇보다도 러시아가 신동방정책의 일환으로 한반도와 동북아에서 자국의 존재감을 유지하려고 하는 모스크바와 국제적 고립을 탈피하고 외교적 활동공간을 넓히려고 하는 평양의 의도가 합치하기 때문이다. 또한 경제적으로 북한은 러시아로부터 원조를 기대하고 있으며 러시아는 북한의 협조를 얻어 한국을 포함하는 3각협력을 추진하려고 한다. 이러한 북러간 밀월관계는 한국에게 도전과 기회를 동시에 던지고 있다. 한편으로 북러관계의 긴밀화는 대한민국이 추진하고 있는 ‘유라시아 이니셔티브’에 좋은 기회가 된다. 다른 한편으로는 북러간의 밀착은 북핵문제의 해결을 복잡하게 만듦으로써 한반도에 있어서 불확실성을 증대시킬 수도 있다.",장덕준 ( Duck Joon Chang ),2014,https://www.riss.kr/link?id=A108527150
체홉 『갈매기』의 한국무대 수용 연구,안톤 체홉의 《갈매기》 공연을 연구하면서 특히 2004년 예술의 전당 공연의 특성을 알아본다. 이 공연은 최초로 작가의 초고 본을 복원하여 공연하였다. 이를 통해 그동안 수수께끼였던 여러 상황들이 어느 정도 밝혀 질 수 있기를 기대 할 수 있다.,함영준(Ham Young Jun),2006,https://www.riss.kr/link?id=A100265868
우크라이나 전쟁의 동북아 지역 영향과 한국의 대러 전략 및 과제,"이 글은 우크라이나 전쟁 이후 한중일 3국은 어떠한 대러 외교 전략을 취하고 있는지? 그리고 한국에게 필요한 독자적 대러 전략은 무엇인지? 이러한 질문에 대한 답을 제시하고자 한다. 동북아 지역은 냉전적 질서가 잔존하고 현실주의가 지배하는 지역이다. 이러한 특성이 우크라이나 전쟁 이후 더욱 강화되고 있다. 대결 친화적인 현실주의 전략 사고가 강화되고 있는 동북아에서 한국은 어떻게 하면 중국이나 일본과는 다른 협력 친화적인 외교 전략을 수립할 수 있을까? 이러한 연구목적을 위해 본 논문은 우크라이나 전쟁이 한반도와 동북아 끼치는 영향을 살펴보고, 한러 관계의 안정적 관리를 위해 우리는 어떠한 전략을 수립하고 추진하는 것이 바람직한지 제시하고자 한다.",고상두,2023,https://www.riss.kr/link?id=A108040088
러시아어 다의어 의미확장 연구,"다의어의 구조를 다의어의 최초의 기본 의미에서 이 의미와 관련 있는 여러 개의 의미들이 어떤 형태로든 연결되어 있다고 가정할 때, 다의의 기반이 되는 단의적 범주가 정의적 자질에 의하여 형성되었다는 논리에는 인지주의자들도 수긍한다. 그리고 최초의 단의적 범주가 다의적 범주로 확장되는 과정에서 다의어가 형성되었다고 가정 할 때 이 과정에서도 고전이론의 핵심인 추상화의 원리에 의하여 도식이 형성되었다고 가정하는 것이 보다 객관적인 이론이 될 수 있다.
다의어를 가족닮음의 개념으로 설명하는데 많은 유익이 있지만 실험에 의한 귀납적 체험주의는 객관적인 추상화의 논리를 도입하지 않고는 범주를 대표할 수 있는 심적 표상으로 인정될 수 없다. 망모형 이론의 원형 PT가 체험주의에 근거하고 있고, Langacker가 이 모형에서 사용한 추상성의 개념도 추상적 객관주의에 토대를 두고 있지 않기 때문에 한계가 있다. 이를 극복하기 위하여 신체화 과정과 각 단계별로 다의어 의미의 도식이 형성되는 과정을 구분해야 한다. 지금까지 다의어 연구에서 범주화의 고전이론과 인지주의는 각각 서로 다른 관점에서 연구되었지만 이 두 가지 관점이 상호보완될 때 심적 표상의 객관성을 부여받을 수 있다.
바로 이 원리에 의하여 러시아어 신체어휘 рука, нога, голова, рот 등 다섯 개의 다의어 의미 확장구조를 분석하였다. 상기 분석을 통하여 다의어는 단의적 범주의 기본 의미가 신체적 과정의 원리에 따라서 확산되는 구조로 규정할 수 있고, 확산되는 각 단계에서 형성되는 도식은 바로 다음 단계를 위한 기반이 되고 이와 같은 과정은 연쇄적으로 계속될 수 있다.",이용권(Lee Yong Kwon),2011,https://www.riss.kr/link?id=A108186138
러시아어 신체어 рука의 의미전이 연구,"본 논문은 러시아어 신체어 가운데 рука의 의미전이양상을 구성, 형태, 위치, 기능적 측면에서 인접과 유사로 나누어 살펴보았다. рука는 주변 단어들과의 관계 속에서 다의성을 획득하며, 매우 높은 관용어 생산성을 보이고 있다. 또 рука의 의미확장은 자의적이기보다는, 인접성과 유사성에 의해 형성되는 연상범위내에서 이루어지는 것을 확인할 수 있었다. рука의 인접성에 의한 전이는 구성면에 기반한 부분과 전체사이의 인접성, 기능적 인접성, 원인과 결과 사이의 인접성에서 발생한다. 유사성에 의한 연상은 기능의 유사로 국한된다.
그러나 рука에서 파생되는 여러 가지 의미를 분석함에 있어서, 인접과 유사의 어느 한 유형으로 나누기에 어려운 경우가 많다. 이는 우선 전의의 형태가 단일한 것이 아니고, 때로는 복합, 중복적인 양상을 보이기 때문이다. 다시 말하면 기본의미에서 파생의미로 전이되는 과정에서 여러 가지 연상 형태들이 복합적으로 얽혀있는 경우가 많기 때문이다. 또한 рука에서 파생한 의미들 사이에도 연관성을 찾아볼 수 있다. рука의 ‘소유’의미와 ‘권력, 영향력’의 의미는 모두 рука의 ‘쥐고, 잡는’ 기능의 유사성에서 전이된 의미로서, 동일한 관용어가 이들 두 의미를 모두 표현하는 경우가 많다. 또 한 가지 흥미로운 사실은 이들 전이의미는 기본의미에 비해 형태, 통사적인 제약을 보인다는 점이다. 이 밖에 рука의 전이의미와 рука 파생어를 살펴보면, 전체적으로 손의 기능과 관련된 것이 많다는 것을 알 수 있다. 또한 рука관용어도 손의 기능, 그 가운데에서도 ‘일’의 개념과 관련된 것이 압도적으로 많다.
рука를 포함한 신체어의 의미전이양상은 여러 언어에서 유사한 양상을 보인다. 그것은 인간이 기본적으로 비슷한 신체구조를 가지고 있으며, 인간이 생각하고 범주화하는 양상은 동서고금을 막론하고 어느 정도의 공통성을 지니고 있기 때문이다. 그러나 동시에 손의 관습적 움직임에 대한 관용어는 양 언어에서 매우 다른 양상으로 나타난다. 이것은 이들 언어가 사용되는 사회의 언어적 환경, 역사, 관습, 전통, 사고방식, 경험의 이질성에서 비롯된 것이다.
앞으로의 연구 방향은 크게 둘로 나눌 수 있다. 첫째, рука외에 다른 러시아어 신체어의 의미전이로 연구를 확장하여, 전반적으로 러시아어 신체어의 의미가 전이되는 개념범주를 파악하는 것이다. 이것은 ‘몸’, ‘신체부위’라는 개념이 러시아어라는 구체적인 언어에서 구조화되는 양상을 파악하는데 중요한 자료가 될 것이다. 둘째, 러시아어 신체어 의미전이 양상에 대한 연구 결과를 한국어를 비롯한 다른 언어에서 신체어의 의미전이 양상과 비교한다면, 사회언어학적, 심리언어학적으로 흥미있는 연구 결과를 기대할 수 있으리라 여겨진다.",남혜현(Nam Hye Hyun),2006,https://www.riss.kr/link?id=A76178918
