
한국과 일본의 영어 교육 비교 연구,"ABTRACTThe present study surveys the historical background of English teaching in japan, which Korea inherited and has made its own tradition.The Japanese history of English teaching has had two periods during which English was popularly learned with the kind of enthusiasm that has not been seen in other times. One was the Meiji period When all subjects on the curriculum of the middle school and upwards were taught in English by Western teachers with books written in English, and the other the period of American occupation beginning with the end of the war, when the ability of spoken English was almost an essential condition for advancing one's career.In other times, the status of English was recognized only as one of the most important subjects of the examination for entrance into the university. This was a situation for which the grammar-translation method of teaching was the most effective, making it difficult for any communication-oriented method to be adopted in schools of formal educationThe national controversies, characteristic if English teaching in Japan, over whether English should be included in the curriculum of the middle school are traced partly to public dissatisfaction with the low level of English proficiency of high school and university graduates vis-a-vis the time spent on learning the foreign language,partly to nationalism of the Japanese people, and partly on the ideology of English education.English was introduced to Korea along routes different from the way it came to Japan. and had been taught to a small number of people by a communication-centered method until 1919, when Japan replaced with its own the traditional Korean educational system including English teaching. It can be said that English teaching in Korea actually started with the imposition of the Japanese educational system in Korea, and has thus inherited the Japanese tradition of English teaching. It is this historical background that makes the history and tradition of English teaching of Japan meaningful to us.It is revealed by this survey that progress in the teaching of foreign",조용남,1991,https://www.riss.kr/link?id=A2112155
비교문화적 화용론에 기초한 한국어의 화용 교육,"People who grew up in a completely different cultural environment will have difficulty in deciding what kind of verbal reaction they are expected to show; this is due to the cultural differences they have in their life style, attitude and way of thinking.",이해영 ( Lee Hae Yeong ),2002,https://www.riss.kr/link?id=A75594957
언어이론과 영어교육,"The outcome of this study suggests that some of the linguistic, especially semantic, theories be applied to actual English teaching. As for the applicability of the theories, the Standard theory with its feature analysis helps the ESL students to understand English ambiguity and synonyms better; Thematic roles as part of semantic theories have made it easier for them to have a thorough grasp of the underlying logical meaning of the surface forms; Performative theory shed light on the illocutionary force of linguistic meaning; and Discourse analysis, for its part, puts much emphasis on the appropriateness of language use, differentiating between written and conversational English according to its formality / informality.
In view of such pedagogical of the above and other contributory factors- psychomotor, cognitive- in the Facilitation of teaching and learning English as a foreign language for Korean ESL students, the present writer as a teacher of English takes the that appliction of semantic theories can be effectively pursue(B as pedagogical entities.",이웅호,1998,https://www.riss.kr/link?id=A2105290
AI 챗봇 활용 국내 영어학습의 효과 메타분석,"This study aims to investigate the effects of using AI chatbots in Korean English education from a macro perspective. For this purpose, 19 experimental studies are selected to conduct a meta-analysis, synthesizing the results of 51 individual study cases. The results of this study are as follows: First, it is found that the overall effect size of using chatbots is more than medium size meaning that a chatbot is an effective tool to learn English. Second, in the aspects of linguistic competence and affective categories, each shows over medium sizes like the overall effect size. In details of the dependent variables, vocabulary and speaking in linguistic competence and motivation in affective categories, large effect sizes are shown. Third, the effect sizes are getting larger, as the younger the students are, the longer the experiment period lasts, and the more purpose-built the chatbot is. But the differences in the effect sizes in terms of these moderators (e.g., school level, experiment period, and chatbot type) are not significant. Lastly, it is suggested that follow-up studies are needed to collect a sufficient number of experimental study cases and subdivide the variables for performing a more detailed meta-anlysis.",서소담,2023,https://www.riss.kr/link?id=A108754503
"""세종학당용 초급 한국어 표준교재""개발을 위한 교수요목 설계 방안 연구","This study aims to develop a syllabus of ``Korean Language Textbook for Sejong Hakdang; Beginner level``. which will be distributed and used as a main teaching material in Sejong Hakdangs in overseas. Sejong Hakdang is a brand of Korean educational facility and program for Korean learners found by the National Institute of the Korean Language. Educators and Students at Sejong Hakdangs has demanded textbooks customized according to their curriculum and educational environment, ``Korean Language Textbook for Sejong Hakdang; Beginner level`` is being developed to this needs. This study will demonstrate the principles and process of designing the syllabus that is the framework of ``Korean Language Textbook for Sejong Hakdang; Beginner level``. And the study will also examine and analyse the current state of overseas Sejong Hakdangs focusing on their curriculum and teaching hours so as to apply the their needs to the syllabus design. The syllabus that will be presented in this study consist of 26 units excluding 3 preliminary units. The 26 units are divided into 2 modules, one with 12 units, the other with 14 units. This ``2 modules 26 units`` system is designed to maximize the instructional efficiency considering current curricula of overseas Sejong Hakdangs in the perspective that overseas Sejong Hakdangs has a need of the textbook with smaller teaching units for their limited teaching hour. This study will discuss more characteristics of the syllabus related to the other constructs of the syllabus.",김정숙 ( Chung Sook Kim ),2011,https://www.riss.kr/link?id=A75591019
구글 번역기와 네이버 파파고 번역기의 스페인어-한국어 기사 번역 오류 유형 분석,.,양성혜,2022,https://www.riss.kr/link?id=A82638259
정보화 시대의 이중언어교육,"This paper aims to emphasize the need of bilingual education not only the minority students, but also for every students in the world. Since this century is called knowledge-Informationization era, knowing more than two languages is almost necessary. This",박영순 ( Park Yeong Sun ),2002,https://www.riss.kr/link?id=A102450668
"한국어 학습자의 인지적,정의적 개인차 요인과 제2언어 성취 간의 관계","This paper investigates the relationships of cognitive and affective individual difference variables (i.e., second language [L2] aptitude and L2 learning motivation, respectively) to proficiency and achievement in Korean as a second language (KSL) for Chinese learners of Korean enrolled in a university-affiliated Korean language institute. The data were analyzed by a variety of statistical methods involving correlation multiple regression. The subtest scores of the aptitude test battery showed strong correlation with overall L2 proficiency and achievement in speaking, listening, reading, and vocabulary and grammar, while measures of the attitude/motivation test battery also corre1ated with L2 success in reading and speaking to a certain extent. The present study contributed to an in-depth understanding of factors that influence success in KSL and highlighted utility of the aptitude and attitude/motivation test batteries used in this study for predicting L2 success of learners of Korean. Implications for further research and limitations of the present study were also discussed.",이은하 ( Eun Ha Lee ),2011,https://www.riss.kr/link?id=A87003113
중국인 한국어 학습자의 발음 오류와 지도방법,"The aim of this paper is to survey the reasons behind the Chinese native speakers`` errors when they pronounce Korean and to present the appropriate teaching methods of pronunciation. The main reasons of their errors in pronunciation are induced from retroflexes and tone. Retroflexes cause the point of articulation to move more backwards that the point where real Korean sound is made. And tone influences the way a sound is articulated. Because of the influence of tone, Chinese learners tend to neglect the correct way of articulation in the mouth, even though it is an important factor in distinguishing Korean sounds. So for the teaching pronunciation, teachers should make the learners`` tongue to be flat to pronounce non-retroflexes. When teachers present the sounds and the way of articulation, by her or himself, it is more efficient than presenting it through other methods to change their habit to pronounce.",백소영 ( So Young Paik ),2008,https://www.riss.kr/link?id=A87014716
외국어로서의 한국어 문법 교육 - 한국어 교육 문법의 제시 원리와 체계를 중심으로 -,"This paper defines Korean grammar for foreign learners as what helps them communicate effectively in Korean through providing them with substantial, not abstract, grammatical knowledge about the specific meanings and functions of grammatical forms. With t",김재욱 ( Kim Jae Ug ),2003,https://www.riss.kr/link?id=A108086764
