
한국어교육에서의 대조언어학과 보편문법의 필요성 연구,"1 허용, ""한국어교육을 위한 중간 언어 음운론 기초연구: 지배음운론적 관점에 입각한 한국어 모음현상 분석"" 언어과학회 25 : 277-298, 2003",허용 ( Yong Heo ),2008,https://www.riss.kr/link?id=A2112155
한국어와 스페인어 개 관련 속담의 상징적 의미와 의미 구조,"본 연구의 목적은 한국어와 스페인어에서 `개`를 포함하는 속담들을 살펴보고 이 특정 영역에서 두 언어 코드 간의 유사성과 이질성을 고찰하고자 하는 것이다. 고래로부터 인간과 동물은 공존해왔으므로 인간은 그들의 습성과 본성에 대한 지식을 축적해왔다. 그리하여 인간은 어떤 언어공동체라도 동물이 나타낸다고 가정하는 다수의 가치나 자질들을 신뢰하게 되었고, 이러한 모든 지식은 문화 코드의 일부를 구성하게 되었다. 이런 의미에서 본 연구는 스페인어와 한국어의 개 관련속담들을 분석함으로써 문화 코드가 언어 코드에 영향을 미친다는 사실을 부각시키고자 한다. 인간의 개에 대한 평가가 언어공동체에 따라 상이하고, 속담은 이러한 인간의 사고방식을 반영하기 때문이다.",조혜진 ( Cho Hyejin ),2016,https://www.riss.kr/link?id=A75594957
전통연희의 현대적 의의,"전통연희는 근현대 이전의 전통사회에서 전문적이고 직업적인 연희자들에 의해 전승되던 백희잡기(百戱雜技)의 종목들과 가면극.판소리.창극.꼭두각시놀이 등 연극적 양식의 종목들로서, 영리를 목적으로 관중들을 위해 연행하는 공연물을 가리킨다. 전통연희는 종목별로 크게 (1) 곡예와 묘기, (2) 환술(幻術), (3) 각종 동물로 분장한 가면희, (4) 동물 재주 부리기, (5) 골계희(滑稽戱 코미디) 또는 우희(優戱), (6) 가무희(歌舞戱), (7) 악기 연주, (8) 인형극, (9) 가면극, (10) 판소리와 창극, (11) 종교의례 속의 연희 등으로 나눌 수 있다. 그동안 전통연희를 활용한 공연예술의 선구적 장르는 1980년대 시작된 마당극과 민족극을 들 수 있다. 1980년대 초두에 민속극에 기반을 둔 창작극인 마당극(마당굿) 또는 민족극이라 불리는 일단의 정치극이 새롭게 등장해 체제비판을 시도했다. 전문적인 연극단체 가운데도 가면극.판소리.인형극 등 전통연희를 활용한 창작극을 정립해 보려는 시도가 있었다. 대표적인 예가 1973년 연출가 허규를 중심으로 한 ``극단 민예``와 손진책의 ``극단 미추``이다. 김덕수의 사물놀이는 전통적 양식의 풍물을 개작하여 크게 성공한 예이다. 최근 극립창극단, 극단 목화.연희단 거리패.민족예술단 우금치.극단 민들레의 연극을 비롯하여 여러 분야에서 전통연희를 활용한 새로운 공연예술을 창작하고 있다. 그러나 그 연희 수준이나 흥행력은 중국과 일본의 경우에 비해 미진한 편이다. 전통연희의 잡기 종목들을 전문화. 고난도화 하여 연희 수준을 향상시키는 것과 함께, 수준 높고 재미있는 한국적 뮤지컬을 만들어내는 것이 이 분야의 중요한 과제이다. 전통연희는 우리들이 자랑스럽게 생각하는 한류의 발전을 위해, 그리고 현대공연예술의 한국화를 위해 창작자원을 제공할 수 있는 문화콘텐츠이다.",전경욱 ( Kyung Wook Jeon ),2011,https://www.riss.kr/link?id=A2105290
외국인을 위한 한국어 어휘 교재 연구,"한국어 교육에서 어휘 교육은 단순히 암기하는 대상에서 의사소통에 중요한 역할을 담당하는 요소로 위상이 변화하고 있다. 어휘의 양이 한 사람의 지적인 능력의 잣대가 되기도 한다. 한국어 교육에서도 어휘 능력이 언어 능력의 중요한 기준이 되기도 한다. 특히 고급 단계로 갈수록 어휘 능력의 비중이 점점 커지고 있다. 따라서 한국어 어휘를 어휘 학습법과 연계하여 교재로 개발하려는 노력이 필요하다. 암기가 필요한 어휘들은 암기에 용이하게 구성해야 하며, 어휘 형성 원리를 알 필요가 있는 것은 학습자에게 도움이 되는 형성 원리들을 제시해 주어야 한다. 어원을 비롯하여 어휘 해석에 도움이 되는 요소들도 정리하여 제시해주어야 한다. 어휘를 단순히 암기하게 하여서는 학습 동기를 유발하기 어렵다. 어휘부의 구조, 한국어 어휘의 특징들을 고려한 어휘 교재가 개발되어야 한다. 본 연구에서는 한국어 어휘 교육과 어휘 교재의 현황과 문제점을 살펴보았다. 어휘 교재에 관해서는 교재 개발뿐만 아니라 연구 결과도 매우 부족한 편이다. 어휘를 집중적으로 학습할 수 있는 한국어 어휘 교재는 거의 개발되지 않았고, 개발된 교재들도 관용표현에 집중된 실정이다. 대부분의 교재가 단순히 어휘를 찾는 사전의 형태만을 취하고 있어서 학습자의 학습 동기를 유발하였다고 보기 어렵다. 또한 어휘 간의 연계성에 대한 검토가 이루어지지 않아서 어휘를 체계적으로 학습하기에는 어려운 점이 많았다. 본 연구에서는 이러한 문제점의 해결을 위해서 의미 관계, 어휘 구조, 단어 형성 원리 등을 활용하여 교재를 구성하는 방안을 제시하였다. 즉, 의미장, 파생법과 합성법, 자음교체와 모음교체에 의한 단어 형성법, 명사와 용언간의 연관성 등을 통해서 어휘를 체계적으로 학습할 수 있는 방안을 제안하였다.",조현용 ( Hyun Yong Cho ),2008,https://www.riss.kr/link?id=A108754503
추측과 의지의 양태 표현 “-겠-“과 “-(으)ㄹ 것이다”의 교육 방안 연구,"1 장경희, ""현대국어 양태범주 연구"" 탑출판사 1985",강현주 ( Hyun Ju Kang ),2010,https://www.riss.kr/link?id=A75591019
"TTT 모형을 활용한 추측 표현 교육 연구 -""-는 것 같다"", ""-나 보다"", ""-는 모양이다""를 중심으로-","1 이윤진, ""한국어교육에서의 양태 표현 연구"" 국제한국어교육학회 14 (14): 8-210, 2003",이준호 ( Jun Ho Lee ),2010,https://www.riss.kr/link?id=A82638259
한국어 쓰기 능력 평가 방안 -종합적 채점과 분석적 채점 결과를 중심으로-,"1 김정숙, ""한국어능력시험의 등급별 합격 점수 및 채점 기준 설정방안 연구"" 한국교육과정평가원 2005",김정숙 ( Chung Sook Kim ),2010,https://www.riss.kr/link?id=A102450668
영어의사소통에 관한 자기효능감과 문화적응도가 한국인과 타이완 국제 학생들의 영어 의사소통 불안감에 미치는 영향,"본 연구는 미국에서 공부하는 한국학생과 대만학생을 대상으로 의사소통 효능감과 미국문화 적응정도가 영어로 의사소통할 때의 불안감에 미치는 영향을 조사하였다. 이 과정에서 이 학생들이 모국어로 의사소통할 때 경험하는 불안감 수준과 기타 인구통계학적변인들의 영향을 통제하였다. 미국 중부 대학교에 재학 중인 31명의 한국학생과 19명의 대만학생이 연구에 참여하였다. 상관분석 결과, 의사소통 효능감과 미국인 친구의 수가영어의사소통 불안감과 부적 상관을 보였다. 위계적 회귀분석 결과, 영어의사소통 불안감을 설명하는데 있어서 의사소통 효능감은 학생들의 모국어의사소통 불안감과 인구통계학적 변인들의 설명변량을 통제하고서도 21%의 추가 설명량을 보였다. 그러나 미국문화 적응정도는 동일한 통제변인의 설명량을 배제했을 때 유의미한 추가 변량을 설명하지 못했다. 끝으로, 본 연구의 시사점, 제한점 및 후속 연구에 대한 제안점들이 논의되었다.",임현우 ( Hyun Woo Lim ),2009,https://www.riss.kr/link?id=A87003113
다문화가정 자녀 실태 및 다문화교육의 추진 방향,"논문의 목적은 다문화가정 자녀의 현황을 알아보고, 이들을 대상으로 설문 조사를 실시하여 이를 바탕으로 다문화교육의 방향을 제안하는 데 있다. 이를 위해 다문화가정 자녀들을 대상으로 학교생활과 가정생활에 관련된 설문을 실시하였다. 학교 수업에 대 한 흥미 정도와 가장 쉬워하는 과목과 어려워하는 과목, 더 배우고 싶어 하는 과목에 관해 물었다. 또한 방과후의 생활과 가정에서 학습을 도와주는 사람, 사용하는 언어, 다 문화 행사에 대한 태도, 교우 관계 등에 관하여도 물었다. 이를 바탕으로 이 논문에서는 다음과 같이 세 가지의 다문화교육 방향을 제안하였다. 첫째, 다문화가정의 학생들을 일반가정 학생들과 분리해서 교육해서는 안 된다. 둘째, 다문화가정이라는 특수성이 아 니라 인류 보편의 동질성에 바탕을 둔 교육지원 정책이 마련되어야 한다. 셋째, 다문화 교육은 다문화가정 어머니의 출신국 문화와 한국 문화 간의 쌍방향 문화교류 관점에서 이루어져야 한다. 이러한 다문화가정 자녀를 위한 교육 방향은 학력 신장, 자신감 고취, 창의력 발달, 이중언어 구사 능력 배양이라는 구체적인 목표 하에 좀 더 적극적이고 체 계적으로 실시되어야 할 것이다.",김선정 ( Seon Jung Kim ),2010,https://www.riss.kr/link?id=A87014716
외국어로서의 한국어 문법 교육에 대한 접근 방향,"본 연구의 목적은 외국어로서의 한국어 교육 문법의 특성을 규명하고 구체적인 교육 방향을 제시하는 것이다. 한국어 교육 문법은 학습자의 인지적 과정에 의해서 설정되고 반영되어야 한다. 한국어를 배울 때 문법을 학습하는 궁극적인 목표는, 언어 속에 내재한 규칙을 배움으로써 한국어를 좀 더 효과적으로 습득하고 활용하기 위한 것이다. 본고는 학습자의 의사소통 능력을 향상시킬 수 있는 효과적인 문법 교수 모형을 디자인하고 제안하는 데 있다. 또한 한국어 문법 체계 속의 다양한 문제를 설명하고자 하였다. 문법 교육은 문장 문법, 담화 문법, 화용 기능을 모두 포함해야 한다. 그리고 한국어 문법 항목은 실제적인 언어 사용 단위로 구성해야 하며 문법 기술은 형태, 의미, 화용 정보를 모두 포함해야 한다. 그러므로 본고는 한국어 문법 체계의 실제적 접근을 탐구한다.",김현지 ( Hyun Ji Kim ),2008,https://www.riss.kr/link?id=A108086764
한국어 학습자의 공손 표현 습득 연구 -말레이시아 학습자의 요청 화행을 중심으로-,"1 김혜연, ""한국인, 일본인, 일본인 학습자의 요청 화행 전략 비교: 한국어교육의 관점에서"" 한국외국어대학교 교육대학원 2008",이정덕 ( Jeong Deok Lee ),2010,https://www.riss.kr/link?id=A82367706
한국어 교재에서의 문형 제시 양상,"1 가톨릭대학교 한국어교육센터, ""행복한 한국어1"" 한국문화사 2007",이윤진 ( Yun Jin Lee ),2009,https://www.riss.kr/link?id=A82420251
학문목적 한국어 학습자의 학습동기가 학습노력과 학습효과에 미치는 영향 연구,"1 강승혜, ""한국어교육의 학문적 정체성 정립을 위한 한국어교육 연구 동향분석"" 국제한국어교육학회 14 (14): 1-28, 2003",원미진 ( Mi Jin Won ),2010,https://www.riss.kr/link?id=A82367708
원격교육을 통한 고등학교 제2외국어교육 내실화 방안 연구,"7차 교육과정에서는 고등학교 제2외국어교과에 대한 학생들의 과목선택권이 확보될 수 있는 교과운영을 권장하고 있으나 실제로는 학교 시설, 교원 확충 등의 문제로 인해 실 행되지 못하고 있다. 제2외국어는 대입수학능력시험에서 매년 8만명 내외의 학생들이 응시하는 주요 선택교과이다. 최근 7차 교육과정이 부분 개정되었으나 여전히 학생들은 본인이 희망하는 제2외국어과목이 아닌 학교에서 개설 가능한 과목만을 수강하고 있으 며 이러한 문제를 해결하기 위한 정책적 노력이 미진한 상태이다. 본 연구에서는 고등 학교 제2외국어교과에 대한 학생들의 과목선택권을 보장해 주기 위한 해결 방안으로서 원격교육을 활용하는 방안을 탐색해 보았다. 이를 위해 본 연구에서는 현행 고등학교 제2외국어교육 본혠황과 문제점을 살펴보고, 국내외 공교육 기관에서 운영되고 있는 원 격교육 사례를 분석한 뒤, 고등학교 제2외국어교육과 관련하여 수행되었던 선행연구들 을 원격교육 관련 문헌들을 포함하여 검토한 다음 시사점을 도출하였다. 이를 바탕으 로, 고등학교에서 원격교육을 통해 제2외국어교육이 실질적으로 가능하기 위해 필요한 방안을 제시하고자 하였다. 연구 결과 현행 초중등교육법 체계 안에서 고등학교 제2외 국어교육에 원격교육을 활용할 수 있는 운영 방안으로서 방송통신고등학교를 활용하는 방안을 제안하였으며, 내실 있는 원격교육에 필요한 온라인 튜터를 확보하기 위하여 2009년 이후 예비교원의 교원자격증 취득에 필수요건인 교육봉사활동을 활용하는 방안, 원격교육에 필요한 학습관리시스템 구축 방안을 제시하였다.",이준 ( June Lee ),2010,https://www.riss.kr/link?id=A87014746
한강의 『채식주의자』(2007)와 까르멘 보우요사의 『그냥 사라져버려 Mejor desaparece』(1987)에 나타난 포스트휴먼 변신 서사로서의 ‘식물-되기(becoming-plant)’,"본 연구의 목적은 한국과 멕시코의 대표적인 현대 여성 작가인 한강과 까르멘 보우요사의 소설 『채식주의자』(2007)와 『그냥 사라져버려 Mejor desaparece』(1987)의 문학기법적 유사점과 차이점을 분석하는데 있다. 두 소설 모두 여성 화자들의 ‘식물-되기’ 과정을 제시함으로써 큰 틀에서 포스트휴먼의 변신 서사를 구현한다. 본고는 주인공들의 ‘식물-되기’를 촉발하는 지점을 이해하기 위해 두 화자들이 집이라는 공간에서, 혹은 가족 내에서 어떤 위치를 차지하는지 살펴보고, 폭력, 방치, 공포와 관련된 메타포들을 분석한다. 또한 여성 화자들의 여성성이 타자의 눈에 어떻게 재현되며, 그녀들의 야생성과 그로테스크가 갖는 의미는 무엇인지에 대해 살펴본다. 특히 남성들의 성적 대상으로 존재하던 그녀들이 어떻게 포스트휴면의 변신 서사를 통해 재탄생하는지 주목한다. 마지막으로 보우요사의 어린 화자들이 꽃에서 풀, 잡초, 담쟁이덩굴로 변신하는 ‘식물-되기’와 한강의 영혜가 나무로 변신하는 ‘나무-되기’를 비교 분석하며, 이들의 변신 서사가 갖는 포스트휴먼적 의미가 어떻게 두 여성작가의 작품 세계를 이해하는 새로운 창으로서 기능할 수 있는지 밝힌다. 한강과 보우요사의 문학적 접점을 분석한 다룬 본 연구는 최근 활발한 연구가 이루어지고 있는 포스트휴먼 문학 연구에 기여할 뿐만 아니라, 현재 활동하는 한국과 멕시코의 현대여성 작가들을 비교, 분석함으로써 한국과 중남미 비교문학연구의 장을 넓힌다는 의의가 있을 것이다.",김선영,2021,https://www.riss.kr/link?id=A87014759
