
한국어교육에서의 대화형 인공지능 챗봇 적용 가능성 탐색 -고급 한국어 학습자와 ChatGPT의 상호작용 분석을 중심으로-,"2022년에 출시된 ChatGPT는 대화형 인공지능 챗봇으로 높은 성능을 보이며 언어 교육에서 활용되고 있다. 본 연구의 목적은 대화형 인공지능 챗봇(Chatbot)인 ChatGPT와 한국어 학습자의 상호작용 분석을 통해 한국어교육에서 대화형 인공지능 챗봇의 적용 가능성을 탐색하는 데에 있다. 이를 위해 고급 한국어 학습자 3인을 섭외하여 쓰기, 말하기 과제를 수행하게 하여 상호작용 결과를 분석하였다. 본 연구에서 제시한 쓰기 과제는 쓰기 수정, 글 작성, 자유로운 쓰기이며, 말하기 과제는 인터뷰, 대화/역할극 생성, 자유로운 말하기 과제이다. 그 결과, ChatGPT가 완벽하지는 않지만 한국어교육에서도 적용가능하며, 특히 해외 학습자의 말하기 연습용, 학습자 맞춤형 학습, 학습자의 말하기 불안감 감소 및 자기주도적 학습 유도 등의 측면에서 유용성을 지닌다고 보았다.",김형민 ( Kim Hyeong-min ),2023,https://www.riss.kr/link?id=A19562777
영화 <코코>에 나타난 삶과 죽음에 대한 인식,"본 연구에서는 영화 <코코>에 나타난 삶과 죽음의 인식을 살펴보고자 한다. 이 영화는 ‘죽은 자들의 날’에 일어나는 가족 간의 갈등과 화합을 기본 서사로 하고 있다. ‘죽은 자의 날’은 후손이 조상을 위해 제단을 만들고, 집으로 모셔 산 자와 죽은 자가 함께 하는 날이다. 그러나 가족 간의 갈등으로 가족의 화합은 이루어지지 못한다. ‘죽은 자들의 날’에 살아있는 주인공이 죽은 자의 세계로 들어가면서 사건이 발생한다. 대개 죽은 자들이 가는 곳인 저승은 두려움의 공간으로 인식된다. 저승은 살아있는 인간이 직접 경험할 수 없는 곳인 만큼 상상 속에서 다양한 이미지를 만들어낸다. 이때 저승의 이미지는 그 문화가 죽음을 어떻게 인식하는지와 관련이 있다. 영화가 보여주는 ‘죽은 자의 세계’는 화려한 형형색색의 활기찬 공간이다. 그곳에 사는 사람들의 삶 역시 살아있는 인간과 크게 다르지 않다. 산 자의 세계와 죽은 자의 세계는 분리된 개별 세계가 아니라 기억을 통해 연결된다. 두 세계의 관계는 주인공 미겔의 공간 이동을 통해 드러난다.
주인공 미겔은 우연한 기회에 죽은 자의 세계로 들어간다. 미겔의 공간 이동은 가족간의 갈등을 유발하는 부정적 기억을 긍정적 기억으로 전환시킨다. ‘산 자의 세계 →죽은 자의 세계 → 산 자의 세계’로 이어지는 순환적 공간 이동은 산 자의 세계와 죽은자의 세계가 기억을 통해 서로 연결되어 있음을 보여준다. 두 세계는 분리된 이원적 세계가 아니라 서로에게 열려 있는 세계다. 이는 삶과 죽음을 이원화하지 않고 동일한 대상으로 보는 멕시코 사람들의 인식과 연결된다. 영화 속 주인공의 공간 이동은 해당문화가 삶과 죽음을 바라보는 인식과 닮아있다.
죽은 가족을 기억하고 추모하는 것은 개인적 행위이지만 그 방식은 문화적이다. 매년 정해진 기간에 공동체가 동일한 의례를 진행하며 죽은 자를 기억하는 것은 집단적 기억을 통한 문화적 행위라고 할 수 있다. 죽은 자를 위해 마련된 제단에는 음식·물·촛불·오색 종이를 올린다. 이들은 공기·불·흙·물을 상징한다. 이는 고대 아스테카문명에서 기원한 것이다. 아스테카 사람들은 사람이 죽으면 공기·불·흙·물 등과 혼합되어 새로운 우주의 생명력을 이루는 절대 질료를 제공한다고 믿었으며, 삶과 죽음을 분리해서 이해하지 않았다. 이러한 관념은 ‘죽은 자들의 날’에도 담겨있다. 이 의례는 삶과 죽음을 분리해 이해하지 않기에 산 자와 죽은 자의 만남이 축제적 분위기 속에서 이루어지는 것이다. 고대부터 이어지는 이와 같은 관념은 매년 주기적으로 행해지면서 집단의 기억을 형성한다. 형식화된 행위의 주기적인 반복은 집단의 기억 안에 삶과 죽음이 동일한 것임을 각인시킨다. 이러한 행위는 문화의 자기커뮤니케이션이라고 할 수 있다. ‘죽은 자들의 날’은 문화가 자기커뮤니케이션의 과정을 통해 삶과 죽음이 동일한 대상임을 재인식한다. 또한 ‘죽은 자들의 날’이 죽은 자들만을 위한 날이 아닌 산 자와 죽은 자가 함께 공유하고 연대의식을 갖는다는 점에서 의례의 반복은 이들의 연대 의식을 새롭게 재조직하는 기능을 한다.",이향애 ( Yi Hyang-ae ),2018,https://www.riss.kr/link?id=A107973140
〈유충렬전〉의 작품구조와 역사적 성격,"<유충렬전>을 비롯한 조선후기의 영웅소설은 소설의 상업화라는 소설 발전의 토대 위에서 독서 대중의 요구에 부응하여 이루어진 통속소설이다. 그러나 통속소설이라고 해서 이들 작품이 우리 소설사에서 차지하고 있는 위상이 폄하되거나 간과되어서는 안될 것이다. 영웅소설의 성행은 조선후기 민중층의 성장과 밀접하게 연계되어 있기 때문이다. 이 글은 위와 같은 인식을 기반으로 <유충렬전>의 작품구조와 주제, 그리고 이 작품의 역사적 성격을 분석하였다.
<유충렬전>은 '충간의 대결을 기본적인 갈등구조로 삼으면서 충신의 궁극적인 승리와 그 승리를 통한 부귀공명의 실현'을 구가하고 있는 작품이다. 따라서 <유충렬전>의 주제는 '충'이 라는 명분론적 가치지향과 그 가치의 구현을 통한 개인적 가치의 실현으로 이해되어야 할 것이다. 다만, 여기에서 명분론적 가치지향으로서의 '충'은 봉건적 이념을 보수하거나 고양하기 위한 것이 아니라, 바로 봉건적 모순에 따른 현실적 질곡을 극복하기 위해 천명된 것이라고 하겠다. 즉 봉건적 질곡의 본질을 인식할 수 없었던 소설 향유층에게 있어서 명분론적 관념으로서의 '충'은 현실적 질곡을 극복하기 위한 도덕적 당위나 절대적 가치개념으로서 추구되었던 것이다. <유충렬전>의 향유층이 소설에 몰입했던 주요 이유 가운데 하나가 바로 이러한 도덕적 당위나 절대적 가치개념으로서의 '충'의 구현을 통한 가혹한 현실의 변화욕구였던 것으로 생각된다.",조병훈,2001,https://www.riss.kr/link?id=A108600540
중국인 학습자의 한국어 발음 교육 관련 연구 동향,"이 글에서는 2011년부터 2022년 3월까지 중국인 학습자를 대상으로 한 발음 교육과 관련 연구의 동향을 검토하고 문제점과 앞으로의 과제를 제언하였다. 중국인 학습자를 대상으로 한 그간의 연구 성과를 살펴보고 연도별, 연구 주제별, 세부적 내용으로 나누어 분석함으로써 중국인 학습자 한국어 발음 교육 연구의 동향을 기술하였다. 그리고 연구 성과에서 드러난 문제점을 몇 가지 제시하고 향후 중국인 학습자 한국어 발음 교육이 나아가야 할 방향을 모색하였다. 최근 십여 년 간에 중국인 학습자를 대상으로 한 발음 교육 연구의 성과를 파악하여 문제점과 앞으로의 과제를 제언하는 데 의의가 있다. 그리고 향후 발음 교육 관련 연구들이 늘어나고 의미 있는 연구 성과를 얻을 수 있기를 기대한다.",장산산,2022,https://www.riss.kr/link?id=A107862769
한국어 학습자의 의사소통 전략 교육 연구 -중급 학습자의 성취도를 중심으로-,"본고는 한국의 언어교육원에 있는 중급 한국어 학습자를 말하기 시험 성취도가 높은 학습자와 낮은 학습자로 구분하여 성취도에 따라 의사소통 전략 사용 양상이 다르게 나타나는지 확인하고자 하였다. 또, 전략 사용 양상에 대한 차이를 양적뿐만 아니라 질적으로 분석하고자 심층 인터뷰를 진행하였다. 마지막으로 사용 차이가 나고 교육적인 효과를 기대할 수 있는 전략 9개를 선별하여 의사소통 전략 수업 방안을 모색하였다.
학습자의 의사소통 전략 양상은 실험 결과 성취도에 따른 서로 다른 집단이 의사소통 전략 양상에 차이를 보이는 것을 알 수 있었다. 이러한 차이는 전략마다 차이를 보이지만 전반적으로 의사소통에 대한 학습자의 인식에서 기인하는 것을 알 수 있었다. 두 집단 간 인식에서 차이가 나는 부분은 다음과 같다. 첫째, 성취도가 높은 학습자는 의사소통에서 적극적인 태도를 보인다. 둘째, 성취도가 높은 학습자는 협력자로서의 청자 역할에 대하여 잘 인식하고 있다. 셋째, 성취도가 높은 학습자는 불완전한 발화에 대해서 두려움을 적게 느낀다. 이러한 학습자 집단의 특성이 학습자의 전체적인 전략 사용에 영향을 미치는 것을 알 수 있었다. 따라서 의사소통 전략 교육은 전략 사용뿐만 아니라 의사소통에 대한 전반적인 인식을 교육할 수 있다는 점에서 긍정적인 효과를 기대할 수 있다.
본고에서는 30개의 의사소통 전략 중에서 집단 간 차이를 보였던 전략을 중심으로 9개 전략을 선별하여 전략 교육 방안을 구상하였다. 의사소통에 어려움을 겪고 있는 학습자에게 본고의 교육 방안이 도움이 되길 기대해 본다.",김지혜 ( Kim¸ Jihye ),2023,https://www.riss.kr/link?id=A99588646
백석의 『사슴』에 대한 연구,"본고에서는 백석의 시집「사슴」을 통해 백석의 시세계를 살펴보고자 한다. 논의의 편의의를 위해「사슴」의 외적 측면과 내적 측면으로 나누어 고찰하고자 한다. 외적 측면에 대한 고찰로는 먼저 그의 시세계에 대한 논의에 있어 많은 논자들이 인용하고 있는 김기림의 평가의 올바른 의미를 밝히고자 한다. 다음으로는「사슴」의 출판과 평가, 구성, 표제의 의미를 다루어「사슴」의 외적측면에 주목하고자 한다. 다음으로, 「사슴」의 내적 측면에 있어서는 우선 '긴장과 이완의 놀이체험'이라는 시적 긴장 구조가 형성됨을 알 수 있다. 이에 대해 놀이의 의미와 밤의 시간성에 주목한다. 또한 의도적인 방언 표기에 대해 살펴본다. 이를 위해 제임스 조이스와의 영향 관계에 대한 주목이 요구된다. 이상의 논의를 통해 백석시가 갖는 '미적 모더니티'의 측면과 근대성의 측면에 대해 고찰하였다.",김상철,2003,https://www.riss.kr/link?id=A107306838
한국어능력시험 듣기 대화문의 실제성(authenticity) 분석,"본 논문의 목적은 실제 한국어 구어 대화의 특징을 바탕으로 한국어능력시험(TOPIK) 듣기 대화문의 실제성을 분석하여 더욱 실제성 높은 한국어능력시험 듣기 대화문을 제안하는 데 있다.
학습자의 ‘구어’ 능력을 평가하는 것이 현재 한국어능력시험이 당면한 과제라고 할 수 있다. 대화문은 한국어를 사용한 의사소통의 예시가 되어 학습자로 하여금 실제 대화에서 한국어가 사용되는 양상을 파악할 수 있게 하는 기능을 한다. 따라서 대화문이 실제 한국어 구어 대화를 잘 담아내고 있는 것은 그 무엇보다 중요한 요소라고 할 수 있겠다. 제1장에서는 연구의 이론적 배경을 한국어 구어에 기반한 실제성 분석을 위해 ‘실제성’과 ‘대화분석론’으로 구분하였다. 선행 연구 고찰 결과, 실제성은 현재 외국어 교육 분야에 적용할 수 있는 상대적인 개념으로 인식되고 있음을 알 수 있었다. 또한, 본 논문에서 연구 방법의 근간이 되는 ‘대화분석론’의 정의와 주요 분석 내용인 ‘발화 순서 교체’, ‘대화이동 연속체’, ‘청자 반응’의 개념을 명확히 하였다.
분석 대상은 한국어능력시험(TOPIK)의 듣기대화와 국립국어원에서 구축한 말뭉치이다. 비교 분석은 실제성 높은 대화문의 구성을 위해 실제 말뭉치에서 드러난 대화를 검토하는 맥락에서 진행되었다.
분석 결과 한국어능력시험에서 듣기 대화문의 발화 순서 교체는 실제 대화에 비해 정적인 양상으로 드러났다. 둘째, 대화이동 연속체의 기본 단위인 몇 가지 전형적인 인접쌍이 공개되지 않았다. 그리고 셋째, 청자 반응이 나타나지 않았다. 이를 바탕으로 말뭉치 기반으로 재구성된 인터뷰 유형은 TOPIK에서 구어 기반 난이도를 확보할 수 있는 새로운 유형의 질문으로 제시되었다.",김하은,2022,https://www.riss.kr/link?id=A108760920
국어 품사 분류와 관련한 몇 가지 문제,"국어의 품사 분류와 관련하여 해결되지 않은 문제가 많지만 본고에서 다룬 문제는 품사 분류의 기준과 품사 통용에 관한 것이다. 품사 분류의 기준으로는 형태, 기능, 의미, 단어 조성 유형의 공통성 등이 언급되었고, 이들 각각의 중요도에 있어서도 합의에 이르지 못하고 있다. 사실 품사 분류가 학문적인 엄밀성을 가지기 위해서는 일관된 하나의 기준이 적용되어야 한다. 하지만 여러 기준이 적용된 전통적인 분류도 단어의 최소한의 특징을 알게 해 주므로 국어교육이나 한국어교육에서는 여전히 유효하게 사용될 수 있다. 한편, 한 낱말이 다양한 품사로 분류되는 현상에 대해서 각각 관점의 차이에 따라 혹은 외국 이론이나 자생적인 논의에 의해 전환, 영접사 파생, 품사 통용 등의 용어가 쓰이고 있다. 품사 분류를 적절하게 하여 품사 통용 현상을 줄일 수는 있겠지만 분류의 속성상 통용 현상을 완전히 없애기는 어렵다. 이런 문제들은 국어학계에서 잘 알려진 것으로 새로울 것이 없지만 본고에서는 기존의 논의들을 정리하고 나름대로의 해결책을 찾아가는 과정에서 품사 분류 기준의 타당성, 용어의 기원, 교육적인 가치 등에 대해 일부 새롭게 밝히거나 새로운 견해를 제시하기도 하였다.","구본관(Koo, Bon-Kwan)",2010,https://www.riss.kr/link?id=A105456667
메타버스를 활용한 한국어교육 전공 대학원 수업 사례 연구 -교수 학습의 정의적 영역을 중심으로-,"본 연구는 대학원생들의 학업 수행에 있어 정의적인 어려움을 해결하기 위한 방안으로 메타버스 플랫폼을 도입한 사례 연구이다. 한국어능력시험(TOPIK) 5급 이상의 고급 한국어 능력을 가진 대학원생의 경우에도 한국 유학 생활과 학업 수행의 어려움을 호소하는 경우가 많다. 본 연구에서는 이를 해결하기 위해 가까이에서 교육적으로 상호작용을 하는 교수자와의 관계가 중요하다고 보았다. 대학원 외국인 유학생들의 언어적·비언어적 어려움과 관련해 교수자가 적극적인 상호작용의 기회를 제공한다면 그들의 유학생활 만족도 제고를 기대할 수 있다. 이를 현실적으로 가능하게 하기 위해서는 교수자-학습자 간의 부담이나 어색함을 줄이고 편리하고 친근하게 접근할 수 있는 학습자 친화적인 도구가 필요하다는 의견이 도출되었다. 따라서 본 연구에서는 그 도구를 메타버스로 설정하고, 실제 수업에 적용해 유학생에게 어떤 교육적 효용성을 가지는지 살펴보고자 한다. 본 연구는 한 대학원의 한국어교육 전공 수업에서 수업 외 시간에 메타버스를 활용해 정기적으로 모임을 진행하여 어떤 변화가 있는지 관찰하였다. 사전 설문조사를 통해 학생들의 상황과 요구를 파악하고 게더타운이라는 메타버스 플랫폼에 공간을 구성해 정기 모임을 진행하였다. 매번 현장 일지를 기록했으며 참여율이 높은 학생 4명을 대상으로 심층 면접을 진행하고 분석하였다. 모임을 통해 관계 형성이 잘 이루어졌고 언어적, 학업적으로도 도움이 되었으며 정의적 영역에도 큰 영향을 미쳤다. 연구 결과를 종합해 추후 한국어교육 분야, 특히 학문 목적 한국어교육 분야에서 정의적 영역을 중심으로 메타버스를 활용하는 데 도움이 되도록 교수 모형을 제안할 수 있을 것이다.",한윤정 ( Han Yunjung ),2022,https://www.riss.kr/link?id=A19571186
한국어 초급 학습자의 한국어 읽기 불안 요인 분석,"이 연구는 초급 한국어 학습자가 경험하는 읽기 불안의 양상과 요인, 그리고 학습자의 성별, 언어 학습 과정에 따른 불안의 차이를 체계적으로 다루었다. 읽기 불안 의 측정은 외국어 읽기 불안 척도(Foreign Language Reading Anxiety Scale: FLRAS)를 활용하여 109명의 외국인 학습자를 대상으로 진행하였다. 측정 결과 초급 학습자는 읽기 불안의 평균 점수가 2.95이며 중간 수준의 불안감을 가지고 있는 것으로 나타났다. 불안 요인 분석 결과, ‘낯섦에 대한 불안’, ‘자기 효능감 불안’, ‘읽기 전략 부족 불안’ 총 3가지 요인으로 추출되었다. 그중 ‘자기 효능감 불안’의 불안도가 가장 높게 나타났으며 ‘낯섦에 대한 불안’ 요인이 가징 낮은 불안도를 보였다. 읽기 불안과 각 문항 및 요인과의 상관관계를 분석한 결과, 모르는 것에 관한 문항들이 전체 읽기 불안과 매우 높은 상관을 보였으며 요인별로는 ‘자기 효능감 불안’이 모든 요인과 높은 상관이 있는 것으로 나타났다. 학습자의 성별과 언어 학습 과정에 따른 불안에는 전반적으로 유의미한 차이가 없었다. 이 연구는 초급 한국어 학습자의 읽기 불안에 주목하여 얻어진 연구 결과로 초급 학습자의 읽기 불안을 감소시키는 데 기초 자료로 활용할 수 있다는 점에서 의의가 있다.",안성민 ( An Sun-min ),2023,https://www.riss.kr/link?id=A101825534
