
『프랑켄슈타인』과 『멋진 신세계』에 나타난 과학과 생명윤리 연구,"1 커즈와일, 레이, ""특이점이 온다"" 김영사 2007",추재욱 ( Jae Uk Choo ),2009,https://www.riss.kr/link?id=A19562480
시적 허용과 언어이론,"우선, 낱말의 의미적 변별 자질을 탐색하는 것이 반드시 이론언어학의 과업은 아님을 분명히 해 두어야 할 것 같다. 주어진 낱말의 구체적 의미자질은 언어사용자의 임시적 의도 내지는 필요에 의해 가변적으로 결정되는 것으로서, 실상 그 어느 학문의 이론으로도 완벽히 형식화될 수 없는 성격의 것이다.26 이에 대한 논의는 이론언어학 입문서에서도 얼마든지 발견되는 것이므로 여기서는 재론치 않겠거니와, 이론언어학의 최근 모형에서는 낱말의 의미적 변별 자질과 관련된 이른바 ""선택제약""(selectional restrictions)까지도 문법의 영역에서 제외되고 있다는 점을 강조한다. 요컨대 의미적 변별 자질에 관한 탐색을 ""기피""하느냐 않느냐의 문제를 언어학자가 문학의 언어를 다룰 수 있느냐 없느냐의 능력 여부에 연관시킬 수는 없다는 뜻이다. 기실 문학비평가 자신들도 낱말의 의미적 변별 자질에 관한 체계적 규명을 기피하면서 문학의 언어를 다루고 있지 않은가? 위에 삽입된 일련의 논의는 문학비평이론과 언어이론의 차이를 강조하고자 함에 있는 것은 아니다. 다만 두 이론체계가 완전한 단절 상태에 있다고 속단할 이유는 없음을 시사하고자 함이었다. 실상, 이론언어학이 문학작품의 미학적 가치 판단에 중요한 기준을 마련해 줄 수 있다는 것이 이 글의 요지인 것이다.",문경환,1989,https://www.riss.kr/link?id=A19617265
아감벤의 『내용없는 인간』을 통해 살펴본 미학의 역사와 해체,"본 논문은 이탈리아 철학자인 죠르지오 아감벤의 첫 저작이자 미학서적인 『내용 없는 인간』을 꼼꼼히 읽고 이에 대한 해제를 제공하는 것을 목적으로 한다. 죠르지오 아감벤의 『내용 없는 인간』은 저서의 중요도에 비해서 한국에서 거의 논의가 이루어지지 않았으며 아직 제대로 된 해설 역시 나오지 못했다. 물론 본 논문은 그의 저작 전체를 요약 정리하기 보다는 서구 미학사와 철학사, 그리고 죠르지오 아감벤의 전체 저작들간의 상호문맥 속에서 이 저작의 주요 부분들을 해석하려 한다. 『내용 없는 인간』 중에서도 본 논문은 먼저 플라톤과 니체와 칸트를 통해 어떻게 아감벤이 서구 예술의 기원에 대해 추적하는지를 파악하였다. 이후 예술가와 예술가 관객의 변증법과 어떻게 이 삼항이 서로를 배제하고 이화되어갔는지의 계보학적 연구를 해제하였다. 또한 『내용 없는 인간』에서 아감벤이 어떻게 서구 역사속에서의 취향의 인간과 미학의 발생과 미학이 무인공간이 되어간 역사, 현대 키치예술과 비평가의 역할을 설명하는지 해제하였다. 다음에는 『내용 없는 인간』에서 생산이라는 동일한 의미의 기원인 포에이시스와 프랙시스와 작업의 계보학적 의미추적을 살피고 어떻게 이 세 가지 개념들이 현대에 들어와 모호한 영역 속에 들어가게 되었는지의 역사를 논의하는지를 정리하였다. 또한 『내용 없는 인간』의 후반부에 논의된 마틴 하이데거의 미학론에 대한 아감벤의 해설 및 비평과 그에 대한 대안으로 제시된 발터 벤야민의 이론을 소개하고 의미를 살폈다. 마지막으로 아감벤이 살핀 발터 벤야민의 현대 예술에 대한 관점을 ‘역사 천사’와 ‘멜랑꼴리 천사’를 대조하여 밝히면서 글을 마무리하였다.",김대중(Dae-Joong Kim),2019,https://www.riss.kr/link?id=A76554089
"""Tamburlaine the Great""에 나타나는 Christopher Marlowe의 인간관","문학의 영원한 주제인 인간에 대한 인식은, 시대적 상황에 따라 변천되어 왔음은 누구나 시인하는 바다. 문학도 다른 학문분야에서처럼 인간발견의 한 수단으로서 여러 과정을 겪어 왔다는 사실은 문학비평사에서 뚜렷이 들어나 있다. 크게는 고전적 태도와 낭만적 태도로 나눌 수 있으며, 시대적으로는 고전주의, 낭만주의, 자연주의, 또는 사실주의 등의 여러 차윈에서의 인간에 대한 인식의 방법론을 보아왔다.
현대에 이르러서는 절망속에서도, 상실한 인간의 존엄성과 가치를 다시 세우기위한 필사의 의지적 투쟁을 그 특징으로 삼고 있다고 한다면, 르네쌍스 시대에는 중세적 가치규범의 속박에서 해방된, 개인의 자율성과주체성의 확립에서 새로운 인간에 대한 인식이 출발한다고 말 할 수 있다.
르네쌍스의 이와 같은 시대적 정신과 일치하고있는 작가중의 하나가 바로 Christopher Marlowe(1564~1593)이다. 문학사상, 그 예술성이라 극작기술상으로 보아 다소의 결점이 있음에도 불구하고, 그 작품을 쓴 작가의 정신과 사상이 더 중요하게 다루어져야 할 작품을 자주 대할 수가 있거니와, 말로우는 바로 이러한 전통에 속하는 작가이다.
영국의 르네쌍스 시대의 극작가들 중에서 말로우는 특히 시대적 특성이 강한 작가로서 그의 주인공들이 당시의 인간에 대한 인식의 특성을 두드러지게 나타내고 있다는 점은, Harry Levin1)이나 Allardyce Nicoll2)의 공통적인 의견이다.
이 시대의 특성은 바로 중세적 가치 규범에서의 해방이었다. 고귀한 인간의 본성에 대한 자각은 속박으로부터의 인간해방의 과정을 통해서 이루어지거니와, 그 해방의 순서는 먼저 인간행동의 해방에서 시작이 된다.
말로우의 첫번째 작품인 ""템버린 대왕(Tamburlaine the Great)""은 바로 해방된 인간행동의 찬미가 그 주제가 된다. 주인공 템버린의 권력에의 무한한 추구는 바로 해방된 행동인의 모습이다.
당시의 엘리자베스 시대 사람들은 인간행동의 무한대한 잠재력을 권력의 추구라는 인간속성에서 찾았던 분명하다.
템버린을 지배욕구(Libido dominandi)3)의 인간형이라고 규정지을수 있는 것은, 그가 이와같은 당시의 시대적특성을 반영하고 있다고 보기 때문이다. 템버린은 해방된 인간의 확대된 모습으로서 그의 진정한 속성은 하나의 완성된 인간형 이라기 보다는, 형성도중에 있는 자연의 힘 그 자체라는 주장이 나올수 있는 인물이다.4)
중세적 전통의 한계성을 뛰어넘어 인간정신을 무한대로 확대시켜 나갈수 있다는 작가에게서, 우리는 극단적인 낭만적 성향을 발견할 수 있거니와, 그가 창조한 주인공 자체도 터무니없이 과장되어 있음이 분명하다. 해리· 레빈은 이와같은 말로우의 주인공들을 오버·리처(over-reacher)5)라고 부른다.
이러한 주인공들은 바로 르네쌍스의 인본주의 정신의 산물이다. 그들은 하나같이 인간의 한계성을 지어 넘고져 시도한다. 해리·레빈의 말 처럼, 르네쌍스인들의 손에는 인간자신의 얼굴이 지나치게 크게 보이는, 확대된 의식의 거울이 있었던게 분명하다.",박창도,1984,https://www.riss.kr/link?id=A19560698
비폭력의 힘과 평등주의 상상계 : 주디스 버틀러의 비폭력 윤리학,"주디스 버틀러의 『비폭력의 힘』은 취약성, 불안정성, 박탈을 겪는 삶의 소수자가 상호의존의 방식으로 연대해 비폭력 저항을 실천하고 인본주의의 보수화를 피하면서 현실의 당면한 정치적 문제에 대한 윤리적 해법을 모색한다. 2001년 9/11이후 몸의 취약성과 감정의 관계성에 주목한 버틀러는 인간의 공통 토대를 근본적 취약성에서 찾는다. 취약성은 권리의 차등적 분배인 동시에 그것을 극복할 연대의 가능성, 즉 정치적 행위주체성이자 그에 대응할 윤리적 반응이 될 수 있다. 취약한 몸의 집단이 공공장소에 나타나는 집회의 수행성은 폭력에 비폭력적으로 대항할 힘이자 윤리-정치의 결속점이다. 버틀러는 인간의 몸의 취약성, 서로에게 의존하는 관계성, 탈규범적 사유의 확대, 그리고 폭력에 대항하는 비폭력 주장을 통해 주체의 공격성이 윤리적으로 표명되는 정치 윤리를 세우고자 한다. 『비폭력의 힘』은 평화 시위, 집회, 거리와 네트워크의 연대를 통해 비폭력의 방식으로 폭력에 저항하면서 현실 정치에 토대한 새로운 윤리학을 정립하고자 한다. 비폭력의 힘은 약자를 대변할 힘이고 삶의 가능성, 애도 가능성, 정의 가능성을 높일 사회정치적 힘이다. 비폭력 운동이 근본적 평등주의의 이상에서 작동할 때 살기 좋은 삶과 애도 가능한 죽음에 대한 동등한 주장이자 비폭력 정치와 윤리의 근간이 될 수 있다. 비폭력은 행위 실패가 아니라 삶의 주장이며, 인간의 근본적 공격성을 부인하는 것이 아니라 그것을 인간 심리 기반에 있는 애증의 양가성으로 발산하는 적극적 힘이다. 비폭력의 정치적 힘은 체계의 폭력이 자기 본질을 감추려는 책략을 드러내고 그것에 맞서는데 있으므로 비폭력 저항은 수동적 침묵이 아니라 저항과 변혁의 능동적 힘이다. 비폭력은 너와 나의 상호의존성에 근간한 ‘평등주의 상상계’를 전제할 때 그 불가능한 상상에서 실천적 동력을 가져올 수 있다.",조현준(Hyun June Cho),2021,https://www.riss.kr/link?id=A106433329
비언어적 의사소통에 관한 기본적 고찰,"인간의 삶은 의사소통에 의하여 성립된다고 찰 수 있는 바, 대부분의 사람들은 흔히 언어에 의한 의사소통(verbal communication)만을 생각하기 쉽다.
그러나 언어에 의한 의사소통 만큼이나 비언어에 의한 의사소통(nonverbal communication)이 중요함을 배제할 수 없다.
어느 한 외국어를 능숙하게 구사한다 하더라도 miscommunication이 발생되는 것은, 바로 우리가 의사소통을 순전 verbal에만 의존할 수 없다는 것을 입증하는 것이다. 비언어적 의사소통인, 몸동작(body motion), 손짓 (hand gesture), 얼굴표정(facial expression), 눈짓(eye behavior), 신체접속(touch)등의 Kinesics의 영역은 물론, 개인에게 특유한 음질(voice qualities), 웃음소리, 하품, 기침, 콧방귀 소리등의 음성소통(vocal characteristics)을 포함하는 paralanguage, 사람과 사람과의 공간(interpersonal space), 심지어는 의복, 화장, 기타 환경요인(environmental factors)까지도 의사소통에 지대한 역할을 한다.
Kinestics의 창시자격인 birdwhistell은 같은 언어권에서 조차 언어에 의한 의사소통(verbal communication)은 30%의 내용을 전달하는데 반해 nonverbal communication을 통한 의사전달은 70%가 된다고 지적한 바 있다 보통, 의사 소통시 verbal과 nonverbal은 동시에 일어난다. 이와같이 필요불가결한 nonverbal behavior는 언어에 의한 의사소통내용을, 반복(repeat)하기도 하고, 때로는 반막(contradict), 보충(complement), 강조(accent), 조정(regulate) 하기도 한다.
Nonverbal behavior는 각 문화마다 보편성(universality)이 있는 것도 있고, 천양지차로 달라서 오해의 원인이 되기도 한다. 한국이나 일본에는 엄지를 보이면 자기 생활권에서의 우두머리(boss)나, 어른을 나타내나, 미국에서는 지나가는 차를 태워달라는 gesture와 number one(best)을 나타낸다 또 한국식탁에서는 코를 푸는게 결례지만, 서구인들에게는 용인된다.
상기한 바와같이, nonverbal communication은 verbal communication을 support하거나 replace할 수 있음을 인식할 수 있다.",홍희광,1992,https://www.riss.kr/link?id=A99695341
한국인 영어 학습자의 모국어 전이에 관한 연구,,"최정인(Choi, Jeungin)",2016,https://www.riss.kr/link?id=A82415071
애도와 유령: 유령으로서의 문학,"이 논문의 목적은 셰익스피어의 작품에 등장하는 유령들, 그 중에서도 특히 햄릿 아버지의 유령에 대한 여러 논의를 살펴보고, 데리다(Jacques Derrida)와 라캉 (Jacques Lacan)의 유령 논의를 토대로 문학의 역할을 새롭게 규정해 보는 것이다. 데리다에 의하면 유령은 “귀신/다시 돌아오는 것”(revenant)이고 라캉에 의하면 “불충분한 애도”(insufficient mourning) 때문에 유령이 되돌아온다. 애도란 죽음이나 상실에 의해 실재계에 난 구멍을 결여의 기표인 남근으로 메워서 욕망을 지속시키들이고, 상실된 대상의 자리에 다른 욕망의 대상을 채워 넣는 작업인데, 데리다의 정의와 라캉의 설명을 결합하면, 애도가 불충분하거나 생략되면 죽은 사람이 유령이 되어 다시 돌아온다. 유령은 죽음에 대한 충분한 애도가 이루어질 때 까지 반복해서 되돌아온다. 이 논문의 목적은 바로 이런 유령의 역할을 문학과 연결시켜서 문학의 역할을 유령으로서 읽어내는 것이다. 실재계에 난 부재의 구멍이 적절하게 메워질 때까지 반복해서 되돌아오는 유령처럼, 상실과 죽음을 야기한 외상적 경험에 대한 충분한 이해와 인식이 이루어질 때까지 문학이 다양한 형태로 반복적으로 나타나기 때문이다. 유령으로서의 문학은 우리에게 세계에 죽음과 상실, 고통으로 만들어진 틈새가 있음을 지적하고 그 틈새를 메우기 위해 애도를 요청하는 역할을 한다. 문학의 역할을 유령의 역할과 동일한 것으로 읽어내게 되면 대면하기 고통스러운 외상적 사건들과 경험들이 문학작품 속에서 반복적으로 다루어지는 이유가 좀 더 명백하게 밝혀지고, 문학의 역할이 새로운 관점에서 조명될 수 있을 것이다.",이미선(Misun Lee),2019,https://www.riss.kr/link?id=A102044286
"비트겐슈타인의 언어게임과 포스트모더니즘:규칙, 친족유사성과 삶의 형식","비트겐슈타인의 언어게임과 포스트모더니즘: 규칙, 친족유사성과 삶의 형식서 영 철비트겐슈타인은 철학 자체와 언어, 그리고 양자간의 관계를 탐구한 철학자이다. 초기 저서인 『트락타투스』(Tractatus)에서는 언어의 재현성을 주장했던 그가 『블루북』(The Blue Book)이후 후기 저서, 특히 『철학적 탐구』(Philosophical Investigations)에서는 언어에 대한 견해가 크게 바뀌게된다. 일상언어(ordinary language)에 기초한 the Philosophical Investigations의 언어에 대한 탐구는 언어에 대한 사고의 코페르니쿠스적 전환을 보여준다. 더구나 『철학적 탐구』(Philosophical Investigations)에서 언어게임은 비트겐슈타인의 후기 철학적 사고를 요약한다고 할 수 있다. 언어게임을 비트겐슈타인의 규칙(rules), 친족유사성(family resemblance)와 삶의 형식(form of life)을 통해 논의함으로써 비트겐슈타인의 언어 게임이 갖고 있는 본질을 파악한다. 비트겐슈타인의 언어게임은 보편적인 거대언어게임(the great game)아래 소언어 게임(small games)이 내재되어 있다. 개개 게임은 질서 지어진 규칙에 의해 규정지어지고, 삶의 형식에 의해 규칙이 변화되며 개개 언어 게임이 공통성을 상실하면, 새로운 게임이 생겨나게 된다. 비트겐슈타인은 기초주의(foundationalism)을 거부하지만 완전히 폐기하지 않으며, 게임에 대한 개념도 해체적 포스트모더니즘(deconstructive postmodernism)과는 달리, 무한히 변화한다기보다, 계열별동일성이 가져다 주는 유사한(공통성이 유지되는) 게임을 통합하고, 삶의 형식을 통한 규칙의 변화를 통한 변화성을 추구한다. 비트겐슈타인의 언어 게임에서 대서사/소서사를 통해 지식의 합리성/비합리성을 추구한 리오타르(Lyotard)의 서사적 포스트모더니즘(narrative postmodernism), 언어게임의 무한한 변화를 주장한 데리다(Derrida)의 해체적 포스트모더니즘, 그리고 인식의 주체 문제와 언어의 유용성을 다룬 로티(Rorty)의 실용주의적 포스트모더니즘(pragmatist postmodernism)은 비트겐슈타인의 언어 게임에 나타난 포스트모던적 요소를 찾는데 유용하다. 또한 문학 비평에도 적용될 수 있고, 전통 철학과 포스트모던 철학적 견해를 연결시키고 혹은 조화롭게 발전시키는 언어 게임에 내재된 철학적 사고의 획기적인 전환을 가져온 포스트모던성을 통해 비트겐슈타인의 시대를 앞선 예지적 통찰력을 발견하게 된다.",서영철,2005,https://www.riss.kr/link?id=A107310771
유아언어와 모국어습득,"""어떻게 하면 모국어가 아닌 외국어로서 영어를 효율적으로 습득할 수 있을까 혹은 가르칠 수 있을까""라는 질문은 영어를 배우거나 가르치는 입장에 선 사람이라면 누구나 한번쯤 제기해 보는 문제임에 틀림없다.
70년대 이후 영어교수법 분야가 하나의 학문의 영역으로 그 위치를 확고히 다지기 시작하면서 이 분야에서의 연구는 엄청난 질적, 양적인 성장을 거듭하며 오늘에 이르게 되는데 특히, 영어를 모국어로 사용하는 어린이들이 어떠한 언어적 변화를 거치면서 영어를 습득해 가는가라는 언어습득에 관한 연구가 두드러지고 있다. 그 이유는 본 연구에서도 언급했듯이 영어를 모국어로 사용하는 어린이들이 갓난아이때부터 사용하는 언어(Baby Talk) 구조를 분석함으로써 그 분석결과를 영어를 외국어로 막 배우기 시작한 이들에게 적용시켜 보다 효율적으로 외국어 교육목표를 달성할 수 있지 않을까라는 기대 때문이다.
본 연구의 목적은 위의 기대를 충족시키기 위해 현재까지 진행된 많은 연구들이 밝혀낸 연구결과를 3가지 측면에서 접근해 보는데 있는 바, 필자는 본 연구에서
첫째, Baby Talk의 언어학적 특질을 통사론적, 의미론적, 음운론적 측면에서 간략히 정리했고,
둘째, Baby Talk가 어린이가 언어를 습득하는페 어떠한 기능을 발휘하는가를 다루었으며,
끝으로 Baby Taik가 어린이 언어습득과정에서 어떠한 영향을 끼치는가를 정리 하였다.
위의 세 질문에 대한 올바른 이해는 특히, 필자와 같이 영어교육분야에서 학습자의 말하기(speaking) 그리고 쓰기(writing) 능력을 향상시키고자 노력하고 있는 외국어 교육자들에게 사람의 언어습득에 관한 바른이해는 물론 효율적인 교과과정을 고안해 낼수 있는 이론적 근거를 제공해 주리라 믿는다.",이승복,1992,https://www.riss.kr/link?id=A30051920
