
ÇÑÁß MZ¼¼´ëÀÇ ¡®°¨¼º ¾Ö±¹ÁÖÀÇ¡¯,"This article examines the qualitative changes in East Asian nationalism through the ¡®affect¡¯ of the MZ generation in Korea and China. It traces the phenomenon of how affect leads to patriotism, triggered entirely by the fluctuating and uncertain future surrounding the MZ generation, the labor stress that physically pressures both minds and bodies, the anxiety arising from the difficulty of even having a place to live, political conflicts with the older generation, and the competitive relations within the MZ generation. To this end, the author first discusses the emergence, development, disjunction, and transformation of nationalism that has been socially visible and has become significant; second, instead of dichotomously differentiating Korea and China in this discussion, the author extracts the ¡®simultaneity¡¯ of the reality and generational psychology of the MZ generation in Korea and China; third, in doing so, the author offers the hypothesis of the ¡°affective patriotism¡± characterizing the nationalism of the MZ generation in Korea and China which is different from the previous generations. In elaborating the bright side and dark side of affective patriotism, the author considers its positive function in the management of self-identity and its negative function as relationship-destroying energy and argues that affective patriotism can be the basis for democratic citizenship. By reinterpreting the disgust-based nationalism in the MZ generation in Korea and China from a generational perspective, the article dissects the antagonism and prejudice in East Asia as well as the abuse of neoliberalism that lies behind them in order to draw a blueprint for a future society in which global crises are collectively addressed.",ÀÌ½ÂÈñ,2023,https://www.riss.kr/link?id=A108505615
ÇÑ±¹¾î¿Í Áß±¹¾îÀÇ ºñÀ¯ À¯Çü ´ëÁ¶,"In this paper, the types of figurative language in Korean and Chinese were contrasted. As a result, both languages classify similes and metaphors as types of figurative language. On the other hand, in Chinese, ó¨êç is treated as a basic type of figurative language, but in Korean, it is not mentioned at all, or if does, it is included in a subtype of figurative language. In addition, while Korean treats Metonymy, Synecdoche, Personification as typical types of figurative language, Chinese classifies similar concepts such as İïëô and ó¨ÓÛ as branches of rhetoric, different from figurative language.
Korean and Chinese classify figurative language differently because they have different perspectives on the classification criteria or the components of figurative language. In Chinese, a ¡°vehicle¡± must appear in the surface structure to be a figurative language, and ¡°similarity¡± is regarded as an essential component, while ¡°contiguity¡± or ¡°relevance¡± is not considered as a component of figurative language. However, in Korean, there is no restriction on whether a ¡°tenor¡± or ¡°vehicle¡± appears, and there is a tendency not to strictly restric conditions such as ¡°similarity¡±.",Àü±âÁ¤,2023,https://www.riss.kr/link?id=A107143791
¡ºØëí­¡»¡¤¡¸ÕÙû³èİ íñÏ£¡¹ ñ«ğ¹Ùş æÚÏ¼,"In Chinese Language, sentence with grammatical order ¡®NP1+(AdvP)+NP2+(AdvP)+VP¡¯ becomes special sentence to shows judgmentality when it has specific conditions. Linguistics have diverse points of view for this case. In modern Chinese, since ¡°Topic sentence Theory¡± and ¡°S-P Predicate Sentence Theory¡± appeared, these sentence structures have been organized systemically so that it can be referenced when analyzing structure or translation; On the other hand, studies focusing on sentence structure like ¡®èİÒ´á´¡¯ are able to be found in ancient Chinese(Gabelentz(1881), MaJianZhong(1898), ZhaoYuanRen(1948), ZhouFaGao(1961)). However, in terms of Korean¡¯s point of view, there are elements to be supplement until becoming indicator as reference. Therefore, this study will provide direction how to analyze and translate ancient Chinese Topic Sentence by considering 4 main contents as followings: First, the limitation which existing theories have will be studied by analyzing pilot studies related to sentence structure ¡®¡®NP1+(AdvP)+NP2+(AdvP)+VP¡¯. Second, ¡®Ancient Chinese language Topic Sentence Theory¡¯ with applying to supplement elements will be suggested. Third, this will secure the validity based on suggested theories, through ¡®NP1+(AdvP)+NP2+(AdvP)+VP¡¯ by ¡ºFirst chapter of Mencius's King Hui of Liang¡». Last, this will establish system to appropriately translate to compliance with the main purpose of originals by referencing how Korean ancestor analyzed and accepted sentence structure ¡®NP1+(AdvP)+NP2+(AdvP)+VP¡¯ via ¡®Hyunto glosses(úØ÷Î)¡¯ of ¡®Naegagbon (Cabinet book of published in the Joseon Dynasty)¡¯",ÀÌ½ÂÈ¯,2023,https://www.riss.kr/link?id=A82407627
Áß±¹ µå¶ó¸¶ ¼Ó ÀÎ°øÁö´É ·Îº¿°úÀÇ ·Î¸Ç½º,"The dramas under the theme of a romance with AI robot could form curiosity and expectation about AI(Artificial Intelligence) in people who are not yet familiar with the imagination about the coexistence with AI. Moreover, they are taking ¡®love¡¯ as a medium, so it would be necessary to pay attention to them in the aspect of fully showing the correlation between human and AI robot.
My Robot Boyfriend shows the content in which an AI robot who escaped from an experiment has a true love in the process of comforting and helping a woman suffering from her failed love. When the heroine accidentally gets to know that her boyfriend is an AI robot, she expresses complex emotions like anger, fear, and displeasure, which could be interpreted as so-called ¡®uncanny valley¡¯. However, the conflict surrounding differences between human and machine, and the emotion called ¡®uncanny valley¡¯ are immediately sealed up with love in front of their crisis. Human¡¯s emotions like feeling afraid, raising guard, and rambling because of the uncertain identity of AI character, are removed by the name of love.
My Nanny¡¯s Notebook shows the content in which a female AI robot who visited the earth falls in love with a male celebrity after starting working as a nanny in his house. The story is developed focusing on the heroine AI robot girl¡¯s life as a nanny. This drama gives a job of nanny to the female robot, which is about performing housework and care that does not require great abilities, and also fixed in the gender role of women within the patriarchal ideology. This kind of male-centered romance narrative targeting a female AI robot reminds of ¡®the myth of Pygmalion¡¯ who loved the female statue he created. In other words, even though it is claiming to stand for fantasy romance with an AI robot from the future, it is still providing the image of women under the patriarchal order, and just working as a device for the nature of melodrama.",±èÀ±¼ö,2023,https://www.riss.kr/link?id=A107922223
¿µÈ­ ¡´5ÀÏÀÇ ¸¶Áß(ÏıÕÎ)¡µÀÇ ¹®È­´ëÇõ¸í Àç°íÂû,"This study reviewed the film Coming Home(2014), the work of the fifth-generation director Zhang Yimou. This study looked at this film again, focusing on the fact that the fifth-generation directors have dealt with subjects such as the order of father and son, paternal rights and father through various metaphors based on their common experience of the Cultural Revolution.
It is noteworthy that Feng Wanyu is the only character among the characters in which the wounds of the Cultural Revolution are exposed through the body. In particular, the wound appears as a memory impairment, and the wounds of the Cultural Revolution are not expressed in characters other than Feng Wanyu. In this respect, it can be seen that this film deliberately deletes the painful experiences of the Cultural Revolution.
Lu Yanshi still exerts the power of paternity in this family, even though he has been absent for a long time due to the Cultural Revolution. Although Lu Yanshi was truly unable to return home due to his wife""s disability, his letter became the voice of father and played a key role in the functioning of this family. In addition, his portrayal of characters close to perfect personality gives legitimacy for re-establishing the order of father and son, and this private paternity exerts stronger power than public paternity.
Dandan, a generation of Red Guards, participated in the murder of her father during the period of the Cultural Revolution, but rather, she unexpectedly became a victim. After that, Dandan was able to return home through her father""s forgiveness, and Dandan, who used to be a sub-subject, can stand again as a complete subject through the reconstruction of the order of father and son.
These characters can be divided into generations of parents and sons, and the fact that the wounds and healing methods of these generations are described differently can reveal a new perception of the Cultural Revolution of the fifth-generation director.","±Çµµ°æ(Kwon, Do-Kyung)",2021,https://www.riss.kr/link?id=A107962347
ÇÑ±¹ 20´ë Ã»³âÀÇ ÓßÁß±¹ Á¤¼­ ¿¬±¸ ìé FGI¸¦ È°¿ëÇÏ¿©,"This article explores the causes of negative sentiment toward China among young South Koreans. Since the establishment of diplomatic relations between Korea and China, Koreans' negative sentiment towards China has reached a new high. The negative sentiment is especially pronounced in the 20s. Considering that the generation of 20-somethings will shape the future, it is necessary to better understand the causes of negative perceptions toward China. To explore the causes of negative sentiment, we will conduct a focus group interview (FGI) using a semi-structured questionnaire with Korean young adults, a group not covered by existing research. While this study cannot provide a solution, we hope that it can provide a lever to look directly and closely at our current situation.",¿©½Å,2023,https://www.riss.kr/link?id=A108687283
±ÔÄ¢±«´ãÀ¸·Î º¸´Â Áß±¹ À¥¼Ò¼³ÀÇ ¡®±ÔÄ¢¡¯,.,±èÇÏ³ª,2023,https://www.riss.kr/link?id=A82624014
ÇÑÁß ¾ğ¾î º¸±Ş¿¡ ´ëÇÑ ºñ±³ ¿¬±¸,"This paper focuses on the difference of the Language Promotion between Korean and Chinese. The purpose of this study is to comprehensively investigate the language promotion of South Korea and China, and find out the results and problems, so as to explore what inspirations can be provided for the language promotion of the two countries in the future. To this end, through literature analysis, this paper sorts out the previous studies on the language promotion of the two countries, and then examines the content of the language promotion of the two countries, and analyzes the language promotion of the two countries from the aspects of relevant laws, promotion agencies and promotion achievements. Based on this, this study puts forward some suggestions for Korea and China to promote their own languages.",ÁÖÀ§,2023,https://www.riss.kr/link?id=A108381012
°³Çõ°³¹æ°ú ±×¿¡ µû¸¥ Áß±¹»çÈ¸ º¯È­¿¡ ´ëÇÑ Áö¾ÆÀåÄ¿(Ê¹íéÊ¯) ¿µÈ­ÀÇ ½Ã´ëÀû ÇØ¼®,"After reform and opening up, China rapidly developed social conflict and economic differentiation along with economic development. Among other things, the gap between urban and rural areas due to the permit of ownership patterns and the gap between businesses has resulted in China s new conflict as its economic speed is commensurate with that of its economy. In particular, the entry from rural areas into urban areas caused a drastic change in the social hierarchy, resulting in economic disparity and thought-provoking conflicts along with urban and rural gaps. As these problems developed remarkably, many young Chinese directors videotaped the urban poor, the farmers and the wandering young, who had been marginalized. In particular, Ziazhangker was the director who deals with social and hierarchical conflicts internationally with deep reflection in this sense of question. He is conveying the meanings of them to us in his films, not to mention them seriously.","ÀÌ°­ÀÎ(Lee, Kang-In)(ì°Ë¬ìÒ)",2019,https://www.riss.kr/link?id=A108040398
Áß±¹ ÀÎ°øÁö´É»ê¾÷ÀÇ ¹ßÀü°ú »çÈ¸Àû ±ÔÁ¦ ³íÀÇ - °³ÀÎÁ¤º¸ º¸È£¿Í µğÁöÅĞ±ÇÀ§ÁÖÀÇ¸¦ Áß½ÉÀ¸·Î -,"China has emerged as a global innovation center in the field of AI by announcing the ¡°New Generation Artificial Intelligence Development Plan¡± in 2017. AI technology is being applied in Chinese society to various fields such as smart city construction and social credit system, using AI technology such as facial recognition and data processing technology.
By employing the document analysis method, this study analyzes the Chinese society's perception and regulations related to privacy and digital authoritarianism, which was appeared as the international criticism of Chinese society.
This study indicates that China is strengthening privacy protection regulations, but efforts to prevent invasion of personal information by the government that emerge from using AI in smart city construction and social credit system are currently lacking.
The Chinese society recognizes that the government's personal information data acquisition is necessary for national security or the construction of credit society, and the internal regulatory movements or control for strengthening personal information protection are still low.",ÀÌÂù¿ì,2022,https://www.riss.kr/link?id=A108109829
