
한국 현대동화의 삽화 연구,"최근 동화 삽화는 단순히 글을 보조하는 역할을 넘어 이야기를 깊이 이해할 수 있도록 돕고 때에 따라서는 인물의 보이지 않는 정서까지 담아낸다.
과거를 배경으로 삼은 역사동화의 경우 김동성은 『책과 노니는 집』에서 절제된 삽화로 정보를 전달하면서 그림만의 예술성으로 삽화의 성취도를 높였다. 윤정주는 『목기린 씨, 타세요!』에서 글에 서술된 묘사 부분을 삽화 한 장면으로 보여주거나 반대로 함축적 문장을 말풍선으로 풀어내는 방식을 사용하였다. 또 윤정주의 다른 작품 『헌터걸』에서는 고학년용 장편 동화의 글을 표로 요약하는 방식을 활용했다. 이는 ‘헌터걸’의 규칙을 강조하는 기능으로 작용하여 ‘헌터걸’의 매력을 높이는 효과를 낳는다. 이러한 방식은 동화 속 글을 삽화를 통해 편집하고 연출하여 재현하는 방식이라 할 것이다.
한편 고정순과 소윤경은 동화 삽화임에도 작가의 개성과 스타일을 좀 더 반영하고 있으며 그것은 주로 인물의 내면을 해석하는 방식으로 나타난다. 고정순은 『망나니 공주처럼』에서 세 명의 주요 인물의 성격과 상황을 잘 해석하여 삽화에 그들의 내면이 드러나도록 배치하였다. 소윤경은 SF동화이자 일인칭 주인공시점인 동화 『우주로 가는 계단』의 삽화에서 일인칭 주인공 시점으로 평행우주와 미래를 보는 상상력을 가시화 하였다.
이처럼 동화 삽화가 글을 어떻게 재현하고 해석하느냐에 따라 동화의 전달력과 상상력이 확장됨을 확인할 수 있었다. 또한 최근 활발하게 출간되는 그림책의 완결성이 동화 삽화의 성취에 영향을 미치고 있음도 확인할 수 있었다.",오세란 ( Oh Seran ),2021,https://www.riss.kr/link?id=A108732059
한강 『채식주의자』에 나타난 여성 몸의 의미와 저항 읽기,"한강의 『채식주의자』에서 육체적 욕구를 내포한 육식 문화는 남성 중심의 지배질서를 의미하며, 여성에 대한 소유와 통제를 강제하는 도구로 작용한다.
영혜의 몸에 가해진 최초의 폭력은 권위적이고 가부장적 가치관에 사로잡힌 아버지에 의한 것이었으며, 이후로도 영혜는 강간, 육식 강요, 자해, 정신병원 수용과 단식 등 다양한 폭력에 노출된다. 이러한 폭력을 자신의 주체성을 위협하는 요소로 인식하고 극단적인 저항을 감행한 영혜에게 나타난 변이는 자신과 세상을 연결하면서도 주체적으로 분리되는 남성 권위로부터의 해방을 의미한다.
영혜가 실천한 육체의 인식 변화는 여성보다 한 인간으로서 가져야 할 주체성 회복을 강조한다. 이 행위는 인혜에게 객체화된 자아 극복과 남성 중심의 지배질서가 각인된 몸을 스스로 파괴할 수 있도록 유도한다. 남성과 여성의 성 역할을 중심으로 여성의 몸 인식과 저항의식을 탐색한다면 고정된 젠더의식을 비판적 관점으로 검열할 수 있는 능력을 얻을 수 있다.",마혜경 ( Ma Hye Kyung ),2022,https://www.riss.kr/link?id=A108761961
한국 웹툰 번역 업계 문제점 분석 및 개선방안 제언 - 관계자 심층 인터뷰 조사를 중심으로,,"강경이(Kang, Kyoungyi)",2021,https://www.riss.kr/link?id=A108761954
앤서니 브라운의 『겁쟁이 빌리』(Silly Billy) -걱정인형을 통해본 아동의 분리불안과 수면불안의 해소-,『겁쟁이 빌리』는 분리불안을 겪고 있는 아동의 심리를 다루고 있다. 분리불안은 아동의 성장과 발달과정에서 일어나는 필연적적인 현상이다. 그러나 빌리가 분리불안을 겪는 이유는 비합리적으로 예상하고 비이성적인 상황을 다루는 소심한 성격을 가졌기 때문이다. 이 그림책은 색과 그림을 통하여 등장인물들의 내면적 심리를 섬세하게 잘 표현해준다. 아동들은 화려한 색깔의 그림과 걱정인형들을 통하여 빌리가 겪는 불안에 대해 감정이입을 하게 되고 공감하게 된다. 빌리의 부모는 아들의 분리불안에 대하여 적절하게 대응하지 못하나 할머니는 빌리의 불안에 보다 적극적으로 대처하고 해소시킬 방법을 찾아낸다. 빌리는 걱정인형을 이용하여 불안을 극복해나가는 과정을 통해 사회성을 발달시키게 된다. 부모는 인지교정방식과 행동교정방식을 통하여 불안과 공포를 일으키게 하는 생각과 행동들을 바꾸게 함으로써 아동들의 분리불안에 관련된 문제들을 해소할 수 있다.,이영준 ( Young Zun Lee ),2015,https://www.riss.kr/link?id=A108732056
중한 번역에서 문화소의 부등성에 따른 번역 전략,,강수정(Kang SuJung),2010,https://www.riss.kr/link?id=A108220919
동화치료의 연구동향 분석: 2008∼2017년 학술논문을 중심으로,"본 연구에서는 2008년부터 2017년까지 10년간 수행된 동화치료의 연구 동향을 분석하였으며 그 내용은 다음과 같다.
첫째 동화치료는 2008년부터 2017년까지 총 96건의 연구가 수행되었다. 연도 별로 규칙적인 증감패턴을 나타내고 있지 않았지만 2013년~2016년까지 매년 10건 이상의 연구가 수행되어오고 있었다. 둘째, 동화치료는 초등학생(56.3%)을 대상으로 가장 많은 연구가 수행되었으며 유아(16.7), 청소년(7.3%), 성인(7.3%)의 순으로 연구가 수행되었다. 셋째, 동화치료는 교육학 분야(29.2%)에서 가장 많은 연구가 수행되었으며, 심리학(26.0%), 특수교육학(9.4%), 문헌정보학(9.4%), 문학(8.3%), 재활학(6.3%) 등의 순으로 연구되었다. 넷째, 동화치료의 연구유형별 현황은 자기효능감, 자아존중감, 사회적응 등과 관련된 정서적 연구(59.0%)가 가장 많이 이루어졌으며, 이론적 연구(16.7%), 사례적 연구(9.4%), 임상적 연구(6.3%), 학습적 연구(6.3%) 순으로 수행되었다.
연구에서는 분석결과를 토대로 동화치료만의 정체성을 확립을 위한 문학치료, 시(時)치료 등과의 비교연구를 제안하였고, 성인대상의 연구를 보다 더 수행해서 동화치료의 저변을 확대할 것을 제안하였다. 또한 스마트폰이나 태블릿PC를 활용한 동화치료의 효과성 검증과 기존 연구들에 대한 체계적 문헌 고찰을 통해 동화치료의 우수한 효과를 재입증할 것을 제안하였다.",남재우 ( Nam Jaewoo ),2019,https://www.riss.kr/link?id=A107984262
"황순원 소설에서의 모성성과 훼손된 아동이미지 연구 -「별」, 「왕모래」, 「안개구름끼다」를 중심으로-","황순원은 한국 문단에서 중간파적인 입장을 고수하는 이력과 문학세계를 갖고 있는 작가이다. 그러나 황순원은 현실과 유리된 예술지상주의자는 아니다. 황순원의 주요 작품 연보를 그 제작 시기와 연관시켜 볼 때 그가 항상 당대의 역사와 사회적 상황에 민감하게 반응하고 있음을 알 수 있다. 그리고 이러한 사실들이 아동을 대상으로 하고 있는 소설에도 드러나고 있다. 황순원이 작가로서 현실에 대한 적극적 저항을 할 수 없었던 당대의 내외적 조건이 그로 하여금 부정적인 현실을 파국적으로 드러낼 수 있는 방법으로써 가장 순수한 ‘아동’을 훼손된 이미지로 전환시켰던 것으로 보인다. 별 , 왕모래 , 안개구름끼다 를 기반으로 훼손된 아동이미지를 통해 전달 하려고 한 작가의식을 연구하려고 한다. 아동은 한국만의 역사적 상황에 따라 점점 더 동심이 철저하게 파괴되는 것으로 드러나고 있다. 이 세 소설의 아동은 모두 9살부터 모성성을 찾는다. 황순원 소설에서 모성성은 다층적으로 해석될 여지를 갖고 있다. 황순원 소설에서의 모성성을 찾는 아동들은 고아의식을 드러냄과 동시에 정주하기 위해 절대적인 모성성을 찾아 헤맨다. 그러나 아동들은 기다려온 모성성을 만나지 못했을 때 절대적인 믿음과는 반대로 비틀어지고 위태롭고 위악적인 죽음의 양상을 보여준다. 이는 모성성으로 감싸 안을 수 없는 인간 세계가 얼마나 황폐할 수 있는지를 단적으로 보여주는 것이라고 할 수 있다.",방금단 ( Geum Dan Bang ),2015,https://www.riss.kr/link?id=A108105619
동화치료의 사례와 유형 분석: 2010-2014,"본 연구는 다양한 학문분야에서 수행된 동화를 이용한 독서치료의 연구결과를 조사하여 동화치료 영역으로의 도입과 활용의 가능성을 살펴보는 것이다. 첫째, 2010년부터 2014년까지 발간된 총 222편의 자료를 대상으로 독서치료의 현황을 조사하였다. 둘째, 52편의 자료를 대상으로 동화치료에서 가장 중요하고 핵심적인 요소인 자료의 선정 과정과 방법을 도식화하고 활용빈도별 동화목록을 제시하였다. 셋째, 동화치료 프로그램의 연구 유형은 다양한 참여자의 문제를 해결하기 위하여 다양한 학문영역에서 발달·예방적 독서치료(집단적 형태)와 임상·치료적 독서치료(일대일 혹은 소수) 형태로 이루어지고 있는 것으로 나타났다. 넷째, 독서치료 프로그램의 여러 과정을 살펴보면 여러 이론에 따라서 질문의 유형이나 활동 등은 차이점이 분명하게 보이기보다는 상호 유사한 형태를 보이고 있는 것으로 나타났다. 제언으로 동화치료의 활성화를 위하여 동화치료를 위한 지식정보시스템 구축과 연계를 제시하였다. 지식정보시스템의 주요 구성요소는 동화를 위한 데이터베이스(상황별 목록, 사례 지식베이스, 인터넷 서점, 도서관목록 등), 디지털 콘텐츠(전자책, 애니메이션, 동영상, 음악 등), 운영 및 관리(사용자의 참여), 네트워크(이용자의 특성에 맞는 연계 및 상호작용 기능 제공)이다.",최원태 ( Won Tae Choi ),2015,https://www.riss.kr/link?id=A107864841
중한 법령 기계번역 포스트에디팅 교육을 위한 예비 연구,,"김혜림(Kim, Hae Rhim)",2021,https://www.riss.kr/link?id=A108220921
영화 <피터 래빗>에 나타난 외디푸스 콤플렉스 연구,"어린 시절 부모의 관심과 애정은 아이의 성장에 꼭 필요하다. 하지만 성장하면서 아이는 부모에 대한 애착에서 벗어나야만 한다. 알을 깨고 나오는 것이 고통스럽고 힘들지만, 반드시 두꺼운 벽을 깨고 나와야만 자신만의 새로운 세상을 만날 수 있다. 그래야만 그는 영웅으로 탄생할 수 있는 것이다.
아직 외디푸스 콤플렉스에 고착되어 내적으로 성장하지 못한 피터는 모든 것을 파국으로 이끌게 된다. 모든 것이 파국으로 치닫는 지경에 이르게 되자, 그때서야 피터는 자신의 집착이 잘못되었음을 깨닫게 된다. 엄마의 사랑을 독점하겠다는 마음에서 벗어나 아버지를 받아들이게 된다. 사랑은 나눔으로써 더 풍요로워질 수 있음을 알게 된 것이다.
성장과정에 있어 아이의 성숙과 독립은 반드시 필요하며, 이는 엄마, 아빠 모두로부터 정신적 육체적으로 독립, 성숙하는 것을 의미한다. 부모에게서 독립해야 그는 한 인간으로서 홀로 설 수 있으며, 새로운 영웅으로 탄생할 수 있다. 이제 외디푸스 콤플렉스에서 벗어난 피터는 성숙한 영웅으로 재탄생한 것이다.",이수경 ( Lee Sookyung ),2018,https://www.riss.kr/link?id=A100680950
