
디지털 교육매체의 발달과 외국어로서의 프랑스어 교육에 관한 고찰: 컴퓨터 기반 학습에서 Chat GPT까지,"<국문요약>> ‘지능화 혁명’은 일상 대부분이 디지털 기기에 연결되어 이를 효율적으로 사용하는 역량을 갖출수록 삶의 질을 높여갈 수 있는 현대 사회인의 실상을 반영하고 있다. 이러한 사회의 변화와 더불어 외국어 교수법도 시대별로 그 변화 양상이 확연히 나타난다. 교육 장치와 매체의 발달이 지능화 혁명 시대의 출현에 따라 가속화되면서 이와 같은 변화가 프랑스어를 비롯한 외국어 교수자에게 주는 시사점은 과연 무엇일까? 이 질문에 대한 답을 찾기 위하여 본 연구에서는 외국어 교수법의 발전 과정에서 디지털 기술이 발달하여 온 양상을 살펴보고, 지능화 혁명 시대의 기술이 외국어로서의 프랑스어 교수자에게 시사하는 바를 제안할 것이다. 이와 동시에 기술의 혁신에 따른 프랑스어를 비롯한 제2외국어의 교수·학습 방법이 나아갈 바를 고찰할 것이다.",윤현,2023,https://www.riss.kr/link?id=A108761853
유럽 음식문화의 종주국 프랑스,,김남연(KIM Nam-Youn),2007,https://www.riss.kr/link?id=A108236416
파리 15분 도시계획과 2040 서울도시기본계획의 보행생활권 계획 특성 비교,"본 논문은 팬데믹 이후 전세계적 도시계획 모델로 중요성이 강조되는 파리 15분 도시계획과 2040 서울 도시기본계획의 보행생활권 계획을 비교 고찰하여 시사점을 제시하고자 한다.
본 연구의 분석결과는 다음과 같다. 첫째, 파리와 서울은 보행생활권 중심 계획으로 기능복합화, 보행중심 이동성 및 접근성 강화, 생활권 자족성 강화의 유사성을 지닌다. 둘째, 파리 보행생활권은 15분, 서울 보행생활권은 30분을 단위로 하여 공간의 규모에 따른 차별성을 나타낸다. 셋째, 파리는 시민·민간 참여 사업 추진 및 운영을 통한 근린활성화를 실현하는 반면 서울 도시기본계획은 해당 성격을 제시하지 못하는 차별성을 지닌다.",이성근,2023,https://www.riss.kr/link?id=A76486596
20세기 프랑스 가족 정책의 변화와 복지 엘리트의 역할,"이 글은 1930년대부터 프랑스 가족 정책의 변화에 있어 행정 관련 그랑제꼴을 졸업하고 복지 영역에서 관료의 길을 걸으면서 정책에 지속적으로 영향력을 행사한 복지엘리트라 불리는 이들의 역할을 파악하는 것을 목적으로 한다. 이를 위하여 불어권의 복지 정책 관련 연구 문헌들을 분석하여 중요 인물들을 중심으로 20세기 프랑스 가족 정책의 역사를 재구성하였다. 프랑스 가족정책의 도입과 발전 과정에서 관료와 지식인의 경계를 오갔던 아돌프 랑드리, 알프레드 소비, 피에르 라로크 등은 시민사회 못지않게 중요한 영향력을 행사한 바가 있다. 관료들의 영향력이 본격적으로 등장한 것은 여성의 노동시장 진출이 활발해지고 법적 지위가 변화한 1960년대 후반부터였다. 1960년대 후반의 자끄 들로르, 1980년대의 질 조아느, 1970-90년대의 베르트랑 프라고나르 등은 정권의 반복되는 교체에도 불구하고 일관된 가족 정책의 발전을 추진한 이들이었다. 이들이 추진한 가족 정책은 보편주의에서 선별주의로의 이행으로 요약되는데, 이는 정상가족, 다자녀, 전업주부 등을 장려에서 일과 가족의 양립, 빈곤문제 해결과 가족 정책의 결합, 다양한 형태의 가족 허용으로의 변화를 가리킨다.",박해남(PARK Haenam),2022,https://www.riss.kr/link?id=A108620504
한국적인 뮤지컬의 탄생조건에 대한 연구 - 프랑스 뮤지컬 《Notre-Dame de Paris》의 특장점 분석을 중심으로,,김균형(KIM Gyun-Hyeong),2007,https://www.riss.kr/link?id=A108635160
"르네상스 미술 속의 음악 ; 레오나르도 다빈치, 라파엘로를 중심으로","1 ""레오나르도 다빈치"" 시공사 1999",윤익영,2006,https://www.riss.kr/link?id=A76552588
프랑스 고전주의 문학의 음악화에 대한 분석적 연구,"시대를 초월하는 프랑스 고전문학의 음악화에서 작곡가의 문학적 관점이나 음악 텍스트 분석은 큰 주목을 받지 못하였다. 그러나 감정 표현의 수단이라는 일반적 인식과 달리 음악은 수학을 기반으로 탄생한 학문이다. 따라서 음악 텍스트의 객관적 분석 결과는 문학 연구에 제기되는 다양한 문제 해결의 단서가 될 수 있을 것이다. 이러한 관점에서 실행한 『부르주아 귀족』, 『엄마 거위 모음곡』, 『전형적인 동물들』의 음악 텍스트 분석은 음악과 프랑스 고전주의 문학의 결합 그리고 그 변화 양상을 확인하는 과정이 된다. 『부르주아 귀족』의 작곡가 륄리는 음악을 희극 구성의 한 언어로 변화시키고 페로의 『동화』를 음악화한 라벨은 간결한 기악곡 안에서 인상주의 화성과 고전주의 음악 기법의 적절한 결합을 시도한다. 초현실주의 문학의 해석자로 평가되는 풀렝은 명백히 상충되는 라 퐁텐의 『우화시』와 현대 음악의 부조화를 극복하고 프랑스 고전주의 문학을 20세기의 시대적 요구를 반영한 발레곡으로 재구성한다. 이처럼 텍스트의 왜곡을 지양하는 공통의 목표 아래 작곡가들은 음악으로 희극의 언어를 재현, 보강하거나 작가의 의도를 작곡가의 의도로 치환하고 한 걸음 더 나아가 고전주의 문학의 정신을 각 시대의 보편성으로 확장시킨다. 이처럼 음악의 엄격한 규범 안에서 프랑스 고전주의 문학을 수용한 작곡가들은 문학 작품의 왜곡을 최소화할 수 있는 고유의 방식을 발견하였고 그 결과, 고전문학의 보편적인 특징은 음악 안에서 시대 초월적인 가치로 변화한다.",정하영 ( Jung Hayoung ),2022,https://www.riss.kr/link?id=A108761845
『페스트』의 시간 구조와 인간 행동 연구,"『페스트』는 세계를 불안과 공포의 도가니로 몰아넣은 코비드-19와 함께 갑자기 국제적인 베스트셀러가 되었다. 『페스트』의 서사 내용과 근년의 우리 현실은 유사하기 그지없다. 격리 수용, 도시 봉쇄, 이동 제한, 백신 부족, 신약 개발, 사재기, 암시장 등 기본적인 테마가 거의 동일하게 나타난다. 사실 『페스트』는 출간 당시에도 대중적으로 큰 성공을 거둔 소설이다. 카뮈가 『페스트』를 쓴 이유는 나치즘의 폭압과 레지스탕스의 투쟁이라는 역사를 우의적으로 기록해두기 위해서였다. 일반적으로 페스트를 무엇의 알레고리로 보느냐에 따라 『페스트』를 읽는 방법은 세 가지로 요약된다. 즉 의학적 전염병, 역사적 나치즘, 형이상학적 악이 그것이다.
본 연구는 순수하게 전염병의 관점에서 『페스트』를 탐구할 텐데, 특히 시간의 변화에 따라 페스트 관련 집단의 행동이 어떻게 달라지는지를 살펴보는 데 근본 목적이 있다. 페스트에 직면하여 전문가, 행정 당국, 주요 개인, 시민 집단이 보이는 행동을 시기별로 종합하는 연구는 향후 발생할지도 모를 또 다른 팬데믹 사태에 유효한 교훈과 지혜를 제공할 수도 있지 않을까‘ 플로베르에 의하면, ‘도덕적인 소설un roman moral’은 없고 ‘소설의 도덕une morale du roman’이 있을 뿐이다. 『페스트』의 도덕은 어린아이의 죽음을 방관하지 않는 참여, 인간의 고통을 줄이려는 연대를 가리킨다. 카뮈의 명제를 반복하자. “나는 반항한다, 그러므로 우리는 존재한다.”",유기환(Kihwan YU),2023,https://www.riss.kr/link?id=A108635155
"허구, 미메시스, 그리고 문학","사전적으로는 “현실에서는 완전한 모델을 갖지 않는 상상력의 산물” 또는 “현실을 은폐하거나 꾸밀 목적으로 의식적 또는 무의식적으로 구성된 상상적 구조물”로 정의되는 허구는 흔히 물리적으로 존재하거나 증명할 수 있는 사실이 아닌 ‘지어낸’ 것, 그래서 진실과는 거리가 먼 거짓이나 모방, 가장, 흉내, 놈이, 환상 등의 부정적인 의미를 갖는다. 그렇다면 허구와 현실과의 관계는 어떻게 설정할 수 있으며, 왜 우리는 허구를 필요로 하는가? 허구 세계는 우리가 몸담고 있는 현실 세계와는 다르지만 어쨌든 하나의 세계임에는 분명하다. 하지만 그 세계가 과연 어떤 방식으로 존재하며 어떻게 현실에 영향을 미치는지에 대해서는 쉽게 말하기 어렵다. 이처럼 허구는 현실과 관련하여 사실 또는 실재 개념을 불러오고 이는 모방 또는 재현으로서의 미메시스라는, 문학과 예술 그리고 현실이 맺는 관계에 대한 성찰로 우리를 이끌어간다. 이러한 관점에서 우리논 사실과 허구의 경계와 관련된 역사와 허구의 교차, 텍스트 세계의 존재론적 위상 등의 문제를 생각해보고, 인지과학적 관점에서는 이 문제에 어떻게 접근하고 있는지 최근의 연구 경향을 소개함으로써 학제간 연구의 지형도를 그려볼 것이다. 허구에 대한 우리의 연구는 그와 연계된 개념들, 즉 가상현실과 증강현실, 메타버스 등의 개념을 탈-신비화하고 그 유효성과 한계를 성찰하는 데 기여할 수 있을 것이며, 무엇보다 허구 이야기로서의 문학이 갖는 보편성과 근원성을 보여줄 수 있을 것이다.",김한식(Hansik KIM),2023,https://www.riss.kr/link?id=A108115282
"천 개의 초상, 몰리에르 : 1622-2022","2022년은 1622년 태어난 몰리에르 탄생 400주년이다. 프랑스를 비롯, 스위스, 벨기에와 같은 프랑스어권 이외에도 미국, 영국, 호주에 이르기까지 다채로운 공연과 학회, 웹세미나들이 열리고 있다. 몇 년 전부터는 몰리에르 전기가 쏟아져 나오고 있다. 프랑스 최고의 극작가인 몰리에르의 삶에 대해 확실한 것이 거의 없기 때문이다. 출생에서부터 성장과정, 교육, 사생활, 그가 쓴 원고에 이르기까지 신빙성있는 자료가 극히 미미하다. 추측과 소문이 정설이 되기도 하고 그렇게 정설이 된 것에 토대를 두고 반복적으로 또 다른 전기가 쓰여지다 보니 몰리에르의 생애는 작가들에게 늘 새롭게 써야 할 숙제와 같다. 다양한 주제의 전시회들도 개최되고 있는데, 그중에서 베르사유에서 열린 <천개의 얼굴을 가진 몰리에르> 전시가 눈길을 끈다. 몰리에르는 생전뿐 아니라 사후 350여 년 동안 꾸준히 초상화가 많이 그려진 작가이다. 극작가이자 극단장, 비극 배우, 희극 배우와 같이 여러 역할을 소화했을 뿐 아니라 소극(farce)에서부터 발레희극에 이르기까지 다양한 작품세계를 펼쳤던 몰리에르의 얼굴을 하나로 규정한다는 것은 불가능하다. 몰리에르만큼 시대에 따라 다르게, 그리고 다양하게 이해되고 받아들여진 작가도 드물다. 이처럼 단 하나의 모습으로 규정할 수 없는 몰리에르의 특성이 화가들의 관심을 끌었으리라 짐작이 된다. 이러한 문제의식에서 몰리에르를 그린 초상화와 그가 등장하는 그림들을 살펴봄으로써 몰리에르가 시대에 따라 어떻게 이해되고 있는지, 프랑스를 대표하는 몰리에르의 이미지가 어떻게 구축되어 왔는지, 진정한 그의 얼굴은 무엇인지를 이해해보고자 하였다.",정연복 ( Jeong Yeon Bok ),2022,https://www.riss.kr/link?id=A76442510
