
크리스퍼 유전자가위에 의한 인간 배아 유전자 편집,"크리스퍼 유전자가위는 크리스퍼(규칙적인 간격을 갖는 짧은 회문구조 반복단위) 서열을 이용해서 DNA를 정확하게 절단하는 분해효소를 말한다. 이 크리스퍼 유전자가위는 이제까지 사용되어 온 유전자 변형 방법에 대해 비교적 사용하기 쉽고, 정밀 편집이 가능하기 때문에, 기존의 윤리적 물음들을 좀더 현실적으로 제기하고 있기 때문에 수십년부터 제기되어 온 인간 생식세포 유전자 변형에 대한 윤리적 물음들이 좀더 절박해졌다. 이 논문에서는 이제까지 이루어진 여덟 차례의 유전자 편집 사례들을 각각 비판적으로 분석하였다. 아울러 이러한 유전자 편집에 따르는 기술적인 문제점들을 살펴보고, 아직 기술적으로 완벽하지 않은 생식세포 편집을 섣불리 임상에 도입하려는 시도에 대해 경고한다. 또한, 유전질환 예방에 대한 반론, 맞춤형 보조생식기술에 대한 반론, 대리 동의의 문제, 논쟁적인 배아 사용의 문제를 통해 크리스퍼 유전자가위가 인간 생식세포 유전자 편집이 인류를 치료를 벗어난 증강의 미끄러운 비탈길에 올려 놓을 것이라는 점을 주장한다. 질병의 정의가 모호하다는 점을 부각하면서 다른 방향으로 오용될 가능성을 경고한다. 마지막으로 크리스퍼 유전자가위가 갖는 인류 진화 경로를 변경하는 잠재력을 지적하면서 우리가 우리 자신의 진화의 주인이 되어도 좋은가를 질문하고 있다.","전방욱(Jun, Bang-ook)",2018,https://www.riss.kr/link?id=A108582421
숏폼 콘텐츠의 위해성과 목회상담적 치유방안 연구,"틱톡, 쇼츠, 릴스로 대표되는 숏폼 콘텐츠의 등장으로 스마트폰 중독의 문제는 특 이점을 맞게 되었다. 이 숏폼 콘텐츠의 강렬한 중독성은 미국의 청소년 사망원인 1위 로 대두된 합성마약 펜타닐의 위해성에 빗대어 설명될 정도이다. 이토록 강력한 중독 성을 갖는 숏폼 콘텐츠가 아무런 제재 없이 남녀노소의 삶 속에 파고들기 시작하자 이내 심각한 사회적 문제로 떠오르기 시작하였다. 주목해야 할 점은 이러한 숏폼 콘텐츠가 미디어 산업의 자연스러운 변화 속에서 우연히 등장한 것이 아니라는 것이다. 거대자본이 자신들의 이익을 위해 수많은 임상 테스트를 통한 최적화 작업을 거쳐 가장 강력한 중독성이 나타나도록 의도적으로 만 들어 낸 것이다. 이는 인류를 향한 악이라 할 수 있으며, 자유주의 경제 세계화 속에 드러난 거대자본의 악함을 아크라 신앙고백을 통해 저항했던 것과 마찬가지로 신앙으 로써 대적해야 할 영적인 도전이라 하겠다. 인터넷 행위중독의 치료 방법론은 다양하게 개발되어 왔다. 초창기의 방법론은 주 로 인터넷 매체와 격리된 환경에 입소하여서 행동치료나 인지행동치료 방법론을 사용 하는 것이 일반적이었다. 이후에는 중독자 스스로 동기가 유발되고 성공에 대한 자신감을 갖게 되어야 치료를 위해 꾸준히 노력할 가능성이 높아진다는 개념의 동기 강화 상담이 대안으로 부상하였다. 그러나 스마트폰의 보급으로 인해 언제든 접속이 가능 해진 새로운 인터넷 환경에서 무한정 공급되는 숏폼 콘텐츠의 압도적인 중독성을 제 대로 대처하기 위해서는 새로운 목회상담적 접근이 필요하다. 이것은 압도적인 죄의 문제를 다루는 방법과 다르지 않다. 따라서 바울이 자신의 칭의론에서 사용한 ‘외재화 대화’ 기법과 ‘회원재구성 대화’ 기법을 숏폼 콘텐츠의 행위중독에 대처할 수 있는 목 회상담적 치유방안으로 제안한다.",윤이상,2023,https://www.riss.kr/link?id=A108757768
"삶의 질과 안락사, 기독교적 의료 윤리의 관점","안락사란 '치유될 수 없는 상황이나 질병으로 커다란 고통이나 어려움을 안고 있는 사람을 아무런 고통을 주지 않고 죽여주는 행위나 관행'으로 정의한다. 죽음에 이르기 위하여 어떤 행위를 적극적으로 행하는 경우를 수동적 안락사라 한다. 안락사는 환자의 동의여부에 따라서 구분하기도 하는데, 환자 스스로의 자율적 결정에 의하여 안락사가 시행된 경우를 자의적 안락사, 본인의 의사에 반하여 죽음을 반자의적 죽음이라 한다.
전통적 기독교 윤리의 관점은 생명을 보존해야 하는 자연법적 의무에 근거하여 원칙적으로 모든 형태의 안락사에 반대한다. 하지만 이 원칙은 언제나 확고한 것만은 아니어서 가망이 없는 환자의 생명을 연장시키기 위한 무의미한 치료를 계속해야 한다고 주장하기는 않는다. 만일 가망 없는 환자의 생명을 다소 연장시키기 위하여 특별한 치료가 요구되는 경우라면 환자의 질병이나 상해의 결과로 자연사하도록 내버려 두는 것을 허용한다. 즉, 성경적 의료윤리의 관점은 능동적 안락사와 반자의적 안락사에는 반대하지만 자의적-수동적 안락사는 허용 가능하다고 볼 수 있다. 비자의적 안락사는 자신의 의사표시를 분명히 할 수 없는 식물인간 상태로 몇 년이고 특별한 생명유지장치에 의존하여 목숨을 연장하고 있는 환자에게 의사나 그 가족이 환자의 '최선의 이익'이라는 관점에서 생명유지장치를 제거 혹은 시술을 포기하는 경우로 무의미한 생명연장보다는 설득력이 있다. 하지만, 이 경우는 환자의 이익이 아니라 제 삼자의 이익 때문에 안락사 시술이 남용될 가능성을 항상 염두에 두어야 한다. 따라서 매우 선별적으로 시행되어야 하며 일종의 필요악으로서 최소한의 문만 열어놓아야 할 것이다. 비자의적 안락사의 남용에 대한 가장 이상적인 대안이 자신의 생명에 대한 유언(living will)이다. 이는 자신이 스스로의 치료에 대한 결정권을 행사하지 못할 경우를 대비하여 미리 생명에 관한 유언장을 작성하여 놓는 것이다. 현대 의학은 거의 모든 통증을 능히 조절할 수 있는 다양한 통증조절법을 발전시켜왔다. 따라서 환자의 고통에 대한 대안은 안락사가 아니라 최대한의 통증조절과 환자의 심적, 정신적 슬픔과 고종을 덜어주려고 애쓰는 호스피스이다. 기독교적 세계관을 가진 훈련된 의사와 성직자, 사회사업가가 한 팀이 되어 적절한 호스피스 진료를 제공할 수 있다면 고통의 대안으로서의 안락사 요구를 설자리를 잃게 될 것이다.",정유석,2000,https://www.riss.kr/link?id=A3155111
Sternberg ‘사랑의 삼각이론’에 따른 기독교인 부부의 사랑형태 변화에 관한 연구,"본 연구는 결혼생활을 유지하고 있는 기독교인 부부의 사랑 형태 변화에 대하여 결혼 지속 연수, 신앙 지속 연수, 성별에 따라, 배우자에 대한 사랑이 어떻게 변화하 는지를 알아보기 위하여 연구대상자 집단을 ‘가족생활 주기’ 단계로 나누어서 횡단적 인 분석을 시행하였다. K시에 거주하는 기독교인 여성과 남성 445명을 대상으로 사랑의 삼각형 척도 검 사(Triangle Theory of Love Scale : TTLS)를 실시하였다. 20대에서 70대까지에 걸 친 포괄적인 연령대를 연구대상으로 취하여 설문지를 배포하고 회수하여 SPSS V. 12, 0을 사용하여 척도 결과들을 분석하였다. 연구결과 첫째, 사랑의 3요소 가운데 헌신요소의 점수가 가장 높게 나타나고 열정 요소의 점수가 가장 낮게 나타났다. 둘째, 결혼 지속연수 6-10년의 집단에서 사랑의 구성요소인 친밀감과 열정, 헌신요소와 요소별 합계점수가 다른 집단에 비해서 가장 크게 나타났다. 셋째, 기독교인 부부의 사랑을 측정에 있어 결혼 지속연수 보다 신앙 기간의 의미가 크게 부각 되었다. 넷째, 여성에 비해 남성의 사랑의 요소별 합계점수 가 높게 나타났다. 이러한 연구결과에 따른 후속연구를 위한 제언은 다음과 같다. 첫째, 본 연구에서 기독교인의 결혼 및 신앙지속연수에 따른 사랑형태 변화를 살펴보았는데 신앙지속연 수에 따른 차이가 더 분명하게 나타났으므로 기독교인 부부의 사랑을 연구에 있어 신 앙지속연수와 결혼지속연수의 상관관계를 분석하여야 한다. 둘째, 본 연구의 연구대상 자는 현재 결혼생활을 유지하고 있으며 기독교 신앙을 갖고 있는 기혼여성과 남성이 었다. 그러므로 부부가 같은 신앙인인지 아닌지를 구별할 수 없었다. 따라서 부부 단 위로 부부 상호 간의 사랑을 측정해 보거나 부부 신앙 여부에 따른 연구도 필요하다 고 본다. 셋째, 본 연구는 기독교인에 한하여 조사한 것이므로 일반인들과의 직접적인 비교 분석이 되지 않았다. 가족생활주기와 결혼 기간의 변화에 따른 양상을 같은 설 문지로 검사하여 연구한다면 좋은 비교 분석 연구가 될 것으로 위와 같이 제안한다.",김선희,2021,https://www.riss.kr/link?id=A107294173
"노인담론에 대한 비판적 연구 : 늙은이, 어르신, 엑티브 시니어에서 선배시민으로","본 논문은 노인담론에 대한 연구이다. 그동안 늙은이, 어르신, 엑티브 시니어 등의 담론들이 노인을 지칭하는 개념이다. 늙은이는 노인을 잉여인간, 쓸모없는 존재, 이등국민 등과 연결된 부정적인 이미지와 관련이 있다면, 어르신은 지혜와 경험을 가진 존재, 존경의 대상, 성숙한 어른의 이미지이다. 늙은이 담론이 노인을 비하하는 의미를 내포하고 있다면, 어르신은 노인을 승화하여 신비화하는 경향이 있다. 한편 베이비 부머가 노인인구로 등장하면서 엑티브 시니어 담론이 각광받고 있다. 이 담론은 성공한 노년, 생산적 노년, 활동적 노화 등의 이론에 기반하고 있으며, 노인을 활력있는 삶을 살고 있는 존재로 상징화한다. 하지만 현실에서 이 노인은 일부에 지나지 않는다. 일정한 재산을 갖고 있고, 학력이나 지위가 보장되어야 하기 때문이다. 특히 자기계발, 취미, 여가 등의 개인적인 일에 관심이 많은 존재이므로 공동체에 대한 의식이 희박할 수 있다. 본 논문은 노인을 선배시민으로 규정한다. 선배시민은 시민권이론과 전략관계적 접근법에 기반해서 정립되었다. 노인은 자유권, 정치권, 사회권을 갖고 있는 시민이다. 그는 최소한의 삶의 조건을 요구할 권리가 있다. 이 권리를 주장하기 위해 공동체의 일, 즉 일상의 정치에 참여하는 존재이다. 전략관계적 접근법에서 볼 때, 노인의 시민권은 그 사회의 권력관계에 달려 있다. 따라서 본 논문은 노인이 시민권이 보장된 존재로 자신의 개성을 갖고 공동체 일에 참여하는 시민, 즉 호모 폴리티쿠스가 되어야 한다고 주장한다. 이상에서 보듯이 선배시민 담론은 노인을 권리를 가진 시민으로 설정함으로써 시민교육과 노인교육을 연결할 수 있는 장점이 있다. 이것은 노인을 특수한 대상이 아닌 일반성을 가진 존재로 주장할 수 있게 만든다. 또한 선배시민 담론 사용을 통해 사회복지현장에서 시민성에 대해 생각해보고 실천할 수 있는 가능성을 제공한다.","유범상(Yoo, Bumsang)",2021,https://www.riss.kr/link?id=A107848336
GMO 식품에 나타난 유전자 조작 기술의 기독교 윤리적 비판-유전자 조작 기술 시대의 자연 및 인간의 ‘수평적 동등성’ 회복을 위해,"GMO 식품이 버젓이 우리 식탁위에 올라오고 있다. 아직 GMO 식품의 유해성 에 대해 정확한 기준과 과학적 근거가 없다는 이유로 아이들이 유전자 조작 식품 을 섭취하고 있다. 유전자 조작 식품을 만들어낸 과학자들은 기존의 자연적인 것들을 인위적으로 바꾸고 있다. 이 글에서는 유전자 조작 식품이 가진 장점과 단점을 논의하고, 그 기술이 가진 ‘희망’보다는 보이지 않는 기술의 ‘어두움(공포)’ 에 관심을 가지고 논의를 전개해 나갈 것이다. 유전자 조작 기술은 다분히 인간 기술의 척도에 따른 행위이기 때문에 하나님의 창조 섭리와 생태학적 고려가 배 제되었다. 이 기술은 자연의 질서와는 무관한 인간 중심적 기술과 자연 왜곡이란 이유로 기독교윤리학적 반성과 성찰이 필요하다. 따라서 이 글은 유전자 조작 기술이 가진 두려움 내지는 기술의 위험성을 비판하고, GMO 식품을 실험하는 과학 기술과 인간 기술의 규격화에 따른 기독교윤리적 입장에서 제언을 할 것이다.",김광연,2017,https://www.riss.kr/link?id=A104668479
플라톤의 <향연>편에 나타난 동성애,"오늘날 기독교 윤리가 대답해주어야 하는 문제 가운데 하나가 동성애 문제이다. 그런데 동성애를 적극 주장하거나 동성애 금지를 반대하는 사람이 자신의 생각을 뒷받침하기 위해 하는 주장 가운데 동성애가 역사에서 항상 금지되지는 않았다는 주장이 들어 있다. 고대 그리스 사회가 그러한 예로 제시된다. 고대의 일부 그리스 사회가 동성애를 정상적인 성적 관계로 여겼다는 것이다.
플라톤의 초기 대화편 <향연>편에서 그러한 관습을 엿볼 수 있기 때문에, 이 글에서는 <향연> 편에 나타난 고대 그리스 사회의 동성애 풍습과 이에 대한 플라톤의 평가를 살펴본다. 고대의 동성애 풍습은 젊은 세대의 교육과 관련하여 이루어졌다. 또한 플라톤은 당대 그리스 사회의 잘못된 교육을 비판하면서 아울러 당대의 동성애 풍습에 대해서도 비판한다. 흔히 소크라테스를 대표적인 동성애자로 꼽는데, 사실은 그렇지 않다. 또한 이 글을 통해 바울이 강하게 정죄한 동성애가 고대 그리스 사회에서 어떠한 모습으로 성행했으며, 그 사회 속에서 어떤 의미를 지니고 있었는지를 이해할 수 있다.
오늘날 동성애를 옹호라는 논증 가운데 하나는 동성애 성향 유전적으로 타고 난 것이라는 논증이다. 그리고 많은 경우 이러한 논증의 원형을 <향연>편에 나오는 아리스토파네스의 신화에서 찾는다. 그러나 소크라테스처럼 성교의 목적을 성적 만족에 두지 않고 (탁월한 능력과 지식의) 출산에 둔다면, 동성애는 자연스러운 것이 되지 못한다. 이러한 점에서 소크라테스는 하나님의 형상대로 남자와 여자를 만드시고 ""생육하고 번성하라""고 명령했다고 믿는 기독교의 입장과 연결된다. 동성애를 옹호하는 사람들이 <향연>편에 나타난 아리스토파네스의 신화에서 그들의 근거를 찾곤 하지만, 플라톤은 정작 그 대화편에 아리시토파네스의 생각을 거부하고 있다. 소크라테스는 젊은 청소년과 남색을 즐긴 동성애자가 아니라 그들을 제대로 인도하려는 선생이었다. 당시에 소크라테스를 동성애자로 잘 못 여긴 이유는 고대 아테네의 타락한 민주주의 체제에서 이루어지던 교육 방식에 대해 가한 비판을 당시 동성애가 이루어지던 귀족주의자의 향연과 연결해서 잘못 이해한데 있다. 소크라데스는 대중의 설득을 목적으로 하는 설득술에 토대로 둔 당대 민주주의를 비판한 것이지, 동성애를 옹호는 사람은 아니었다.",이경직,2000,https://www.riss.kr/link?id=A3155099
불교의 심리치료적 활용에 대한 이론적 접근,"근래에 들어 심리치료와 불교의 통합에 대한 관심이 크게 증가하 고 있다. 이러한 관심은 불교가 심리치료로 활용될 수 있는 많은 요 소들을 가지고 있다는 점에 주목하여 불교의 가르침과 현대 심리치 료 사이의 공통분모를 찾으려 노력하였다. 본고에서는 이러한 연구 들에 나타난 불교의 심리학적 해석이 초기불교에서 어떻게 이해 될 수 있는지를 비교해보고자 하였다. 이러한 작업은 두 전통을 통합 활용하는데 있어 가장 큰 어려움으로 자주 제시되는 용어의 통합 문 제 및 개념의 공통점과 차이점을 좀 더 분명하게 드러내주어, 두 전 통의 통합에 기초적인 소스를 제공할 수 있을 것이라 생각된다. 본 고에서는 서구의 주요 심리치료인 정신분석, 인본주의, 인지-행동 치료의 세 가지 접근법을 중심으로 불교의 심리학적 해석에 대한 초 기불교의 입장을 탐구해보고자 하였다. 두 전통은 삶의 괴로움의 해 결이라는 공통된 지향점을 가지고 있는 만큼, 많은 유사점을 가지고 있는데, 이러한 유사점의 확인은 불교가 인간에 대한 긍정적인 관점 을 바탕으로 인간의 한 측면만이 아닌 인지, 정서, 행동의 모든 측면 에 관심을 가지고 접근했다는 점을 시사한다. 이는 서구의 주요 심 리학이 인간의 인지, 정서, 행동의 단일 측면을 중심으로 발달하였으 며, 이후 이러한 접근법에 한계를 느껴 연구의 방향이 통합적 관점으 로 변해가고 있다는 점에서 큰 의미를 가진다. 인간에 대한 긍정적 인 태도로 우리의 인지, 정서, 행동의 모든 전통에 대해 고려했다는 점은 불교의 심리치료 작업의 큰 특징이 될 수 있다.",최영효,2011,https://www.riss.kr/link?id=A103291228
프로이트와 융의 심층심리학 사상과 그 차이,"S. 프로이트와 C. G. 융은 현대 심층심리학의 개척자들이다. 그들은 정신의학이 막 태동하려던 20세기 초 인간의 정신에는 의식뿐만 아니라 무의식의 작용도 있다는 사실을 발견하고 사람들을 괴롭히는 정신질환의 정체를 규명하려고 했던 것이다. 그러나 융은 프로이트의 범성욕설을 비판하면서 독자적으로 연구를 진행시켜서 결국에는 프로이트와 달리 분석심리학이라는 새로운 분야를 향해서 나아갔다. 프로이트와 융 사이의 차이는 크게 두 가지가 된다. 하나는 리비도에 대한 견해이고, 다른 하나는 집단적 무의식에 대한 견해이다. 먼저 프로이트가 인간의 생각이나 행동의 근본적인 추동력이 되는 리비도가 성욕이라고 주장한 데 반해서, 융은 리비도가 성욕이라는 하나의 특성만 가진 질적 개념이 아니라 그 어떤 특성도 가질 수 있는 에너지 자체라고 하면서 양적 개념으로 보아야 한다고 주장했던 것이다. 즉 리비도는 하나의 에너지로서 성욕으로도 될 수 있고, 종교열도 될 수 있으며, 예술성으로도 될 수 있다는 것이다. 이러한 두 사람의 견해 차이는 그 다음에 상징, 근친상간, 퇴행, 꿈 해석 등 모든 ,분야로까지 넓혀졌는데 그 밑바탕에는 집단적 무의식에 대한 융의 생각이 있다. 프로이트는 무의식은 의식과 함께 있을 수 없는 정신적 내용들이 모여서 만들어진 것이라고 생각했지만, 융은 무의식에는 그런 부분 이외에 의식과 무관하게 인류가 태초 이래 살았던 모든 기록들을 보관하고 있는 층인 집단적 무의식도 존재한다고 생각했던 것이다. 그렇게 되면 무의식은 프로이트가 생각하는 것처럼 부정적인 작용만 하는 것이 아니라 긍정적인 작용도 할 수 있게 된다. 그래서 융은 모든 증상들을 없애버려야 할 것들로만 보지 않았고, 그 안에서 정신을 통합하려는 목적적 의미까지 보면서 치료하려고 하였다. 그러나 두 사람 사이의 가장 커다란 차이는 종교에 대한 태도의 차이일 것이다. 프로이트는 종교를 유아적이며 집단적인 신경증이라고 생각했지만, 융은 종교에서 정신치료를 위한 훌륭한 상징체계를 발견했던 것이다. 프로이트는 신을 사람들이 유아시절 아버지에게서 느꼈던 상을 투사시킨 착각으로 보았지만, 융은 신의 이미지는 인간 정신 속에 있는 전체성을 가진 원형상으로 보았던 것이다. 이렇게 두 사람이 같은 정신 현상을 다르게 본 것에는 프로이트가 무의식의 작용에 초점을 맞춰서 보았지만, 융은 의식과 무의식의 관계에 초점을 맞추어서 보았기 때문이었다. 프로이트의 렌즈는 하나였지만, 융의 렌즈는 둘이었던 것이다. 그러므로 두 사람 사이에서 어느 누가 더 옳고, 그르다는 것은 있을 수 없고, 입장의 차이만 있을 뿐이라는 사실을 확인하게 된다.",김성민,2016,https://www.riss.kr/link?id=A101878655
지구온난화에 대한 과학적 이해와 대응,"지구 시스템은 수권, 대기권, 지권, 생물권으로 구성되어 있으며, 각 구성요소는 서로 긴밀히 연결되어 있다. 최근 150년 동안 생물권에 속해 있는 사람이 지권에서 빠른 속도로 많은 양의 탄소를 꺼내서 대기권으로 이동시켰다. 대기 중으로 방출된 이산화탄소는 대기 중 이산화탄소의 농도를 증가시키고 온실효과를 증가시켜 전 지구적 대기와 해양의 온도상승과 각 지역에 기후변화를 만들고 있다. 이로 인해 지구 시스템의 현재 평형상태가 불안정해지고 새로운 평형상태로 옮겨가고 있다. 최근 120∼170년 동안 관측된 온실기체의 농도, 기온, 수온, 해수면 높이 자료가 이러한 변화과정을 보여주고 있으며, 지구시스템 수치 예측모델이 100∼300년 후 새로운 평형상태가 어떤 상태인지 전망해주고 있다. 이 연구에서는 성경 속 역사와 근현대 역사에 있었던 지구시스템의 평형상태 변화와 현재 지구시스템의 평형상태 변화의 차이점을 살펴보았다. 21세기 초반을 살아가는 그리스도인으로서 하나님이 만드신 지구시스템을 이해하고 관리하고 다스릴 책임이 있다고 믿는다면 그리고 미래 세대의 권리를 존중한다면, 지구온난화에 대하여 적극적으로 대응해야 한다. 이를 위해서 사람은 지구시스템과 새로운 관계를 설정하고, 온실기체 배출량을 줄일 대응 방안을 실천하며, 지구온난화의 큰 영향을 받는 생물들과 사람들을 위한 적응대책을 사랑으로 세워야 한다. 근본적으로는 지구시스템이 하나님의 창조원리에 따라 유지되고 있으므로 사람은 지구시스템이 안식년을 누릴 수 있도록 대책을 세울 필요가 있다. 만약 우리가 적절히 대응하지 못해서 지구온난화가 일어난다 하더라도 지구의 마지막이 오지는 않을 것이다. 그러나 지구시스템은 새로운 평형상태로 이동할 것으로 예상되며, 이러한 이동 과정은 미래에 생물권에서 살아갈 생물들과 사람에게 생존의 위협과 큰 고통을 가져다줄 것이다. 그러므로 사람은 할 수 있는 범위 내에서 지구시스템의 현재 평형상태를 잘 관리할 책임이 있다.",최병주(Byoung-Ju Choi),2021,https://www.riss.kr/link?id=A108358677
