
양성자와 중성자의 구조,"60년전 Ernest Rutherford는 α입자가 엷은 금속박에 의해 산란되는 것을 관찰하고 원자는 동질체가 아니라 작으나 무거운 양전하를 가진 핵과 그 둘레에 음전자를 가진 전자로 구성되었다고 결론 지었다.
그 후 여러 실험실에서 연구하던 물리학자들은 처음에는 원자의 구조, 다음에는 핵의 구조, 그리고 지금은 핵의 구성 요소인 양성자와 중성자의 구조를 실험하기 위하여(보다 큰 에너지를 가진 입자로) 산란 실험을 행하고 있다.
이들의 기본 핵 입자가 동질인 것인가?
Stanford의 선형 가속기 센터에 있는 2마일 길이의 강력한 가속기로 가속시킨 21×10^9 eV의 에너지를 가진 원자로 한 최근의 많은 연구가 제시한 바에 의하면 그들의 크기는 원자의 크기보다 100,000배나 더 적을 것이라는 것이다.","Kendall, Henry W.",1972,https://www.riss.kr/link?id=A19595575
회전하는 액체 포물면을 이용한 중력 가속도 측정,"회전하는 액체표면에 레이저광을 조사시켜 반사하는 액체표면의 기울기를 투명자를 통해 측정하게 함으로써, 중력가속도를 ***** 의 관계로부터 측정할 수 있는 새로운 실험장치를 고안하였다. 여기서 tan θ는 액체표면의 기울기, r은 회전축과의 수직거리, ω는 회전하는 액체의 각속도이다.
본 실험에서는 물, 글리세린, 콩기름, 엔진오일 등 다양한 액체를 사용하였으며 본 실험에서 측정한 중력가속도는 대략 980cm/s2과 일치하였고, 액체표면이 포물면이 됨을 확인하였다. 또한, 초점거리와 각속도는 서로 반비례하였으며, 액체표면의 기울기 tan θ는 거리 r에 비례하였다. 점성이 큰 글리세린, 콩기름, 엔진오일이 물보다 오차가 적게 나타났다.",김상근,2001,https://www.riss.kr/link?id=A30049300
강자성 초전도체의 연구동향과 전망,"강자성 초전도체의 발견은 상극으로 알려진 강자성과 초전도성이 어떻게 상호작용하여 조화롭게 공존하는지에 대한 학문적인 연구뿐만 아니라 새로운 기술적인 응용을 위한 광범위한 탐구를 이끌고 있다. 본 해설논문에서는 강자성 초전도체에 대한 이해를 돕기 위하여, 먼저 초전도체의 쿠퍼쌍을 깨뜨리는 강한 자기장의 궤도 효과와 상자성 효과에 대하여 설명한다. 자기장의 이러한 효과 이외에도 초전도체/강자성체 복합 구조의 계면에서 발생하는 근접 효과에 의해 단일상 쿠퍼쌍은 강자성체를 지나가는 동안 불안정하여 아주 짧은 침투깊이를 가진다. 그러나 쿠퍼쌍이 홀-진동수 삼중상인 경우 안정되고 긴 유효길이를 가지게 되는데, 새로운 스핀 전자소자로서의 개발을 위해 그 연구의 중요성이 높아지고 있다. 마지막으로 다양한 강자성 초전도체와 양자구속효과에 의해 두 성질이 공존하는 저차원의 물질들을 소개한다.",한상욱(Sang Wook Han),2012,https://www.riss.kr/link?id=A3020900
모의 실습 수업을 위한 예비물리교사들의 Chat GPT 활용 실천 사례 탐색,"2022년 말 Chat GPT가 공개된 이후 생성형 인공지능은 다양한 분야에서 그 활용가능성이 주목받고 있으며 교육 분야에서도 큰 역할이 기대된다. 이에 본 연구에서는 예비 물리 교사들이 수업 준비 및 실행 과정에서 Chat GPT를 어떻게 활용하는지 알아보는 것을 목표로 하였다. 이를 위해 연구자는 물리교재연구 및 지도 수강생 22명에게 Chat GPT를 소개하고, 수업 준비 및 실행 과정에서 Chat GPT를 활용하게 하였다. 연구 결과 예비 물리 교사들은 Chat GPT를 수업 지도안 작성, 수업 구성, 학생 오개념 조사, 가르칠 내용에 대한 내용 공부 등 주로 수업 준비 단계에서 활용하였다. 한편, 수업 실행에서는 Chat GPT를 활용하여 학생들이 물리 개념의 실생활 활용사례를 조사하도록 구성한 수업들이 많았다. 예비물리교사들은 Chat GPT가 다양한 관점으로 풍부한 내용을 제공해주고, 실시간으로 답변해주며, 학생들의 질문과 반응을 예측해 준다는 것을 장점으로 뽑았다. 하지만 정보의 신뢰성 문제와 함께 학생들이 무비판적으로 Chat GPT가 제공하는 지식을 받아들일 것을 우려하였다. 이와 함께 물리교육에서의 생성형 인공지능 활용에 대해서도 논의하였다.",하상우,2023,https://www.riss.kr/link?id=A104339352
빛의 이중성,"빛이 갖는 파동/입자 이중성을 물리학적 사고의 발전과 비교하면서 기술하였다. 아인슈타인으로부터 현대 양자광학까지 빛에 대한 이론의 변천을 추적하고, 각 이론을 지지하는 실험적 사실을 열거하였다. 아울러 양자역학이 갖는 미묘한 측면을 지적하고, 그 개념적 기반을 서술하였다.",김기식,1993,https://www.riss.kr/link?id=A60112345
광학적 슈뢰딩거의 고양이 : 광학에서의 양자 중첩 상태,"슈뢰딩거에 의해서 거론되기 시작한 량자적 중첩상태를 광학적 측면에서 고찰한다. 양자중첩 상태의 생성, 양자 중첩상태의 비고전적 성질을 살펴보고, 거시적 중첩상태를 관측하기 어려운 이유를 알아본다.",김명식,1993,https://www.riss.kr/link?id=A104197393
뉴턴의〈물체의 궤도 운동에 관하여〉에 대한 고찰,"본 연구의 목적은 뉴턴이 쓴 논문인〈물체의 궤도 운동에 관하여〉의 내용을 살펴보고 여러 관점에서 이 논문의 의의를 고찰하는 것이다. 정의 3개, 가설 4개, 정리 4개, 문제 7개 등으로 구성된 이 논문은 타원궤도를 운동하는 행성에 작용하는 구심력이 태양과 행성과의 거리의 제곱에 반비례한다는 것을 밝힌 것으로 케플러 법칙을 증명한 것이다. 이 논문의 전개 과정에서 주된 과정은 [‘가설 2’, ‘가설 3’ → ‘정리 1’ → ‘정리 3’ → ‘문제 3’] 이며, 여기서 ‘정리 3’이 연결고리 역할을 한다. 이 논문으로부터〈프린키피아〉가 만들어졌기에 이 논문은 과학사에서 매우 중요하다. 뉴턴은 유클리드의 〈원론〉과 비슷한 체계(예: 정의, 보조정리, 정리, 문제, 따름정리, 주석 등)를 따라 서술하였으며, 기하학적인 증명방법을 이용하여 자신의 이론을 전개하였다. 추가적으로 후속 연구에서 시사점을 제시하였다.",이봉우(Bongwoo Lee),2022,https://www.riss.kr/link?id=A108767225
"초융합, 초연결, 초지능의 개념을 통해 살펴본 4차 산업혁명 시대의 물리교육","본 연구는 앞으로 급격한 변화가 예상되는 4차 산업혁명 시대에 물리교육에서는 무엇을 고려해야하는지 살펴보는 것을 목적으로 한다. 이를 위해 우선 본 연구에서는 4차 산업혁명이 아직까지 잘 정의되지 않은 개념이라는 것에 주목하고, 근 미래 사회가 가지는 특징 중 많은 학자들이 동의하고 있는 개념인 초융합, 초연결, 초지능의 개념을 개괄적으로 살펴보고, 각 특징별로 물리교육이 해야할 역할이 무엇인지 고찰해 보았다. 첫째, 다양한 산업과 기술, 학문이 융합되는 초융합 시대에 맞춰 물리교육에서도 본연의 경계를 넘어 보다 다양한, 이종 학문과의 융합을 추구하려는 유연성이 필요하다. 둘째, 물리적, 심리적, 사회적 연결을 통해 각 주체의 경계가 점차 사라지는 초연결 시대에 맞춰 증강현실, 가상현실과 같이 물리적인 한계를 넘어서는 물리교육 뿐만 아니라 빅데이터, 인공지능을 활용한 물리 학습 능력 관련 종합적 학습자 진단 시스템 개발에 관심을 기울일 필요가 있다. 셋째, 인간의 지능을 넘어서는 인공지능이 개발되는 초지능 시대를 맞아 인간 고유의 특성인 창의성 및 감성, 인성을 길러주는 물리교육의 방안을 고민할 필요가 있다. 특히 인간성 상실의 위기가 예상되는 4차 산업혁명시대에 인간 고유의 정체성을 확립하기 위해 물리교육이 해야할 역할에 대해 구체적으로 고민할 필요가 있다.",하상우(Sangwoo Ha),2022,https://www.riss.kr/link?id=A103507812
고배율 광학현미경의 초정밀 능동 자동초점방법,"최근들어 반도체 산업의 자동검사장비에 고배율 광학현미경이 많이 사용되고 있다. 이러한 고배율 광학현미경에 있어서 선결과제가 물체를 광학현미경에 사용된 대물렌즈의 초점심도 내에 위치시키는 초점맞춤작업이다. 본 논문에서는 광삼각법을 기본구성으로하고 수광부에 2개의 2분할소자를 사용함으로써 물체의 표면상태에 둔감하면서 물체의 초점오차량에는 매우 민감한 초점오차신호를 만들어줄 수 있는 새로운 자동초점방법을 소개하였다. 얻어진 실험결과에 의하면 이 방법의 신호분해능은 5nm이며, 반복능은 0.5.mu.m이다.",이호재,1996,https://www.riss.kr/link?id=A108130740
층간소음 관리시스템이 민원저감과 아파트 가격에 미치는 영향,"본 연구는 현재 사회문제화 되고 있는 층간소음 피해 실태조사·분석을 통하여 적용 가능한 층간소음 분쟁의 예방을 위한 효율적인 관리시스템을 개발 적용하였다. 설문조사 분석결과, 층간소음의 주요 발생 원인으로 아이들 뛰는 소음과 어른 걷는 소음이 55% ∼ 75%로 가장 심각한 소음원으로 나타났으며, 소음 피해시간대는 저녁(18시∼22시) 시간대는 50% ∼ 65%로 가장 높게 나타났으며, 야간(22시∼ 06시) 시간대는 26% ∼ 45%범위에 있는 것으로 분석되었다. 층간소음관리시스템 적용 전·후의 민원저감효과 분석결과, 전라도 광주는 100%, 대구시는 87.5%, 서울의 경우는 83%, 경기도는 71% 순으로 나타나, 평균 약 85% 이상의 민원 저감효과가 있는 것으로 나타났다. 층간소음관리시스템 적용 전·후의 아파트 가격 변화 분석결과, 적용된 아파트의 경우는 평균 17.23백 만원 상승한 반면, 미적용된 아파트는 0.55백만원 하락한 것으로 평가되었다.",차상곤(SangGon Cha),2014,https://www.riss.kr/link?id=A103507828
