
생물다양성에 대한 기후변화의 영향과 그 대책,"본 연구에서는 지구적 차원에서 생물다양성의 성립 배경과 그동안 일어난 변화 그리고 기후변화가 생물다양성 및 인간 에 미치는 영향을 밝히고 그 영향을 줄이기 위한 대안을 제시하였다. 생물다양성은 생명체의 풍부한 정도이며, 생물을 구분하는 모든 수준에서의 다양성을 종합적으로 의미한다. 즉, 생물다양성은 유전자, 종 그리고 생태계 전반과 그들의 상호작용을 아우른다. 이는 생태계의 기반을 구성하며, 모든 사람들이 필수적으로 의존하는 서비스를 제공한다. 그럼에 도 불구하고 오늘날 생물다양성은 주로 인간 활동에 의해 점점 더 위협받고 있다. 지구상의 생물은 생명이 탄생한 이 래 약 40억년의 역사를 통해 다양한 환경에 적응하고 진화한 결과, 약 1000만 내지 3000만종으로 추정되는 다양한 생 물이 존재하게 되었다. 생물다양성을 구성하는 무수한 생명들은 각각의 고유한 특성을 가지고 있으며 다양한 관계 속 에 얽혀 있다. 우리들이 현재 생활하고 있는 지구의 환경도 이러한 생물체의 방대한 연관성과 상호작용에 의해 긴 세 월 동안 만들어져 왔으며, 인류도 하나의 생물로서 다른 생물들과 관계를 맺으며 살아가고 있다. 이러한 주위의 생물들 이 없다면 사람도 살아갈 수 없다. 그러나 인류는 최근 수 백 년 간 과거의 평균 멸종속도를 1000배 가량이나 가속시 켜 왔다. 우리는 미래 세대의 풍요로운 삶을 위해서라도 생물다양성을 보전하는 한편, 지속가능하게 이용할 책임이 있 다. 우리나라는 세계 어느 국가보다도 빠른 경제 성장을 이루어왔으나, 동시에 이는 남북으로 길게 뻗은 반도 국가라는 지리적 특성에 의해 본래 풍부했던 생물다양성을 빠르게 소실시키는 결과를 야기하였다. 한국인은 오랫동안 농업, 임 업 그리고 어업을 해오는 과정에서 자연과의 공존을 통해 독특한 고유의 문화를 창조하였다. 그러나 근래 서구문명의 유입과 과학 기술의 발전 과정에서 이러한 자연과의 관계는 멀어지게 되었으며, 자연과 문화 사이의 조화로운 조합에 의해 창출된 고유한 풍토는 점점 더 사라지고 있다. 한국의 인구는 세계 인구가 지속적으로 증가하는 것과는 반대로 점차 줄어들 것으로 예측되고 있다. 이 시점에서 우리는 인구 감소에 의한 자연의 회복에 발맞추어 급속한 인구 증가 및 경제 성장으로 인해 훼손된 생물다양성을 복원할 필요가 있다. 지구상에 생명이 탄생한 이래 다섯차례의 대멸종이 있었다. 현대의 대멸종은 매우 급속히 진행되고 있으며, 인간 활동에 의한 영향이 주요 원인인 점에서 이전의 것과 구 분된다. 기후변화는 실제로 일어나고 있으며, 생물다양성은 이러한 변화에 매우 취약하다. 만약 생명체가 변화하는 환 경에서 ‘진화를 통한 적응’, ‘생존가능한 다른 지역으로의 이주’ 등과 같은 생존 방법을 찾아내지 못한다면 이들은 절멸 할 것이므로, 기후변화가 지속된다면 생물다양성은 극도로 훼손될 수 밖에 없다. 따라서 우리는 이러한 훼손정도를 최 소화하기 위해 기후변화가 생물다양성에 미치는 영향을 보다 적극적이고 심도있게 파악할 필요가 있다. 생물계절의 변 화, 식생 이동을 비롯한 분포 범위의 변화, 생물 간 상호작용의 부조화, 먹이 사슬 이상에 기인한 번식 및 생장률 감소, 산호초 백화현상 등이 기후변화에 미치는 영향으로 등장하고 있다. 질병의 확산, 식량 생산 감소, 작물 경작지 범위 변 화, 어장 및 어업시기의 변화 등은 인간에 대한 영향으로 나타나고 있다. 기후변화 문제를 해결하기 위해 우선, 우리는 온실 가스 배출량을 감소시켜 기후변화 완화를 시도할 필요가 있다. 그러나 현재 우리가 온실가스 배출을 당장 멈추더 라도, 기후변화는 당분간 지속될 전망이다. 이런 점에서, 기후변화 적응 전략을 준비하는 것이 더 현실적이 될 수 있다. 생물다양성에 대한 기후변화 영향의 지속적 모니터링 및 보다 적합한 모니터링 체계 구축이 선행과제가 될 수 있다. 생물다양성이 성립할 수 있는 생태적 공간의 확보, 이동 보조 및 남북을 이어주는 수평 및 저지대와 고지대를 이어주 는 수직적 생태네트웍이 기후변화에 따른 생물다양성의 적응을 돕는 대안으로 추천될 수 있다.",안지홍,2016,https://www.riss.kr/link?id=A102406641
Anthropocene : on the starting point and the significance of the new geological epoch,,김지성(Jisung Kim),2016,https://www.riss.kr/link?id=A108052930
지질시대 동안의 식물의 진화,"지질시대 동안의 식물계의 변화(진화)는 4단계로 크게 구분될 수 있다. 첫 번째 단계는 지구상에 출현한 식물은 약 30억 년 전 출현하여 4억 2천여만 년 전의 조류들로 박테리아나 균류 등의 다양한 미체 유기물들을 포함하고 있다. 두 번째 단계는 고생식물대로 불리는 실루리아기 후기-페름기 초기로서, 최초의 육상 관속식물이 출현(약 428mya)하고 교목인 대형 석송류와 속새류들이 번성하던 육상환경과 석탄삼림을 형성한 호소환경이 지배적인 단계이다. 이 단계의 후기에는 종자고사리류를 포함하여 Cordaites 및 침엽구과류 등의 종자류가 출현하기도 하였다. 세 번째 단계는 페름기 후기-백악기 중기의 중생식물대로 알려진 나자식물이 발달하고 번성하던 단계이며, 마지막 단계는 후기 백악기 이후 현재까지의 단계로서 소위 신생식물대라 불리는 현생식물군의 특징인 피자식물이 우세한 진화의 과정 즉 계속적인 변화의 연속성은 개체뿐만 아니라 식물계 전체의 생태학적인 차이를 고려하여야 하며, 또한 이는 지구상의 식생 자체뿐만 아니라 곤충류와 포유동물 등의 동물계의 신속한 발전에도 크게 기여한다고 볼 수 있다. 즉 식물계의 진화적인 특징은 형태적 변화의 다양화, 내부 구조의 복잡화, 생식기관의 특성화, 속종의 최다 증가와 광범위한 분포 등을 비롯하여 이 식물계가 갖는 환경의 변화에 대한 적응성과도 밀접한 관계를 갖고 있으며, 각종 속종들이 갖는 생태적 의미도 커서 고도에 따른 식생의 변화, 교목(喬木)과 관목(灌木), 등목성(藤木性)과 초본성(草本性), 또는 육생(陸生)과 수생(水生)의 구분에 따른 특화된 기관의 발달이 환경과 특별한 관계를 갖고 있다고 할 수 있으므로, 식물의 변천과정이 종합적으로 반영된 것이어야 할 것이다.",전희영(Hee Young Chun),2014,https://www.riss.kr/link?id=A101854860
펭귄의 진화,"펭귄의 기원과 이들이 어떻게 남반구의 모든 대륙에서 번성하게 되었는지에 대한 것은 비교적 최근에 발견된 화석증거들을 통해 해석이 가능해졌다. 가장 오래된 펭귄류인 와이마누 만네링이(뉴질랜드, 팔레오세 그린스톤층)는 펭귄들이 K/T 대멸종 사건 바로 직후에 독특한 체제를 갖췄음을 보여준다.
화석증거는 펭귄들이 적어도 에오세부터 남반구의 거의 모든 대륙으로 진출했음을 보여주며, 또한 후기 에오세부터 전기 마이오세, 그리고 플라이스토세동안 이들의 다양성이 증가했음을 보여준다. 최근에 발견된 인카야쿠 파라카센시스는 원시 펭귄류의 깃털이 현생 종의 것보다 멜라노솜이 적은 것을 보여준다.",박진영(Jin-Young Park),2014,https://www.riss.kr/link?id=A108152010
국내 수질오염사고 현황 분석과 대응 체계,"본 연구에서는 4대강 수계를 중심으로 발생한 각종 수질오염사고를 분석하였고, 수질오염방제 센터에서 수행한 업무도 평가한 후, 향후 발생하게 될 수질오염사고에 대한 대응 체계에 대하여 고찰하였다. 2007년부터 2012년까지 발생한 수질 오염사고는 연평균 66.7건이었으나, 인명피해 사고는 없었다. 한강권역에서 89건(25.4%)으로 가장 높았으며, 낙동강권역에 서 71건(20.3%), 금강권역에서 42건(12%), 영산강권역에서 28건(8%)이 발생한 것으로 조사되었고, 주요 4대강을 제외한 기 타 하천에서도 104건(29.7%)이 발생했다. 관리부주의로 인한 사고가 가장 높은 비율인 179건(51.1%)을 차지하였고, 기타 80건(22.7%), 자연현상 70건(19.9%) 및 교통사고 21건(5.9%) 순으로 나타났다. 방제지원 실적은 유류유출로 인한 오염사고 발생 건수가 51건으로 전체의 대부분인 45건(89%), 수환경변화로 인한 물고기 폐사 사고 5건(9%), 화학물질 유출로 인한 오염사고 건수는 1건(2%)으로 분석되었다. 수질오염사고 발생시의 대응체계를 분석한 결과, 대형사고 및 중소형사고 모두 국가 전문기관, 즉 수질오염방제센터의 역할 또는 임무에 대한 법제화가 필요한 실정이다.",이재균,2013,https://www.riss.kr/link?id=A107952031
"원 헬스 관점을 고려한 미세플라스틱이 동물, 환경 및 인간의 건강에 미치는 영향 고찰","원 헬스(One Health)란 인간, 동물과 환경의 건강이 개별로 분리되어 있는 것이 아니라 유기적으로 하나로연결되어 있고 상호 영향을 준다는 의미이다. 2019년 중국 우한에서 시작된 호흡기 감염질환인 코로나 바이러스(COVID-19)가 전 세계적으로 확산되었고 이로 인해 많은 수의 사람이 사망하였다. 이를 계기로 감염경로인동물의 건강이 사람의 건강과 밀접하게 연관되어 있으며, 이들의 수용체인 생태계(환경)와의 상호작용을 고려한 통합적 관리의 필요성이 더욱 크게 대두되었다. 특히 인수공통감염병, 의약 항생제, 마약, 미세플라스틱 등은 사람은 물론 동물과 생태계에 공통적으로 악영향을 주는 것으로 알려진다. 여기서는 최근 관심을 받고 있는신종오염물질인 미세플라스틱에 대하여 원 헬스 관점에서 동물, 사람 그리고 환경에 미치는 영향과 이들 사이의 상호작용을 살펴보았다. 이를 통해 미세플라스틱에 대한 향후 대처방안 마련에 기초를 제공하도록 하였다.",이진용,2023,https://www.riss.kr/link?id=A100535273
도심지역 지하철 침수 위험도 평가에 관한 연구,"기후변화로 이상강우 발생이 증가하고 있으며, 매년 폭우로 인한 피해 강도와 규모가 커지고 있는 실정이다. 또한, 폭 우의 발생 빈도가 잦아지면서 폭우가 연속적으로 발생하는 경우도 많아지고, 이로 인해 도심지역에서는 전에는 없던 큰 침수 피해가 발생하고 있다. 하천과 해안 인근 지역이 불투수 지역일 경우에 강우강도가 높아질수록 최대 흐름이 급격히 높아지기 때문에 유역특성을 고려한 종합적인 침수위험도 평가가 필요하다. 본 연구에서는 지하철 역사의 침 수방지 대책으로 평가요소에 대한 점수를 부여하여 침수위험도 평가를 분석하였다. 종합적인 평가 지수를 고려한 침 수 위험도 평가 과정을 거쳐 과거 침수가 발생한 유동인구 및 교통량이 많은 5개의 도시철도역에 대한 침수 위험도 평가를 실시하였다. 이를 종합적으로 분석하여 침수위험 등급(1~4등급)을 설정함으로써 위험등급에 맞는 침수대책을 수립해야 할 것으로 판단된다.",전근학,2023,https://www.riss.kr/link?id=A99911771
한국의 화강암 지형에 대한 연구,"한반도에서 화강암은 볼록한 석산과 오목하고 넓은 하곡과 같이 극단적인 형태의 지형을 발달시키는 이중성을 드러낸다. 화강암은 강한 암석이어서 산지를 형성한다. 화강암 산지는 험준하고 깎아지른 능선과 깊고 가파른 계곡을 형성하기도 하고 완만하고 부드러운 산세를 보이기도 한다. 풍화미지형은 토르와 타포니, 나마, 그루브, S자형암벽 등이 대표적이다. 선캄브리아기의 단단한 기반암으로 이루어진 한반도는 신생대 중신세 요곡융기 이후 각종 지형형성작용을 받았다. 그 결과 대하천 중·상류 구간에는 크고 작은 침식분지가 형성되었다고들 한다. 침식분지로 소개되는 곳은 대부분 단층선이 지나가는 골짜기이다. 지질구조선이 둘 또는 세 방향으로 교차하는 골짜기는 시야가 트여 있어 분지로 이해하기 쉬웠다. 폐쇄적이고 고립적 어감을 지닌 ``분지``라는 용어는 하천이 관류하지 않는 최상류 소규모 유역분지에 국한시켜 사용하는 것이 적절하다. 침식분지는 양구 펀치볼에서 그 전형을 보이는 바와 같이 접시를 닮았다. ``소위`` 침식분지의 경사급변점과 분지바닥을 이루는 충적지 사이 산록에는 완경사 지형면이 다양한 규모로 나타난다. 완만한 사면의 산록면에 대해서는 페디먼트, 주빙하성 사면퇴적물, 선상지, 하안단구 등 다양한 해석이 시도되었다. 한편 화강암이 심층풍화를 받으면 풍화층과 토양에 덮인 구릉성 산지와 평야를 형성하기도 한다. 심층풍화층은 규모가 작은 하천의 잦은 범람에도 쉽게 평탄화하는 성향을 보여 넓은 하곡과 평야를 발달시켰다. 한반도 서남부 해안지방은 해발고도가 낮고 기복이 작은 구릉지와 충적지가 넓게 펼쳐진다. 구릉지는 야산개발에 의해 밭 이외에 과수원, 목장, 임야로 이용된다. 하천 양안 충적지는 주로 논으로 이용된다.",강대균 ( Tay Gyoon Kang ),2011,https://www.riss.kr/link?id=A108548044
지구온난화로 인한 전례 없는 기후 시기의 선형 전망,"기후변화에 따른 연안환경 변화 및 이해는 연안재해 예방에 매우 중요하며, 오늘날 인간활동에 의한 지구온난화로 급격한 기후변화를 겪고 있어 그 필요성이 부각되고 있다. 본 연구의 목적은 전지구적인 관점에서 미래 기후가 어떻게 변할 것인가에 대한 시각을 우선 제시함으로써 다가올 전지구적 기후변화와 그로 인해 유발될 연안기후변화에 대한 관심과 이해를 고취시키고자 함이다. 본 연구에서는 특히, 지구온난화로 인해 미래에 전례 없는 기후가 나타나는 시기를 추정하고 그 지역적 차이를 분석하고자 하였다. 기후모형 자료를 이용한 기존 연구와 달리, 이 연구에서는 관측자료를 이용하여 내부변동성을 추정하고 미래 온도변화를 전망하였다. 그 결과, 전례 없는 기후 시기는 육지에서는 대륙마다 서로 다른 양상을 보이고 해양에서는 온난화 추세가 큰 고위도 해역을 제외하면 내부변동성의 영향을 많이 받는 것으로 나타났다. 결론적으로 지구온난화로 인한 전례 없는 기후는 특정 시기에 공통적으로 나타나는 것이 아니라 지역에 따라 시기적으로 상당한 차이가 있다. 따라서 기후변화 대응책을 마련할 때 온난화 추세뿐만 아니라 내부변동성의 크기도 함께 고려할 필요가 있다.","신호정(Shin, Ho-Jeong)",2016,https://www.riss.kr/link?id=A108614225
한국 지리학계의 카르스트 연구,"한국 지리학계의 카르스트 연구 성과를 논문발표 수에 근거하여 편의상 지난 50년을 초창기(1960-70년대), 도약기(1980년대), 성장기(1990년대), 발전기(2000년대)로 나누어 정리해보고자 한다. 카르스트 연구논문의 통계와 분류는 학회지별로 집계하여 연구주제별로 발표 빈도를 살펴보고, 이들 연구가 수행된 사례를 지역별로 분류했다. 카르스트 지형은 그 어떤 지형학적 주제보다도 ``물``의 역할이 강조되는 연구 대상이다. 열대와 온대 기후 하의 카르스트의 형태, 경관, 생성 과정이 동일하지 않고 지역별, 고도별 카르스트의 특징이 다르게 나타난다는 사실은 한국, 중국, 일본을 포함한 동아시아 지역에서의 과거 기후변화 과정이 생각보다 세밀하게 기록되어 있을 수 있다는 추측을 하게 한다. 카르스트 지형은 지하수 사용, 토지이용과 같은 인간 활동과 연관되어 지반침하를 통한 재해 현상의 원인이 되기도 하기 때문에, 계절적 강수현상, 석회암 분포, 표토의 특성을 함께 다룰 수 있는 자연지리 전문가의 육성이 앞으로 우리나라 재해 대응 역량을 키우는 데에 매우 중요하리라 사료된다. 또, 카르스트 지형이 갖는 특수한 경관은 그 자체로 심미적 대상이자 천연의 관광자원이므로, 이를 소개하고 탐구하며 개발하는 데에 지리학자들의 역할이 강조되어야 한다.",박선엽 ( Sun Yurp Park ),2011,https://www.riss.kr/link?id=A87016741
