
지방자치단체 기후변화 적응 거버넌스 변화 연구,,"고재경(Koh, Jaekyung)",2017,https://www.riss.kr/link?id=A103224083
우리나라 유해대기오염물질의 관리현황과 개선방향,,백성옥(Sung-Ok Baek),2013,https://www.riss.kr/link?id=A99806186
우리나라 기후변화 대응의 저성과 원인에 대한 탐색적 연구,,"김영신(Kim, Yeongsin)",2016,https://www.riss.kr/link?id=A102073684
지구온난화 제한목표에 따른 해수면 상승 및 영향요인의 미래전망 분석,"인간활동에 의한 온실가스 배출의 증가는 기후시스템의 변화를 야기시키고, 그 변화를 점차 가속시키고 있다. 이러한 기후변화 가속에 따른 미래 기후위기상황에 대한 많은 연구들이 진행되고 있으며, 국제사회의 지구온난화 제한목표에 도달할 경우에 대한 기후변화 미래전망에 대한 연구결과들이 많이 제시되고 있다. 많은 연구들이 기온과 강수 등의 극한현상과 관련하여 발표되었으나, 해수면 상승과 관련된 기후변화 과학정보는 상대적으로 부족한 편이다. 해수면 상승을 계산하는 방법은 IPCC 평가보고서에서 제시하는 방법이 공식적인 산출방법으로 연구커뮤니티에서 활용되고 있으며, 본 연구에서는 해당 방법을 통해 산출한 해수면 상승의 미래전망을 산출하였다. 국제사회의 온난화 제한목표시기에 따른 미래전망을 산출하였고, 해수면 상승의 주요 영향요인인 해양의 열적팽창과 빙하녹음과정이 온난화에 따라서 어떻게 변하는지 분석하였다. 본 연구에서는 CMIP6 ScenarioMIP에 제출된 자료 중 해수면 상승의 산출에 필요한 변수를 제공하는 9개의 모델이 사용되었고, 총 4개의 시나리오(SSP1-2.6, SSP2-4.5, SSP3-7.0, SSP5-8.5)를 기반으로 1.5도, 2.0도, 3.0도의 지구온난화에 도달하는 시기에 대한 해수면 상승전망을 계산하였다.
또한, 해수면 상승은 기온과 강수의 극한현상에 비해 아주 느리게 변화하는 기후요소이기 때문에, 해수면 상승 및 주요 영향요인 2가지에 대하여 현재기후의 상승경향을 벗어나는 임계점(Emergence of Climate change; EoC)을 산출하고, 지구온난화 제한목표의 도달시기와 비교하였다. 해양의 열팽창의 EoC는 약 2040년 정도로 나타나는데, 이는 2.0도 온난화 도달시기와 비슷하게 분석되었고, 빙하녹음 과정의 EoC는 1.5도 온난화 도달시기와 비슷하게 분석되었다. 이는 국제사회의 제한목표를 달성하더라도 해수면 상승의 변화는 점차 가속이 될 것이라는 연구결과이다. 해수면 상승은 한 번 가속이 되면, 수 백년 단위 이상으로 경향이 유지된다는 IPCC 보고서를 바탕으로 현재수준의 온난화는 해양분야에서 아주 위험한 기후위기를 초래할 수도 있다는 것을 말해주는 연구결과이다.",김지선,2021,https://www.riss.kr/link?id=A107947072
한국의 탄소배출권 거래제 시행 1년 후 현황과 개선방안,,"채종오(Chae, Jong Oh )",2016,https://www.riss.kr/link?id=A101817276
기후변화와 미세먼지에 대응하는 산림의 역할,"오래 시간동안 지구의 온도는 조금씩 평균값에서 변화를 보이지만, 평균값을 벗어나지 않는 자연적인 기후의 움직임을 ‘기후변동성’이라고 부르며, 기후변화는 이러한 자연적인 기후변동성에서 범위를 벗어나 더 이상 평균상태로 돌아오지 않는 기후체계를 의미하며, 최근에는 지구온난화라는 말로 기후변화를 가리키고 있다. 이러한 지구 온난화를 부치추는 것으로 온실가스 농도가 급격히 짙어 지면서 지구 평균기온이 비정성적으로 높아지는 온실가스 효과를 들 수 있다. 온실효과를 높이는 주요 요인은 인구의 증가와 산업화에 따른 온실가스 양이 과거에 비해 늘어난 것으로 이산화탄소, 메탄, 수소불화탄소, 과불화탄소, 이산화질소등이 있으며, 자연적인 요인으로는 화산분화 등으로 성층권 에어로졸 증가, 태양활동 변화, 태양과 지구의 상대위치 변화 및 대기, 해양, 육지, 설빙, 생물권등 각 요소들이 각기 상호작용하여 변화한다. 인위적 요인으로는 석탄, 석유, 가스 등 화석연료의 사용으로 인한 온실가스 배출이 가장 큰 원인이며, 쓰레기 분해로 인한 메탄가스 발생, 무분별한 산림 벌목으로 온실가스 흡수가 줄어드는 산림 벌목 등 인간 활동 생활의 결과로 인한 부분도 차지하고 있다.
미세먼지는 주로 공장이나 자동차 등 연료를 태우는 과정에서 배출되거나, 여러 오염물질이 공기중에서 나타나 대기오염물질(아황산가스/질소산화물/납/오존/일산화탄소 등)등을 유출하여 건강뿐 아니라, 기상요인 악화, 경제적 피해를 발생시키게 된다.
본 연구에서는 이러한 온실가스 배출을 통한 기후위기에서 탄소중립의 배경과 세계탄소중립 국가의 현황 및 대응을 통해 산림 분야의 탄소중립 방안을 제시하고, 더불어 우리국민의 건강을 위협하는 미세먼지의 영향을 살펴봄으로써 산림의 역할과 나아갈 방향을 고찰해 보고자 하였다.",김정인(Jeongin Kim),2021,https://www.riss.kr/link?id=A107426224
엘니뇨 발생연도의 우리나라의 이상기상 특징과 쌀 수량과의 관계,"본 논문에서는 1980년 이후 중간 강도 이상의 엘니뇨가 발생한 해의 이상기상 특징과 쌀 수량과의 관계를 분석하였다. 엘니뇨가 발생한 해(n=14)의 전국 평균 쌀 생산량은 466.3kg 10a<sup>-1</sup>으로 미발생한 해(n=16)의 전국평균 쌀 생산량 476.5kg 10a<sup>-1</sup> 보다 단위면적당 10.2kg적었지만, 통계적으로는 유의하지 않았다(t=1.215, p=0.234). 또한, 엘니뇨 종료해의 전국 평균 쌀 생산량이엘니뇨 시작해와 엘니뇨 미발생해의 쌀 생산량보다 낮은 경향을 보였지만, 통계적으로 유의하지 않은 것으로 분석되었다(df=2, f=2.355, p=0.114). 엘니뇨 발생해의 이상기상 발생횟수는 0.57회/년으로 엘니뇨 미발생해의 이상기상 발생횟수(0.63회/년) 보다 다소 적은 것으로 분석되었다. 그러나 엘니뇨 발생해를 시작해와 종료해로 구분하여 이상기상 발생횟수를 조사하면, 엘니뇨종료해의 이상기상 발생횟수가 0.71회/년으로 엘니뇨시작해의 이상기상 발생횟수(0.43회/년)와, 엘니뇨 미발생해의 이상기상 발생횟수(0.63회/년) 보다 많은 것으로 조사되었다. 하지만, 이들은 통계적으로 유의한 차이를 나타내지는 않았다(df=2, f=0.321, p=0.727).",심교문 ( Kyo-moon Shim ),2016,https://www.riss.kr/link?id=A102140797
지역 불평등을 고려한 기후 정의 평가: 폭염을 중심으로,,"김근한(Kim, Geunhan)",2020,https://www.riss.kr/link?id=A107212670
서울 도심 대기 중 미세플라스틱 첫 발견,"코로나-19의 세계적 대유행으로 플라스틱의 소비(예, 일회용 마스크, 위생티슈 및 장갑, 일회용 포장용기 등)가 급격히 증가하였다. 사용량의 증가와 더불어 사용 후 폐기되는 플라스틱양도 증가하는데, 일부 제대로 처리되지 않은 플라스틱은 해양으로 유입되어, 해양의 주요 플라스틱 오염원이 되었다. 해양의 미세플라스틱 오염과 관련한 선행연구는 많이 진행된 반면, 대기 중 미세플라스틱의 연구는 최근 유럽, 미국과 중국에서 몇 차례 진행된 것이 전부로, 대기 중 미세플라스틱의 오염원, 유입경로, 및 오염 정도 파악을 위한 연구는 매우 부족한 상태이며, 국내 연구는 전무한 상태이다. 본 연구는 국내 최초로 서울 도심의 5개 지점 (홍릉숲, 청량리, 서울로, 대치, 신사)에서 2021년 7월 19-27일 기간 동안 포집한 공기 샘플링 분석을 통하여 대기 중 미세플라스틱 (직경 20㎛이상)의 크기 및 성분을 분석하였다. 분석결과, 대기 중 미세플라스틱은 120시간 누적 총 103개로 10가지 플라스틱 성분으로 분류되었으며, 포장용 필름, 일용잡화, 완구 등 다양한 분야에서 사용되고 있는 폴리프로필렌(PP)이 총 54%로 가장 많이 검출되었다. 복합적 오염원이 존재하는 서울로에서 가장 높은 농도(1.21m<SUP>-3</SUP>day<SUP>-1</SUP>)가 검출되었으며, 이는 중국 상하이 지역에서 측정된 1.42m<SUP>-3</SUP>day<SUP>-1</SUP>보다 약 15% 낮은 수치에 해당한다. 인간의 호흡높이 (1.5m)에서 측정된 홍릉 수목원과 교통의 섬으로 불리는 청량리 지점의 측정 결과, 0.79m<SUP>-3</SUP>day<SUP>-1</SUP>와 1.09m<SUP>-3</SUP>day<SUP>-1</SUP>로, 숲에서 약 27% 낮은 수치를 보였으며, 이는 도심 숲의 미세플라스틱의 유입 차단 효과로 보여진다. 신사와 대치의 경우는 대기포집 위치가 지표에서 10m이상으로, 지표에서 측정된 미세플라스틱에 비하여 적은 수농도 (0.38m<SUP>-3</SUP>day<SUP>-1</SUP>와 0.50m<SUP>-3</SUP>day<SUP>-1</SUP>)와 작은 크기의 입자(평균 52.5-54.2㎛)가 검출되었다. 대치 지점의 주말과 평일의 미세플라스틱 측정값은 0.33m<SUP>-3</SUP>day<SUP>-1</SUP> 과 0.50m<SUP>-3</SUP>day<SUP>-1</SUP>으로 약 25% 감소되었으며 이는 도심 휴일 효과로 추정된다. 본 연구는 국내의 대기 중 미세플라스틱의 존재를 보여주는 최초 연구로, 추가적 관측 및 연구가 필요하다.",장동영,2021,https://www.riss.kr/link?id=A107945907
기후변화ㆍ해수면 상승에 따른 농업부문 통합평가 사례연구 비교분석 및 개선방안,,"안소은(Ahn, SoEun)",2016,https://www.riss.kr/link?id=A102073683
