
크리스퍼 유전자가위에 의한 인간 배아 유전자 편집,"크리스퍼 유전자가위는 크리스퍼(규칙적인 간격을 갖는 짧은 회문구조 반복단위) 서열을 이용해서 DNA를 정확하게 절단하는 분해효소를 말한다. 이 크리스퍼 유전자가위는 이제까지 사용되어 온 유전자 변형 방법에 대해 비교적 사용하기 쉽고, 정밀 편집이 가능하기 때문에, 기존의 윤리적 물음들을 좀더 현실적으로 제기하고 있기 때문에 수십년부터 제기되어 온 인간 생식세포 유전자 변형에 대한 윤리적 물음들이 좀더 절박해졌다. 이 논문에서는 이제까지 이루어진 여덟 차례의 유전자 편집 사례들을 각각 비판적으로 분석하였다. 아울러 이러한 유전자 편집에 따르는 기술적인 문제점들을 살펴보고, 아직 기술적으로 완벽하지 않은 생식세포 편집을 섣불리 임상에 도입하려는 시도에 대해 경고한다. 또한, 유전질환 예방에 대한 반론, 맞춤형 보조생식기술에 대한 반론, 대리 동의의 문제, 논쟁적인 배아 사용의 문제를 통해 크리스퍼 유전자가위가 인간 생식세포 유전자 편집이 인류를 치료를 벗어난 증강의 미끄러운 비탈길에 올려 놓을 것이라는 점을 주장한다. 질병의 정의가 모호하다는 점을 부각하면서 다른 방향으로 오용될 가능성을 경고한다. 마지막으로 크리스퍼 유전자가위가 갖는 인류 진화 경로를 변경하는 잠재력을 지적하면서 우리가 우리 자신의 진화의 주인이 되어도 좋은가를 질문하고 있다.","전방욱(Jun, Bang-ook)",2018,https://www.riss.kr/link?id=A108582421
DNA 복제 및 회복 이상과 유전병,"DNA회복 기작은 자외선을 조사한 E. coli B Strain과 자외선 및 X-선을 조사한 HeLa S₃에서 처음으로 보고되었다. 이어 Cleaver(1968)는 색소 건피증(Xeroderma pigmentosum)이 자외선에 의한 DNA 상해를 절제회복 시키지 못함으로 기인되는 유전병이며, 이는 다시 피부암의 직접적인 원인이 됨을 입증하여 암유발 기작에 대한 분자론적 해석을 가능하게 하였다. 또한Lehmann 등(1975)은 후복제회복의 결함이 돌연변이 및 암유발 원인이 된다고 보고하고, 그 예로 변형색소건피증을 제시하였다. 그 외 Dyskeratosis, congenita, Fanconi's anemia, Ataxia telangiectasia, Werner's, Bloom's, Progenia, Chediak-Higashi's Down's syndrome 등은 암을 쉽게 유발할 수 있는 유전적 소인을 가지는 예로 알려지고 있다. 이중 Fanconi's anemia는 절제회복의 Excision step 결함으로, Progenia는 DNA 단사절단의 회복에 관여하는 효소작용의 결함과 유관하다고 알려지고 있다. 뿐만 아니라 DNA회복 기작은 세포분화, 노화현상, 수명 및 진화과정 등 광범위한 생명현상까지도 상호 긴밀한 연관성이 있음을 잘 밝혀주고 있다.
특히, 색소건피증은 태양광선에 민감한 피부의 소유자로써 피부암 유발빈도가 높은 상염색체성 열성유전의 희귀한 사람의 유전병이다. 이 환자의 임상적 증후는 이상색소 침착, Erythema 및 악성피부암 유발 등 피부증후만 보이는 경우와, 여기에 신경계 이상증후까지 포함하는 de Sanctis Cacchione Syndrome으로 구분된다. 이 환자는 정상적인 핵형을 갖고 있으나, 단지 자외선에 의해 유발된 Pyrimidine dimer를 절제회복시키는 효소 중 초기단계인 Incision step에 관여하는 UV-specific endonuclease의 활성이 결여된 결과로 기인된 돌연변이체이다. 이들 색소건피증 세포는 자외선 뿐만아니라 자외선형 화학적 발암원인 4NQO, N-acetoxy AAF에 의한 염기상해도 회복시키지 못하나, X-선이나 X-선형 화학물질인 MMS, MNNG 등에 의한 DNA 상해는 회복시킨다. 따라서 절제회복 경로 중 Nucleotide 절제회복의 결함으로 기인됨이 확실하다.
현재 이 색소건피증은 세포융합 방법에 의해 7개의 서로 다른 유전적 상보군이 존재함이 밝혀졌다(Keijzer et al, 1979). 그러나 상보성을 결정하는 유전자의 위치나 그 유전자 산물의 정체, 그리고 그 유전자의 발현의 조절기작에 대해서는 아직 잘 알려지지 않고 있다. 아마도 이 7개 상보군의 절제회복에 관여하는 7개의 서로 다른 유전자의 돌연변이를 나타내거나(Intergenic complementation), 혹은 한 유전자만이 관여된 유전자내 상보(Intragenic complementation)일 가능성도 배제할 수 없는 것이다. 이와 같이 색소건피증이 비록 암유발 기작을 추구하는데 가장 좋은 Model System을 제공해주고 있긴하나, 그 유전적 특징을 규명하는데 아직도 많은 과세가 남아 있는 것이다.
우리나라에서는 1960년에 이 색소건피증에 대한 보고가 있은 후 지금까지 10여 임상적인 증례보고가 있었다. 그러나 세포 및 분자수준에서 그 유전적 특성이나 암유발의 분자론적 기작 규명을 시도한 바가 아직 없었다.",박상대,1984,https://www.riss.kr/link?id=A3087254
도파민과 GABA성 신경전달물질에 대한 연구 : 중독유발물질에 의한 이상분비,"2000년도 노벨 의학상은 스웨덴의 아비스 칼슨 박사 등 3명 이 수상했다. 그들은 신경전달 물질(neurotransmitter) 중 도파민 (dopamine)과 시냅스(synapse)에 관한 연구로 항 우울제 치료제인 프로작 (prozac)을 개발하여 신경, 정신질환 치료제 개발에 기여한 공로였다. 도파민과 GABA는 신경전달 물질 중의 하나로 도파민은 운동, 정서, 행동, 희노애락 등을 조절하는 것으로 이상 분비될 때 파킨스씨병, 정신분열증, 우울증 등을 유발시킨다. GABA는 억제성 신경전달물질로 이상 분비시 간질 등을 유발시킨다. 도파민과 GABA의 분비는 시냅스 후(postsynapse) 수용체에서 그 기능이 조절된다. 그러나 마약성인 코카인, 헤로인, 몰핀, 암페타민 등 중 독성약물뿐만 아니라 일상 생활에서 흔히 접할 수 있는 흡연, 술 등에 의해서도 그 분비 이상을 초래한다. 따라서 본 논단에서는 최근 뇌신경생물 실험실에서 진행되고 있는 신경전달 물질 중에 도파민 및 GABA 분비에 대 한 연구결과를 바탕으로 소개 하고자 한다.",김명옥,2001,https://www.riss.kr/link?id=A100744863
다양한 약물과 영양제가 장내세균에 미치는 영향,"최근 우리나라는 서구화된 식생활과 생활양식의 변화로 다양한 대사성 질환과 만성 질환이 나타나고 있다. 이러한 질환들은 지속적으로 약물을 복용해야 한다. 또한 많은 사람들이 건강한 삶을 유지하기 위해 건강기능식품과 각종 비타민, 영양제를 복용한다. 하지만 복용하는 약물들이 장내 세균에는 어떠한 영향을 주는 지에 대한 연구는 많이 이뤄지지 않고 있다. 이에 본 연구에서는 흔하게 사용되며 장기간 복용하는 약이 항균활성시험으로 위장 관련 박테리아에 영향을 미치는 지를 조사하였다. 그 결과 비타민 및 미네랄, 중추신경계에 작용하는 약들이 장내 세균과 유산균에 대해 항균력을 나타냈으며, 그 중 중추신경계에 작용하는 약 중 항현훈제의 dexibuprofen는 장내 유익균 인 Lactobacillus casei과 Lactobacillus rhamnosus와 장내 유해균 인 Staphylococcus aureus에 대해 항균력이 높게 작용하였다. 또한 심혈관계, 조혈기계에 작용하는 약 중 항이뇨제 의 fenofibric acid는 장내 유익균인 Lactobacillus casei에 대해 항균력이 나타났다. 비타민 및 미네랄은 대부분의 장내 균에서 항균력을 보이지만, 특히 Vitamin B-Complex/with C와 vitamin C가 유익균인 Bifidobacterium infantis과 장내 유해균 인 Escherichia coli, Enterobacter aerogenes, Shigella flexneri, Salmonella Typhimurium, Staphylococcus aureus에서 높게 나타났다. 따라서 본 연구결과 장내 유해균과 유익균에 다양하게 복용되는 약들이 대체적으로 항균활성을 보이는 것으로 판단된다.",박재은,2015,https://www.riss.kr/link?id=A101547786
식물 유전체 편집을 위한 CRISPR/Cas9의 적용,"초 록 최근 유전자 편집 기술을 Streptococcus pyogenes에서 유래한 CRISPR/Cas9 system이 주도하고 있다. 바이러스 침입에 대항하는 면역체계인 CRISPR/Cas9 system을 활용하여 목표 유전자에 돌연변이를 유발하거나 목표 유전자를 원하는 염기서열로 편집할 수 있다. CRISPR/Cas9 기술은 목표 유전자의 변화로 인한 생물학적 표현형 변화 연구에 적용되며 기능 유전학 연구에 핵심적인 역할을 할 수 있다. 나아가 인간 질병 modeling, 유전질환 치료, 신약 개발, 식물 바이오 매스 증대, 종자 생산량 증산 등 다양한 영역에서 활용 가능하다. CRISPR/Cas9 system의 CrRNA과 tracrRNA은 결합하여 sgRNA로서 역할을 하고 목표 유전자 특이성 및 Cas9 단백질의 인식에 관여한다. PAM 은 Cas9 단백질의 DNA 결합에 관여하는 필수적인 염기서열이며, 실험 설계 단계에서 sgRNA와 함께 고려되어야 한다. Cas9 단백질은 DNA에 double-strand break를 발생시켜 DNA 보수 기작을 유도한다. 목표 유전자는 DNA 보수 기작을 거치는 동안 돌연변이가 발생하거나 유전자가 편집된다. 식물은 인간의 주식, 치료제, 바이오 연료원 등을 제공하며 삶의 유지와 질적 향상에 밀접한 역할을 한다. 유전체에 임의 돌연변 이를 유발하는 기존의 화학적 물리적 돌연변이 유발 방법과 달리 CRISPR/Cas9 system은 식물 유전체 특정 위치에 돌연변이를 유발시킬 수있다. CRISPR/Cas9 system은 실제적으로 이미 개발된 Agrobacterium-mediated transformation과 particle bombardment 기술 등 식물 형질전환 기법을 통해 식물체에 적용 가능하다. 유전체 크기가 크고 반복 서열의 비중이 높은 일부 작물에서는 목표 유전자 특이성 확보가 어렵고 원하지 않는 유전자가 돌연변이 되는 off-target 발생 가능성이 높으나, 애기장대, 담배, 벼 등 모델 식물과 일부 작물에서 실제 적용 사례가 보고 되어 있다. CRISPR/Cas9 system은 실험이 단순하고 효율적이며 한 번에 여러 유전자에 적용 가능하고 비용이 저렴한 큰 장점을 가지고 있으며 식물을 포함한 동물, 심지어 인간에게도 적용 가능하다. CRISPR/Cas9 system을 활용한 유전체 편집 기술은 인간의 삶의 질 향상에 핵심적인 역할을 담당할 것으로 예측된다.",이만보(Man Bo Lee),2017,https://www.riss.kr/link?id=A105379771
후쿠시마 원전 사고가 국내 수산물 가격에 미치는 영향,"본 연구는 후쿠시마 원전 오염수 누출이 국내 수산물 가격에 미치는 영향을 사건 연구를 통해서 분석하였다. 후쿠시마 원전 오염수 누출이 명태와 고등어 등 국내 수산물 가격에 미치는 영향을 분석하기 위해 오염수 누출 이전까지의 기간을 추정 기간으로, 오염수 누출 발생 시점부터 그 이후까지의 기간을 평가 기간으로 하는 사건 연구(event study)를 활용하였다. 국내 수산물 가격과 수입 수산물 가격 사이에 존재하는 장기균형 관계를 기초로 오염수 누출 발생 이후의 국내 수산물 가격이 수입 가격과의 균형 관계에서 이탈하는 현상을 분석하였다. 그 결과 오염수 누출이 발생한 이후 사건 기간에서 국내 수산물 가격은 이전까지의 균형 관계에서 이탈함으로써 가격 불균형이 나타나고 이러한 가격 불균형이 지속성을 갖고 유의함을 보였다.",유홍권(Hongkwon Yoo),2022,https://www.riss.kr/link?id=A108406187
미생물을 이용한 폐수처리,"일반적으로 산업폐수및 생활하수의 생물학적 처리에 관계하는 미생물의 종류는 약1,000-2,000종에 이르는 것으로 추정된다. 이와 같은 미생물의 범위는 매우 넓어서 세균, 균류는 물론이고, 조류, 원생동물, 후생동물까지 포함한다. 19세기 이전에 미생물을 이용한 폐하수 처리는 생활하수와 같이 쉽게 분해하는 물질로만 구성되어 있기 때문에 간단한 처리 공정으로도 충분히 운영되었으나, 산업혁명 이후 새로운 화학물질이 합성되어 폐하수로 배출되므로 처리효율을 달성하는데 더욱 어렵게 되므로 미생물을 전공한 전문인력의 역할이 가일층 높아지게 되었다. 특히 1970년대 이후에는 생물공학 기법을 이용하여 독성 유해물질을 무해화(Detoxification) 하고, 광물화(Mineralization)할 수 있는 미생물 균류를 연구 개발하여 폐수나 폐기물을 처리하는데 활용코자하는 노력이 활발히 진행되고 있으며 일부는 큰 결실을 맺은 것도 있지만 아직도 연구가 진행 중인 분야가 더 많은 편이다. 그러므로 본 고에서는 지금까지 연구 보고된 결과와 앞으로 미생물을 전공한 우리들이 나아갈 방향을 제시코자 한다.",안준상,1990,https://www.riss.kr/link?id=A101545793
백신의 개량과 생명공학,"선진국에서 보건위생의 개선과 전염병 매개곤충의 박멸은 많은 전염병의 발생을 감소시키는 가장 효율적인 방법이지만 제3세계에서는 백신(vaccine)을 이용한 예방접종(vaccination)이 가장 효과적인 방법이다. 예방접종의 목적은 사람과 동물에 특정 미생물의 항원을 주사하여 1차 면역반응 즉 양자(적응)면역을 일으키고 다음에 따르는 첫 감염에 신속하고도 강력한 2차 면역반응을 유도하여 발병을 막는 특이미면역학적 기전이므로 사용된 면역원이 중요하다. 백신의 종류는 병원체를 이용한 생약독 백신, 불활화백신 그리고 항이디오타이프 항체백신으로 분류되지만 실제 백신의 항원은 생약독 미생물, 불활화 사균체, 아세포단위정제항원 및 화학적 합성항원이 이용된다.
현재 효과적인 백신이 개발되고 철저한 예방접종의 실시로 천연두는 지상에서 완전히 근절되었으며, 홍역, 소아마비, 멈프스, 풍진, 디푸테리아, 백일해, 파상풍, 결핵 등의 유병율은 점차 감소되고 있다. 그러나 아직도 만성 세균성 질환(예, 임균, 나병 매독, 트라코마 등), 수종의 바이러스성 질환(예, HIV, CMV, herpes simplex viruses, EBV, rhino-viruses 등) 및 기생충성 질환(예, 말라리아, 트리판노소마증, 시스토소마증 등)에 대한 백신은 병원체의 배양기술 결여, 특이항원 성분의 미상, 충분한 항원의 양적 생산기술의 부족, 항원혈청형의 다양성의 변이등의 문제점으로 개발되지 않고 있다.
최근에 개발된 세포유전공학적 기술을 응용하여 특이 항원결정기를 암호하는 유전자 DNA cloning에 의하여 DNA 조합백신을 생산할 수 있게 되었다. 이종항원을 암호하는 DNA는 큰 바이러스 벡터(예, vaccinia, adenovirus, baculo-virus 등) 또는 세균벡터(예, BCG, 약독 Salmonella typhi Ty21a등)에 삽입하여 항원을 표현하고 숙주세포(예, 효모, 곤충세포 등)내에서 유리할 수 있게 되었다. 제3세계에 사용될 미래의 백신은 유전자 DNA cloning과 세포유전공학기법을 응용하여 한가지 세균 또는 바이러스 벡터에 필요한 모든 백신의 항원을 암호하는 DNA를 삽입한 1회주사용 백신(one-shot vaccine) 또는 초항원백신(supervaccine)의 생산으로 개량될 것이다.",최철순,1994,https://www.riss.kr/link?id=A2004525
사회적 위험 관점을 통한 자살 현상,"2010년 기준 인구 10만 명당 자살률은 31.2명으로 경제개발 협력기구 국가 가운데 1위를 기록하였다. 정부가 매년 출산율을 높이기 위해서 각종 정책을 마련하는 것과는 상충되는 현상으로 인구 10만 명당 자살로 인한 사망자는 2002년 17.9명, 2003년 22.6명, 2004년 23.7명, 2005년 24.7명, 2006년 21.8명, 2007년 24.8명, 2008년 26.0명, 2009년 31.0명, 2010년 31.2명으로 2002년 이후 지속적으로 증가하고 있다. 바로 이점에 주목해 “2002년에서 2010년 사이 자살률이 증가하는 이유는 무엇일까?”에 대한 질문을 던질 수 있다. 본 논문에서는 2002년 1월부터 2010년 12월까지의 성별에 따른 연령별 실업률과 전체 자살자 사이의 상호연관성 분석을 통해 ‘구사회적 위험' 과 ‘신사회적 위험'의 중첩과 혼재에 따른 실업의 발생이 남성 청년층, 남성 노년층, 여성 중장년층을 자살자로 만들어 내고 있음을 파악하였다.",이아람,2012,https://www.riss.kr/link?id=A99539738
유아에서 영양섭취와 알레르기성 비염과의 관련성 - 2013년∼2016년 국민건강영양조사 자료이용 -,"2013년∼2016년 국민건강영양조사에 참여한 대상자 중1∼5세의 유아들을 대상으로 영양섭취 수준과 알레르기성비염 유무에 대한 연관성을 조사하기 위하여 인구사회학적요인 및 가족력 요인, 영양섭취 수준 비교, 영양 보충제 섭취, 모유급여 유무 및 유아식 기간, 그리고 신장과 체중에 대한 결과를 정상아군과 알레르기성 비염아군으로 나누어 분석하였고, 영양섭취 수준에 따른 교차비를 구하였다.
1) 평균 연령은 비염아군의 연령이 정상아군에 비해 유의적으로 높게 나타났으며, 거주 지역은 비염아군에서 동에 사는 비율이 읍면에 사는 비율보다 높게 조사되었다. 반면 정상아군의 경우 읍면에 거주하는 비율이 높게 나타났다.
2) 가족력 요인에 대한 분석에서 비염아군의 경우 한쪽 부모 또는 양쪽 부모의 알레르기성 비염을 가진 비율이 유의적으로 높은 것으로 나타났다(p<0.001).
3) 에너지 섭취에서는 정상아군에 비해 비염아군의 섭취가 428 kcal 높은 것으로 나타났으며, 섭취비율은 비염아군에서 유의적으로 높은 것으로 조사되었다. 그러나 탄수화물, 단백질, 지질 등 에너지 영양소의 섭취비율은 두 그룹 모두한국인 영양섭취기준의 권장 범주에 속하는 것으로 나타났다. 무기질의 영양섭취 수준 비교에서는 인, 나트륨, 칼륨, 철에서 높은 수준의 유의적 차이를 보였으며, 수용성 비타민 중리보플라빈과 나이아신에서 유의적으로 비염아군이 높은 섭취 수준을 나타내었다. 지방산 영양섭취 상태에서는 다가불포화지방산의 섭취 수준이 비염아군에서 높게 나타났으며, n-3와 n-6 모두 동일한 결과를 보였다. 영양보충제 섭취비율에서는 알레르기성 비염아군이 정상아군에 비해 영양제섭취비율이 높게 나타났으며, 섭취하지 않는 비율은 정상아군이 알레르기성 비염아군에 비해 낮은 수치를 보였다.
4) 모유수유 여부는 알레르기성 비염아군이 정상아군에비해 유의적으로 높은 비율을 나타내었으며, 이유식 이행 시기는 정상아군보다 알레르기성 비염아군이 0.3개월 이른 이유식 시작을 보였다.
5) 신장과 체중에서도 비염아군에서 정상아보다 높은 수준을 나타내었다. 그러나 체질량지수를 분석한 결과에서는두 군 간의 유의적 차이는 없는 것으로 나타났다.
6) 영양소 섭취수준이 알레르기성 비율 발생에 미치는 위험도 분석에서는 에너지, 단백질, 칼슘, 인, 철, 리보플라빈, 나이아신의 과잉 섭취 수준이 알레르기성 비염 발생 가능성을 통계적으로 유의미하게 높이는 것으로 확인되었다.
이상의 결과들을 통해, 유아의 알레르기성 비염은 주거환경과 부모의 가족력에 의해 영향을 받을 뿐만 아니라 영양소섭취, 모유수유 및 이유식 이행 시기에 의해서도 영향을 받는 것으로 나타났다. 따라서 부모와 교육기관 등을 연계한 적절한 영양상태관리가 알레르기성 비염을 예방, 관리하는데중요할 것으로 판단된다. 그리고 알레르기성 비염아를 위한적절한 영양관리 지침서를 개발하는데 본 연구결과가 유용한 기초자료로 활용될 것으로 기대된다. 그러나 본 연구는 1∼5세의 유아를 구분하지 않고, 같은 대상으로 영양섭취 수준을 조사하여 영양섭취 수준에 대한 명확한 기준 설정이 불분명한 제한점이 있다. 따라서 향후 연구에서 알레르기성 비염 유아들의 식습관과 관련된 생활환경과 영양섭취수준에 대한 연령별 연구가 이루어진다면 알레르기성 비염을 예방하는데 큰 도움이 될 것으로 생각된다.",허은실,2019,https://www.riss.kr/link?id=A106345628
'동물권'의 전개와 한국인의 동물 인식,"한국인의 보신탕 식용이 전세계적으로 문제가 되어 왔다. 인간에 충성스러운 개를 식용으로 잡아 먹는다는 것 뿐만아니라 나아가 개를 살해하는 방법이 잔혹하고 잔인하다는 점 때문에 많은 외국 동물보호단체가 한국의 상품불매, 한국관광거부 등의 행동으로 나아가고 있다.
많은 한국인들은 보신탕 식용은 한국의 전통적인 음식문화에 속할 뿐만아니라 희귀동물을 식용으로 하는 다른나라의 사람들이 간섭할 일이 아니라고 주장한다. 즉 어떤 동물을 식용하는 하느냐 하는 것은 그 나라의 전통과 습속에 달려있다는 것이다.
그러나 이러한 주장은 서양에서 발전되어 온 동물권이론을 살펴보면 충분히 서양인들을 설득시키기에는 부족할 것 같다. 동물의 보호와 동물에 대한 권리인정에 많은 단체와 시민들이 동참하고 있다. 비록 동물권의 완전한 보장에 이르고 있지는 못하지만 현재 추세대로라면 동물이 독자적인 권리의 주체로 인정될 날이 오게 될지도 모르는 상황이다. 동물에 대한 학대가 법률상 금지되고 동물에 대한 보호의 인식이 보편화되어 있다.
한국의 전통에서 나타나는 동물의 보호에 대한 인식은 결코 서양사람 못지 않다. 불교에서는 인간과 다른 동물사이에 본질적인 차이를 인정하지 않고 있다. 개에게도 아른바 불성이 있다고 가르쳐 왔다. 그러나 적어도 현재의 한국인의 동물인식은 많은 문제가 있다. 한국인은 경제성장 제일주의에 매몰되어 그 심성이 몹시 난폭해져 있다고 본다. 단순히 개를 식용으로 한다는 것 외에도 보신을 위해서 부리는 추태와 희귀동물의 보신을 위한 남획현상은 자못 심각한 상태이다.
이것은 결코 인간성의 파괴와 무관하지 않다. 인심이 거칠어지고 잔혹한 범죄가 늘어나는 것은 동물을 학대하는 것과 크게 다를 바가 없기 때문이다. 한국에도 동물보호 단체들이 없는 것은 아니다. 그러나 이러한 단체의 부족과 미약한 활동은 앞으로 개선되어야 할 부분이라고 생각한다.",박원순,1997,https://www.riss.kr/link?id=A19629473
