
폐플라스틱의 재활용에 관한 연구,"Photolysis behaviors of pesticides over UV irradiation, UV irradiation with pH 3.0 and UV irradiation with 3.5% salt were studied. The reactions were conducted in annular reactor equipped with a low pressure mercury multilamp (8W x 6) and initial concentration was 10ppm.",유의연,1998,https://www.riss.kr/link?id=A3145621
범죄현장 조사용 루미놀 시약의 제조법에 관한 연구,"Finding the blood left at a crime scene is very important to reconstruct or solve a criminal case.
Although numerous reagents have been developed for use at crime scenes, luminol is the most representative.
Bluestar Forensic has been used in recent years, but is expensive and cannot be stored after preparation. This study aims to develop a new luminol reagent that can be stored for a long period of time while maintaining the chemiluminescence intensity at the level of Bluestar Forensic. Because luminol dissolves well in aqueous alkaline solutions, the use of sodium hydroxide in the preparation of luminol reagents can promote the decomposition of hydrogen peroxide. Magnesium sulfate, sodium silicate, and potassium triphosphate have been used as hydrogen peroxide stabilizers. The effects of the addition of these substances on the chemiluminescence emission intensity and the storage period of the luminol reagents were confirmed. The addition of a hydrogen peroxide stabilizer was shown to have no significant affect on the chemiluminescence emissions intensity or stabilized pH of the luminol reagent during storage. It also greatly increases the shelf life of the reagents. The use of magnesium sulfate as a hydrogen peroxide stabilizer is the most appropriate. When sodium perborate is used instead of hydrogen peroxide as an oxidizing agent, there is no significant change in the sensitivity and chemiluminescence emissions intensity, but the storage period is shortened. However, after the reaction with blood, the pH of the mixed solution does not increase significantly, and is judged to be more suitable than a reagent made of hydrogen peroxide.",임승,2018,https://www.riss.kr/link?id=A105122468
미세플라스틱 제거를 위한 고도산화기술 최신 연구 동향,"Microplastics comprise plastic particles that are less than 5 mm in size. Owing to a significant increase in plastic production, micro plastics have become ubiquitous pollutants worldwide. Several studies have reported that microplastics are harmful to living organisms because they can adsorb contaminants from the environment due to their unique physicochemical properties. The adsorbed contaminants on microplastics can be released and accumulated in living organisms, thereby adversely affecting the health of humans and animals. Since existing water treatment technologies as stand-alone processes cannot achieve complete removal of microplastics, reliable methods must be developed. Advanced oxidation processes (AOPs) are a promising approach for the chemical treatment of contaminants such as microplastics. These processes utilize highly reactive oxygen species (e.g., hydroxyl radicals, sulfate radicals, superoxide anions, and singlet oxygen) to decompose microplastics completely. However, at this stage, AOPs can partially degrade and/or alter surface chemistry of microplastics. Therefore, extensive effort must be made to further study AOPs for complete decomposition of microplastics.",김정연,2023,https://www.riss.kr/link?id=A108545138
화학적 필링을 이용한 여드름치료의 효과 및 만족도에 관한 고찰,"Based on the preceding papers using peelings for acne treatment, this study analyzes the preference and satisfaction of acne treatment according to the type of peeling, the prior study on acne treatment effects using chemical peeling, and the current status of awareness and management of acne treatment methods, and it is necessary to develop a proper treatment program according to acne skin condition using chemical peeling, through the recognition and management of acne treatment methods. Through development and technology improvement, we hope that appropriate peeling methods depending on acne skin condition can be selected and utilized as the basis for accurate treatment methods and education systems.",이지선,2019,https://www.riss.kr/link?id=A106534358
회귀분석을 이용한 다중이용시설 실내오염물질 특성 연구,"The aim of this study is to understand the characteristics of indoor air pollutants and provide information about the present Indoor Air Quality(IAQ) in 104 public facilities from January 2011 to December 2012. The measured air pollutants are PM10, HCHO(formaldehyde), CO, CO2, and total airborne bacteria(TAB). And the effects of environmental factors such as temperature, humidity and construction characteristics were analyzed in relation to the measured concentrations. The results of this study showed that the mean concentration of PM10, CO2, HCHO, CO, and TAB were 55.3 /, 558.6 ppm, 31.0 /, 1.2 ppm, and 561.3 CFU/, respectively. The correlation analysis showed that CO2 and HCHO (r=0.497, p<0.01), CO2 and TAB (r=0.468, p<0.01), and PM10 and CO (r=0.342, p<0.01) were significant. The result of regression analysis was found that the influence factors associated with the concentration of PM10, HCHO, and TAB were the year of building construction, the temperature and the humidity.",이세행 ( Se Haeng Lee ),2013,https://www.riss.kr/link?id=A99703103
여대생의 일상 화장품 사용 시 안전 관심도와 화장품 성분 유해성 인식의 관련성 연구,"This study was conducted to investigate the perception of the harmfulness of cosmetics components according to safety interest in the use of daily cosmetics by female college students. For 30 days from September 1, 2019 to September 30, 2019, 791 female college students in Seoul and Gyeonggi area were surveyed. 727 copies were selected as the final analysis subjects and conducted by self-administering. The data were analyzed by using SPSS 21.0 program. The results showed that the safety awareness of ingredients according to the safety interest of cosmetics was higher than the functional awareness(p<0.001). The recognition of cosmetic reliability showed that the level of trust in organic cosmetics was high, and the recognition of cosmetic harmfulness was the highest in oxybenzone, and the safety awareness of the ingredients of the product was high in the order of synthetic coloring agent, synthetic flavoring agent, and oxybenzone. As a result of the study, safety awareness of cosmetics is high, but safety education and publicity are needed to recognize the harmfulness of cosmetics ingredients. It is considered that more systematic and professional education on chemical substances such as the use of allergen-inducing substances by customized cosmetics managers as well as education and promotion on safety of various cosmetics to be more diversely prepared due to the emergence of diverse functional cosmetics and customized cosmetics managers is needed.",이하정,2020,https://www.riss.kr/link?id=A106984839
탄소중립 가스터빈 연소 기술 동향,"This report surveys recent developments of carbon-neutral gas turbine combustion technology. Since the Paris Climate Agreement in 2019, each country committed a nationally determined contribution (NDC) which identifies key targets to reduce the temperature rise. In order to meet the NDC, each government is pushing hard to reduce greenhouse gas emissions, and using carbon-neutral fuel is a straightforward way to reduce to achieve the goals. As carbon-neutral fuels such as hydrogen or ammonia have different thermodynamic and transport properties, it needs paradigm changes in many related sectors. Gas turbine is one of the sectors, and this report reviews ongoing progress and challenges centered around developing carbon-neutral gas turbine combustion technology.",김형우(Hyoungwoo Kim),2022,https://www.riss.kr/link?id=A108243305
식품 중 조단백질 정량을 위한 켈달법과 듀마스법 비교 연구,"In this study, crude protein was analyzed and compared using the Kjeldahl and Dumas method for cereals, meat, sea food, chemical samples and vegetable. The nine kinds of cereal, including white rice, were analyzed. In the result, the correlation coefficient of the Kjeldahl and the Dumas method indicated that there was no significant difference between them, showing 0.994 of it and 0.956 of p-value. Also, for the nine kinds of meat, five kinds of sea food, three kinds of chemical samples, four kinds of vegetable, there was little difference about the correlation coefficient of the Kjeldahl and the Dumas method, showing 0.9725, 0.9879, 0.9985 and 0.9873 of it and 0.947, 0.761, 0.997 and 0.727 of p-value, respectively. For the samples of meat, they were not fully homogenized, so the reproducibility of them was not good in the Dumas method, which is required to be analyzed in small size. However, when vegetables, which contain a lot of nitrates, are analyzed using Kjeldahl, they showed the lower reproducibility compared to the result of using Dumas because they are not completely decomposed in the Kjeldahl method. In the Dumas method, the samples should be homogenized because only 0.1 g sample is used. In short, neither of the Kjeldahl and Dumas methods are an accurate quantitative test because both of them do not directly analyze pure protein but measure the amount of protein based on analysis of nitrogen. Therefore, it is important of selecting the appropriate analysis method considering the characteristics of samples.",황선혜,2020,https://www.riss.kr/link?id=A106909274
열중량 분석법에 의한 단일벽 탄소나노튜브의 순도 평가,"This study evaluated the purity of single-walled carbon nanotubes (SWCNTs) in the arc-synthesized SWCNT samples by using thermogravimetric analysis (TGA). The as-produced SWCNT samples were heat-treated in air for 20 h at 275-475℃ and characterized by scanning and transmission electron microscopes and TGA to establish oxidation temperature ranges of SWCNTs and carbonaceous impurities comprising the samples. Based on these oxidation temperature ranges, derivative thermogravimetric curves were deconvoluted, and differentiated peaks were assigned to SWCNTs and carbonaceous impurities. The compositions and the SWCNT purities of the samples were obtained simply by calculating the areal ratios under the deconvoluted curves. TGA studies on purity evaluation and thermal stabilities of SWCNTs and carbonaceous impurities are likely to provide us with a simple route of thermal oxidation purification to acquire high-purity SWCNT samples.",곽정춘 ( Jeung Choon Goak ),2013,https://www.riss.kr/link?id=A99574184
전고체전지용 황화물 고체전해질 습식 합성기술 동향,"The development of non-flammable all-solid-state batteries (ASSLBs) has become a hot topic due to the known drawbacks of commercial lithium-ion batteries. As the possibility of applying sulfide solid electrolytes (SSEs) for electric vehicle batteries increases, efforts for the low-cost mass-production are actively underway. Until now, most studies have used highenergy mechanical milling, which is easy to control composition and impurities and can reduce the process time. Through this, various SSEs that exceed the Li+ conductivity of liquid electrolytes have been reported, and expectations for the realization of ASSLBs are growing. However, the high-energy mechanical milling method has disadvantages in obtaining the same physical properties when mass-produced, and in controlling the particle size or shape, so that physical properties deteriorate during the full process. On the other hand, wet chemical synthesis technology, which has advantages in mass production and low price, is still in the initial exploration stage. In this technology, SSEs are mainly manufactured through producing a particle-type, solution-type, or mixed-type precursor, but a clear understanding of the reaction mechanism hasn’t been made yet. In this review, wet chemical synthesis technologies for SSEs are summarized regarding the reaction mechanism between the raw materials in the solvent.",하윤철,2022,https://www.riss.kr/link?id=A108249162
