
새로운 의약품의 합성에 관한 연구,"6-Aminopenicillanic acid의 diazo화 반응과 sodium thiocyanate와 반응으로 새로운 β-lactam 화합물인 6-thiocyanopenicillanic acid(1a)를 합성하고 p-nitrobenzyl bromide, chloromelthylpivalate 및 1-chlorodiethylcarbonate들과의 반응에 의해 각각에 해당하는 ester(1b~d)를 합성하였다.",李英行,1992,https://www.riss.kr/link?id=A76523270
화학반응에서의 비선형 현상,"시간상에서 나타나는 화학반응에서의 비선형적 현상을 살펴본다. 주기적으로 진동하는 시스템과 복잡하게 진동하는 시스템에 대해 이론적 배경과 실험 결과, 그리고 활용 가능성에 대해 역사적 배경과 함께 고찰한다.",허도성,1999,https://www.riss.kr/link?id=A3048475
"백신 마이크로니들의 안정성, 안전성 그리고 효능 분석","마이크로니들은 백신을 포함하는 생물학적 제제를 전달하는 유망한 약물전달 시스템 중 하나로 간주됩니다. 백신을 경피 전달을 통해 국부 혹은 전신 면역 효과를 유도하여 백신의 효능을 달성합니다. 마이크로니들은 최소 침습으로 설계되었으며, 생물학적 위험물의 발생을 최소화 하면서 의료 전문가의 도움을 줄이면서 투여가 가능합니다. 따라서 백신을 포함한 자주 투여해야 하는 생물학적 제제의 투여방법으로 지속적으로 발전하고 있습니다.

마이크로니들을 이용한 백신 투여는 피하 주사바늘을 이용한 기존의 근육주사 또는 피하주사와 달리 피부에 직접 백신을 전달하는 방식으로, 피부는 다른 조직 부위에 비해서 많은 면역 세포가 존재하는 조직 부위로 알려져 있습니다. 마이크로니들은 사용한 백신 접종은 피부의 풍부한 면역 체계를 표적으로 하여 항원을 더 잘 활용하고 우수한 면역 반응을 일으키며 종종 기존 전달 경로에서 요구하는 것보다 낮은 백신 용량을 사용하여 달성됩니다. 그러나 많은 장점과 거의 20년에 걸친 연구에도 불구하고 임상 진행중인 마이크로니들 기반의 백신의 수는 현재까지 제한되어 있습니다. 이는 마이크로니들에 대한 안정성, 안정성 그리고 효능에 대한 체계적인 규정이 부족하기 때문입니다.

백신 마이크로니들의 경우 투여 방식은 경피 패치의 형태이지만 효능은 피내 주사의 효능과 같기 때문에 이에 대한 안정성, 안정성 그리고 효능에 대한 평가가 백신 제품과 동일한 형태로 이루어지고 있습니다. 또한 백신 마이크로니들의 경우 cGMP환경에서 제조가 되고 있습니다. 원료부터 공정까지 GMP의 기준으로 평가가 되며 안정성 역시 공정중 안정성가 함께 상온 보관 안정성에 대한 평가가 이루어지고 있습니다. 이는 백신 마이크로니들이 고형 제형의 백신을 전달하기 때문입니다. 안전성 역시 패치의 안전성 보다는 주사제제의 안전성 기준에 맞춰서 진행이 되고 있습니다.

본 발표를 통해 백신 마이크로니들의 안정성, 안정성 그리고 효능 평가 항목과 결과를 공유하고자 합니다.",박정환,2021,https://www.riss.kr/link?id=A107969824
인공지능을 이용한 전기화학 분석,"전기화학 분석은 바이오 진단 분야, 환경 분야, 배터리 분야, 방식 부식 분야 등에서 분석화학의 주요한 연구 주제가 되어왔다. 연구되어지고 있는 주제들은 용매에서의 산화환원 반응, 표면에서의 흡착 과정, 전자 전달의 동력학과 반응 기전, 이온들의 열역학, 전달 및 산화환원 반응물의 정량화 등을 포함하고 있다.
전기화학 분석 연구를 위해서는 전압과 전류 등을 제어하고 측정하기 위한 potentiostat 및 galvanostat 등의 실험장치가 필수적인데, 이들 장치가 크고 고가이며 실험의 준비 및 데이터의 확보과정이 번거로워 2010년대 초반부터 세계적인 open potentiostat 연구가 시작되어 작은 크기에 저가의 potentiostat 장치들을 개발하는 연구들이 활발히 진행되어왔다. 최근에는 수많은 연구기관들에서 다양한 형태의 potentiostat들을 발표하고 있고 그 숫자는 10여개 이상에 달하고 있으며 wireless한 데이터 전송 및 임피던스 측정 기능의 추가 등으로 개발 내용이 진화되어가고 있다.
본 연구에서는 자체 개발한 the-state-of-the-art 수준의 초소형 potentiostat 플랫폼을 활용하여 진단하고자 하는 타겟 물질의 정량화 작업을 고도화하였다. 이를 위하여 potentiostat가 가져야하는 저잡음 처리 및 입출력 전압/전류 측정의 고해상도화와 함께, 용이한 데이터 확보를 위한 센서 연결부위의 단순화, wireless한 측정 결과의 전송, 전송된 측정 데이터의 간편한 처리 도구들을 개발하였다. 이를 통하여 방대한 전기화학 실험측정 데이터의 확보가 용이하게 되었고 머신러닝과 딥러닝 등의 인공지능적인 데이터 처리에 충분한 전기화학 실험 데이터의 확보가 가능하게 되었다.
지금까지 전기화학 측정 데이터의 이용은 예를 들면 chronoamperometry 나 cyclic-voltammetry같은 방법에서 시간 혹은 전압에 따른 전류변화량과 같은 스펙트럼을 얻었음에도 불구하고, 평형 이후의 평균전류량만을 추출하거나, 피크 전류만을 추출하여 이용하는 제한적인 해석방법에 머물러 있었다, 측정 스펙트럼의 제한적 해석은 온도, 분석물질의 저항, 전극 이중층에서의 non-Faradaic 프로세스 등 다른 변수 효과에 대한 분석을 제약하여 전기화학 분석의 정확성과 유용성 확산에 장애물로 작용하여왔다.
이러한 문제에 대한 해결책을 구하는 실증적안 연구로서, 수십가지 포도당 샘플에 대하여 cyclic-voltammetry 방법으로 스펙트럼을 얻고, Principal Component Analysis (PCA), support vector machine (SVB), Gradient Boosting method (GBM) 등의 머신러닝 방법을 이용하여 새로운 전기화학 해석방법을 시도하였다. 더 나아가 딥러닝을 이용한 전체 스펙트럼의 분석연구를 시도하였다. 본 연구진이 세계 최초**라고 이해하고 있는 전체 스펙트럼의 딥러닝 해석은 머신러닝 방법보다 우수하며, 참값과 비교하여 98% 이상의 예측력을 나타내고 있을 뿐 아니라, 기존의 Calibration 절차를 생략할 수 있어, 전기화학 바이오 센싱 뿐만 아니라 전기화학 소재 개발 등 다양한 전기화학 분석에 이용될 수 있을 것으로 기대되어진다. (**patent pending)",김세호,2021,https://www.riss.kr/link?id=A107969825
Pst I 제한효소의 유전자 재조합과 발현,"본 실험에서는 Providencia stuartii 164로부터 Pst I restriction-modification system을 E. coli에 유전공학적으로 도입시켰다. Pst I 제한효소 자연생산균주인 P. stuartii 164로 부터 DNA를 분리하여 Hind III 제한효소로 완전히 절단한 후 유전자 운반체인 pBR 322의 Hind III 절단자리에 끼어 넣었다. 이렇게 재조합된 plasmid로 형질 전환되어 Pst I system이 도입된 E. coli 균주는 용균성 박테리오파아지 ${\phi}80v$에 대한 저항성과 Pst I 제한 효소 생산여부에 근거하여 선별하였다. 이와 같이 선별된 균주, 즉 Pst I system이 cloning된 균주는 그 숙주 DNA와 plasmid DNA가 Pst I 제한효소에 의해 잘라지지 않았으며 Pst I 제한효소를 생산하였다. 이런 결과들은 제한효소 유전자와 수정효소 (Pst I site methylase)유전자가 둘다 cloning되어 E. coli 세포 내에서 발현되었음을 의미한다. Pst I system 이 cloning된 대장균주에 존재하는 재조합된 plasmid(pRL 829)는 원래 사용한 유전자 운반체에 약 3,700 염기쌍 크기의 DNA 조각이 끼어 들어간 것이었으며 이 대장균주는 같은 배양 조건에 서 자연생산 균주인 Proνidencia stuartii 164보다 약 15배 정도의 제한효소를 더 생산하였다.",이귀숙,1982,https://www.riss.kr/link?id=A101515136
복합고체 전해질을 적용한 리튬이차전지의 전기화학적 특성,"최근 리튬이차전지의 안전성을 향상시킨 전고체 전지가 많은 관심의 대상이 되고 있으나 전도성 세라믹 또는 고체 고분자 전해질을 적용한 고체전지는 높은 계면 저항, 부반응 등과 같은 문제점을 지니고 있어 전기화학적 특성이 낮다. 기존 전고체 전지의 이러한 문제점을 해결하기 위하여 복합고체 전해질이 제안되었으며 본 연구에서는 나시콘 구조의 나노 입자 Li1.5Al0.5Ti1.5P3O12 (LATP) 전도성 세라믹, PVdF-HFP, 카보네이티 기반 액체전해질을 복합화 하여 유사고체 전해질을 제작하였다. 이 복합고체 전해질은 5.6V의 높은 전압 안전성을 가지며 리튬이온의 탈리-착리 테스트에서 리튬 금속전극의덴드라이트 성장 억제 효과가 있음을 보여준다. 또한 복합고체 전해질을 적용한 LiNi0.83Co0.11Mn0.06O2 (NCM811)기반 전지에서 4.8V의 높은 충전 종지 전압에도 241.5mAh/g의 높은 방전 용량을 나타내며 안정적인 전기화학 반응이 일어난다. NCM811 기반 전지의 90도 충전-방전 중에도 전지의 단락이나 폭발 없이 139.4mAh/g 방전 용량을 보인다. 따라서 LATP기반 복합고체 전해질은 리튬이차전지의안전성과 전기화학적 특성을 향상 시킬 수 있는 효과적인 방법임을 알 수 있다.",한종수,2021,https://www.riss.kr/link?id=A107923212
급성 및 만성 영양장애가 소화효소 활성 및 세포기능에 미치는 실험적 연구,"저자들은 한국인 주식에 흡사한 각종 식이 조성을 달리한 인공 식이가 취장소화효소 활성에 어떻게 영향을 미치며 이들 식이 조성차이와 소화효소 활성과의 함수관계를 알아 보기 위하여 식이 조성을 달리한 각종 식이를 가지고 실험한바 다음과 같은 실험결과를 얻었다. 식이 I군(저단백, 무지방, 고함수탄소)과 식이 II군(저단백, 정상지방, 고함수탄소)으로, 4주 또는 6주동안 사육후 백쥐의 취장 소화 효소 활성을 측정하여 그 변화를 비교 관찰하였다. 정상식이(정상단백, 정상지방, 정상 함수탄소)로 해당 기간 동안 기른 쥐의 각 효소 활성치를 100%로 표시할 때 식이 I, 식이 II로 2주 동안 기른 쥐 취장 소화 효소 chymotrypsinogen은 정상치의 0~10% trypsinogen은 0~20% amylase는 10~15%, lipase 20~25%로 저하 하였다. 이와 같은 효소 활성치의 저하는 계속 4주 6주에도 유지 하였으며 식이 III군(정상단백, 무지방, 고함수탄소)에서는 정상군과 하등의 변화가 없이 소화효소 활성치를 유지하였다. 즉 소화효소 chymotrypsinogen, trypsinogen, amylase, lipase 이들 모든 효소 활성은 우리가 사용한 지방의 함량에 하등의 영향을 받지 아니 하였으며 식이중 단백질 함양유무(18%)가 효소활성 저하의 중요한 요인의 하나라는 사실을 실험적으로 입증하였다. 이와 같이 식이 조성 차이로서 저하된 각식이군의 효소 활성도는 4주, 6주에 정상식이로 대체 하였을 때 식이 I, II로 4주, 6주동안 사육한 기간에 상관없이 식이 대체 3일만에 chymotrypsinogen, trypsinogen, Iipase는 정상치로 회복하였으며 amylase는 4주에 대체한 것이 5일, 6주에 대체한 것이 7일을 요하였다. 즉 식이에 의한 amylase 효소 활성 회복 반응은 chymotrypsinogen, trypsinogen, lipase와 상이 하였다. 4, 6주후에 정상식이 대신 저단백(5%) 고지방(78%) 저함수탄소(17%)로 조성된 고 지방식이로 대체 하였을때 소화효소는 전혀 회복을 보이지 아니한 사실로 미루어 보아 소화효소 활성 회복에는 단백질함양이 절대필수요소 임을 실험적으로 입증하였으며 지방은 전혀 관계하지 않은 사실도 압증하였다. 정상단백질(18%)이 일정하고 고지방(78%) 저함수탄소(5%) 식이로 3주, 4주 동안 기른 쥐의 취장내 효소활성 chymotrypsinogen, trypsinogen, lipase는 하등의 영향을 받지 아니 하였으며 amylase 치만이 정상치 100% 보다 3주에 61.5%, 4주에 64%로 저하된 효소 활성치를 보였다. Amylase는 지방 함양보다 함수탄소양에 영향 받은 것 같다. 이상과 같은 우리의 실험적 사실은 취장 소화 효소 활성은 식이조성 차이로서 영향 받으나 지방 함양의 다소 유무에 하등의 영향을 받지 아니하고 오로지 단백질 함양 만이 그들효소의 활성 및 회복에 필수요소 임을 실험적으로 입중하였으며 amylase는 단백질 함양에도 영향 받으나 단백질 함양이 정상이고 함수탄소양을 줄인 고지방식이(함수탄소 : 지방 6 : 94)는 amylase 활성에 영향을 미친다는 사실도 구명하였다.",김윤수,1974,https://www.riss.kr/link?id=A101515093
카본블랙과 고분자 바인더로 구성된 보호필름을 통한 리튬금속 음극의 성능개선,"본 연구에서는 리튬금속 수지상의 형성을 효과적으로 억제하기 위해 리튬금속 표면에 물리적 보호막을 제공할 필름을 제조하였다. 필름은 기계적 강도가 우수하고 전기화학적 안정성이 높은 바인더인 유기물 polyvinylidene fluoride (PVDF)와 전기전도성이 우수한 무기물 입자인 카본블랙(Super-P)을 사용해 유무기 복합체 기반의 필름을 제조하고 리튬금속 음극의 표면에 적용하였다.
먼저 필름이 내부단락을 지연시키는 정도를 확인하기 위해 일정한 값의 전류를 계속 인가하며내부단락의 발생을 측정하였다. 그 결과 보호필름에 사용된 카본블랙 함량이 증가함에 따라 내부단락 시점이 지연되었으며, 필름을 사용하지 않은 리튬금속 전극과 비교할 때 내부단락 시점이크게 지연된 것을 확인하였다. 또한, 필름의 두께와 함량을 달리하여 전기화학적 성능을 평가한경우, 필름의 두께가 두꺼운 것이 사이클 성능이 좋지 않았고 카본블랙 함량이 늘어날수록 사이클 성능이 개선됨을 확인하였다. 이처럼 카본블랙을 포함한 고분자 필름을 리튬금속 표면에 적용함으로써 내부단락 시점이 지연되고 사이클이 진행되는 동안 낮은 과전압을 나타내는 것이 확인되었지만, 추가적인 개선을 통해 더 안정한 사이클 성능이 확보되어야 할 것이다.",노성호,2022,https://www.riss.kr/link?id=A108041275
중수소 및 수소 기체 중 수소동위원소 정량분석법,"수소의 안정동위원소는 H와 중수소(D)가 있고, 분자로는 H2, HD, D2가 있다. 중수소는 일반 수소보다 확산속도가 낮아 공정의 안정성을 높일 수 있다. 이러한 이유로 최근 전자 및 반도체 등의 산업에서 수소 대신 중수소를 사용하는 추세이며, 활발한 연구가 진행되고 있다. 한국이 수입하는 중수소 가스(D₂)양이 전 세계 시장의 절반 이상임에도 불구하고 산업적용에 적합한 중수소 생산설비가 구축되어 있지 않아 전량 수입에 의존하고 있다. 현재 국내 여러 기업에서 중수소 생산시설을 구축하여 순도 높은 중 수소를 생산하고자 한다. 중수소 가스(D₂)는 중수(D₂O)를 전기분해하는 방식으로 생산하게 되는데 이 과정에서 생산되는 중수소 가스(D₂) 내부에는 그 동위원소인 H₂(Hydrogen)와 HD(Hydrogen Deuteride)가 불순물로 존재하게 된다. 이는 결국 중수소 가스의 순도에 영향을 미치게 되기 때문에 산업에 활용되기에 적합하지 않다.
본 실험에서는 수소, 중수소, HD(Hydrogen Deuteride) 각각의 고순도 가스 3종을 활용하여 미량의 수소 동위원소들을 정밀기체질량분석기(Precision Gas Mass Spectrometer, MAT271)를 사용하여 분석하였다. 분석에는 H₂, HD, D₂ 가스의 감도값을 사용하여 각각의 가스 내에 존재하는 수소동위원소들을 정량하였다. 수소에는 불순물로의 HD가 300 μmol/mol, 중수소에는 2500 μmol/mol, HD에는 중수소가 약 5000 μmol/mol 수준으로 존재하는 것을 확인했다. 해당 고순도 물질을 이용하여 수소동위원소를 분석용 CRM을 개발할 계획이며, 해당 CRM은 반도체 공정 품질관리에 활용할 수 있을 것으로 기대된다.",장진우,2021,https://www.riss.kr/link?id=A107969653
설탕과 전분이 간장내 지방합성 효소활성에 미치는 영향,"저자들은 백서에 함수탄소를 달리한 식이및 알콜투여가 백서간장내 지방산 합성에 관여하는 효소활성에 어떻게 영향을 미치며 이들 식이 조성차와 효소활성과의 상호 관계를 구명하기 위하여 각종식이를 가지고 실험한바 다음과 같은 실험 결과를 얻었다. 1. 웅성백서를 두군으로 나누어 Decarli 및 Lieber (1967)의 식이조성 방법에 다라 식이내 지방이 19.5%가 포함되게하고, 함수탄소 공급원으로 설탕을 대치하고, 함수탄소에서 오는 일부열량을 알콜로 대치하여 4주간 사육하였다. 설탕식이를 투여한 백서간장내 ATP-citrate lyase 활성은 알콜투여군에 비하여 5배가 높았다. 2. 알콜을 4주간 투여하여 효소활성이 설탕식이군에 비하여 낮은 상태의 백서에 설탕 및 전분식이로 대치하여 2주간 투여한 백서의 간장내 ATP-citrate lyase 활성은 설탕식이를 투여한 백서에서 전분식이 투여군에 비하여 4배가 높았으며 전분식이군의 효소활성은 알콜투여군과 하등의 변화가 없었다. 3. 설탕식이와 전분식이를 정상백서에 각각 1주일간 투여후 간장내 ATP-citrate lyase 활성이 설탕식이 투여군은 전분식이 투여군보다 3.7배 높았고, glucose-6-phosphate dehydrogenase 호라성은 설탕투여군에서 전분식이 투여군에 비하여 5배의 증가가 있었다. 4. 백서를 1주일간 전분식이로 사육후 백서를 네군으로 나누어 1군은 전분식이를 계속 투여하고 2, 3, 4 군은 3일 굶긴다음 2군에는 설탕식이 재투여군, 3군은 전분식이 재투여군, 4군은 설탕식이 재투여 하면서 actinomycin D를 처리군으로 각각 식이를 3일간 재투여 한 다음 효소 활성을 관찰 하였다. ATP-citrate lyase 활성은 설탕식이 재투여군에서, 전분식이를 계속투여군(정상군)에 비하여 12.5배가 증가하고 저눈식이 재투여군은 6.35배가 증가하였다. 또한 설탕식이 재투여군 효소 활성은 전분식이 재투여군에 비하여 2배의 증가가 있었다. Glucose-6-phosphate dehydrogenase 활성은 정상군에 비하여 설탕식이 재투여군에서 6.4배가 증가하였으며, 전분식이 재투여군에서 4.57배의 증가를 보였으나 설탕식이 재투여군의 효소 활성은 전분식이 재투여군에 비하여 1.5배의 증가를 보였다. 설탕식이를 재투여와 동시에 actinomycin D를 처리하면 ATP-citrate lyase 및 glucose-6-phosphate dehydrogenase 활성이 전혀 증가하지 아니 하였다. 이상과 같은 실험 결과로 미루어 보아 알콜에의한 지방간 형성은 간장내 지방산 합성율과 밀접한 관계가 없는듯 하며 설탕식이는 전분식이에 비하여 간장세포질내 지방합성에 밀접하게 관여하는 ATP-citrate lyase 및 glucose-6-phosphate dehydrogenase 활성은 식이내 지방함량에 관계없이 현저하게 증가시키고, 설탕식이에 의한 이들 효소활성증가는 gene level에서 효소합성이 증가하는 것으로 사료된다.",황석귀,1978,https://www.riss.kr/link?id=A101515082
