
MBTI성격유형에 따른 사랑의 구성요소와 사랑유형분석,"본 연구는 MBTI 성격유형에 따른 사랑의 구성요소와 사랑유형을 분석하고자 대학생을 대상으로 하여 MBTI 성격유형과 사랑의 구성요소와 사랑유형을 조사하였다. 연구방법으로는 선행연구 고찰과 MBTI 성격유형 검사와 사랑의 구성요소, 사랑유형 설문지를 사용하여 설문조사하였다. 회수된 자료를 분석하기 위해 SPSS 프로그램을 이용하여 빈도, 백분율, 평균, 표준편차, t-test, 분산분석, Duncan 검증을 사용하였다.
본 연구는 다음과 같다.
첫째, 대학생들의 MBTI 성격유형의 일반적인 경향은 미국인구에 대한 성격유형과 비교했을 때, ISTJ, ISFJ, ISTP, ISFP, ESTP유형은 더 많은 비율을 나타냄을 알아보았다. 둘째, MBTI 성격유형의 선호별 (E-I, S-N, T-F, J-P)에 따른 사랑의 구성요소는 EI지표에서는 친밀감, 열정, 헌신의 구성요소에서 유의미함을 나타냈고, SN지표에서는 친밀감요소에서 유의미한 결과가 나타났다. 셋째, MBTI 16가지 성격유형별에 따른 사랑의 구성요소는 친밀감의 요소의 차이가 사랑의 구성요소에 따라 차이가 유의미하게 나타났다. 넷째, MBTI 성격유형의 선호별 (E-I, S-N, T-F, J-P)에 따른 사랑의 유형은, EI지표에서는 좋은 친구 같은 사랑과 낭만적 사랑에서 유의미함을 나타냈고, JP지표에서는 논리적 사랑과 소유적 사랑에 유의미함이 나타났다. 다섯째, MBTI 성격유형의 16가지 유형별에 따른 사랑의 유형을 알아본 결과, 성격유형에 따라 논리적 사랑과 소유적 사랑이 유의미한 것으로 나타났다.",정민자,2003,https://www.riss.kr/link?id=A40020162
성인기 애착 안정성에 관한 연구,,"조윤주(Cho, Yoon Joo)",2009,https://www.riss.kr/link?id=A100483374
직장 어린이집 보육교사의 업무불안과 역할수행 간의 관계 - 원장 및 동료교사의 사회적 지지의 중재효과,"본 연구에서는 직장어린이집 보육교사의 업무불안과 역할수행, 어린이집에서의 사회적 지지의 관계에 대해 알아보고 업무불안에 따른 역할수행과 사회적 지지의 중재효과를 알아보고자 하였다.
이를 위해 D시에 위치한 직장어린이집에 근무하고 있는 만 3～5세 유아반 담임교사 116명을 대상으로 하였다. 사용된 설문지는 보육교사의 업무불안을 측정하기 위하여 교사용 불안검사지(STAS)를 이혜리(2016)가 번안한 척도를 사용하였다. 보육교사의 사회적 지지를 측정하기 위하여 박지원(1985)이 개발하고 김윤지(2017)가 유치원 교사용으로 수정한 도구를 사용하였다. 또한 보육교사의 역할수행은 이희경과 김성수(2002)가 개발한 도구를 박복매(2011)가 수정ㆍ보완한 척도를 사용하였다.
이 연구의 자료 분석을 위해 SPSS 18.0 프로그램을 사용하여, 기술통계, 독립표본 t검증, ANOVA, Tukey의 사후검증, 상관분석, 위계적 회귀분석을 실시하였다. 주요 연구 결과를 요약하면 다음과 같다.
첫째, 보육교사의 업무불안과 역할수행은 보육교사의 연령과 경력에 따라 유의한 차이가 나타났으며 최종학력에는 차이는 나타나지 않았다. 둘째, 보육교사의 업무불안과 역할수행은 유의한 상관관계가 나타났다. 수업불안을 많이 경험하는 교사일수록 보육 및 기본생활지도나 교육 및 교수활동을 수행하는데 있어 어려움을 겪는다고 할 수 있다. 셋째, 보육교사의 업무불안과 역할수행의 관계에서 원장과 동료교사의 사회적 지지의 중재효과가 나타났다. 원장의 사회적 지지의 중재효과는 불안이 높은 교사가 보육 및 기본생활지도, 교육 및 교수활동을 수행할 때 효과적이었으며, 불안이 낮은 교사의 경우 상담 및 정서적 지원, 연구 및 반성적 실천, 관리적 역할을 수행할 때 효과적인 것으로 나타났다. 동료교사의 사회적 지지의 중재효과는 불안이 높은 교사가 보육 및 기본생활지도, 상담 및 정서적 지원, 관리적 역할을 수행할 때 효과적이었으며, 불안이 낮은 교사가 연구 및 반성적 실천 역할을 수행할 때 효과적인 것으로 나타났다.
결론적으로 보육교사의 업무불안과 역할수행에 어린이집에서의 사회적 지지의 중재효과가 있는 것으로 나타났다. 이를 토대로 보육교사의 역할수행력을 높이기 위해서는 업무불안을 높은 교사들에게는 동료교사의 사회적 지지, 업무불안이 낮은 교사들에게는 원장의 사회적 지지를 통하여 역할을 더 효과적으로 수행할 수 있도록 대상에 맞는 교사 프로그램의 개발 및 실시와 교사 연수 등이 이루어져야 할 것이다. 또한 보육교사에게 사회적 지지를 제공하는 원장과 동료교사도 스트레스나 소진이 올 수 있으므로 이를 해소하고 격려할 수 있는 프로그램 또한 함께 개발되어야 할 것이다.",강주연(Joo Yeon Kang),2023,https://www.riss.kr/link?id=A108654295
"초등학생이 지각한 어머니의 양육태도, 가족건강성, 자아존중감이 학교생활적응에 미치는 영향",,이복희(Bok-Hui Lee),2014,https://www.riss.kr/link?id=A100096529
한국형 가족건강성척도 Ⅱ (KFSS-Ⅱ) 개발 연구,,"유영주(Yoo, Youngju)",2013,https://www.riss.kr/link?id=A99762759
이혼가정 아동의 우울과 불안 판별 연구,,이순형(Yi Soon-Hyung),2005,https://www.riss.kr/link?id=A100454729
테셀레이션 모듈을 활용한 가변적 패션 디자인 연구,"패션업계 및 소비자에 의해 발생하는 폐기물이 환경에 미치는 영향은 심각한 실정이고 다양한 생활양식으로 자신만의 개성을 나타낼 수 있는 아이템에 대한 요구도 늘어나는 추세이다. 본 연구는 환경 문제의 대안 제시와 개인의 개성 및 다양성을 흥미롭게 표현할 수 있도록 가변적 디자인을 중심 개념으로 모듈형 패션 디자인을 제안하고자 한다. 문헌 연구 및 사례 연구를 통한 이론적 연구는 다음과 같다. 첫째는 가변적 패션 디자인의 개념을 디자이너 지정적 가변과 착용자 능동적 가변으로 나누어 표현 방법을 탈부착, 부분 개폐, 기술, 접기 등으로 세분화하여 그 특성을 분석한다. 둘째는 디자이너 지정적 가변 중 모듈을 활용한 탈부착의 표현방법을 선택하여 모듈 패션 디자인의 개념을 살펴본다. 셋째는 테셀레이션 모듈을 가변적 패션 디자인에 적용하여 구체적인 디자인을 도출한다.
디자인 개발은 두 가지 이상의 정다각형이 결합된 준정규 테셀레이션을 모듈로 활용하여 하나의 디자인에 3가지 가변적 디자인이 연출되는 여성복으로 제안한다. 최종 디자인이 나오기 전 샘플 작업 단계에 가상착의 3D 프로그램을 활용하여 모듈의 배치 및 원단 물성을 아바타에 착의하여 확인한 후 실물 디자인으로 전개하였다. 디자인 전개 결과는 다음과 같다. 첫째, 두 가지 이상의 정다각형을 결합한 준정규 테셀레이션 모듈을 적용하여 단일 도형을 활용한 기존의 모듈디자인보다 다양한 디자인이 도출되었다. 둘째, 의복 전체를 모듈화 하여 개인의 독창적이고 창의적인 분리 방법을 적용할 수 있는 능동적 디자인이다. 셋째, 모듈을 연결하는 여밈용 부자재는 장식적 요소이며 동시에 새로운 형태 창출이 가능하여 패션의 조형적 범위를 확장할 수 있다. 넷째, 테셀레이션은 패턴 전문지식이 적거나 연령대가 낮아도 쉽게 이해하며 접근할 수 있는 방법이다. 다섯째, 탈부착 모듈의 부분 세탁으로 세탁 시 발생하는 환경오염을 줄이고 모든 변과 각의 크기가 같은 준정규 테셀레이션 모듈로 원단 폐기물 감소 효과가 있다. 여섯째, 하나의 디자인에 다양한 아이템이 제공되는 가변적 디자인을 통해 의복 사용 기한을 늘릴 수 있다.",김기쁨,2023,https://www.riss.kr/link?id=A108490831
기본생활습관의 중요성에 대한 부모의 인식과 유아의 기본생활습관 형성과의 관계,,"변형선(Byun, Hyung Sun)",2011,https://www.riss.kr/link?id=A100482414
삶의 만족도에 미치는 개인 가치관의 영향력,,정선영(Sun Young Jung),2017,https://www.riss.kr/link?id=A102876182
행복감을 주는 삶의 지침 연구,,이영호(Lee Young-Ho),2005,https://www.riss.kr/link?id=A100454725
애착의 세대간 전이 과정에서 어머니의 배우자에 대한 낭만애착에 의한 양육행동의 조절된 매개효과 검증,,"채진영(Chae, Jin-Young)",2017,https://www.riss.kr/link?id=A103110755
청소년의 학업스트레스가 학업소진 및 학업열의에 미치는 영향,,김혜원(Kim Hye-Won),2016,https://www.riss.kr/link?id=A102126250
직장인의 균형적 시간관이 행복에 미치는 영향: 일-여가 갈등과 일-여가 촉진의 병렬이중매개효과를 중심으로,"본 연구는 직장인의 균형적 시간관이 행복에 영향을 미치는 과정에서 일-여가 갈등과 일-여가 촉진의 병렬이중매개효과를 검증하는데 그 목적이 있다. 이를 위해 서울특별시와 수도권에 거주하고, 현재의 직장에서 6개월 이상 재직하고 있으며, 1년 이상 여가활동을주기적 또는 반복적으로 하는 30∼40대 직장인 398명을 조사대상으로 분석하였다. 수집된 자료는 SPSS 25.0와 SPSS PROCESS macro 3.5 프로그램을 사용하여 분석하였다. 본 연구의 주요 결과는 다음과 같다. 첫째, 직장인의 행복 수준에 영향을 미치는 변인은 균형적시간관, 일-여가 갈등 및 일-여가 촉진으로 나타났다. 둘째, 직장인의 균형적 시간관이 행복에 영향을 미치는 과정에서 일-여가 갈등과일-여가 촉진의 매개효과를 동시에 추정한 결과에서는 일-여가 촉진이 유의한 매개변인으로 확인되었다. 이러한 결과는 균형적 시간관이행복 증진을 위해 필요한 생활관리역량임을 알 수 있다. 또한 직장인의 균형적 시간관이 일-여가 촉진을 매개로 행복에 미치는 영향을확인함으로써 일-여가 촉진이 전개될 수 있는 적절한 지원방안에 더 관심을 가져야 함을 시사한다.",전지원,2022,https://www.riss.kr/link?id=A108279848
계획행동이론과 기술수용모델을 적용한 유료 OTT 구독 서비스에 대한 만족도 및 지속이용의도 연구 : 관여도의 조절효과를 중심으로,"유료 OTT 구독 서비스는 시공간에 제약받지 않고 다양한 디바이스를 활용하여 원하는 컨텐츠를 이용할 수 있음에 따라 이용자 또한 지속적으로 증가하고 있으며, 시장 규모 또한 지속적으로 성장하고 있다. 따라서 유료 OTT 구독 서비스에 대한 소비자 만족도 및 지속이용의도에 영향을 미치는 요인을 확인하기 위하여 계획행동이론, 기술수용모델, 이용자특성과의 관련성을 분석하고자 한다. 주요 연구결과를 보면 다음과 같다. 첫째, 유료 OTT 구독 서비스의 만족도에 영향을 주는 변수로는 이용태도, 주관적 규범, 지각된 유용성, 지각된 즐거움, 몰입이었다. 둘째, 유료 OTT 구독 서비스의 지속이용의도에 이용태도, 주관적 규범, 지각된 즐거움, 몰입, 만족도가 영향을 미치는 변수로 확인되었다. 셋째, 유료 OTT 구독 서비스에 대한 소비자 관여도는 지각된 유용성과 지속이용의도 간의 관계, 지각된 용이성과 지속이용의도 간의 관계에서 조절효과가 있었다.",김경영,2023,https://www.riss.kr/link?id=A108490839
청소년의 가정폭력 노출이 학교폭력 가해행동에 미치는 영향,,"김정란(Kim, Jeong Ran)",2014,https://www.riss.kr/link?id=A100483581
노숙인 지원주택 사례 연구,"최근 '지역사회통합돌봄'으로 정책 방향이 설정됨에 따라 증가하는 지원주택 수요에 맞춰 지원주택 수가 꾸준히 증가하고 있다. 따라서 본 연구는 지원주택의 주거환경특성과 지원서비스 이용 현황, 관리자 요구사항을 조사하여 지원주택의 개선방향을 제안하고자 한다. 이를 위해 지원주택을 현장조사하고, 서비스 및 관리를 담당하는 슈퍼바이저를 대상으로 심층인터뷰를 진행하였다. 연구의 결론은 다음과 같다: 첫째, 지원주택 입주자가 입주 후 가족관계가 회복됨에 따라 가족과 함께 거주할 수 있는 다양한 규모와 평면의 지원주택 공급에 대해 고려해야 한다. 둘째, 지원주택 시설은 입주자의 연령과 건강 상태를 고려하여 그들이 안전하게 이용할 수 있는 무장애 디자인으로 계획될 수 있도록 공간 계획 기준 정립의 검토가 필요하다. 셋째, 지원주택 내의 커뮤니티 공간과 관리자의 사무 공간은 각각 독립적으로 계획하여 관리자의 안전과 업무의 효율성을 도모해야한다. 넷째, 지원주택 내에서 발생하는 응급상황에 신속하고 적합한 대처가 이루어지기 위해서는 관리자에게 입주자에 대한 최소한의 필수적인 병력 정보를 제공하는 제도적인 개선이 필요하다. 다섯째, 지원주택에서 제공하는 서비스 중에 질병이나 안전에 관한 서비스에는 입주자가 반드시 참여하도록 하는 규칙의 도입을 고려해야 한다.",양희원,2023,https://www.riss.kr/link?id=A108578117
청소년의 연예인 선호이미지와 모방행동,,이수경(Lee Su-Kyoung),2009,https://www.riss.kr/link?id=A100482667
보육교사의 교직선택동기와 사회적 지지가 직무만족도에 미치는 영향 : 교사효능감의 매개효과,"본 연구는 보육교사의 교직선택동기와 사회적 지지가 직무만족도에 영향을 미칠 때, 교사효능감이 매개역할을 하는지를 검증하였다. 연구대상은 서울, 경기, 인천에 위치한 어린이집에 재직 중인 보육교사 276명이었다. 자료 수집은 질문조사로 이루어졌으며, 자료분석을 위해 기술통계, Pearson 상관분석, 3단계 매개회귀분석 및 Sobel Test를 실시하였다.
연구결과, 보육교사의 경력, 직위, 담당반 연령, 하루평균 근무시간을 통제하고도 보육교사의 교직선택동기(능동적동기)와 사회적 지지가 직무만족도에 미치는 영향에서 교사효능감은 부분매개효과를 나타내었다. 따라서 보육교사의 직무만족도를 증진하기 위해서는 능동적 동기로 교직을 선택하고 직장내 구성원들과 긍정적인 관계를 형성하여 사회적 지지를 강화하는 것을 토대로 교사효능감을 향상시키기 위한 구체적 방안 모색이 필요함을 알 수 있다.",장미숙,2022,https://www.riss.kr/link?id=A108043644
30대 미혼남녀의 결혼의향에 대한 경제자원의 효과,,고선강,2013,https://www.riss.kr/link?id=A99597632
비혼 1인가구의 생활불안 및 사회적 지지가 삶의 질에 미치는 영향,,박미석(MeeSok Park),2017,https://www.riss.kr/link?id=A104507016
예비부부를 위한 결혼준비교육프로그램의 개발에 관한 연구,,박주희(Park Ju-Hee),2009,https://www.riss.kr/link?id=A100454672
온택트시대 새로운 주거환경과 삶의 질,"들어가며
온택트는 온라인을 통해 비대면을 일컫는 언택트(Untact)에 온라인을 통한 외부와의 연결(on)을 접목시킨 개념으로, 온라인을 통해 소통하는 방식을 온택트(Ontact)라고 합니다. 즉, 사회적 거리두기 등 집에서 머무르는 생활에 지친 사람들이 온라인을 통해 외부와 연결하고, 다양한 활동을 하는 새로운 생활 추세를 의미한다.
갑작스럽게 비대면을 강요당한 사람들이 사람 간의 물리적 거리는 유지하되 개인 일상의 삶을 영위하고 사회가 정상적으로 운영되기 위해 언제든 원할 때 서로를 연결 할 수 있는 ‘연결의 필요성’이 대두되면서 온택트가 보편화되는 뉴노멀 시대 진입한 것이다.

온택트 시대의 주거환경
그동안 거주와 간단한 여가, 이웃과의 사회적 장소 등으로 기능했던 전통적인 집이라는 공간에, 비대면 요구에 따른 변화된 기능에의 필요가 대두되었고, 이중 일부가 기술을 통해 가능해짐과 동시에, 집의 기능 및 공간 변화를 초래하였다. 외부로 나가 실현되었던 일과 학습, 쇼핑은 물론 불가능하리라 생각했던 실시간 소통과 연결이 기술을 통해 비대면으로도 가능해지면서 공간구조를 바꾸고 거주하는 사람들의 삶의 모습을 변화시키는 전환이 빠르게 이루어지고 있다. 기술을 통해 연결되고 관련 활동을 위한 새로운 공간에의 요구, 전통적인 주거 공간과 관련 기능과의 충돌의 완화, 비대면에 따른 행동패턴의 변화로 인한 공용공간과 공공공간의 변화가 온택트 시대의 주거환경에서 동시다발적으로 일어나고 있다. 이러한 변화의 모습을 각 사례를 통해 살펴본다.

마무리
기술은 사람의 삶에 기반해서 발전하고 지속가능성을 확보하게 된다. 즉, 인간의 삶에 대한 이해가 기술의 지속가능성의 잣대가 되는 것이다. 새로운 기술을 기술만으로 이해하기 보다는 인간의 삶 안에서 풀어가는 지혜와 이를 가능하게 하는 인재가 요구되는 시대인 것이다.",최령,2021,https://www.riss.kr/link?id=A107910012
보육교사가 지각한 원장의 서번트 리더십이 기본심리욕구를 매개로 교사-유아 관계에 미치는 영향,"보육교사의 기본심리욕구를 매개로 원장의 서번트 리더십이 교사-유아 관계에 미치는 영향을 구조방정식 모델을 토대로 규명하고자 한 이 연구는 교사 242명을 대상으로 자기보고식 질문지 조사를 통해 자료 수집하였다. 수집 된 자료는 SPSS 20.0과 AMOS 18.0을 이용하여 Pearson Correlation, SEM(Structural Equation Modeling)을 통해 구조적 모델의 적합성을 검증했으며 Bootstrapping을 통해 간접효과의 유의성을 확인하였다. 연구결과 첫째, 원장의 서번트 리더십은 보육교사의 교사-유아 관계에 정적인 영향을 미쳤다. 둘째, 보육교사의 기본심리욕구는 교사-유아 관계에 정적인 영향을 미쳤다. 셋째, 원장의 서번트 리더십은 보육교사의 기본심리욕구에 정적인 영향을 미쳤다. 넷째, 원장의 서번트 리더십이 보육교사의 기본심리욕구를 통해 교사-유아 관계에 미치는 간접효과는 유의한 것으로 나타났다. 이와 같은 사실은 교사와 유아의 친밀 관계를 구축하는 데 있어 교사 자신의 기본심리욕구 충족을 중요하게 다루어야 함을 시사하는 것이다. 더불어 교사의 기본심리욕구 충족에 있어 원장의 서번트 리더십을 의미있게 활용할 수 있음을 제안하는 것이다.",김지선,2023,https://www.riss.kr/link?id=A108490833
성인 애착유형과 미혼남녀의 사랑유형 및 이성교제의 관계,"1 ""한국 도시 기혼남녀의 배우자 만족도 연구"" 고려대학교 2002",노유진 ( Eu Jin Noh ),2006,https://www.riss.kr/link?id=A75469143
