
수박씨 파우더를 이용한 식빵의 품질 특성,.,김은지,2023,https://www.riss.kr/link?id=A108530187
음식물 쓰레기를 줄이기 위한 체계화 연구(Ⅰ),"This research was conducted to estimate waste rates of 69 food items after pre-preparation and amounts of food wastes disposed and it's reduction effect by education in some institutional foodservices for reduction of the food wastes.
The result are as follows:
1. The waste rates were 55.40% for sweet corn, 5.73% for potatoes, 19.14% for sweet potatoes, and 33.47% for chestnuts.
2. The waste rates of fruits were 0.21~49.36%. Food items with over 40% waste rate were banana, watermelon, and pineapple.
3. The waste rates of vegetables were 1.14~52.90%. The number of foods with under 10% waste rate were 14 items(red pepper, green pepper, chard, and so on), 10~20% was 9 items(perilla leaf, Chinese cabbage, ginger root, and so on), 20~30% was 5 items(root of Chinese bellflower, garlic, radish-leaves, burdock, welsh onion-large type), 30~40% was 3 items(shepherd's purse, head lettuce, kale) and over 40% was 3 items(water dropwort, crown daisy, mallow).
4. The waste rates were 24.30% in chicken, 9.53~13.79% in eggs, and 9.30~55.32% in fishes. The waste rates of vegetables and fishes were higher than those of other food groups.
5. There were significantly different in amount of food wastes disposed (g／person／day) to institutional foodservices(hospital＞ industrial institution＞ Korean restaurant＞ elementary school). The amount of food wastes disposed, especially amount in pre-preparation phase, after education for reduction of food wastes was significantly reduced.
6. Since these study results show significant deviations in food waste rates and education effect, there should be more studies for standard waste rates of each food and systematic education method for reduction of food wastes.",전예숙,1999,https://www.riss.kr/link?id=A45018058
대학생들의 가치관에 따른 전공만족도와 진로성숙도에 관한 연구,"This study aimed to investigate major satisfaction and career maturity according to the values of college students majoring in food management and culinary arts. To do this, frequency analysis, factor analysis, correlation analysis, and multiple regression were conducted and analyzed using SPSS18.0 program. Analysis results indicate that the values of the college students majoring in dining and culinary education have effects on major satisfaction and career maturity. In particular, pragmatic value is a very important factor in increasing major satisfaction and career maturity, and social recognition and curriculum factors are very significant for students to make career decisions. Therefore, in order to enhance college students` major satisfaction and career maturity, it`s necessary to teach sound values so that they can build self-esteem value. Also, it`s essential to organize subject contents and curriculums in which theory and practice are allocated properly so that students can be interested in their majors and have new experience as well as the community`s right recognition for college students majoring in dinning and culinary education and their active interest as the study suggests.",한예정(Yae Jung Han),2013,https://www.riss.kr/link?id=A100059762
단백질 섭취기준,"This study assessed the current EAR, RDA, and AMDR for protein, which were set in 2005 and revised in 2010 as the DRIs for Koreans. A classical approach to establish the EAR for protein has been the nitrogen balance method. This method has practical limitations and problems in statistical analysis by giving over estimations of nitrogen balance. Thus, the present EAR for protein might be lower than the true requirement. Recent reevaluations of nitrogen balance studies by bilinear regression analysis and the IAAO method have indicated that the EAR of 0.66 g/kg bw/d should be increased by 39% to give 0.92 g/kg bw/d. The AMDR for protein in the Korean DRIs was set at 7-10%, which covers almost the entire population’s protein intake. Since the 5th percentile of Korean protein intake is close to 10% of energy and due to the beneficial effects of protein beyond the maintenance of nitrogen equilibrium, the lower range of 7% needs to be increased up to 10%. For practical meal arrangement, 15% of energy as protein, which is close to the average protein intake of Koreans, seems to be proper, although the value is almost two times the EAR. (Korean J Nutr 2011 44(4): 338 ~ 343)",장순옥 (Chang,2011,https://www.riss.kr/link?id=A82685016
채식주의자 식품소비가치에 따른 채식기반식품과 채식식당에 대한 인식,"The purpose of this study was to provide basic data for future research and suggest product development and market segmentation strategies by identifying the perceptions and consumption behaviors of vegetarians in each segment of the vegetarian market. According to food consumption value, a total of three market segments were derived, and the markets were named based on their characteristics, including 'environment and animal protection', 'multiple consideration' and 'low interest'. As a result of analyzing the perception of vegetarian-based food, ""environment and animal protection"" and ""multiple consideration"" presented positive perceptions of a vegetarian food product. Conversely, the group stating low interest expressed negative perceptions of the vegetarian food product. An analysis of the requirements for development for vegetarian-based foods products (eg. aquafaba), indicated that the development requirements for all products, except cultured and processed meats, were high.?Considerable demand was observed for vegetarian menus and vegetarian restaurants. As a result of the analysis on the necessity of the elements of the vegetarian restaurant menu, the subjects that stated ""multiple consideration"" had significantly higher awareness of issues related to vegetarian foods than others.",김하영,2021,https://www.riss.kr/link?id=A107907612
제6기 국민건강영양조사를 토대로 분석한 한국 성인의 당뇨병과 빈혈 관계,"Anemia, defined as a reduction in the hemoglobin concentration of blood, is common in diabetes mellitus (DM) patients, can be potentially caused by diabetes complications such as nephropathy. Recent research suggests that diabetes mellitus (DM) itself may be a major risk factor of anemia. However, there are few Korean studies on the relationship between diabetes mellitus (DM) and anemia. This study was performed to investigate the association between anemia and diabetes mellitus (DM) in Korean adults. A total of 10,151 Korean adults over aged 19 years (4,422 male, 5,729 female) were selected from the participants of the Korean National Health and Nutrition Examination Survey VI (KNHANES VI). Korean adults with anemia had a higher prevalence of diabetes mellitus (DM) than the normal adults (11.4% vs. 30.4% in male, 8.8% vs. 9.4% in female). The unadjusted odds ratio (OR) for anemia was greater in adults with DM than in normal male (OR=3.28; 95% CI: 2.27∼4.73). After adjusting for other risk factors including age, education, family income, smoking, drinking, and menstrual status, anemia and diabetes were not associated (OR=1.33; 95% CI: 0.84∼ 2.09). Similarly, there was no association between anemia and diabetes in female. In conclusion, this study shows that the prevalence of anemia is similar in diabetic and non-diabetic Korean adults after adjusting for multiple risk factors. Further research is required to elucidate the mechanism of anemia caused as a con-sequence of diabetes mellitus (DM).",이애리 ( Ae-ri Lee ),2017,https://www.riss.kr/link?id=A102716911
한국 일부 20∼30대 성인의 음료 섭취와 비만도와의 관련성,"The purpose of this study was to investigate the association between daily beverage intake and obesity in young adults. This cross-sectional study was conducted with 256 adults in their 20s and 30s. Obesity was evaluated by anthropometric measurement of body mass index (BMI), waist to hip ratio and waist to height ratio. In addition, the daily intake of milk, caffeinated beverages, sweetened beverages, and alcoholic beverages was investigated using the dietary record and 24-h recall methods. Based on the BMI, men and women were classified into underweight, normal, overweight and obese. Among men, 38.3% were found to be normal, 28.1% were overweight and 31.3% obese. Among women, 11.7% were underweight, 73.4% were normal, and 10.2% were overweight, which was significantly different from men. In women, the BMI of the milk consumers was significantly lower than the non-consumers. Also, the obesity indices of caffeinated beverage consumers were significantly lower than the non-consumers. An analysis of the correlation between beverage intake and the obesity index showed that the intake of caffeinated beverages among women had a significant negative correlation with the obesity index, and intake of alcoholic beverages had a significant positive correlation with waist to height ratio. This study suggests that intake of milk and caffeinated beverage may have a positive effect on obesity, whereas the intake of alcoholic beverages may have a negative effect, especially in young adult women.",이연경 ( Yeon-kyung Lee ),2023,https://www.riss.kr/link?id=A108512138
"성인 여성의 수면부족에 따른 영양소 섭취와 우울 -국민건강영양조사(2016년, 2018년)자료를 이용하여-","This study evaluated the nutrient adequacy ratio (NAR) and depression based on the sleep duration of adult women using data from the Korea National Health and Nutrition Examination Survey (KNHANES) 2016 and 2018. A total of 4,507 subjects were divided into two groups: sleep hours＜7 (lack of sleep, LS) and 7≤ sleep hours (normal sleep, NS). For a more detailed analysis, the subjects were further divided into normal sleep with no depression (NSND) and lack of sleep with depression (LSWD) groups. When compared with NS group, the nutrient intake of the LS group was observed to be higher in carbohydrates (P＜0.05) and thiamine (P＜0.01), but had a significantly lower mean nutrient adequacy ratio (P＜0.05). Also, the LS group showed a higher frequency of early menopause (P＜0.001) and depression (P＜0.05) than the NS group. In the analysis of anthropometry and blood parameters of the subjects based on their sleep duration, the LS group showed a lower body mass index (BMI, P＜0.05), lower blood creatinine (P＜0.01), glycated hemoglobin (P＜0.05), and high-density lipoprotein (HDL) cholesterol (P＜0.01) levels adjusted by age and menopause than the NS group. When compared to the NSND group, the LSWD group had a lower intake of cholesterol (P＜0.05), vitamin A (P＜0.05), vitamin C (P＜0.05), and folic acid (P＜0.05). There was no variation in the menopausal status, NAR, and mean nutrient adequacy ratio between the NSND and LSWD groups. However, there were differences in total blood cholesterol (P＜0.05) and depression based on sleep duration. Apart from nutritional status, differences in BMI and blood parameters were observed based on sleep duration.",신지영 ( Ji-young Shin ),2023,https://www.riss.kr/link?id=A108512140
대체 단백질을 활용한 미래형 푸드테크 분석 연구,"Purpose: This study was conducted to contribute to the vitalization of the food industry through the analysis of future food technology for producing alternative proteins. The demand for protein is expected to increase due to population growth, but it may be difficult to match protein production compared to the demand. Methods: Food technology for the production of alternative proteins to meet the demand was examined through paper and patent analysis. Results: Meat production that relies on traditional livestock farming cannot meet the growing protein demand, due to climate change and resource depletion. Alternative protein is a future food technology that can replace the traditional livestock industry, which in turn can revitalize the sustainable food industry and contribute to economic growth. Alternative proteins are mainly classified into cultured meat, edible insects, and alternative vegetable proteins. Cultured meat refers to edible protein obtained by collecting live animal cells and multiplying them using cell engineering technology. Proteins extracted from edible insects may also be used in food material. Plant-based protein alternatives include technology that uses plant-derived proteins to manufacture foods similar to livestock foods such as meat and eggs. Through the analysis of future food technology for alternative proteins, we have attempted to examine the competitiveness of original technology that can replace the traditional livestock industry. Conclusion: The results of this study provided information on the development of new source technologies by combining various food technologies involving cultured meat, edible insects, and vegetable protein as replacements for traditional livestock protein.",용해인 ( Hae In Yong ),2021,https://www.riss.kr/link?id=A107905356
"국내 단백질 소비시장 동향: 축산물, 수산물, 식물성 단백질 식품을 중심으로","This study aims to investigate protein consumption market trends in Korea. Protein consumption was divided accordingto the protein source into meat, fishery, and plant-based protein. To accomplish the goal of this study, food purchase datafrom 525 households panels collected by the Rural Development Administration over the last 10 years were used. Theresults of the study showed an increase or decrease in protein consumption by protein type over the last 10 years, and areason to explain this change has been suggested. Specifically, this study found a dramatic increase in the consumption ofseveral proteins, including beef sirloin, beef tenderloin, seasoned beef & steak, pork belly, pork shoulder, pork neck,seasoned pork, pork cutlet, sweet and sour pork, canned ham, chicken drumstick, chicken breast, dak gangjeong, Chinesefried chili chicken, salmon, eel, abalone, squid, octopus, webfoot octopus, octopus minor, canned whelk, tofu, cold beansoup,and plant-based milk. Some items showed no increase in consumption (such as beef jerky, pork rib, sausage, bacon,whole raw chicken, cutlass fish, oyster, fish cake, crab stick, surimi sausage,and canned fishery), whereas a few items showeddecreased consumption (e.g., mackerel, pollack, cod,and canned tuna)",조성환,2022,https://www.riss.kr/link?id=A108193208
