
퍼스널 컬러에 대한 컬러 선택요인 및 만족도 연구,"The present study attempts to examine the degree of recognition of the Personal Colors by the age of the woman, and to analyze the influence of the recognition on the factors for choosing specific colors for hair coloring and facial make-up and the consequent satisfaction. The data will be used as a basic material for research and marketing in the field of color consulting in the beauty industry. Collected data were statistically processed using the SPSS WIN program. Depending on the nature of the contents to be analyzed, either the percentage calculation or the Chi-square analysis or the ANOVA was carried out. The findings of the study are as follows; The overall recognition of the Personal Colors was generally low in terms of the knowledge, information and experiences. While the degree of recognition was the highest in teenagers, the necessity of diagnosing the Personal Colors was most deeply perceived by the women in their 30s. One of the factors for choosing a specific color for hair coloring was their favorite color for the teenagers, and the Personal Color or the advice of the professional for the women in their 30s. Meanwhile, the highest factor for those in their 20s was the colors in vogue. For the facial color make-up as well, this sensitivity to popular colors was also highest in the twenty-something women. The color choice in consideration of favorite colors and the Personal Colors was the most prominent in the teenagers. The tendency of utilizing the advice of sales people or the professionals was the highest in the women in their 30s. In the survey of satisfaction with the chosen colors for hair coloring and make-up, it was found that satisfaction was the highest in the cases of choosing the Personal Colors in all the age groups, while it was the lowest for the choice of popular colors.",한명숙,2002,https://www.riss.kr/link?id=A30065961
인플루언서를 통한 Y2K 패션 요소 분석,"This study focused on the phenomenon where several fashion influencers post photographs of themselves wearing Y2K fashion elements on various online social communication media. Nowadays, marketing through social media and/or influencers as trend leaders has became extremely important. In this regard, the concept and the expressive characteristics of Y2K fashion through photograph images of influencers were analysed in case studies. Y2K is one of the new fashion trends in the 2000s that adds retro- so called ‘Newtro-’ sensibility, and it refers to a style based on fashion trends at that time. A literature research was conducted on related articles and fashion magazines to examine the general characteristics of Y2K fashion. Then, as a result of searching for hashtagged words like Y2K, 2000‘s fashion, the end of the century, high teen, and retro from Instagram, 7 domestic and 7 foreign influencers were selected for the case study. It was found that the Y2K Newtro trend had been also spreading through influencers’ posted self-images in Y2K fashion, as the photographs were exposed to numerous followers. The 8 representative Y2K fashion elements were found as bolero cardigans, cropped top & low-waisted bottoms, velvet tracksuits, plaid pattern garments, hairbands, hair scrunches, belly chains, and oval sunglasses. The main trait of Y2K fashion through influencers was bricolage with kitchness and various kinds of styling were displayed through influencers. Such a phenomenon of Newtro has a marketing effect as a sympathetic element of the millennials and generation Z. This research can be used to understand Y2K fashion better and to develop upcoming Newtro fashion-related designs.",임채정,2023,https://www.riss.kr/link?id=A108639681
"인플루언서 특성과 소비자 욕구충족성이 인플루언서 애착, 콘텐츠 몰입 및 구매의도에 미치는 영향","This study examines the effect of influencer characteristics (attractiveness, reliability, expertise, and intimacy) and consumer need satisfaction (autonomy, relatedness, and competence) on attachment to influencer, content flow, and purchase intention. The moderating effect of gender was also investigated. Survey data collected from 515 male and female Instagram users were submitted for analysis. The research findings are as follows. First, the reliability and intimacy of influencers had a positive effect on attachment to influencers whereas attractiveness and intimacy had positive effects on content flow. Second, the relatedness and competence that consumers felt during the use of influencer content had a positive effect on attachment to influencers whereas the autonomy had a positive effect on content flow. Third, the attachment to influencers increased the intention to purchase products introduced by influencers via content flow. Fourth, there were some gender differences in the relationships of attachment to influencer, content flow, and purchase intention. Implications were suggested based on the results.",곽지혜 ( Ji-hye Kwak ),2021,https://www.riss.kr/link?id=A107348908
피복구성학적 인체계측방법에 관한 연구,"This study pursues the problems of plan photogrammetry which is widely used in somatotyping at present, and find out a method which can improve accuracy of measurement on the basis of principles and mechanisms of photography the basic foundation of the photographic analysis methods.
As a result, this study proposes a new method which is based on the reference point method and perspective coordinate system. And the test measurement was operated to compare the measurement accuracy of the proposed method and the method based on reference grid screen method and perpendicular coordinate system which is commonly used at present. The result of this test measurement showed that the proposed method has higher accuracy.
Two reasons can be pointed out for the improvement of measuring accuracy. The first reason is that the proposed perspective coordinate system reduces the perspective distortion of photography. And second reason is that measuring points can be closely place to the scale and coordinate reference plan of measurement by the proposed reference point method which make possible to place measuring object(or person) at the center of scale and coordinate reference plan by utilizing reference points of measurement in the three dimensional space not on screen.",박찬미,1997,https://www.riss.kr/link?id=A2092934
패스트 패션(Fast Fashion)의 전략적 특성과 패션 경향 연구,"The purpose of this study is to examine the main characteristics of strategies and fashion styles in fast fashion. Ultimately, this study is aimed to give useful information to develop fast fashion companies in Korean apparel industry. There are several strategies commonly applied in most fast fashion companies. First, they produce a wide range of numerous items. Second, the price is very reasonable. The primary objective of fast fashion is to quickly produce products in a cost efficient manner. Third, fast fashion companies take charge in the whole process from designing and manufacturing to distribution and sales. Forth, while almost all apparel companies invest a large amount in advertisement to promote sales, most fast fashion companies invest in VMD instead. Also, the fashion style of fast fashion were examined. First, casual style dominated a big part in composition of the entire style. Second, they use various kinds of different fabrics. For example, natural fabrics including organic and recycled fabrics, denims, newly invented high-tech fabrics, and decorative fabrics are widely used. Third, fast fashion brands produce fashion product based on the most recent fashion trends. Forth, they pursue high quality design. Retailers` understanding of the target market`s wants realizes the consumer to thrive on constant change and the frequent availability of new products. Accordingly, fast fashion is presently taking an important role in fashion although it has a short history compared to the general apparel industry.",한태임 ( Tae Im Han ),2010,https://www.riss.kr/link?id=A82491153
패션 기반 통합디자인을 위한 페르소나 개념,"The concept of persona is an essential part of a user-research technique in the field of integrated design, which includes product, visual, and fashion designs, based on the principles of design thinking methodology. However, in the research of fashion-based integrated design, the concept of persona is not limited to user-research techniques, and it is used in various phases of the fashion industry process. Nevertheless, theoretical research on the conceptual characteristics of persona in integrated design remains insufficient. Therefore, this study aims to formulate differentiated persona concepts in fashion-based integrated design by classifying the characteristics of persona concepts used in the fashion industry process. As a research method, the concept of UX design persona, which is predominantly used in integrated design, was examined through literature review. The characteristics of persona concepts used in the fashion industry process were analyzed to identify the discriminatory features of fashion persona, extensively used at various stages of the fashion industry process. As a result, this study identified the following features of fashion persona that could be applied in the field of fashion-based integrated design. Firstly, in the design planning stage, the persona concept can be used as a user-research technique, similar to the UX persona technique. Secondly, it can be used as an extended tool concept to personify the brand or express the identity of designers and consumers as a marketing strategy. This concept can be used in combination with those of existing fashion muses and ambassadors as a tool for consumer communication, however its use will require specific theoretical definitions. In conclusion, the persona concept in the field of fashion-based integrated design, is not limited to user researches at the design stage but can be expanded to various phases of the fashion industry process as a strategy for promotion and communication which can represent user identity. The establishment of persona concepts for fashion-based integrated design will contribute to developing the diversity of methodologies and laying the related theoretical foundation in the field of integrated design, which is expected to expand rapidly with technological development.",신승원,2023,https://www.riss.kr/link?id=A108639678
가상 인플루언서의 매력적인 외관 디자인 특성,"Within the realm of social media, influencers' activities play a crucial role in shaping brand images and consumer purchasing decisions. As a result, identifying and engaging with suitable influencers has become essential for optimizing interactions with consumers. A novel type of influencers has emerged in recent years: virtual influencers, who are computer-generated entities. Despite their intangible nature and inability to engage in direct face-to-face interactions with consumers, virtual influencers have garnered substantial support from numerous followers. This study examines the concept of virtual influencers, which have surfaced in conjunction with advancements in modern graphic technology. The research analyzes the physical appearance of more appealing virtual influencers from the existing examples and identifies the characteristics that contribute to their attractive physical appeal. Applying these characteristics, human and non-human virtual influencers were developed using 3D computer graphics software. The physical attractiveness of the created virtual influencers was evaluated, and their appearance design was revised to ensure the proper incorporation of the derived characteristics. Ultimately, the study aims to present the characteristics of an appealing physical appearance that resonates with the majority of the public. The attractive physical appearance of virtual influencers varied by type. Both human and non-human virtual influencers were deemed attractive under certain real-world beauty standards. However, there were differences in attractiveness depending on the degree of virtuality. This research holds significance by offering insights into the attractive physical appearance of virtual influencers, an area that has not been extensively studied before. It is expected to provide a foundational guideline applicable by practitioners and researchers in the virtual influencer industry during virtual influencer creation and research in the future.",박지홍,2023,https://www.riss.kr/link?id=A108639676
메타버스 플랫폼 ‘제페토’ 이용자의 가상패션 스타일 선호도 및 구매행태 분석,"In the metaverse, it is important to embellish aesthetics of user with a character called ‘Avatar’, a virtual representation of the user. This study provides basic data related to the fashion trend of the metaverse by studying ‘Zepeto’, a representative Korean platform. For empirical research, Zepeto's “Best Items"" section were investigated and analyzed in the first pre-survey. Based on this, the second and main survey was conducted using a questionnaire to investigate users' style-specific preferences and purchasing behaviors for virtual fashion, comparing style preferences between virtual and real, brand preferences, and purchasing behaviors of virtual fashion. The survey found that most users were teenage girls with a high preference for pastel-toned, feminine, and cute casual styles who had a much higher interest in brands bearing idol names than in real-world luxury brands. Many responded that they felt burdened by purchasing items that had to be purchased for cash. The same can be assumed to be the reason why they preferred a suit of items that were fully coordinated rather than individual items. These results seem to reflect characteristics of teenage girls who lack cash with a high preference for idols and feminine-cute casual styles. This study suggests considerations when creating virtual fashion items. By providing basic information, more effects and developments in creating virtual fashion items that reflect consumer preferences and reactions are expected in the future.",김가야,2022,https://www.riss.kr/link?id=A108206329
"아이돌 휴먼브랜드의 특성이 소비자의 아이돌 휴먼브랜드 애착, 모방 욕구, 동일시 욕구와 패션 제품 구매 의도에 미치는 영향","The popularity of K-pop, the development of diverse media and communications, and rapid globalization are increasing consumers' attachment to celebrities. These celebrities, called “Human brand”, have a growing impact on consumers. However, research on idol celebrities has been conducted mainly on teenagers. Furthermore, there are limits to the studies on consumers' attachment to idol celebrities who do not advertise specific products and intention to purchase products which are not advertised but related to the idol human brand. Therefore, this study has been conducted on 301 out of 400 adult women in their twenties to forties in Korea to examine the relationship between the characteristics of the idol human brand, attachment to the idol human brand, desire to imitate the idol human brand, desire to identify with the idol human brand and its fandom community, and the effect on purchase intention. For the statistical analysis, SPSS and AMOS were used. The study found that the characteristics of the idol human brand which are trust, professionality, social attractiveness, and physical attractiveness positively influenced attachment to the idol human brand. The attachment to the idol human brand positively affected the imitation desire toward the idol human brand, and the identification desire with the idol human brand, and to identify with its fandom community. Additionally, the desire to imitate and to identify with the idol human brand and its fandom community positively affected the intention. Furthermore, the relationships between all variables were found to have a significant mediating effect.",황지영 ( Jiyoung Hwang ),2021,https://www.riss.kr/link?id=A107905134
연구논문 : 환경의식에 따른 패스트패션 구매자의 의복소비행동에 관한 연구,"This study investigates clothing consumption behavior of fast fashion purchasers according to environmental consciousness. Questionnaire examined 245 males and females in Busan who experienced fast fashion product purchases. Data were analyzed using factor analysis, t-test. ANOVA, Duncan Test and χ2-test. The results are as follows. First, the result showed significant differences in environmental consciousness education according to demographic characteristics. Second, the results showed significant differences in the hedonic pursuit of purchase motivation for fast fashion products according to environmental consciousness. The low environmental awareness group pursued hedonic purchases towards the purchase motivation of fast fashion products. The results showed significant differences in fast fashion disposal behavior according to environmental consciousness; however, not for the disposal motivation of fast fashion. In the disposal behavior of fast fashion, the high environmental awareness group indicated social friendly disposal and the middle environmental awareness group indicated economical disposal. The result showed significant gender differences towards clothing consumption behavior of fast fashion according to demographic characteristics. Males and females showed significant differences in all purchase motivation factor for fast fashion products. They also showed significant differences in economical disposal towards fast fashion disposal behavior.",이현지 ( Hyun Ji Lee ),2015,https://www.riss.kr/link?id=A100768299
