
베이즈 정리에 관한 소고,"사전에 갖고 있는 예상이나 확신은 데이터와 같이해서, 통계적 분석을 하는데 중요한 역할을 해도 좋은 것이다. 베이즈 통계학은 이들을 주관확률로서 표현하고, 베이즈 정리에 따라서 분석을 전개해 나간, 보다 인간의 사고형식에 가까운 형태의 통계학이다. 차후 주시해서 보게되는 통계학의 하나 영역이다. 따라서 본 소고에서는 베이즈 통계학의 원조인 베이즈로부터 베이즈 정리, 베이즈 통계학의 본질인 원인의 확률과 주관확률 그리고 근대 확률론과의 관계를 보여주며 중요성을 논할 것이다.",최기헌,1998,https://www.riss.kr/link?id=A19572668
교양·기초교육과정에 대한 교수·학생의 인식 비교 설문 조사 자료를 중심으로,"대학교육의 내실화는 교육과정의 설계에서 시작한다. 설계된 교육과정의 적절성 합리성 효과성 교육여건의 반영, 교육수요, 학습자의 요구 반영 등은 교육의 성패를 좌우한다. 현재 한국의 대학은 교수와 학생 사이에 교육 서비스의 공급 측면과 수요 측면에서 서로의 인식 차원에서 상당한 거리가 형성되어있다. 본 논문은 2001년 성균관대학교의 교양 및 기초교육과정에 대한 교수, 학생의 설문조사결과를 바탕으로 교수와 학생의 인식의 차이를 조명하고 교양 및 기초교육과정의 방향과 성격을 제시하고자 한다.",정치봉,2002,https://www.riss.kr/link?id=A342292
대학생들의 다이어트 식습관 실태 조사,"대전대학교 교양과목으로 개설된 ‘식생활과 다이어트’ 교과목을 수강하는 남녀 학생 151 명을 대상으로 다이어트 경힘과 함께 그들의 식습관을 알아온 결과는 다음과 같다 조사대상자는 남학생 81 명과 여학생 70명으로 총 151 명이었다. 남학생들의‘식생활과 다이어트’ 수강동기는 식생활 전반에 대해 공부하고 싶다는 응답이 여학생들은 특히 다이어트에 관심이 있어서 라고 응답한 학생이 가장 높아 유의적 차이를 보였다 여학생 중 51 .4%, 남학생 중54.3%는 다이어트에 대한 경험이 있었으며， 다이어트 해 본 시기는 남학생은 대학교 때 여학생은 고등학교 때가 가장 높게 나타나 유의적 차이를 보였다. 다이어트 정보는 남학생과 여학생 모두 인터넷과 경험 있는 친구 나 선배를 통해서가 가장 높게 나타났다. 남녀 학생의 평균 운동 시간은 유의적 차이를 보여 남학생은 주 1 - 3시간 운동하는 학생이 가장 많았고 여학생들의 주 1 시간미만 운동하는 학생이 많았다. 식생활 태도에 대한 조사에서 아침 식사를 하지 않는 학생이 남녀 각각 19.6%. 18.6%로 나타났다. 남학생이 여학생보다 과식하는 경향을 보였으며 간식을 먹는 횟수는 여학생이 많았다. 조사대상자 자신의 식생활의 개선점으로 남녀 학생이 각각 56 .4%와 47.0%가 불규칙한 식사로 답하였다. 이상의 결과로 남녀 학생들이 다이어트에 대한 관심도가 높았고 식습관에 문제가 있어 “식생활과 다이어트”과목을 수강함으로써 식습관과 다이어트 과목을 통한 영양교육이 효과가 있을 것으로 본다.",김연정,2010,https://www.riss.kr/link?id=A82694828
면접에서의 AI 활용에 관한 연구,"코로나19 팬데믹 이후 비대면(Non Contact) 시대가 도래함에 따라 사람과 사람사이 대화를 통해 진행되는 면접까지 영향을 받게 되었다. 4차 산업혁명과 함께 ICT(Information and Communication Technology)의 급속한 발달로 인해 인공지능(Artificial Intelligence 이하 AI)은 더 정교하게 발전하고 있고, 사회 전반적인 부분에 걸쳐 영향을 미치고 있다. 비대면 면접 과정에서도 AI 도입을 시도하는 기업들이 많이 늘어나고 있다. 본 연구에서는 채용 및 면접을 진행하는 과정 중 AI를 적용할 수 있는 영역에 대해 살펴보고 AI 알고리즘에 있어 주관적 요소가 개입할 가능성과 이에 따라 발생할 수 있는 윤리적 문제에 대해서 고찰해 보았다. 이를 통해 면접 과정에 적용되는 AI 또한 알고리즘의 각 요소에 기업의 가치관과 사람의 주관적 기준이 개입하게 되는 점을 알게 되었다. AI 내에 인간의 존엄성과 기본권이 보장될 수 있도록 하는 것은 앞으로 풀어야 할 숙제 중 하나이다. 국내에서도 인권위원회에서 인공지능 개발 및 활용에 있어서 윤리적 가이드라인을 제시한 만큼 AI 시스템에 대한 윤리적 감시 및 검증은 앞으로 더 필요할 것이다. AI 분야는 앞으로 더 발전할 것이고, AI 편향성 및 윤리적 이슈는 전 분야에 걸쳐 발생할 수 있다. 그렇기에 기술과 윤리의 균형적 시각과 원칙이 더 굳게 정립되어야 할 것이다.",신소현(Sohyun Shin),2022,https://www.riss.kr/link?id=A108530743
특발성 척추측만증에 대한 물리치료의 임상적 적용 및 고려사항,특발성 척추측만증은 뚜렷한 원인 없이 나타나며， 전체 척추측만증 환자의 85%를 차지하고 있다. 대부분의 척추측만증이 성장이 진행되는 시기에 발생되므로 조기에 발견하여， 이에 합당한 치료를 시행하는 것이무엇보다도 중요하다 척추측만증은 근골격계의 문제와 심호홉기계의 문제뿐만 아니라 정서적인 문제까지유발할 수 있기 때문에 치료 시기를 놓치게 되면 심각한 합병증을 초래할 수도 있다. 그러나 척추측만증에대해 보편적으로 시행되고 있는 여러 치료 방법들에 대한 효율성이 분명히 입증되지 않았기 때문에 정확한치료 프로토콜이 설립되어 있지 않다 이에 본 연구는 특발성 척추측만증에 대한 이해를 높이고 최신 치료경향을 알아보기 위하여 문헌 고찰을 시행하였다 문헌 고찰의 결과로 미루어 보았을 때 보편적으로 사용되고 있는 보조기 ， 바이오피드백 ， 견인치료， 전기자극 치료 및 카이로프락틱과 같은 보존적인 방법들은객관적인 근거보다는 임상적인 효과가 더욱 강조되어 있다는 것을 알 수 있었다. 최근의 특발성 척추측만증에 대한 치료는 과학적인 방법으로 치료 효과가 입증된 치료적 운동에 많은 비중을 두고 있으며， 또한 이를 통한 신체적， 정신적인 긍정적인 효과들에 관심을 두고 많은 연구들이 시행되고 있다.,오덕원,2007,https://www.riss.kr/link?id=A82694793
텍스트 마이닝 기법을 활용한 ‘AI 윤리’ 연구 동향 분석,"본 연구는 국내 ‘AI 윤리’ 연구 동향 변화를 살펴보고 방향성을 탐색하는 데 목적이 있다. 이를 위해 학술연구정보서비스(RISS)에서 ‘AI 윤리’를 키워드로 추출된 논문들 중 2017년부터 2021년까지의 한국어 논문 298건의 논문 제목과 초록을 수집하여 연도 별로 분석하였다. 수집된 자료에서 추출된 키워드는 TEXTOM을 활용한 형태소 분석, 띄어쓰기 정리, 불용 문자 삭제 등과 같은 정제 과정을 거친 후 각 시기에 대한 빈도 분석과 CONCOR 분석을 수행하였다. 연구 결과 도출한 시사점은 다음과 같다. AI 윤리 관련 교육을 진행할 때 AI 윤리 연구 동향에서 언급된 군집들인 ‘인간 존재와 인간 존엄성’, ‘인간과 로봇과의 관계’, ‘정보 보호의 중요성과 보호 방안’, ‘안전한 인공지능 활용을 위한 법과 시스템’, ‘책임’ 등과 같은 주제를 교육 내용으로 선정하는 것이 필요하다. 연구에서 도출된 키워드는 상위 빈도를 바탕으로 추출된 키워드이기 때문에 그만큼 각 연구 분야에서 중요하게 생각하는 내용을 포함했다고 이야기할 수 있기 때문이다. 향후 의료, 법률, 국방, 회계, 교육 등 AI 윤리를 다루는 다양한 산업계 및 관련 학계에서 ‘국가 인공지능 윤리 기준(안)’을 직접적이고 실제적으로 적용한 연구가 활발하게 진행되길 기대한다.",노민주(Min Joo Noh),2022,https://www.riss.kr/link?id=A108530737
인공지능 교사의 발전 수준에 따른 인공적 도덕행위자(AMA)의 역할에 대한 시론,지금은 인공지능 시대라 부를 수 있을 정도로 인공지능 중심의 기술사회가 형성되고 있다. 이러한 상황은 교육에 있어서도 무관하지 않으며 인공지능 교사에 대한 기대가 이를 나타내고 있다. 인공지능 교사가 앞으로 어떻게 발전할지를 예측해보는 것은 인공지능 교사의 발전 방향성을 제공하는 역할을 한다. 그러므로 본 논문은 인공지능 교사의 발전 수준을 1수준부터 5수준까지 5가지 기능항목에 따라 5가지 단계로 제시하였다. 또한 인공적 도덕행위자로서의 인공지능 교사가 어떠한 역할을 할 수 있는가를 논의하였다.,방은찬(Eun Chan Bang),2022,https://www.riss.kr/link?id=A108530741
패션산업의 친환경 마케팅 전개방안 연구,"오늘날 환경문제에 관심이 높아진 소비자들은 기업에 있어 마케팅 활동의 변화를 요구하고 있다. 따라서 기업은 소비자들에게 부각될 수 있는 친환경 마케팅 전략을 전개하지 않을 수 없는 실정이다. 패션산업도 예외일 수 없이 환경문제가 중요한 이슈로 떠오르고 있다 제조과정에서의 자원절약 및 공해를 최소화 하는 방법 뿐 아니라 친환경 마케팅을 모색하려는 움직임이 점차 활발해지고 있다.
본 연구에서는 패션산업체가 현재 시행하고 있는 친환경 마케팅 현황을 파악하고， 사례를 분석한 후， 미래 패션산업에서의 친환경 마케팅 전개방안을 제시하고자 한다. 분석을 위한 대상으로는 학술지에 게재된 논문， 잡지， 신문， 인터넷을 중심으로 실시하였으며， 시기는 친환경 마케팅에 대한 연구가 활발해지기 시작한 2000 년부터 2010 년 11 월 검색시점까지의 자료들을 연구대상으로 제한하였다. 연구 결과 친환경 마케팅 전개방안은 친환경소재의 활용， 리디자인 (re - design ) ， 친환경 메시지 전달， 친환경 자연 모티브 활용， 소비자 주문생산， 상품의 과대포장 지양， 새로운 매장 전략 등 7가지로 요약할 수 있었다앞으로 친환경에 대한 홍보를 통해 소비자가 친환경 제품 사용의 필요성과 중요성을 인식한다면 패션산업의 친환경 마케팅은 더욱 활발해질 것이고 이는 패션업계에 녹색성장을 가져오게 될 것이라고 생각한다",이은경,2010,https://www.riss.kr/link?id=A82694826
뉴욕 하이라인(High Line) 공원에 나타난 지속가능한 도시재생에 관한 연구,"지속가능한 도시발전을 위한 도시재생은 1980년대 이후 세계적인 선진도시를 중심으로 부상하고 있다. 특히 뉴욕의 하이라인 공원은 폐허된 철로길을 공중의 생태공원으로서 재탄생시켜 매년 4백만명의 국내외 관광객을 끌어들이는 성공적 사례로 평가되고 있으며 시카고, 필라델피아 센트루이스는 물론 서울의 도시재생에 까지 영향을 미치고 있다. 본 연구는 하이라인 공원을 지속가능한 발전의 이론을 토대로 다음과 같이 4가지 요소로 도출, 논의하였다. 거버넌스는 하이라인친구들의 자율적 네트워크를 통해 구축하였고 산업유산의 문화화는 거버넌스, 산업유산의 문화화는 철도와 야생화를 살리고 다양한 사람들의 시간적, 공간적, 예술적 감성적 만족을 통한 문화화, 복합용도의 개발은 다양한 공간적 활용을 통한 다감각적 활용, 경제적 효과는 이러한 세가지 요소들을 통한 자연스러운 결과로 특히 무형의 문화고부가가치화 현상으로 나타났다.",이혜주(Hyejoo Lee),2014,https://www.riss.kr/link?id=A100463886
수소 에너지의 최근 연구 동향,본 문헌은 화석연료 고갈에 대비하고 환경 문제에 대응하기 위한 청정 대체 에너지로서 유력한 수소 에너지의 연구에 관한 최근 연구 동향을 고찰하고 정리하였다. 이로부터 수소 에너지의 특정과 현재의 과학 기술 수준 및 극복할 과제 등에 관하여 심도 있는 고찰을 통하여 수소 에너지의 최신 연구 동향을 알아보고 현재까지의 연구 성과 및 활용 기술의 정도를 정리하고 이를 바탕으로 미래의 전망을 살펴보고자 한다.,조정환,2008,https://www.riss.kr/link?id=A82695500
